similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	192	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_4489	A549
0.7664	2.2422e-38	192	Methixene	LSM-1467	CHRM1|CHRM5|HTR2C	10uM	24h	LINCSCP_167198	YAPC
0.7599	2.1569e-37	192	Dilazep	LSM-3068	SLC29A1	10uM	24h	LINCSCP_173435	YAPC
0.7528	2.4089e-36	192	Sertraline HCl	LSM-45979	NA	3.33uM	24h	LINCSCP_174384	YAPC
0.7326	1.4282e-33	192	Zuclomiphene	LSM-42849	ESR1	10uM	24h	LINCSCP_155684	PC3
0.7315	1.9995e-33	192	EVP-6124 (hydrochloride)	LSM-45538	CHRFAM7A|CHRNA7	10uM	24h	LINCSCP_174473	YAPC
0.7284	5.0129e-33	192	CEPHARANTHINE	LSM-45918	NA	1.11uM	24h	LINCSCP_97998	HA1E
0.7235	2.098e-32	192	METERGOLINE	LSM-3265	HTR1A|HTR2A	10uM	24h	LINCSCP_174041	YAPC
0.7229	2.4972e-32	192	AZD4547	LSM-6308	NA	3.33uM	24h	LINCSCP_169213	YAPC
0.7225	2.8088e-32	192	Haloperidol	LSM-3512	DRD1|DRD2|DRD3|DRD4|HTR2A	10uM	24h	LINCSCP_172346	YAPC
0.7209	4.4694e-32	192	AZD4547	LSM-6308	NA	10uM	24h	LINCSCP_169212	YAPC
0.7188	7.9908e-32	192	METERGOLINE	LSM-3265	HTR1A|HTR2A	3.33uM	24h	LINCSCP_174042	YAPC
0.7185	8.8178e-32	192	Pimozide	LSM-2001	DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A	10uM	24h	LINCSCP_620	A375
0.7183	9.2164e-32	192	Fluspirilene	LSM-3748	DRD2|HTR2A	3.33uM	24h	LINCSCP_174816	YAPC
0.7173	1.2312e-31	192	Zuclomiphene	LSM-42849	ESR1	3.33uM	24h	LINCSCP_169285	YAPC
0.7154	2.1183e-31	192	Zuclomiphene	LSM-42849	ESR1	10uM	24h	LINCSCP_169284	YAPC
0.715	2.3389e-31	192	Falnidamol	LSM-3584	EGFR	10uM	24h	LINCSCP_173993	YAPC
0.7149	2.3843e-31	192	bupivacaine	LSM-45529	NA	10uM	24h	LINCSCP_167558	YAPC
0.7145	2.673e-31	192	Varlitinib	LSM-45403	EGFR|ERBB2	10uM	24h	LINCSCP_172121	YAPC
0.7115	6.1964e-31	192	BRD-A82197375	LSM-45476	NA	10uM	24h	LINCSCP_169416	YAPC
0.7109	7.2198e-31	192	Siramesine (hydrochloride)	LSM-45705	NA	10uM	24h	LINCSCP_73289	A375
0.7103	8.5251e-31	192	Mibefradil	LSM-2192	CACNA1C|CACNA1G|CACNA1H|CACNA1I	10uM	24h	LINCSCP_167924	YAPC
