similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	242	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_7558	A549
0.7086	3.2821e-38	242	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.37uM	24h	LINCSCP_136995	MCF7
0.7041	1.4893e-37	242	SPECTRUM_001020	LSM-1961	NA	10uM	24h	LINCSCP_270	A375
0.696	2.1737e-36	242	AC1LWZG4	LSM-2387	NA	10uM	6h	LINCSCP_53205	SKM1
0.6871	3.8318e-35	242	Y-39983	LSM-1150	ROCK1|ROCK2	1.11uM	24h	LINCSCP_113291	HME1
0.6824	1.6489e-34	242	BRD-K43874853	LSM-11108	NA	5uM	24h	LINCSCP_8363	A549
0.6804	3.0545e-34	242	BRD-K27927067	LSM-10117	NA	5uM	24h	LINCSCP_61970	VCAP
0.675	1.5394e-33	242	Meadacid	LSM-43045	NA	10uM	24h	LINCSCP_7104	A549
0.6722	3.5667e-33	242	BRD-K84528570	LSM-14957	NA	10uM	24h	LINCSCP_259098	NEU
0.671	5.0841e-33	242	(S)-Tipifarnib	LSM-6259	NA	10uM	6h	LINCSCP_53817	SNUC4
0.6617	7.4895e-32	242	Osimertinib	LSM-6344	EGFR|ERBB2|ERBB3|ERBB4	3.33uM	24h	LINCSCP_146288	MNEU.E
0.6541	6.1676e-31	242	BRD-K76150323	LSM-41426	NA	5uM	24h	LINCSCP_8193	A549
0.6519	1.1339e-30	242	Amuvatinib	LSM-1118	FLT3|KIT|MET|PDGFRA	0.12uM	24h	LINCSCP_172691	YAPC
0.6378	4.9193e-29	242	Amidate	LSM-1640	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	10uM	6h	LINCSCP_20702	HCC515
0.6355	8.8839e-29	242	BRD-K63399564	LSM-40738	NA	10uM	6h	LINCSCP_193883	A549
0.6338	1.3781e-28	242	BRD-K24925721	LSM-38633	NA	5uM	24h	LINCSCP_48389	PC3
0.6203	4.0169e-27	242	BRD-K25029498	LSM-38636	NA	10uM	6h	LINCSCP_48871	PC3
0.6165	9.9778e-27	242	Enzalutamide	LSM-6254	AR	0.1uM	6h	LINCSCP_40361	NCIH596
0.6117	3.1453e-26	242	Metergoline	LSM-3265	HTR1A|HTR2A	10uM	24h	LINCSCP_42761	NPC
0.6106	4.0776e-26	242	Nimodipine	LSM-1659	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	0.12uM	24h	LINCSCP_123103	HT29
0.6062	1.1286e-25	242	COT-10B	LSM-6226	NA	0.5uM	6h	LINCSCP_9568	A549
0.5904	4.0234e-24	242	BRD-K69040870-001-01-4	LSM-41026	NA	5uM	24h	LINCSCP_247364	MCF7
0.5901	4.2475e-24	242	BRD-K91250867	LSM-42243	NA	10uM	6h	LINCSCP_279196	PC3
0.5895	4.8649e-24	242	BRD-K95561591	LSM-4147	NA	10uM	6h	LINCSCP_57920	VCAP
0.5882	6.3872e-24	242	Carbamazepine	LSM-3610	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	0.12uM	24h	LINCSCP_79157	A375
0.5864	9.6151e-24	242	AKT Inhibitor V, Triciribine	LSM-1546	AKT1|AKT2|AKT3	10uM	6h	LINCSCP_7124	A549
0.5836	1.7555e-23	242	Toremifene	LSM-42973	ESR1|ESR2	10uM	6h	LINCSCP_179556	A375
0.5807	3.2275e-23	242	CAPECITABINE	LSM-45531	NA	10uM	24h	LINCSCP_80162	A375
0.5757	9.2022e-23	242	LY-294002	LSM-2597	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC	10uM	6h	LINCSCP_68548	VCAP
0.5697	3.1528e-22	242	SMR000081059	LSM-4761	NA	10uM	6h	LINCSCP_191391	A549
0.5692	3.5224e-22	242	CHEMBL2137269	LSM-41953	NA	10uM	6h	LINCSCP_7992	A549
0.5676	4.8494e-22	242	Apremilast (CC-10004)	LSM-45894	PDE4A|PDE4B|PDE4C|PDE4D	0.04uM	24h	LINCSCP_80357	A375
0.5663	6.388e-22	242	BRD-K14159335	LSM-9282	NA	5uM	24h	LINCSCP_27473	HT29
0.5661	6.6213e-22	242	RS-23597-190	LSM-6204	HTR4	100uM	6h	LINCSCP_40295	NCIH596
0.566	6.6863e-22	242	BRD-K69760878	LSM-41068	NA	5uM	24h	LINCSCP_8184	A549
0.5644	9.3145e-22	242	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	24h	LINCSCP_238749	MCF7
0.5634	1.1435e-21	242	CHEMBL1950303	LSM-1058	NA	1.11uM	24h	LINCSCP_152343	PC3
0.5588	2.8184e-21	242	Apremilast (CC-10004)	LSM-45894	PDE4A|PDE4B|PDE4C|PDE4D	3.33uM	24h	LINCSCP_80353	A375
0.5559	4.9999e-21	242	SA-1939126	LSM-39500	NA	10uM	24h	LINCSCP_260302	NKDBA
0.5551	5.8376e-21	242	WYE 354	LSM-5840	MTOR	10uM	6h	LINCSCP_2429	A375
0.5523	1.0069e-20	242	CHEMBL1374544	LSM-2988	NA	10uM	6h	LINCSCP_268426	PC3
0.5517	1.1205e-20	242	BRD-K16034108	LSM-9392	NA	5uM	24h	LINCSCP_3385	A375
0.54990000000000006	1.5819e-20	242	Tyrphostin AG-1478	LSM-1224	EGFR	60uM	6h	LINCSCP_53715	SNU1040
0.547	2.7382e-20	242	BRD-K71636675	LSM-41168	NA	5uM	24h	LINCSCP_248776	MCF7
0.5451	3.9029e-20	242	LY2811376	LSM-45909	NA	0.37uM	24h	LINCSCP_143972	MCF7
-0.5443	4.6144e-20	242	5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol	LSM-4354	NA	10uM	6h	LINCSCP_41811	NOMO1
0.5352	2.4472e-19	242	AC1O9CB0	LSM-36639	NA	10uM	24h	LINCSCP_309719	VCAP
0.5348	2.627e-19	242	Troglitazone	LSM-4890	PPARG	10uM	6h	LINCSCP_66198	WSUDLCL2
0.5344	2.8646e-19	242	F0014-0057	LSM-36710	NA	3uM	24h	LINCSCP_28850	HUH7
0.5342	2.9191e-19	242	Ergothioneine	LSM-45829	NA	10uM	24h	LINCSCP_154122	PC3
0.5323	4.1522e-19	242	BRD-K82071478	LSM-13442	NA	5uM	24h	LINCSCP_27605	HT29
0.5308	5.4237e-19	242	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_36836	MCF7
0.5295	6.8677e-19	242	BRD-K35002913	LSM-10533	NA	5uM	24h	LINCSCP_34978	MCF7
0.5241	1.7855e-18	242	BRD-K24925721	LSM-38633	NA	5uM	24h	LINCSCP_199535	A549
0.5239	1.85e-18	242	salsoline	LSM-45527	NA	3.33uM	24h	LINCSCP_79858	A375
0.5215	2.8167e-18	242	MLS003271340	LSM-3593	NA	10uM	24h	LINCSCP_188992	A549
0.52	3.6248e-18	242	RO-281675	LSM-6231	GCK	100uM	6h	LINCSCP_53785	SNUC4
0.5171	5.9947e-18	242	Phenoxazine	LSM-4657	NA	10uM	6h	LINCSCP_53699	SNU1040
0.5162	6.9729e-18	242	BRD-K48031880	LSM-39936	NA	10uM	6h	LINCSCP_279081	PC3
0.515	8.5939e-18	242	Glycodeoxycholate	LSM-5760	NA	10uM	6h	LINCSCP_16689	HA1E
0.5148	8.8314e-18	242	CHEMBL2354897	LSM-10788	NA	5uM	24h	LINCSCP_3224	A375
0.5124	1.3349e-17	242	Dexamethasone Acetate	LSM-1915	NR3C1	0.12uM	24h	LINCSCP_162528	PC3
0.5081	2.7475e-17	242	Ciproxifan	LSM-36959	HRH3	10uM	24h	LINCSCP_13015	FIBRNPC
0.5073	3.1502e-17	242	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.1uM	24h	LINCSCP_24256	HS578T
0.5051	4.5135e-17	242	CHEMBL2355150	LSM-39523	NA	10uM	24h	LINCSCP_7839	A549
0.5048	4.7055e-17	242	Gibberellin A3	LSM-4083	NA	5.77uM	24h	LINCSCP_99032	HA1E
0.5047	4.8184e-17	242	Phenylbutanoic acid	LSM-5751	NA	10uM	24h	LINCSCP_174233	YAPC
0.5046	4.8889e-17	242	BRD-K05912972	LSM-37595	NA	10uM	6h	LINCSCP_64739	VCAP
0.5025	6.8651e-17	242	936890-98-1	LSM-42786	MTOR	0.37uM	3h	LINCSCP_145726	MDAMB231
0.5009	8.9122e-17	242	SCHEMBL7531261	LSM-36929	NA	10uM	24h	LINCSCP_13012	FIBRNPC
0.4979	1.4576e-16	242	Guanadrel	LSM-43257	SLC6A2	1.11uM	24h	LINCSCP_104575	HELA
0.4976	1.5336e-16	242	MLS003126519	LSM-3676	NA	10uM	6h	LINCSCP_5306	A549
0.4958	2.0369e-16	242	U 46619	LSM-42901	NA	10uM	6h	LINCSCP_193396	A549
0.4949	2.3287e-16	242	F1304-0056	LSM-36608	NA	3uM	6h	LINCSCP_50399	PHH
0.4947	2.4044e-16	242	BRD-K49367140	LSM-40011	NA	5uM	24h	LINCSCP_277317	PC3
0.494	2.7136e-16	242	Z-Pro-Prolinal	LSM-3340	PREP	10uM	6h	LINCSCP_192962	A549
0.4931	3.1334e-16	242	CGP 60474	LSM-1025	CDK1	0.12uM	3h	LINCSCP_163239	SKBR3
