similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	277	Lopinavir	LSM-6027	NA	10uM	24h	LINCSCP_6513	A549
-0.7163	7.123e-45	277	SCHEMBL3092652	LSM-6193	DPP4	10uM	6h	LINCSCP_13431	H1299
-0.6631	1.8479e-36	277	STK178014	LSM-43108	NA	50uM	6h	LINCSCP_13589	H1299
-0.6561	1.7857e-35	277	Tyrphostin AG-1478	LSM-1224	EGFR	60uM	6h	LINCSCP_13559	H1299
0.5987	2.5049e-28	277	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_53669	SNU1040
-0.5886	3.2412e-27	277	Perhexiline	LSM-4353	CPT1A|CPT2	10uM	6h	LINCSCP_13415	H1299
-0.5863	5.7991e-27	277	BRD-K31108633	LSM-10306	NA	5uM	24h	LINCSCP_8396	A549
-0.5735	1.2689e-25	277	BRD-K51595563	LSM-40119	NA	5uM	24h	LINCSCP_34787	MCF7
0.5505	2.3667e-23	277	AZD-8055	LSM-1007	MTOR	10uM	24h	LINCSCP_111541	HEPG2
-0.5502	2.526e-23	277	BRD-K43298786	LSM-39651	NA	5uM	24h	LINCSCP_228192	HT29
-0.5448	8.2592e-23	277	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	6h	LINCSCP_13424	H1299
-0.5387	3.0383e-22	277	3-Chloro-l-alanine	LSM-6205	RPS2	0.5uM	6h	LINCSCP_13448	H1299
0.5308	1.553e-21	277	BRD-K82154894	LSM-13449	NA	5uM	24h	LINCSCP_8683	A549
-0.5227	8.0684e-21	277	Penfluridol	LSM-2334	NA	0.04uM	24h	LINCSCP_156293	PC3
-0.5164	2.7492e-20	277	BRD-K48673964	LSM-39975	NA	5uM	24h	LINCSCP_27372	HT29
-0.5152	3.5342e-20	277	BRD-K09404347-001-01-0	LSM-37768	NA	5uM	24h	LINCSCP_228091	HT29
0.5093	1.0902e-19	277	AC1L1U7X	LSM-5768	CYSLTR1	10uM	6h	LINCSCP_244979	MCF7
-0.4942	1.8244e-18	277	MLS002703099	LSM-2090	NA	10uM	24h	LINCSCP_189367	A549
-0.4938	1.9784e-18	277	BRD-K90143908	LSM-42186	NA	5uM	24h	LINCSCP_34795	MCF7
0.4731	7.4368e-17	277	Vitamin P	LSM-1477	AKR1C3	10uM	6h	LINCSCP_18075	HCC515
