similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	3.24e-321	81	Lopinavir	LSM-6027	NA	10uM	24h	LINCSCP_6513	A549
-0.8464	2.525e-23	81	Radicicol	LSM-43303	NA	1.11uM	24h	LINCSCP_116369	HT29
0.8296	1.0858e-21	81	BRD-K00431438	LSM-15013	NA	10uM	6h	LINCSCP_64732	VCAP
0.8096	5.8188e-20	81	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	0.12uM	24h	LINCSCP_87585	HA1E
-0.7552	3.8005e-16	81	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	6h	LINCSCP_13424	H1299
0.7491	8.8155e-16	81	Loperamide	LSM-3365	OPRD1|OPRM1	10uM	6h	LINCSCP_40097	NCIH2073
0.7454	1.4413e-15	81	3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide	LSM-2158	ERBB2	10uM	24h	LINCSCP_284658	SKB
0.7378	3.927e-15	81	QL-XII-47	LSM-42741	BMX|BTK	10uM	6h	LINCSCP_6732	A549
-0.7238	2.2632e-14	81	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	0.37uM	24h	LINCSCP_116154	HT29
0.722	2.8129e-14	81	BRD-K64099269	LSM-40768	NA	10uM	6h	LINCSCP_49155	PC3
0.72	3.5929e-14	81	AC1NWAUW	LSM-1341	PRKACA	1.11uM	24h	LINCSCP_162052	PC3
0.7123	8.9072e-14	81	Broad-Sai-045	LSM-45330	NA	5uM	24h	LINCSCP_17110	HA1E
0.7089	1.3082e-13	81	AC1N3FUV	LSM-3480	NA	10uM	6h	LINCSCP_22229	HEPG2
0.7088	1.326e-13	81	Oxandrolone	LSM-45444	AR	3.33uM	24h	LINCSCP_99021	HA1E
-0.7079	1.4706e-13	81	IPRATROPIUM BROMIDE	LSM-45290	NA	0.04uM	24h	LINCSCP_127887	HT29
0.7043	2.1965e-13	81	32703-82-5	LSM-4897	KIF11	40uM	6h	LINCSCP_53620	SNGM
0.6991	3.8991e-13	81	Radicicol	LSM-43303	NA	3.33uM	24h	LINCSCP_111764	HEPG2
0.6976	4.5957e-13	81	BCL-2 Inhibitor	LSM-2861	BCL2	10uM	24h	LINCSCP_18246	HCC515
0.6947	6.3002e-13	81	CHEMBL259628	LSM-6222	PTPN1	10uM	6h	LINCSCP_285868	SKM1
0.6912	9.1515e-13	81	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	3h	LINCSCP_132510	MCF7
0.6912	9.1939e-13	81	Saracatinib	LSM-1032	ABL1|SRC	0.04uM	24h	LINCSCP_99779	HCC515
0.688	1.2823e-12	81	SCHEMBL17052537	LSM-5803	BTK|JAK3|MKNK2|MTOR|PRKDC	0.12uM	3h	LINCSCP_113437	HME1
0.6857	1.6281e-12	81	Ganciclovir	LSM-5382	NA	10uM	6h	LINCSCP_20723	HCC515
0.6845	1.8467e-12	81	(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one	LSM-43089	NA	20uM	6h	LINCSCP_39981	NCIH1836
-0.681	2.6575e-12	81	ML239	LSM-3882	NA	10uM	6h	LINCSCP_53880	SNUC5
0.6804	2.8199e-12	81	3-Chloro-l-alanine	LSM-6205	RPS2	0.5uM	6h	LINCSCP_40036	NCIH2073
0.6752	4.7355e-12	81	BRD-K09929560	LSM-9039	NA	5uM	6h	LINCSCP_301358	VCAP
0.6725	6.1705e-12	81	Bepridil	LSM-1898	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8	10uM	6h	LINCSCP_7140	A549
0.6721	6.452e-12	81	SA-1938820	LSM-38649	NA	3uM	24h	LINCSCP_260260	NKDBA
0.666	1.1615e-11	81	848193-68-0	LSM-6271	SIRT1	20uM	6h	LINCSCP_10425	A673
-0.6644	1.3613e-11	81	Fedratinib	LSM-1142	FLT3|JAK2	1.11uM	24h	LINCSCP_116387	HT29
-0.6619	1.7157e-11	81	MLS000038106	LSM-4068	NA	10uM	6h	LINCSCP_12582	CL34
