signatureid	compound	similarity
LINCSCP_188999	Azithromycin	1
LINCSCP_152204	SCHEMBL16980224	0.6852
LINCSCP_19723	MLS002473458	0.6584
LINCSCP_161045	Irsogladine	0.6439
LINCSCP_146168	Sunitinib	0.6406
LINCSCP_161594	Naphazoline	0.6317
LINCSCP_158016	Diclofensine (hydrochloride)	0.6275
LINCSCP_94976	BRD-A69951442-001-01-3	0.6233
LINCSCP_106686	Orphenadrine	0.6232
LINCSCP_153027	Dimesna	0.6198
LINCSCP_54254	Phenoxazine	0.6187
LINCSCP_77869	AZD3514	0.6174
LINCSCP_40415	SJ 172550	0.6127
LINCSCP_220803	Beta CCP	0.6063
LINCSCP_240332	SMR000151874	0.605
LINCSCP_108408	MEK162 (ARRY-162, ARRY-438162)	0.6033
LINCSCP_157575	Enzalutamide	0.6022
LINCSCP_97222	Avasimibe	0.6009
LINCSCP_94683	TAK-242	0.5998
LINCSCP_150179	PD-0325901	0.5989
LINCSCP_279189	BRD-K89185880	0.5958
LINCSCP_164432	SB525334	0.5954
LINCSCP_149822	GSK-3 Inhibitor II	0.5946
LINCSCP_97687	Rizatriptan	0.594
LINCSCP_158173	Econazole	0.5939
LINCSCP_79717	HC-030031	0.5936
LINCSCP_96664	Palovarotene	0.5909
LINCSCP_43010	BRD-K46295497	0.5909
LINCSCP_51094	SMP2_000081	0.588
LINCSCP_50908	BRD-A81936046	0.587
LINCSCP_158577	Tipifarnib	0.5866
LINCSCP_133136	CHEMBL585951	0.5852
LINCSCP_312494	BRD-K61779668	0.5844
LINCSCP_158144	Erythromycin Ethylsuccinate	0.5836
LINCSCP_97029	Quinapril	0.583
LINCSCP_10147	Nilotinib	0.5815
LINCSCP_106135	SPECTRUM_000224	0.5811
LINCSCP_19860	MLS002607716	0.5803
LINCSCP_7219	Ecopipam	0.5802
LINCSCP_255140	Dienestrol	0.5789
LINCSCP_54310	BML-259	0.5785
LINCSCP_54295	PI-103	0.5778
LINCSCP_40384	ICG-001	0.5765
LINCSCP_283755	BRD-K35669573	0.5752
LINCSCP_99561	SU 11274	0.5751
LINCSCP_106432	N-(4-METHOXYPHENYL)-1-PHENYL-1H-PYRAZOL-3-AMINE	0.5744
LINCSCP_19833	CHEMBL1270411	0.5737
LINCSCP_142985	NVP DPP 728 dihydrochloride	0.5734
LINCSCP_116333	Pelitinib	0.5726
LINCSCP_66000	SCHEMBL17783896	0.5716
LINCSCP_142749	Levamisole	0.5712
LINCSCP_96831	PF-04457845	0.5699
LINCSCP_38695	BRD-K57064803	0.5699
LINCSCP_76656	Curcumin	0.5695
LINCSCP_79681	CL-976	0.5674
LINCSCP_95316	CI-966	0.5646
LINCSCP_106737	Etoricoxib	0.5632
LINCSCP_141886	MLN-8054	0.5632
