ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
29103	DNAJC15	5.4931	6.0773e-11
5331	PLCB3	5.3514	2.1334e-6
8270	LAGE3	2.7978	0
4208	MEF2C	4.8413	0
323	APBB2	3.6592	0
54850	FBXL12	2.335	2e-4
3315	HSPB1	2.3232	2e-4
5257	PHKB	2.4168	3e-4
10962	MLLT11	2.2566	3e-4
965	CD58	2.231	3e-4
9710	KIAA0355	2.1575	8e-4
958	CD40	2.0183	0.001
7538	ZFP36	1.9894	0.0012
79174	CRELD2	2.0768	0.0012
50865	HEBP1	1.9865	0.0014
10641	NPRL2	1.8896	0.0019
1950	EGF	1.8922	0.0022
4780	NFE2L2	1.9206	0.0025
84722	PSRC1	1.8914	0.0028
29763	PACSIN3	1.8006	0.0029
8349	HIST2H2BE	1.7938	0.0035
51056	LAP3	1.9314	0.0035
27032	ATP2C1	1.7411	0.0039
1891	ECH1	1.731	0.0041
1001	CDH3	1.7662	0.0043
54733	SLC35F2	1.7652	0.0044
55111	PLEKHJ1	1.8194	0.0044
10670	RRAGA	1.708	0.0054
5048	PAFAH1B1	1.6702	0.0054
29890	RBM15B	1.6534	0.0059
5050	PAFAH1B3	1.6056	0.0074
8804	CREG1	1.7417	0.0087
5498	PPOX	1.5648	0.009
207	AKT1	1.8865	0.0108
23463	ICMT	1.5149	0.0122
27242	TNFRSF21	1.4419	0.0154
11000	SLC27A3	1.416	0.0167
10153	CEBPZ	1.4525	0.0182
25825	BACE2	1.5041	0.0191
2113	ETS1	1.375	0.0215
3800	KIF5C	1.3474	0.0225
9170	LPAR2	1.3872	0.0232
79143	MBOAT7	1.3359	0.0241
701	BUB1B	1.3573	0.0243
11261	CHP1	1.5565	0.0275
5788	PTPRC	1.3058	0.0279
2958	GTF2A2	1.2668	0.031
8884	SLC5A6	1.2664	0.0312
3682	ITGAE	1.2672	0.032
3925	STMN1	1.2542	0.0327
6676	SPAG4	1.2327	0.0366
7077	TIMP2	1.2349	0.0373
8869	ST3GAL5	1.2557	0.0379
55608	ANKRD10	1.2627	0.0387
8914	TIMELESS	1.2281	0.0392
79080	CCDC86	1.1974	0.0409
2263	FGFR2	1.1961	0.0426
1994	ELAVL1	1.2156	0.043
27095	TRAPPC3	1.1816	0.0436
94239	H2AFV	1.1824	0.0443
9519	TBPL1	1.1769	0.0448
230	ALDOC	1.2658	0.0449
10775	POP4	1.1711	0.0452
5743	PTGS2	1.2197	0.047
6622	SNCA	1.2141	0.0473
3028	HSD17B10	1.1839	0.048
5236	PGM1	1.1529	0.0487
51005	AMDHD2	1.1644	0.0491
6919	TCEA2	1.1402	0.0512
1500	CTNND1	1.1511	0.0514
4836	NMT1	1.1448	0.0515
51466	EVL	1.1395	0.0523
9491	PSMF1	1.1278	0.0535
23536	ADAT1	1.1689	0.055
8321	FZD1	1.1215	0.0551
4851	NOTCH1	1.1266	0.0552
994	CDC25B	1.1173	0.0556
1981	EIF4G1	1.1152	0.0562
1635	DCTD	1.1223	0.0567
9212	AURKB	1.1102	0.057
2523	FUT1	1.1287	0.0576
9112	MTA1	1.1393	0.0581
4313	MMP2	1.2052	0.0606
25803	SPDEF	1.1118	0.0621
8837	CFLAR	1.1228	0.0621
22883	CLSTN1	1.0847	0.0645
3308	HSPA4	1.0849	0.0676
10057	ABCC5	1.0697	0.0677
51375	SNX7	1.0767	0.0692
9531	BAG3	1.0666	0.0695
23368	PPP1R13B	1.0709	0.0704
843	CASP10	1.0482	0.0726
91949	COG7	1.0381	0.0742
64781	CERK	1.0368	0.0748
7466	WFS1	1.0398	0.075
10123	ARL4C	1.0332	0.0755
8480	RAE1	1.0311	0.0761
2887	GRB10	1.3389	0.0762
5423	POLB	1.0316	0.0765
9653	HS2ST1	1.0483	0.078
80746	TSEN2	1.024	0.0799
7852	CXCR4	1.0172	0.0815
7511	XPNPEP1	1.0072	0.083
54881	TEX10	1.0083	0.0833
348	APOE	1.0311	0.0843
5880	RAC2	1.0057	0.0846
993	CDC25A	0.9971	0.0863
2063	NR2F6	1.0017	0.087
226	ALDOA	0.987	0.089
4893	NRAS	1.0342	0.0894
6251	RSU1	0.9779	0.092
481	ATP1B1	1.0187	0.0923
9851	KIAA0753	1.0672	0.0941
10451	VAV3	0.97	0.0944
1829	DSG2	0.9852	0.0948
10810	WASF3	0.9722	0.0956
4998	ORC1	0.9641	0.0966
1677	DFFB	0.958	0.0983
652	BMP4	0.9507	0.1008
2624	GATA2	0.9973	0.1029
57147	SCYL3	0.9974	0.1034
5373	PMM2	0.9524	0.1044
9097	USP14	0.9271	0.1094
6342	SCP2	0.9248	0.1103
727	C5	0.926	0.1105
3162	HMOX1	0.9232	0.1113
6657	SOX2	0.9316	0.1127
11044	PAPD7	0.9762	0.1134
4850	CNOT4	0.9211	0.1138
10146	G3BP1	0.9992	0.114
1786	DNMT1	0.9138	0.1143
2288	FKBP4	0.9404	0.117
5654	HTRA1	0.8818	0.1272
5019	OXCT1	0.9486	0.132
835	CASP2	0.8761	0.1344
5873	RAB27A	0.8668	0.1357
23139	MAST2	0.8634	0.1361
9246	UBE2L6	0.872	0.1369
10610	ST6GALNAC2	0.9272	0.1381
23200	ATP11B	0.8554	0.1399
10489	LRRC41	0.8722	0.1405
55620	STAP2	0.8672	0.1522
