similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	187	Azithromycin	LSM-5821	NA	10uM	6h	LINCSCP_5547	A549
0.6432	3.2007e-23	187	PF431396	LSM-1116	NA	0.04uM	24h	LINCSCP_81105	A549
0.6014	8.8834e-20	187	MLS002460474	LSM-3256	NA	10uM	6h	LINCSCP_283176	RMGI
0.5863	1.1814e-18	187	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	0.12uM	24h	LINCSCP_81524	A549
0.5675	2.4955e-17	187	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	3.33uM	3h	LINCSCP_132499	MCF7
0.564	4.284e-17	187	PIK-93	LSM-1191	NA	3.33uM	24h	LINCSCP_69190	A375
0.5546	1.7932e-16	187	CP466722	LSM-1009	ATM	0.12uM	24h	LINCSCP_81194	A549
0.5528	2.3475e-16	187	CP-724714	LSM-42777	ERBB2	0.04uM	24h	LINCSCP_81016	A549
0.5503	3.4157e-16	187	HG-5-88-01	LSM-42725	COQ8B|EGFR	10uM	6h	LINCSCP_22453	HEPG2
0.5486	4.3452e-16	187	CHEMBL2136735	LSM-1152	FGFR1|FGFR3|FLT1|FLT4|KDR|PDGFRA|PDGFRB	1.11uM	24h	LINCSCP_81516	A549
0.538	2.0096e-15	187	Ceforanide	LSM-2838	NA	10uM	6h	LINCSCP_22762	HEPG2
0.5374	2.1909e-15	187	SSR 69071	LSM-3634	ELANE	10uM	24h	LINCSCP_193250	A549
0.5283	7.8471e-15	187	L-Sulforaphane	LSM-4919	NFE2L2	10uM	6h	LINCSCP_29273	LOVO
0.5282	7.8711e-15	187	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.12uM	3h	LINCSCP_116102	HS578T
0.5213	2.0124e-14	187	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1.11uM	24h	LINCSCP_114879	HS578T
0.5133	5.8049e-14	187	SU 11274	LSM-42792	MET	10uM	6h	LINCSCP_6568	A549
0.507	1.3166e-13	187	Linopirdine	LSM-3317	KCNQ2|KCNQ3	10uM	6h	LINCSCP_22215	HEPG2
0.5068	1.3464e-13	187	MLS002703108	LSM-3589	NA	10uM	6h	LINCSCP_219948	HEPG2
0.5059	1.516e-13	187	Benzylimidazole	LSM-37046	NA	10uM	6h	LINCSCP_22183	HEPG2
-0.5048	1.7419e-13	187	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	0.37uM	24h	LINCSCP_116858	HT29
0.5033	2.1147e-13	187	Sirolimus	LSM-42783	FKBP1A|MTOR	1.11uM	24h	LINCSCP_81617	A549
0.4991	3.5916e-13	187	BRD-K80230516	LSM-41649	NA	10uM	24h	LINCSCP_49024	PC3
0.4931	7.5622e-13	187	N9-Isopropylolomoucine	LSM-3607	CDK1|CDK5	100uM	6h	LINCSCP_50995	RMGI
0.4842	2.2077e-12	187	Radicicol	LSM-43303	NA	1.11uM	3h	LINCSCP_86378	BT20
0.4839	2.2745e-12	187	BRD-A69429454	LSM-1742	NA	10uM	6h	LINCSCP_22140	HEPG2
0.4838	2.3097e-12	187	AS-605240	LSM-42784	PIK3CG	0.37uM	24h	LINCSCP_81678	A549
0.4796	3.7718e-12	187	Pictilisib	LSM-1047	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.37uM	24h	LINCSCP_69395	A375
