similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	355	Azithromycin	LSM-5821	NA	10uM	6h	LINCSCP_5547	A549
-0.5448	7.984e-29	355	SA-424763	LSM-40551	NA	5uM	24h	LINCSCP_8288	A549
0.5407	2.4273e-28	355	Lovastatin	LSM-2189	HMGCR	10uM	6h	LINCSCP_5474	A549
0.5074	1.2571e-24	355	NU1025	LSM-4643	PARP1	10uM	6h	LINCSCP_10383	A673
0.4894	8.8792e-23	355	KO143	LSM-6260	ABCG2	40uM	6h	LINCSCP_40102	NCIH2073
0.481	5.887e-22	355	BRD-K68682056	LSM-12617	NA	5uM	24h	LINCSCP_8402	A549
0.481	5.92e-22	355	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	80uM	6h	LINCSCP_39826	MDST8
0.4783	1.0751e-21	355	DR 2313	LSM-4130	NA	0.1uM	6h	LINCSCP_9876	A549
0.4701	6.3692e-21	355	CAM-9-021	LSM-2100	NA	10uM	6h	LINCSCP_193717	A549
0.4683	9.4304e-21	355	Clopidogrel	LSM-5415	P2RY12	10uM	6h	LINCSCP_5496	A549
0.4676	1.0909e-20	355	CHEMBL1242477	LSM-6208	PIK3CA|PIK3CB|PIK3CD|PIK3CG	20uM	6h	LINCSCP_29110	JHUEM2
0.4628	3.0292e-20	355	EX-8678	LSM-1147	NA	1.11uM	3h	LINCSCP_145923	MDAMB231
0.4594	6.1112e-20	355	CHEMBL2361679	LSM-14000	NA	5uM	24h	LINCSCP_8405	A549
0.4583	7.7191e-20	355	CHEMBL2132570	LSM-37762	NA	10uM	24h	LINCSCP_28204	HT29
0.4559	1.2735e-19	355	BRD-K51556300-001-01-9	LSM-40116	NA	10uM	6h	LINCSCP_7978	A549
0.4535	2.0572e-19	355	CHEMBL1083527	LSM-1122	NA	10uM	3h	LINCSCP_132288	MCF7
-0.4516	3.0438e-19	355	BRD-K78099132	LSM-14935	NA	5uM	24h	LINCSCP_181126	A375
0.4514	3.1879e-19	355	MLS003568130	LSM-2458	NA	10uM	24h	LINCSCP_31136	MCF7
0.4513	3.2713e-19	355	ST50903421	LSM-4642	NA	10uM	6h	LINCSCP_46599	PC3
0.4447	1.2089e-18	355	Azacitidine	LSM-5218	DNMT1|DNMT3A	0.04uM	24h	LINCSCP_94941	HA1E
0.4443	1.3209e-18	355	BMS-345541	LSM-1028	IKBKB	0.04uM	3h	LINCSCP_131549	MCF10A
0.4421	2.0228e-18	355	AGK 2	LSM-43196	SIRT2	0.37uM	24h	LINCSCP_82183	A549
0.442	2.0629e-18	355	Piperine	LSM-42991	MAOA|MAOB	10uM	6h	LINCSCP_7182	A549
0.4406	2.7144e-18	355	MLS002264523	LSM-2245	NA	10uM	24h	LINCSCP_31129	MCF7
0.4397	3.2147e-18	355	CHEMBL3185651	LSM-3257	NA	10uM	6h	LINCSCP_19757	HCC515
0.4393	3.5096e-18	355	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_53862	SNUC5
0.4385	4.0803e-18	355	CP-724714	LSM-42777	ERBB2	10uM	24h	LINCSCP_68961	A375
0.4383	4.2671e-18	355	MLS003079541	LSM-4214	NA	10uM	6h	LINCSCP_1664	A375
