similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	389	BRD-K66198023-237-01-9	LSM-5743	AGTR1	10uM	6h	LINCSCP_5887	A549
0.5641	4.6287e-34	389	IC 261	LSM-42870	NA	0.5uM	24h	LINCSCP_37638	MCF7
0.5481	6.9746e-32	389	BRD-K41430135	LSM-10945	NA	5uM	24h	LINCSCP_8625	A549
0.5344	4.1043e-30	389	BRD-K99515159	LSM-14539	NA	5uM	6h	LINCSCP_61182	VCAP
0.5303	1.3565e-29	389	Mianserin	LSM-1374	ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7	10uM	6h	LINCSCP_7116	A549
0.5192	3.101e-28	389	BRD-K70901996	LSM-41133	NA	5uM	24h	LINCSCP_8186	A549
-0.5074	7.7238e-27	389	BMY-14802	LSM-1339	HTR1A	10uM	24h	LINCSCP_104717	HELA
0.5058	1.1648e-26	389	Anastrozole	LSM-5631	CYP19A1	0.04uM	24h	LINCSCP_103463	HELA
0.5012	3.8946e-26	389	Loxoprofen	LSM-5054	NA	10uM	6h	LINCSCP_1872	A375
0.4981	8.6931e-26	389	SPECTRUM_001015	LSM-1237	PGR	10uM	6h	LINCSCP_193288	A549
0.4969	1.2039e-25	389	BRD-K72766058	LSM-7804	NA	10uM	6h	LINCSCP_279149	PC3
0.4965	1.3125e-25	389	THIOCTIC ACID	LSM-45889	NA	0.04uM	24h	LINCSCP_71480	A375
0.49	6.8758e-25	389	Tenoxicam	LSM-1396	PTGS1|PTGS2	10uM	6h	LINCSCP_192378	A549
0.4883	1.0601e-24	389	Chenodeoxycholic Acid	LSM-45742	NA	10uM	24h	LINCSCP_103320	HELA
0.486	1.8591e-24	389	Tozasertib	LSM-1021	ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2	10uM	6h	LINCSCP_50674	PL21
0.4762	2.0712e-23	389	BRD-K74842589	LSM-41346	NA	10uM	6h	LINCSCP_65062	VCAP
0.4723	5.2078e-23	389	SB239063	LSM-1036	MAPK11|MAPK14	1.11uM	24h	LINCSCP_114651	HME1
0.4692	1.0915e-22	389	L-Sulforaphane	LSM-4919	NFE2L2	10uM	6h	LINCSCP_50719	RKO
0.4661	2.2313e-22	389	BML-259	LSM-6266	CDK2|CDK5	80uM	6h	LINCSCP_53601	SNGM
0.4648	3.0169e-22	389	BRD-A43331270-001-01-6	LSM-4436	ADRA1A|CACNA1C	10uM	6h	LINCSCP_288979	U937
0.4625	5.1309e-22	389	BRD-K87010644	LSM-13767	NA	5uM	24h	LINCSCP_34967	MCF7
-0.4613	6.8103e-22	389	CHEMBL1413238	LSM-4125	NA	10uM	6h	LINCSCP_22266	HEPG2
0.4586	1.2672e-21	389	Sotrastaurin	LSM-42761	PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3	10uM	24h	LINCSCP_89812	HA1E
0.4546	3.0786e-21	389	SU-4312	LSM-2454	KDR	10uM	24h	LINCSCP_11306	ASC
0.4545	3.1404e-21	389	TAK-242	LSM-45934	NA	0.04uM	24h	LINCSCP_106518	HELA
0.4525	4.9399e-21	389	GSK-1904529A	LSM-1134	IGF1R|INSR	3.33uM	3h	LINCSCP_113482	HME1
0.4519	5.6743e-21	389	Esomeprazole	LSM-44961	ATP4A	10uM	6h	LINCSCP_31787	MCF7
0.4516	6.0892e-21	389	Ipratropium	LSM-1497	CHRM1|CHRM2|CHRM3|CHRM4	10uM	24h	LINCSCP_4142	A549
0.4512	6.5572e-21	389	BRD-K08878345	LSM-2179	NA	10uM	24h	LINCSCP_1106	A375
-0.4501	8.3857e-21	389	Cisapride	LSM-6397	HTR4	3.33uM	24h	LINCSCP_104472	HELA
0.4481	1.3121e-20	389	AG 14361	LSM-1988	PARP1	20uM	6h	LINCSCP_55201	TYKNU
0.4465	1.8448e-20	389	CHEMBL416418	LSM-6211	ASAH1|UGCG	60uM	6h	LINCSCP_222994	HT115
0.4446	2.786e-20	389	Albendazole	LSM-3782	NA	0.5uM	6h	LINCSCP_38094	MCF7
0.4445	2.8445000000000003e-20	389	Bis-Tyrphostin	LSM-42937	EGFR	10uM	6h	LINCSCP_18113	HCC515
0.4421	4.8233e-20	389	ZINC77024257	LSM-1171	MDM2	10uM	24h	LINCSCP_134283	MCF7
0.4406	6.6854e-20	389	AC1Q6JJ5	LSM-6192	TOP2A	0.1uM	6h	LINCSCP_12767	DV90
0.4405	6.8132e-20	389	BRD-K36446940	LSM-39263	NA	5uM	24h	LINCSCP_48325	PC3
0.4402	7.282e-20	389	25589-40-6	LSM-4731	NA	10uM	6h	LINCSCP_270602	PC3
0.4389	9.4569e-20	389	Pitavastatin Calcium	LSM-45806	HMGCR	0.04uM	24h	LINCSCP_125481	HT29
0.4347	2.3176e-19	389	BRD-K13245569	LSM-43450	NA	5uM	24h	LINCSCP_247498	MCF7
0.431	5.0162e-19	389	BRD-A24396574-001-01-5	LSM-5006	NA	0.12uM	3h	LINCSCP_133035	MCF7
0.429	7.6306e-19	389	Ricolinostat	LSM-6324	NA	10uM	24h	LINCSCP_151923	PC3
0.4281	9.0322e-19	389	CHEMBL436817	LSM-6200	NA	40uM	6h	LINCSCP_13443	H1299
0.4277	9.8846e-19	389	Ginsenoside RC	LSM-1713	NA	10uM	6h	LINCSCP_7388	A549
0.4264	1.2757e-18	389	Necrostatin	LSM-1494	RIPK1	100uM	6h	LINCSCP_222955	HT115
0.4244	1.9365e-18	389	CHEMBL2132289	LSM-1044	RPS6KA3	10uM	24h	LINCSCP_58856	VCAP
0.4241	2.0377e-18	389	BRD-A73558769	LSM-45352	NA	3uM	24h	LINCSCP_12365	CD34
0.418	6.9841e-18	389	BRD-K15825608	LSM-38096	NA	10uM	6h	LINCSCP_48866	PC3
0.4154	1.1548e-17	389	BECLOMETHASONE DIPROPIONATE	LSM-45855	NA	10uM	24h	LINCSCP_154470	PC3
0.4152	1.2189e-17	389	SUGA1_010400	LSM-36752	NA	10uM	6h	LINCSCP_216786	HCC515
0.4136	1.6688e-17	389	Piplartine	LSM-42914	NA	10uM	6h	LINCSCP_54002	SW480
0.413	1.8817e-17	389	PCL2_000350	LSM-36729	NA	10uM	6h	LINCSCP_22603	HEPG2
-0.4121	2.205e-17	389	Everolimus	LSM-43172	FKBP1A|MTOR	3.33uM	24h	LINCSCP_104514	HELA
0.4121	2.2136e-17	389	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	0.5uM	24h	LINCSCP_66659	A549
0.4112	2.6284e-17	389	AS-605240	LSM-42784	PIK3CG	10uM	24h	LINCSCP_106824	HELA
0.4105	3.0264e-17	389	Hydroflumethiazide	LSM-5497	SLC12A1|SLC12A3	3.33uM	24h	LINCSCP_155284	PC3
0.4093	3.7928e-17	389	MLS002554298	LSM-3179	NA	10uM	24h	LINCSCP_189479	A549
0.4092	3.8749e-17	389	BRD-K27732957	LSM-15028	NA	1uM	24h	LINCSCP_65951	VCAP
0.4087	4.3107e-17	389	Mestranol	LSM-2693	ESR1	10uM	24h	LINCSCP_7595	A549
0.405	8.6195e-17	389	Vemurafenib	LSM-1068	BRAF	0.04uM	3h	LINCSCP_144980	MDAMB231
-0.405	8.6552e-17	389	Linezolid	LSM-5750	MAOA|MAOB	0.04uM	24h	LINCSCP_95689	HA1E
