signatureid	compound	similarity
LINCSCP_6633	Ruxolitinib	1
LINCSCP_53136	(S)-(-)-BAY K 8644	0.4609
LINCSCP_202121	Oxetane	0.4213
LINCSCP_22835	UB-165	0.4074
LINCSCP_47360	Metaproterenol	0.4071
LINCSCP_5947	BRD-K33676730	0.4026
LINCSCP_40057	COT-10B	0.3985
LINCSCP_100567	Dasatinib	0.395
LINCSCP_49411	Avicin-D	0.3899
LINCSCP_100613	BIX01294	0.3884
LINCSCP_192562	Cyclacillin	0.3878
LINCSCP_46824	Reversine	0.3869
LINCSCP_138312	Deferiprone	0.3834
LINCSCP_164467	761437-28-9	0.3808
LINCSCP_44021	Dinoprostone	0.3799
LINCSCP_43821	pyrvinium-pamoate	0.3752
LINCSCP_53219	10-DEBC	0.3744
LINCSCP_104379	NUTLIN 3	0.3739
LINCSCP_22776	SU-4312	0.371
LINCSCP_49415	Avicin-G	0.37
LINCSCP_153444	IB-MECA	0.3622
LINCSCP_47351	Triamterene	0.3605
LINCSCP_22865	Delcorine	0.3573
LINCSCP_168469	Ornidazole	0.3573
LINCSCP_43916	Mitoxantrone	0.3567
LINCSCP_63013	BRD-K18449990	0.3553
LINCSCP_47613	Irinotecan	0.355
LINCSCP_64793	BRD-K67236726	0.3548
LINCSCP_56307	Betahistine	0.3544
LINCSCP_192449	STK179629	0.3535
LINCSCP_159650	OSI-906 (Linsitinib)	0.3535
LINCSCP_46272	SCHEMBL2608041	0.3532
LINCSCP_39841	SCHEMBL6851809	0.3521
LINCSCP_137823	Dapivirine (TMC120)	0.3515
LINCSCP_29252	Nitrendipine	0.3512
LINCSCP_137575	5-(Z)-7-(4-o-hydroxyphenyl-2-trifluoromethyl-1,3 dioxan-cis-5-yl)heptenoic acid	0.3504
LINCSCP_140321	Varlitinib	0.3502
LINCSCP_46380	SAN1_003817	0.3502
LINCSCP_2306	H-9	0.3487
LINCSCP_53134	XAV 939	0.3484
LINCSCP_76550	AZD-1775	0.3476
LINCSCP_50608	BRD-K41087962	0.3475
LINCSCP_168477	Temsirolimus (CCI-779, NSC 683864)	0.3466
LINCSCP_148973	852475-26-4	0.3465
LINCSCP_286481	BRD-A81936046	0.3462
LINCSCP_111746	Linifanib	0.3459
LINCSCP_40109	Ursolic acid	0.345
LINCSCP_47700	Oxcarbazepine	0.3448
LINCSCP_164638	GSK-J1	0.3434
LINCSCP_84485	1268524-70-4	0.3431
LINCSCP_53194	ZINC77024257	0.3428
LINCSCP_168723	Prothiaden Spofa	0.3427
LINCSCP_111877	LRRK2-IN-1	0.3427
LINCSCP_252801	Parthenolide	0.3424
LINCSCP_145755	SCHEMBL17052537	0.3419
LINCSCP_22772	SB408124	0.3418
LINCSCP_1766	H0635_SIGMA	0.3375
LINCSCP_111838	Gefitinib	0.3367
LINCSCP_244952	Allopurinol	0.3365
LINCSCP_244903	Phthalylsulfathiazole	0.3361
LINCSCP_18588	Tazac, Axid, Axid Ar, Nizatidine	0.336
LINCSCP_120859	Seocalcitol	0.3353
LINCSCP_20728	PK04PUR_000351	0.3347
LINCSCP_76687	3-(4-Pyridyl)indole	0.3346
LINCSCP_90701	Fadrozole	0.3342
LINCSCP_155355	Alprostadil	0.334
LINCSCP_80678	Oxandrolone	0.3332
LINCSCP_286279	3-Aminobenzamide	0.3319
LINCSCP_119926	brivanib	0.331
LINCSCP_46091	Etoposide	0.3305
LINCSCP_50672	CAY10618	0.3304
LINCSCP_121040	Tolazamide	0.33
LINCSCP_50947	CHEMBL1434137	0.3299
LINCSCP_26876	BRD-A10420615-001-02-8	0.3284
LINCSCP_137993	Berberine	0.3283
LINCSCP_4381	RO-316233	0.3281
LINCSCP_2359	F1679-0128	0.3273
LINCSCP_69158	TORIN-2	0.3268
LINCSCP_69359	GSK-3 Inhibitor IX	0.3267
LINCSCP_140111	Etoricoxib	0.3265
LINCSCP_140407	Lidoflazine	0.3264
LINCSCP_51031	SMR000075319	0.3264
LINCSCP_53769	LDN 193189	0.3256
LINCSCP_47352	Cladribine	0.3251
LINCSCP_239967	MLS-0435534.0001	0.325
LINCSCP_257337	Gallocatechin Gallate	0.3246
LINCSCP_50687	Tamoxifen	0.324
LINCSCP_137965	Cinoxacin	0.3226
LINCSCP_168589	Camostat Mesilate	0.3223
LINCSCP_178146	MLS002607804	0.322
LINCSCP_13063	SCHEMBL13214682	0.3216
LINCSCP_6633	Ruxolitinib	1
LINCSCP_73510	Temoporfin	0.4076
LINCSCP_27349	CHEMBL3183676	0.388
LINCSCP_27488	BRD-K23794511	0.3784
LINCSCP_7154	Ergocornine	0.3688
LINCSCP_6674	Crizotinib	0.3604
LINCSCP_251821	SB-216763	0.3598
LINCSCP_19698	KUC104127	0.3573
LINCSCP_39826	Tosedostat	0.3541
LINCSCP_201493	Vorinostat	0.3525
LINCSCP_88462	PHA-767491	0.352
LINCSCP_40338	VER 155008	0.3461
LINCSCP_95700	MLN9708	0.3436
LINCSCP_84091	CGP 60474	0.3431
LINCSCP_253000	Manumycin-A	0.3353
LINCSCP_11653	AT-7519	0.3297
LINCSCP_7435	IKK Inhibitor VII	0.329
LINCSCP_94540	Oxybenzone	0.3276
LINCSCP_53580	TPCA-1	0.3216
LINCSCP_2588	Diloxanide Furoate	0.3214
