signatureid	compound	similarity
LINCSCP_5887	BRD-K66198023-237-01-9	1
LINCSCP_231705	BRD-K21576808	0.5189
LINCSCP_8771	BRD-K23578923	0.4962
LINCSCP_70616	CC-401	0.4616
LINCSCP_237369	MLS002264481	0.4453
LINCSCP_104397	amisulpride	0.4334
LINCSCP_53950	Neratinib	0.4317
LINCSCP_132469	Dactolisib	0.4307
LINCSCP_8160	BRD-K51164721	0.4254
LINCSCP_70526	301836-43-1	0.4198
LINCSCP_22833	Talampicillin	0.4147
LINCSCP_176565	Ketorolac	0.414
LINCSCP_104379	NUTLIN 3	0.4118
LINCSCP_237784	MLS002607804	0.4108
LINCSCP_70498	Aurora A Inhibitor I	0.408
LINCSCP_27619	BRD-K90338784	0.4078
LINCSCP_61290	BRD-K84432438	0.4052
LINCSCP_53207	TGX-115	0.4049
LINCSCP_145755	SCHEMBL17052537	0.4048
LINCSCP_146751	N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide	0.4013
LINCSCP_21282	PIK 90	0.4012
LINCSCP_190621	ALD1-H_000553	0.3994
LINCSCP_133220	TORIN1	0.3988
LINCSCP_21233	CAY-10594	0.3986
LINCSCP_8839	BRD-K65003634	0.3978
LINCSCP_70452	TAK-715	0.3969
LINCSCP_92705	Everolimus	0.3951
LINCSCP_61747	BRD-K21528100	0.394
LINCSCP_252801	Parthenolide	0.3936
LINCSCP_100327	WZ 4002	0.393
LINCSCP_76543	Formoterol	0.3924
LINCSCP_21213	TPCA-1	0.3918
LINCSCP_164079	WYE 125132	0.391
LINCSCP_62770	BRD-K19616315	0.391
LINCSCP_53984	BIBR-1532	0.3898
LINCSCP_11459	1446-61-3	0.3874
LINCSCP_48450	BRD-K65085267	0.3873
LINCSCP_208990	Zolmitriptan	0.3867
LINCSCP_35302	BRD-K29423519	0.3842
LINCSCP_130123	Tamatinib	0.3834
LINCSCP_27484	BRD-K21549522	0.382
LINCSCP_245301	BRD-K61158263	0.3814
LINCSCP_239311	Sertraline	0.3786
LINCSCP_65628	BRD-K35210537	0.3757
LINCSCP_53599	L-690488	0.3756
LINCSCP_145107	CP466722	0.3734
LINCSCP_134178	844499-71-4	0.3717
LINCSCP_70400	triptolide	0.3711
LINCSCP_140386	ABT-199 (GDC-0199)	0.3709
LINCSCP_111557	SCHEMBL3958507	0.3705
LINCSCP_70624	GSK-2334470	0.369
LINCSCP_119924	brivanib	0.3683
LINCSCP_167773	Arbutin	0.3682
LINCSCP_58917	MLS-0435526.0001	0.3656
LINCSCP_141356	ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE	0.3653
LINCSCP_51965	Pelitinib	0.3648
LINCSCP_142912	Chlorophenylpiperazine	0.364
LINCSCP_143490	Cinaciguat	0.364
LINCSCP_20333	BRD-K85694079	0.3636
LINCSCP_88499	BRD-A25736793	0.3632
LINCSCP_139494	Vidofludimus	0.3632
LINCSCP_129429	SAR245409	0.3621
LINCSCP_89110	Dasatinib	0.362
LINCSCP_76010	Primaquine	0.3617
LINCSCP_62005	BRD-K47587697	0.3616
LINCSCP_284911	Btcp	0.3608
LINCSCP_108615	brefeldin-a	0.3596
LINCSCP_253309	Niclosamide	0.3589
LINCSCP_142190	Trazodone	0.3589
LINCSCP_88817	Epigalocatechin Gallate	0.3575
LINCSCP_112908	GW620972X	0.3566
LINCSCP_58936	Reversine	0.3563
LINCSCP_44536	Colforsin	0.3559
LINCSCP_121997	Pimozide	0.3554
LINCSCP_70188	JW 55	0.3546
LINCSCP_70109	848193-68-0	0.3544
LINCSCP_12634	BMS 641988	0.3536
LINCSCP_5191	MLS003370610	0.3532
LINCSCP_193055	6B-Hydroxy-3-tropinone	0.3526
LINCSCP_35165	BRD-K54673054	0.3523
LINCSCP_216959	CHEMBL1900088	0.3522
LINCSCP_35187	BRD-K24621485	0.3505
LINCSCP_60070	BRD-K69503483	0.3504
LINCSCP_41747	Pevonedistat	0.3498
LINCSCP_206141	PK-11195	0.3492
LINCSCP_89194	GSK 1059615	0.3484
LINCSCP_207758	Mesoridazine	0.3479
LINCSCP_100243	Sunitinib	0.3477
LINCSCP_12780	CT-200783	0.3469
LINCSCP_7013	Cromakalim	0.3455
LINCSCP_35595	4-Deoxyuridine	0.3454
LINCSCP_47504	Sulfamethoxazole	0.3437
LINCSCP_28027	BRD-K53283295	0.3435
LINCSCP_10737	MLS000594029	0.3428
LINCSCP_100155	Ipatasertib	0.3425
LINCSCP_65051	Thapsigargin	0.3423
LINCSCP_72310	TIC10	0.3417
LINCSCP_121981	Anamorelin	0.3411
LINCSCP_43128	BRD-K41871066	0.3402
LINCSCP_145960	QL47	0.3397
LINCSCP_25130	Trifluoperazine	0.3393
LINCSCP_104403	Griseofulvin	0.339
LINCSCP_31186	MLS002264467	0.339
LINCSCP_121959	Famotidine	0.3387
LINCSCP_54265	Phenethylisothiocyanate	0.3386
LINCSCP_303822	BRD-K58719548	0.3385
LINCSCP_21457	(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate	0.3384
LINCSCP_100950	CHEMBL1950303	0.3377
LINCSCP_21565	Rosuvastatin	0.3376
LINCSCP_93211	PF-04691502	0.3373
LINCSCP_174874	MLN 2238	0.3371
LINCSCP_20248	ZINC00368262	0.3366
LINCSCP_132954	Mitoxantrone	0.3365
LINCSCP_93435	1,3-Dipropyl-8-cyclopentylxanthine	0.3365
LINCSCP_2945	BRD-K08887444	0.3362
LINCSCP_63816	BRD-K61881697	0.3359
LINCSCP_157612	PF-03758309	0.3355
LINCSCP_174355	Ibrutinib (PCI-32765)	0.3354
LINCSCP_15114	PRESTWICK3_000646	0.3352
LINCSCP_59011	BCB03_000082	0.3348
LINCSCP_25755	BMS-536924	0.3341
LINCSCP_140407	Lidoflazine	0.334
LINCSCP_5259	MLS002264492	0.3336
LINCSCP_212501	Panobinostat	0.3336
LINCSCP_127116	Nortriptyline	0.3334
LINCSCP_132904	AZD-8055	0.3333
LINCSCP_40271	Brefeldin A	0.3333
LINCSCP_143255	Beta-Narcotine	0.3329
LINCSCP_100265	PHA-767491	0.3327
LINCSCP_33939	PCI-34051	0.332
LINCSCP_121044	MBX-2982	0.3319
LINCSCP_17769	PF 3845	0.3314
LINCSCP_65910	BRD-K04540960	0.3313
LINCSCP_115464	GW843682X	0.3311
LINCSCP_29285	Chaetocin	0.3311
LINCSCP_84160	Dacomitinib	0.331
LINCSCP_170859	Tasisulam	0.3306
LINCSCP_22120	MLS002264511	0.3306
LINCSCP_64659	BRD-K45056194	0.33
LINCSCP_65075	BRD-K93380196	0.3289
LINCSCP_134279	ITK Inhibitor	0.3288
LINCSCP_18908	E4031	0.328
LINCSCP_57139	GSK-319347A	0.3275
LINCSCP_35731	MLS000038106	0.3274
LINCSCP_128085	AZ628	0.3269
LINCSCP_5351	Etodolac	0.3266
LINCSCP_261287	BRD-K23582869-001-01-3	0.3263
LINCSCP_250737	ZINC01050121	0.3254
LINCSCP_7355	PP 2	0.3253
LINCSCP_130976	TORIN-2	0.3251
LINCSCP_237256	VU0413807-2	0.325
LINCSCP_100307	SB525334	0.3242
LINCSCP_62047	BRD-K80821495	0.3236
LINCSCP_260577	SA-89735	0.3235
LINCSCP_42134	SUGA2_000482	0.3233
LINCSCP_145926	EX-8678	0.3232
LINCSCP_42352	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	0.3231
LINCSCP_38313	BCL-2 Inhibitor	0.3229
LINCSCP_21201	Isoliquiritigenin	0.3227
LINCSCP_126064	FLUDARABINE PHOSPHATE	0.3223
LINCSCP_164118	Lapatinib	0.3221
LINCSCP_220438	Nefopam	0.3219
LINCSCP_130820	PD-0325901	0.3217
LINCSCP_68138	LY-294002	0.3216
LINCSCP_60636	MLS003129325	0.3214
LINCSCP_134150	BX-795	0.3212
LINCSCP_5887	BRD-K66198023-237-01-9	1
LINCSCP_37638	IC 261	0.5641
LINCSCP_8625	BRD-K41430135	0.5481
LINCSCP_61182	BRD-K99515159	0.5344
LINCSCP_7116	Mianserin	0.5303
LINCSCP_8186	BRD-K70901996	0.5192
LINCSCP_103463	Anastrozole	0.5058
LINCSCP_1872	Loxoprofen	0.5012
LINCSCP_193288	SPECTRUM_001015	0.4981
LINCSCP_279149	BRD-K72766058	0.4969
LINCSCP_71480	THIOCTIC ACID	0.4965
LINCSCP_192378	Tenoxicam	0.49
LINCSCP_103320	Chenodeoxycholic Acid	0.4883
LINCSCP_50674	Tozasertib	0.486
LINCSCP_65062	BRD-K74842589	0.4762
LINCSCP_114651	SB239063	0.4723
LINCSCP_50719	L-Sulforaphane	0.4692
LINCSCP_53601	BML-259	0.4661
LINCSCP_288979	BRD-A43331270-001-01-6	0.4648
LINCSCP_34967	BRD-K87010644	0.4625
LINCSCP_89812	Sotrastaurin	0.4586
LINCSCP_11306	SU-4312	0.4546
LINCSCP_106518	TAK-242	0.4545
LINCSCP_113482	GSK-1904529A	0.4525
LINCSCP_31787	Esomeprazole	0.4519
LINCSCP_4142	Ipratropium	0.4516
LINCSCP_1106	BRD-K08878345	0.4512
