ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
10285	SMNDC1	5.5238	1e-4
26036	ZNF451	4.6898	1e-4
5743	PTGS2	7.0684	2e-4
25805	BAMBI	3.4137	4e-4
10972	TMED10	2.6397	4e-4
64746	ACBD3	2.6462	5e-4
4893	NRAS	2.6076	5e-4
8869	ST3GAL5	2.569	5e-4
7358	UGDH	2.3517	8e-4
2553	GABPB1	2.4499	9e-4
2673	GFPT1	2.7627	9e-4
1846	DUSP4	2.9637	0.001
4792	NFKBIA	2.406	0.0011
22823	MTF2	2.6236	0.0011
10915	TCERG1	2.1514	0.0012
3611	ILK	2.2441	0.0012
466	ATF1	2.0756	0.0013
4088	SMAD3	2.1524	0.0014
51742	ARID4B	3.1784	0.0015
10670	RRAGA	2.1211	0.0017
11319	ECD	3.7115	0.0018
51382	ATP6V1D	1.9784	0.0021
10523	CHERP	1.889	0.0022
7494	XBP1	2.81	0.0022
47	ACLY	2.8198	0.0024
890	CCNA2	1.8321	0.0025
10782	ZNF274	2.0861	0.0025
9531	BAG3	1.7815	0.0029
5347	PLK1	1.8112	0.0029
55818	KDM3A	3.9064	0.003
10557	RPP38	1.8492	0.0033
54541	DDIT4	1.9311	0.0033
9128	PRPF4	2.2521	0.0034
10730	YME1L1	1.8624	0.0036
4860	PNP	1.9388	0.0037
5357	PLS1	2.2463	0.004
25976	TIPARP	1.8198	0.0041
10298	PAK4	1.647	0.0041
10245	TIMM17B	1.778	0.0041
10276	NET1	2.3287	0.0042
5782	PTPN12	1.6125	0.0042
10776	ARPP19	2.1296	0.0045
3156	HMGCR	1.7749	0.0047
25	ABL1	1.7255	0.005
10237	SLC35B1	1.5297	0.0053
54442	KCTD5	1.6009	0.0057
11065	UBE2C	1.6066	0.0057
4850	CNOT4	2.3019	0.0061
5899	RALB	1.5348	0.0067
3162	HMOX1	1.425	0.0068
23338	JADE2	1.5196	0.0069
1848	DUSP6	2.3652	0.0069
5909	RAP1GAP	1.9948	0.0077
9686	VGLL4	1.8995	0.008
6443	SGCB	1.3712	0.0082
874	CBR3	1.3502	0.0091
2770	GNAI1	1.6492	0.0092
9519	TBPL1	1.4294	0.0097
8870	IER3	1.4525	0.0097
11004	KIF2C	1.6291	0.0099
387	RHOA	1.6308	0.0112
9797	TATDN2	1.8709	0.0113
9533	POLR1C	1.678	0.0115
10845	CLPX	1.5998000000000001	0.0117
26020	LRP10	1.2482	0.0127
23210	JMJD6	1.3827	0.0141
8204	NRIP1	1.1865	0.0144
10318	TNIP1	1.5794	0.0146
29978	UBQLN2	3.4121	0.0156
2920	CXCL2	1.2869	0.0158
10153	CEBPZ	1.9579	0.0179
4043	LRPAP1	1.4544	0.0186
1398	CRK	1.3113	0.0189
9854	C2CD2L	1.1476	0.0189
50865	HEBP1	1.7183	0.019
1616	DAXX	1.0998000000000001	0.0191
10270	AKAP8	2.3708	0.0199
54205	CYCS	1.0933	0.0205
5883	RAD9A	1.3419	0.0206
9221	NOLC1	1.2798	0.0211
9926	LPGAT1	1.1691	0.0217
22934	RPIA	1.1628	0.0228
54499	TMCO1	1.2274	0.0231
11284	PNKP	1.3119	0.0247
5547	PRCP	1.035	0.0255
960	CD44	1.2423	0.0263
80204	FBXO11	1.7975	0.0264
7398	USP1	1.4021	0.0283
2810	SFN	1.1235	0.0286
6499	SKIV2L	1.2862	0.0294
54512	EXOSC4	1.0365	0.0297
6790	AURKA	1.1104	0.0303
56940	DUSP22	1.7655	0.0308
2222	FDFT1	1.5562	0.0315
7874	USP7	1.1106	0.0318
329	BIRC2	1.1901	0.0321
55958	KLHL9	1.6793	0.0323
51053	GMNN	1.0896	0.0334
7867	MAPKAPK3	1.3014	0.034
7264	TSTA3	1.1174	0.0342
23585	TMEM50A	1.1249	0.0348
55837	EAPP	1.0398	0.0349
53343	NUDT9	1.4138	0.0352
4780	NFE2L2	1.3757	0.0372
9181	ARHGEF2	2.4477	0.0372
902	CCNH	1.4368	0.0381
355	FAS	1.0613	0.039
835	CASP2	1.0441	0.04
91949	COG7	1.0928	0.0401
22827	PUF60	1.1145	0.0427
7157	TP53	1.404	0.0437
5927	KDM5A	1.5463	0.0437
9375	TM9SF2	1.4051	0.0438
22887	FOXJ3	1.3403	0.0463
899	CCNF	2.9134	0.0489
23522	KAT6B	1.753	0.0491
10180	RBM6	1.1594	0.0497
10668	CGRRF1	2.0791	0.0543
50814	NSDHL	1.0535	0.0563
1213	CLTC	1.0204	0.0574
58472	SQRDL	1.4811	0.0641
26993	AKAP8L	4.0156	0.0657
51070	NOSIP	1.2385	0.066
84890	ADO	4.3359	0.066
8312	AXIN1	1.1053	0.0661
60493	FASTKD5	1.1528	0.0681
6659	SOX4	1.0068	0.0726
3329	HSPD1	1.107	0.0732
6193	RPS5	1.1361	0.0755
3480	IGF1R	1.4105	0.0771
9703	KIAA0100	1.1396	0.0805
7511	XPNPEP1	1.4266	0.0871
27244	SESN1	4.0517	0.0969
9709	HERPUD1	1.4339	0.0977
79071	ELOVL6	1.0183	0.1089
51635	DHRS7	1.1236	0.1129
6464	SHC1	1.1029	0.1158
23039	XPO7	1.3596	0.1172
30836	DNTTIP2	1.1003	0.1203
9183	ZW10	1.0244	0.121
813	CALU	1.1088	0.137
10765	KDM5B	1.3346	0.1373
