Name_GeneSymbol	Value_LogDiffExp
ABCF3	-2.0449
ACBD3	-1.1085
ACLY	-0.8797
ACOT9	-1.1849
ADAM10	-1.4013
ADGRE5	-1.0513
ADH5	-0.7966
ADI1	-4.0653
ADO	-1.0712
AKAP8L	-1.0691
AKR7A2	-1.7579
AKT1	-1.3599
ALDH7A1	-0.6816
AMDHD2	-1.814
ANO10	-0.9834
ANXA7	-0.7631
APPBP2	-0.7411
ARFIP2	-1.4865
ARID4B	-0.8631
ARPP19	-3.6196
ASAH1	-0.6178
ASCC3	-1.1027
ATF1	-0.6816
ATF6	-1.5579
ATP1B1	-1.8103
ATP6V1D	-1.6426
AURKA	-1.9278
B4GAT1	-1.3291
BAD	-2.7413
BAG3	-0.527
BAMBI	-0.5517
BCL7B	-1.2301
BECN1	-1.531
BIRC5	-0.8725
BLMH	-1.1153
BLVRA	-1.7419
BNIP3	-0.8888
BNIP3L	-1.3503
BZW2	-0.7266
C2CD2L	-1.3773
C2CD5	-0.6417
CALM3	-0.8638
CALU	-0.8054
CANT1	-0.6601
CASC3	-0.6621
CASK	-1.2167
CASP2	-0.812
CCDC92	-0.7232
CCNA2	-1.6705
CCNB1	-0.5382
CCNB2	-1.3098
CCND1	-1.4187
CDC20	-3.6755
CDC25A	-0.7611
CDC25B	-1.3539
CDCA4	-0.7662
CDK19	-0.7211
CDK4	-0.5467
CDK6	-0.5587
CDKN1A	-0.541
CENPE	-0.6956
CFLAR	-0.5697
CGRRF1	-0.7474
CHEK2	-1.6389
CHERP	-0.8805
CHMP4A	-0.7215
CHP1	-1.6166
CIAPIN1	-2.2809
CIRBP	-1.1033
CLIC4	-1.2977
CLTC	-0.721
CNDP2	-0.9697
COASY	-0.5694
COG4	-1.3097
COPB2	-0.5749
CRK	-1.1151
CRYZ	-0.7828
CSK	-2.3119
CSNK1A1	-1.156
CTNNAL1	-1.1758
CTTN	-2.0539
CXCL2	-0.7087
CYB561	-1.656
CYCS	-0.838
CYTH1	-0.5054
DCTD	-3.1322
DDX10	-0.5744
DERA	-1.298
DHRS7	-2.6062
DLD	-1.3279
DNAJB2	-0.7707
DNM1	-0.603
DNM1L	-1.0414
DRAP1	-1.5497
DSG2	-1.1814
DUSP4	-0.6631
DYNLT3	-0.6078
E2F2	-0.5016
EBNA1BP2	-0.7073
EBP	-0.7855
ECD	-0.9999
EDEM1	-0.9435
EDN1	-0.586
EED	-0.5733
EIF4EBP1	-1.9919
EIF4G1	-0.8357
