Name_GeneSymbol	Value_LogDiffExp
ABCB6	0.7442
ABCF3	0.9588
ABHD4	2.5139
ACAA1	1.6601
ACAT2	1.4186
ACBD3	2.3625
ACLY	1.3579
ACOT9	0.6821
ADAM10	0.6657
ADCK3	1.715
ADI1	0.6962
AKR7A2	0.8115
ALDOA	0.6626
AMDHD2	1.5658
ANO10	0.7769
ANXA7	1.2162
APP	0.5184
ARFIP2	0.6552
ASAH1	0.851
ASCC3	1.3897
ATG3	0.814
ATP1B1	0.7971
ATP6V0B	0.9695
ATP6V1D	0.6327
B4GAT1	2.1574
BACE2	0.7041
BAX	1.4902
BECN1	0.9584
BIRC2	0.5459
BLCAP	0.7364
BLMH	1.1574
CAB39	0.5335
CALU	0.7893
CASK	1.0188
CASP7	0.6837
CAT	0.6112
CCDC92	1.1556
CDCA4	0.5334
CDKN1A	8.7357
CDKN1B	0.56
CETN3	1.2064
CGRRF1	1.0055
CHIC2	1.4044
CNDP2	1.0927
COG4	1.0099
COL1A1	0.8964
CPNE3	0.7913
CRK	0.6313
CRYZ	0.709
CSK	0.5292
CSNK1A1	0.7427
CSRP1	0.5157
CTSD	0.7721
CXCL2	0.8747
CYCS	0.9605
CYTH1	1.2239
DDB2	5.8753
DDIT4	2.1122
DECR1	0.9896
DERA	0.7754
DHRS7	0.7368
DLD	0.7034
DSG2	1.8527
DUSP14	2.077
DUSP3	1.0984
DYNLT3	0.5007
DYRK3	0.5701
EAPP	0.8457
EBNA1BP2	1.5354
EBP	0.8846
ECH1	1.4604
EDEM1	0.5714
EGFR	0.7269
EGR1	0.6668
EIF4EBP1	0.8654
ELAVL1	0.9224
ERO1L	0.7896
EVL	1.6725
FAH	1.2204
FAIM	0.8788
FAM63A	0.7012
FAS	5.1163
FASTKD5	1.3196
FAT1	1.27
FBXO7	0.7155
FDFT1	1.953
FEZ2	0.7203
FHL2	1.0401
FOXJ3	0.506
FYN	0.9747
GAA	1.9342
GADD45A	2.3215
GATA2	1.0583
GLOD4	0.6223
GNAI1	1.0195
GNB5	0.7362
GNPDA1	2.3312
GPC1	2.1563
HADH	0.5325
HDGFRP3	0.6685
HEBP1	1.523
HERPUD1	0.9013
HLA-DMA	1.392
HMGA2	0.9211
HMOX1	0.5531
HN1L	0.535
HSPD1	1.5744
ICAM3	0.7854
IDE	0.5885
IGF1R	1.205
IGF2BP2	0.5042
IKBKB	1.0083
INPP1	2.0381
INSIG1	1.9979
IQGAP1	0.9228
ITGB5	0.7322
KDM5A	0.5172
KIAA0100	1.2287
KIAA0196	0.9815
