similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	201	Ritonavir	LSM-5623	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	10uM	24h	LINCSCP_91636	HA1E
-0.6639	6.4661e-27	201	GW-5074	LSM-42779	RAF1	0.04uM	24h	LINCSCP_152256	PC3
-0.6471	3.1262e-25	201	Ketotifen	LSM-2637	HRH1	0.12uM	24h	LINCSCP_155634	PC3
-0.6004	4.4762e-21	201	Bicalutamide	LSM-1437	AR	1.11uM	24h	LINCSCP_120883	HT29
-0.598	6.9812e-21	201	10-DEBC	LSM-4710	PIM1	3.33uM	24h	LINCSCP_120378	HT29
-0.5909	2.6226e-20	201	chlormadinone-acetate	LSM-45604	NA	0.37uM	24h	LINCSCP_120896	HT29
0.584	9.0355e-20	201	Rucaparib	LSM-4947	PARP1|PARP2|PARP3	10uM	6h	LINCSCP_29174	JHUEM2
-0.5708	8.9833e-19	201	AZD4547	LSM-6308	NA	3.33uM	24h	LINCSCP_155613	PC3
-0.5694	1.147e-18	201	Doxazosin	LSM-4335	ADRA1A|ADRA1B|ADRA1D	0.37uM	24h	LINCSCP_74371	A375
-0.569	1.2321e-18	201	Donitriptan hydrochloride	LSM-45430	HTR1B|HTR1D|PTGDR2	0.37uM	24h	LINCSCP_155771	PC3
-0.5639	2.8927e-18	201	Fluoropyruvate	LSM-6203	NA	40uM	6h	LINCSCP_40172	NCIH508
-0.5622	3.8183e-18	201	Aliskiren	LSM-2653	REN	1.11uM	24h	LINCSCP_155764	PC3
-0.5577	7.9492e-18	201	Theobromine	LSM-5483	NA	0.04uM	24h	LINCSCP_155934	PC3
-0.552	2.0096000000000002e-17	201	Labetalol	LSM-1282	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3	10uM	24h	LINCSCP_121817	HT29
-0.5509	2.3719e-17	201	Trimethobenzamide	LSM-2750	DRD2	10uM	24h	LINCSCP_155301	PC3
-0.5479	3.8617e-17	201	Benoxinate	LSM-2069	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	3.33uM	24h	LINCSCP_93219	HA1E
-0.5474	4.1273e-17	201	Nepafenac	LSM-45729	PTGS1|PTGS2	0.12uM	24h	LINCSCP_92928	HA1E
-0.546	5.1993e-17	201	Amlexanox	LSM-5432	PDE4A|PDE4B|PDE4C|PDE4D	3.33uM	24h	LINCSCP_155673	PC3
-0.5414	1.063e-16	201	SPECTRUM_001092	LSM-1337	NR3C1	0.12uM	24h	LINCSCP_92898	HA1E
-0.5412	1.0921e-16	201	amisulpride	LSM-45926	NA	0.04uM	24h	LINCSCP_74248	A375
0.539	1.5373e-16	201	Neostigmine	LSM-5360	ACHE	0.04uM	24h	LINCSCP_91129	HA1E
-0.5347	2.9415e-16	201	Taranabant	LSM-45803	CNR1	0.04uM	24h	LINCSCP_155940	PC3
-0.5336	3.4375e-16	201	Ampalex	LSM-45388	NA	3.33uM	24h	LINCSCP_155589	PC3
-0.5286	7.2896e-16	201	Bopindolol  malonate	LSM-45796	NA	3.33uM	24h	LINCSCP_121800	HT29
-0.5253	1.1855e-15	201	AT 7867	LSM-1155	NA	3.33uM	24h	LINCSCP_84365	ASC
-0.5213	2.1129e-15	201	Ketotifen	LSM-2637	HRH1	10uM	24h	LINCSCP_155630	PC3
-0.5188	3.0493e-15	201	MBX-2982	LSM-45394	NA	1.11uM	24h	LINCSCP_155829	PC3
-0.5183	3.2497e-15	201	Paroxetine	LSM-2843	SLC6A4	0.04uM	24h	LINCSCP_75355	A375
-0.5113	8.8167e-15	201	CPI-613	LSM-45873	NA	0.12uM	24h	LINCSCP_93144	HA1E
-0.5089	1.2227e-14	201	Actarit	LSM-5475	NA	10uM	24h	LINCSCP_155857	PC3
0.5089	1.225e-14	201	SA-1456977	LSM-41822	NA	3uM	24h	LINCSCP_260931	NKDBA
-0.5065	1.7083e-14	201	Josamycin	LSM-46041	NA	0.37uM	24h	LINCSCP_152770	PC3
-0.5058	1.8791e-14	201	Flutamide	LSM-2621	AR	10uM	24h	LINCSCP_155594	PC3
-0.5054	1.979e-14	201	Brivanib	LSM-5421	FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR	0.12uM	24h	LINCSCP_155622	PC3
-0.5052	2.0305e-14	201	Ixabepilone	LSM-43293	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	0.04uM	24h	LINCSCP_92935	HA1E
-0.505	2.0886e-14	201	AGI-6780	LSM-45921	NA	3.33uM	24h	LINCSCP_92955	HA1E
-0.5049	2.1341e-14	201	R428	LSM-45574	NA	3.33uM	24h	LINCSCP_137995	MCF7
