similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	553	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_98516	HA1E
0.4473	1.4689e-28	553	Ataluren	LSM-5991	DMD	10uM	24h	LINCSCP_99169	HA1E
0.4273	5.9456e-26	553	EMD-1214063	LSM-45557	MET	3.33uM	24h	LINCSCP_98979	HA1E
0.4159	1.5299e-24	553	Oxandrolone	LSM-45444	AR	3.33uM	24h	LINCSCP_99021	HA1E
0.4154	1.7758e-24	553	2-(Ethylmercuriothio)benzoic acid	LSM-5710	NA	1.11uM	24h	LINCSCP_162088	PC3
0.4031	5.0351e-23	553	Tolazamide	LSM-2699	ABCC8|KCNJ11	10uM	6h	LINCSCP_54762	T3M10
0.3931	7.0607e-22	553	AVL-292	LSM-45948	BTK	3.33uM	24h	LINCSCP_143508	MCF7
0.3861	4.2011e-21	553	NU1025	LSM-4643	PARP1	10uM	6h	LINCSCP_10383	A673
0.3803	1.8214e-20	553	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_39842	NCIH1694
0.3789	2.5571e-20	553	Probenecid	LSM-4140	SLC22A11|SLC22A6|SLC22A8	0.04uM	24h	LINCSCP_99204	HA1E
0.3696	2.4355e-19	553	EFLORNITHINE HYDROCHLORIDE	LSM-45424	ODC1	0.04uM	24h	LINCSCP_99257	HA1E
0.3646	7.9519e-19	553	Mercaptopurine	LSM-5963	PPAT	10uM	24h	LINCSCP_98492	HA1E
0.3613	1.7188e-18	553	STK009254	LSM-1910	INS	0.04uM	24h	LINCSCP_99060	HA1E
-0.3612	1.7653e-18	553	BRD-K00362189	LSM-37300	NA	10uM	6h	LINCSCP_65748	VCAP
0.3399	2.0257e-16	553	Lamotrigine	LSM-4104	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	0.37uM	24h	LINCSCP_99088	HA1E
0.3389	2.4964e-16	553	STK009254	LSM-1910	INS	3.33uM	24h	LINCSCP_176066	YAPC
0.3365	4.1395e-16	553	SPECTRUM_001579	LSM-6509	NA	10uM	24h	LINCSCP_98312	HA1E
0.336	4.5866e-16	553	Simeprevir	LSM-45598	NA	0.12uM	24h	LINCSCP_174291	YAPC
0.334	7.1317e-16	553	Ipriflavone	LSM-5981	NA	10uM	24h	LINCSCP_99091	HA1E
0.3302	1.5737e-15	553	Dexamethasone Acetate	LSM-1915	NR3C1	10uM	24h	LINCSCP_99103	HA1E
0.3282	2.3711e-15	553	Dexamethasone Acetate	LSM-1915	NR3C1	0.37uM	24h	LINCSCP_80763	A375
0.3258	3.8715e-15	553	triptolide	NA	NA	1.11uM	24h	LINCSCP_164915	SKL.C
0.3251	4.4412e-15	553	Nisoxetine	LSM-1934	SLC6A2	10uM	24h	LINCSCP_99187	HA1E
0.325	4.5268e-15	553	Gestrinone	LSM-45597	NA	10uM	24h	LINCSCP_99342	HA1E
0.3235	6.0946e-15	553	SA-1457415	LSM-40938	NA	3uM	6h	LINCSCP_37360	MCF7
0.3235	6.1218e-15	553	STK009254	LSM-1910	INS	10uM	24h	LINCSCP_127690	HT29
0.323	6.7298e-15	553	Glimepiride	LSM-44957	ABCC8|KCNJ11	10uM	24h	LINCSCP_71957	A375
0.323	6.8378e-15	553	Infigratinib	LSM-1184	FGFR1|FGFR2|FGFR3|FGFR4	10uM	24h	LINCSCP_117205	HT29
0.3228	7.0636e-15	553	SIN-1, Hydrochloride	LSM-45857	NA	10uM	24h	LINCSCP_109371	HELA
0.3212	9.6862e-15	553	SA-89735	LSM-40327	NA	3uM	6h	LINCSCP_37344	MCF7
0.3199	1.2579e-14	553	FPL-55712	LSM-1940	NA	0.37uM	24h	LINCSCP_127435	HT29
0.316	2.7505e-14	553	BRD-K39172790-001-01-9	LSM-37071	NA	10uM	24h	LINCSCP_207016	FIBRNPC
0.3153	3.1539e-14	553	PH-797804	LSM-36373	MAPK14	10uM	24h	LINCSCP_80442	A375
-0.313	4.9004e-14	553	4L7B	LSM-36813	KEAP1	11.11uM	24h	LINCSCP_38584	MCF7
0.3128	5.0811e-14	553	BRD-K63898109	LSM-12324	NA	5uM	24h	LINCSCP_229415	HT29
0.3122	5.7099e-14	553	AZD-1775	LSM-1153	WEE1	0.12uM	24h	LINCSCP_164559	SKL.C
0.3115	6.551e-14	553	Lansoprazole	LSM-42728	ATP4A	10uM	24h	LINCSCP_207129	FIBRNPC
-0.3109	7.4263e-14	553	Rucaparib	LSM-4947	PARP1|PARP2|PARP3	1.11uM	24h	LINCSCP_100660	HCC515
0.3105	7.9597e-14	553	ABACAVIR SULFATE	LSM-45963	NA	10uM	24h	LINCSCP_99193	HA1E
0.3103	8.2688e-14	553	Oxandrolone	LSM-45444	AR	0.04uM	24h	LINCSCP_99025	HA1E
-0.308	1.2978e-13	553	BRD-K10731645	LSM-37824	NA	10uM	24h	LINCSCP_312425	VCAP
0.3077	1.3756e-13	553	BIBR-1532	LSM-43274	TERT	80uM	6h	LINCSCP_257306	NCIH508
0.3072	1.5e-13	553	Istaroxime (hydrochloride)	LSM-45263	NA	3.33uM	24h	LINCSCP_80521	A375
0.3071	1.542e-13	553	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.12uM	24h	LINCSCP_111851	HEPG2
0.307	1.5621e-13	553	3-(4-Pyridyl)indole	LSM-4569	ROCK1	10uM	6h	LINCSCP_10357	A673
0.3067	1.6384e-13	553	BRD-K58746048-001-01-6	LSM-5687	NA	10uM	6h	LINCSCP_273052	PC3
0.3066	1.6742e-13	553	AVL-292	LSM-45948	BTK	1.11uM	24h	LINCSCP_98290	HA1E
0.306	1.8676e-13	553	Bexarotene	LSM-45378	RXRA|RXRB|RXRG	0.04uM	24h	LINCSCP_110838	HELA
0.3056	2.0151e-13	553	Bexarotene	LSM-45378	RXRA|RXRB|RXRG	10uM	24h	LINCSCP_80658	A375
0.3035	2.9995e-13	553	vincristine	NA	TUBB	10uM	6h	LINCSCP_253617	MCF7
