similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	544	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_209113	HA1E
0.439	4.9883e-27	544	Clinofibrate	LSM-45783	NA	1.11uM	24h	LINCSCP_98422	HA1E
0.4302	6.4707e-26	544	3,7-Bis(dimethylamino)phenothiazin-5-ium	LSM-4555	ACHE	10uM	6h	LINCSCP_54748	T3M10
0.4301	6.6803e-26	544	SB-216763	LSM-1161	GSK3B	10uM	24h	LINCSCP_146032	MNEU.E
0.4272	1.5474e-25	544	BAY 61-3606	LSM-1167	SYK	0.04uM	24h	LINCSCP_165047	SKL.C
0.4112	1.3085e-23	544	Thalidomide	LSM-1914	CRBN|CUL4A|DDB1|RBX1|TNF	10uM	6h	LINCSCP_29286	LOVO
0.4087	2.5758e-23	544	Tivozanib	LSM-1005	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	0.12uM	24h	LINCSCP_116897	HT29
0.3986	3.6522e-22	544	Lenalidomide	LSM-6187	CRBN|CUL4A|DDB1|RBX1|TNF	100uM	6h	LINCSCP_234666	LOVO
0.3957	7.7417e-22	544	Enzastaurin	LSM-1069	PRKCB	1.11uM	3h	LINCSCP_132266	MCF7
0.3951	9.0319e-22	544	BRD-A07407288	LSM-1460	NA	10uM	6h	LINCSCP_33962	MCF7
0.3834	1.697e-20	544	BRD-K96352830	LSM-14340	NA	5uM	6h	LINCSCP_63955	VCAP
0.3826	2.1112e-20	544	GSK-J1	LSM-44939	NA	0.12uM	24h	LINCSCP_146775	NEU
0.3823	2.2562e-20	544	heraclenol	LSM-45686	NA	1.11uM	24h	LINCSCP_154747	PC3
0.3815	2.7264e-20	544	MK-2206	LSM-1057	AKT1|AKT2|AKT3	0.37uM	24h	LINCSCP_115551	HS578T
0.3748	1.3764e-19	544	Procainamide	LSM-3681	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_243548	MCF7
0.3691	5.3537e-19	544	STK151112	LSM-2478	NA	10uM	6h	LINCSCP_21186	HCT116
0.3688	5.7709e-19	544	Glipizide	LSM-2251	ABCC8|KCNJ11	3.33uM	24h	LINCSCP_155966	PC3
0.364	1.7212e-18	544	AS-605240	LSM-42784	PIK3CG	10uM	24h	LINCSCP_163791	SKBR3
0.3605	3.8595e-18	544	Pentylenetetrazol	LSM-3287	NA	10uM	24h	LINCSCP_243513	MCF7
0.3603	4.0522999999999996e-18	544	MK-0812	LSM-45856	NA	1.11uM	24h	LINCSCP_156135	PC3
0.3526	2.2565e-17	544	Moricizine	LSM-2476	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_154703	PC3
0.3486	5.4262e-17	544	BMN 673	LSM-45245	NA	3.33uM	24h	LINCSCP_99176	HA1E
0.3485	5.5663e-17	544	Thalidomide	LSM-1914	CRBN|CUL4A|DDB1|RBX1|TNF	10uM	24h	LINCSCP_127312	HT29
0.3478	6.5209e-17	544	Aloisine	LSM-3131	CDK2	10uM	24h	LINCSCP_52753	SKB
0.3459	9.8716e-17	544	2,8-Dinitroimipramine	LSM-2336	NA	10uM	24h	LINCSCP_25893	HT29
0.3456	1.0544e-16	544	PD-173074	LSM-1026	FGFR1|FGFR3	0.12uM	24h	LINCSCP_81548	A549
0.3453	1.1232e-16	544	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	1uM	24h	LINCSCP_259152	NEU
0.3448	1.2462e-16	544	NEFIRACETAM	LSM-45762	NA	0.12uM	24h	LINCSCP_159049	PC3
0.3417	2.418e-16	544	Osimertinib	LSM-6344	EGFR|ERBB2|ERBB3|ERBB4	1.11uM	24h	LINCSCP_128272	HUES3
0.3414	2.5913e-16	544	SCHEMBL570779	LSM-1149	NA	3.33uM	24h	LINCSCP_81143	A549
0.3411	2.7644e-16	544	Methantheline	LSM-2202	HRH2	10uM	6h	LINCSCP_240861	MCF7
0.3407	3.0161e-16	544	16,16-Dimethyl prostaglandin e2	LSM-43285	HPGD	0.04uM	24h	LINCSCP_143858	MCF7
0.3399	3.5035e-16	544	Meclofenamic acid	LSM-3108	ALOX5|PTGS1|PTGS2	10uM	24h	LINCSCP_208353	HA1E
0.3394	3.9117e-16	544	Olanzapine	LSM-5359	DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR6|HTR7	0.04uM	24h	LINCSCP_154511	PC3
0.3387	4.5925e-16	544	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	3.33uM	24h	LINCSCP_151064	PC3
0.3371	6.3815e-16	544	Syrosingopine	LSM-2297	NA	10uM	24h	LINCSCP_17933	HCC515
0.337	6.5269e-16	544	ST012015	LSM-43095	NA	10uM	24h	LINCSCP_42156	NPC
0.3348	1.0292e-15	544	Coumarin	LSM-2519	NA	10uM	24h	LINCSCP_18875	HCC515
0.3346	1.0766e-15	544	Fenoterol	LSM-1948	ADRB2	3.33uM	24h	LINCSCP_127445	HT29
0.3344	1.1108e-15	544	BRD-K08023754	LSM-6959	NA	5uM	24h	LINCSCP_298719	VCAP
0.3338	1.2588e-15	544	AKT Inhibitor IV	LSM-43091	AKT1	10uM	6h	LINCSCP_12536	CL34
0.3334	1.3687e-15	544	NU-7441	LSM-1061	PRKDC	0.12uM	24h	LINCSCP_150791	PC3
0.3326	1.6181e-15	544	Nylidrin	LSM-1492	ADRB2	10uM	24h	LINCSCP_55886	VCAP
0.3323	1.718e-15	544	Cabozantinib	LSM-1195	KDR|MET	3.33uM	24h	LINCSCP_146057	MNEU.E
0.3317	1.937e-15	544	MLS002264440	LSM-42961	NA	10uM	24h	LINCSCP_237367	MCF7
0.3311	2.1976e-15	544	Diosmin	LSM-5989	AHR	3.33uM	24h	LINCSCP_98733	HA1E
0.3302	2.655e-15	544	Cisapride	LSM-6397	HTR4	0.37uM	24h	LINCSCP_156052	PC3
0.3291	3.292e-15	544	BRD-K76472157	LSM-13107	NA	5uM	6h	LINCSCP_61162	VCAP
0.3287	3.6182e-15	544	BRD-K36313546	LSM-10622	NA	10uM	24h	LINCSCP_41050	NEU
0.3256	6.7376e-15	544	PH-797804	LSM-36373	MAPK14	3.33uM	24h	LINCSCP_80443	A375
0.3255	6.8165e-15	544	Castanospermine	LSM-45891	NA	0.04uM	24h	LINCSCP_103086	HELA
0.3254	6.9057e-15	544	Icariin	LSM-3462	NA	10uM	6h	LINCSCP_137	A375
0.3253	7.0912e-15	544	ZK-93423	LSM-2741	GABRA1|GABRA2|GABRA3|GABRA5	0.04uM	24h	LINCSCP_118849	HT29
0.3252	7.2253e-15	544	Bitopertin	LSM-45785	NA	3.33uM	24h	LINCSCP_156122	PC3
0.3251	7.4581e-15	544	Gemcitabine	LSM-5333	POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	1uM	6h	LINCSCP_36099	MCF7
0.3248	7.9306e-15	544	Masitinib	LSM-1130	FGFR3|KIT|LYN|PDGFRA|PDGFRB	0.12uM	24h	LINCSCP_88453	HA1E
0.3243	8.6761e-15	544	Erythromycin Ethylsuccinate	LSM-3144	ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	10uM	24h	LINCSCP_11576	ASC
0.3243	8.7654e-15	544	Infigratinib	LSM-1184	FGFR1|FGFR2|FGFR3|FGFR4	3.33uM	24h	LINCSCP_164536	SKL.C
