similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.6876	3.9511e-39	270	NU1025	LSM-4643	PARP1	10uM	6h	LINCSCP_10383	A673
0.6814	3.3586e-38	270	BRD-K36938987	LSM-39293	NA	5uM	24h	LINCSCP_48326	PC3
0.68	5.512e-38	270	AMG-208	LSM-45438	MET	0.37uM	24h	LINCSCP_118733	HT29
0.6696	1.724e-36	270	BMS-777607	LSM-1144	AXL|MERTK|MET|MST1R|TYRO3	0.37uM	24h	LINCSCP_69891	A375
0.6682	2.7055e-36	270	CHEMBL1083527	LSM-1122	NA	10uM	3h	LINCSCP_132288	MCF7
0.6352	6.5325e-32	270	BAY 61-3606	LSM-1167	SYK	1.11uM	24h	LINCSCP_152319	PC3
0.6255	1.0014e-30	270	Infigratinib	LSM-1184	FGFR1|FGFR2|FGFR3|FGFR4	10uM	24h	LINCSCP_117205	HT29
0.6254	1.0245e-30	270	Lomeguatrib	LSM-45635	NA	0.04uM	24h	LINCSCP_166465	YAPC
0.6221	2.5388e-30	270	Trametinib	LSM-1143	MAP2K1|MAP2K2	10uM	24h	LINCSCP_151093	PC3
0.6169	1.0573e-29	270	Ascorbyl-Palmitate	LSM-4340	NA	10uM	6h	LINCSCP_7950	A549
0.6018	5.3906e-28	270	LE-135	LSM-2127	RARB	20uM	6h	LINCSCP_52974	SKLU1
0.599	1.0993e-27	270	Tamoxifen	LSM-42959	ESR1|ESR2	3.33uM	24h	LINCSCP_110948	HELA
0.5985	1.2578e-27	270	MLS000562366	LSM-4845	NA	10uM	6h	LINCSCP_7952	A549
0.5936	4.225e-27	270	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_98516	HA1E
0.5934	4.5283e-27	270	GF-109203	LSM-2677	PRKCA	10uM	6h	LINCSCP_53791	SNUC4
0.5929	5.0381e-27	270	CAM-9-021	LSM-2100	NA	10uM	6h	LINCSCP_193717	A549
0.592	6.3581e-27	270	MK-2206	LSM-1057	AKT1|AKT2|AKT3	0.37uM	24h	LINCSCP_111652	HEPG2
0.5915	7.092e-27	270	PK-11195	LSM-1532	TSPO	100uM	6h	LINCSCP_206141	COV644
0.5891	1.2741e-26	270	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_202848	A673
0.5879	1.7357e-26	270	SB-216763	LSM-1161	GSK3B	10uM	24h	LINCSCP_88305	HA1E
0.5862	2.573e-26	270	BRD-K23558120	LSM-9843	NA	3uM	24h	LINCSCP_253058	MCF7
0.5856	2.971e-26	270	BRD-K63898109	LSM-12324	NA	5uM	24h	LINCSCP_229415	HT29
0.5856	3.0159e-26	270	STK369842	LSM-37100	NA	10uM	24h	LINCSCP_13035	FIBRNPC
0.5785	1.6193e-25	270	Linagliptin	LSM-45916	DPP4	0.04uM	24h	LINCSCP_102069	HELA
0.574	4.5767e-25	270	MLS000709026	LSM-43139	RAD51	40uM	6h	LINCSCP_40050	NCIH2073
0.5738	4.8223e-25	270	AT 7867	LSM-1155	NA	0.12uM	24h	LINCSCP_88599	HA1E
0.5717	7.81e-25	270	AVL-292	LSM-45948	BTK	3.33uM	24h	LINCSCP_143508	MCF7
0.567	2.2848e-24	270	Azacitidine	LSM-5218	DNMT1|DNMT3A	0.04uM	24h	LINCSCP_94941	HA1E
0.5666	2.4939e-24	270	Dabrafenib	LSM-6303	BRAF	0.04uM	24h	LINCSCP_89128	HA1E
0.565	3.5809e-24	270	HLI-373	LSM-6225	MDM2	10uM	6h	LINCSCP_202908	A673
0.5636	4.8824e-24	270	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_89004	HA1E
0.5633	5.2396e-24	270	3-(4-Pyridyl)indole	LSM-4569	ROCK1	10uM	6h	LINCSCP_10357	A673
0.5616	7.6373e-24	270	E-Doxepin	LSM-42947	HRH1|HRH2|SLC6A2|SLC6A4	10uM	6h	LINCSCP_212195	HA1E
0.5609	8.9422e-24	270	Bevirimat	LSM-45795	NA	10uM	24h	LINCSCP_118425	HT29
0.5606	9.5586e-24	270	AS-605240	LSM-42784	PIK3CG	10uM	24h	LINCSCP_130032	LNCAP
0.5571	2.0407e-23	270	BMS-536924	LSM-1210	IGF1R	10uM	6h	LINCSCP_17695	HCC15
0.5552	3.0808e-23	270	(R)-(-)-Jq1 enantiomer	LSM-6333	NA	10uM	24h	LINCSCP_100472	HCC515
0.5532	4.8432e-23	270	AT 7867	LSM-1155	NA	0.37uM	24h	LINCSCP_88598	HA1E
0.5504	8.8278e-23	270	Manumycin-A	LSM-43075	FNTA|IKBKB	1uM	24h	LINCSCP_253000	MCF7
0.5501	9.2601e-23	270	Motesanib	LSM-1042	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET	0.12uM	24h	LINCSCP_117131	HT29
0.55	9.6106e-23	270	Enoxolone	LSM-45606	NA	0.12uM	24h	LINCSCP_92006	HA1E
-0.5494	1.092e-22	270	GW-5074	LSM-42779	RAF1	10uM	6h	LINCSCP_176633	A375
0.549	1.1682e-22	270	CHEMBL1950303	LSM-1058	NA	1.11uM	24h	LINCSCP_152343	PC3
0.549	1.1685e-22	270	Pracinostat	LSM-43290	NA	0.37uM	24h	LINCSCP_70236	A375
0.5475	1.6226e-22	270	CHEMBL3188661	LSM-5394	DDR1	1.11uM	24h	LINCSCP_89018	HA1E
0.5436	3.6464e-22	270	BMN 673	LSM-45245	NA	10uM	24h	LINCSCP_127810	HT29
0.542	5.0707e-22	270	BRD-A81936046	LSM-4484	NA	10uM	6h	LINCSCP_286481	SNGM
0.54	7.8007e-22	270	NSC23766	LSM-1818	NA	100uM	6h	LINCSCP_10310	A673
0.5396	8.3523e-22	270	Chloroquine	LSM-1901	NA	10uM	6h	LINCSCP_256840	NCIH1836
0.5396	8.3556e-22	270	Broad-Sai-045	LSM-45330	NA	10uM	24h	LINCSCP_20963	HCC515
0.5394	8.8416e-22	270	PF750	LSM-6277	FAAH	80uM	6h	LINCSCP_10436	A673
0.5366	1.5456e-21	270	CHEMBL552425	LSM-1003	DDR1	0.04uM	24h	LINCSCP_69695	A375
0.5363	1.649e-21	270	Asenapine maleate	LSM-45575	NA	10uM	24h	LINCSCP_127816	HT29
0.5345	2.3659e-21	270	Diloxanide Furoate	LSM-2223	NA	10uM	6h	LINCSCP_2588	A375
0.5323	3.7186e-21	270	BAY 61-3606	LSM-1167	SYK	3.33uM	24h	LINCSCP_89118	HA1E
0.5303	5.5582e-21	270	AZD-1775	LSM-1153	WEE1	0.12uM	24h	LINCSCP_164559	SKL.C
0.5282	8.409e-21	270	SA-1921599	LSM-38768	NA	0.5uM	6h	LINCSCP_253689	MCF7
0.5259	1.327e-20	270	VX-745	LSM-1169	MAPK14	3.33uM	24h	LINCSCP_152330	PC3
0.5258	1.3624e-20	270	SA-1457415	LSM-40938	NA	3uM	6h	LINCSCP_37360	MCF7
0.5256	1.4012e-20	270	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	LSM-1177	ROCK1|ROCK2	3uM	6h	LINCSCP_12505	CL34
0.5253	1.4952e-20	270	Oxandrolone	LSM-45444	AR	3.33uM	24h	LINCSCP_99021	HA1E
0.5239	1.9598e-20	270	Cisatracurium Besylate	LSM-45935	CHRNA1|CHRNB1|CHRND|CHRNE|CHRNG	3.33uM	24h	LINCSCP_101700	HELA
0.5219	2.9035e-20	270	BRD-K51556300-001-01-9	LSM-40116	NA	10uM	6h	LINCSCP_7978	A549
0.5192	4.8892e-20	270	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	1.11uM	24h	LINCSCP_89191	HA1E
