similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	4.6061e-315	72	Ritonavir	LSM-5623	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	10uM	24h	LINCSCP_91636	HA1E
-0.8498	3.8143e-21	72	GW-5074	LSM-42779	RAF1	0.04uM	24h	LINCSCP_152256	PC3
-0.816	2.5228e-18	72	Ketotifen	LSM-2637	HRH1	0.12uM	24h	LINCSCP_155634	PC3
-0.8006	3.1871e-17	72	TORIN1	LSM-1079	MTOR	0.37uM	3h	LINCSCP_164153	SKBR3
-0.79990000000000006	3.5328e-17	72	10-DEBC	LSM-4710	PIM1	3.33uM	24h	LINCSCP_120378	HT29
-0.7993	3.8629e-17	72	AZD4547	LSM-6308	NA	3.33uM	24h	LINCSCP_155613	PC3
-0.7957	6.7649e-17	72	Fluoropyruvate	LSM-6203	NA	40uM	6h	LINCSCP_40172	NCIH508
-0.7869	2.5212e-16	72	MBX-2982	LSM-45394	NA	1.11uM	24h	LINCSCP_155829	PC3
-0.7863	2.7413e-16	72	Josamycin	LSM-46041	NA	0.37uM	24h	LINCSCP_152770	PC3
-0.7779	9.1432e-16	72	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	0.04uM	24h	LINCSCP_86607	CD34
-0.7762	1.1569e-15	72	Nebivolol	LSM-45235	NA	0.37uM	24h	LINCSCP_121592	HT29
-0.7724	1.9248e-15	72	Doxazosin	LSM-4335	ADRA1A|ADRA1B|ADRA1D	0.37uM	24h	LINCSCP_74371	A375
-0.7721	2.0055e-15	72	chlormadinone-acetate	LSM-45604	NA	0.37uM	24h	LINCSCP_120896	HT29
-0.7717	2.1216e-15	72	Aliskiren	LSM-2653	REN	1.11uM	24h	LINCSCP_155764	PC3
-0.7701	2.6371e-15	72	Troglitazone	LSM-4890	PPARG	3.33uM	24h	LINCSCP_92674	HA1E
-0.7695	2.8425e-15	72	Flutamide	LSM-2621	AR	10uM	24h	LINCSCP_155594	PC3
-0.7625	7.1061e-15	72	Donitriptan hydrochloride	LSM-45430	HTR1B|HTR1D|PTGDR2	0.37uM	24h	LINCSCP_155771	PC3
0.76	9.898e-15	72	Entecavir	LSM-5258	NA	10uM	24h	LINCSCP_58834	VCAP
-0.7589	1.1299e-14	72	AC1Q5RFA	LSM-43063	NA	0.04uM	24h	LINCSCP_93169	HA1E
-0.7588	1.1449e-14	72	Pramipexole	LSM-5243	DRD2|DRD3|DRD4	0.12uM	24h	LINCSCP_121701	HT29
-0.7585	1.1941e-14	72	Paroxetine	LSM-2843	SLC6A4	0.04uM	24h	LINCSCP_75355	A375
-0.7583	1.2132e-14	72	AT 7867	LSM-1155	NA	3.33uM	24h	LINCSCP_84365	ASC
-0.7581	1.252e-14	72	TG 100801	LSM-45980	BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.37uM	24h	LINCSCP_92622	HA1E
0.7579	1.2867e-14	72	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_12988	EFO27
-0.7533	2.2876e-14	72	Trimethobenzamide	LSM-2750	DRD2	10uM	24h	LINCSCP_155301	PC3
-0.7522	2.6114e-14	72	Nepafenac	LSM-45729	PTGS1|PTGS2	0.12uM	24h	LINCSCP_92928	HA1E
0.7502	3.3277e-14	72	Rucaparib	LSM-4947	PARP1|PARP2|PARP3	10uM	6h	LINCSCP_29174	JHUEM2
0.7483	4.1891e-14	72	SB 242235	LSM-45559	NA	10uM	24h	LINCSCP_154542	PC3
0.748	4.3485e-14	72	LY-294002	LSM-2597	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC	0.1uM	6h	LINCSCP_68138	PC3
-0.7479	4.3753e-14	72	Labetalol	LSM-1282	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3	3.33uM	24h	LINCSCP_93213	HA1E
-0.7473	4.7269e-14	72	Castanospermine	LSM-45891	NA	3.33uM	24h	LINCSCP_119876	HT29
-0.7473	4.7442e-14	72	Ciprofloxacin	LSM-5226	NA	0.12uM	24h	LINCSCP_121569	HT29
0.7403	1.0702e-13	72	BRD-A82197375	LSM-45476	NA	0.37uM	24h	LINCSCP_104240	HELA
-0.7389	1.2616e-13	72	CPI-613	LSM-45873	NA	0.12uM	24h	LINCSCP_93144	HA1E
-0.7386	1.3065e-13	72	Bicalutamide	LSM-1437	AR	1.11uM	24h	LINCSCP_120883	HT29
-0.7386	1.3157e-13	72	Benoxinate	LSM-2069	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	3.33uM	24h	LINCSCP_93219	HA1E
-0.7383	1.3531e-13	72	MLS002264476	LSM-2977	NA	10uM	24h	LINCSCP_1400	A375
-0.7378	1.4426e-13	72	Minoxidil	LSM-2134	ABCC9|KCNJ11|KCNJ8	0.04uM	24h	LINCSCP_121768	HT29
-0.737	1.5702e-13	72	Pentamidine	LSM-4540	NA	1.11uM	24h	LINCSCP_137870	MCF7
-0.7349	1.9923e-13	72	Labetalol	LSM-1282	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3	10uM	24h	LINCSCP_121817	HT29
-0.7341	2.1782e-13	72	Ixabepilone	LSM-43293	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	0.04uM	24h	LINCSCP_92935	HA1E
-0.7341	2.1881e-13	72	BRD-K51368944	LSM-40104	NA	5uM	24h	LINCSCP_249003	MCF7
-0.7336	2.3091e-13	72	AGI-6780	LSM-45921	NA	0.04uM	24h	LINCSCP_121564	HT29
0.7332	2.4321e-13	72	Valsartan	LSM-2993	AGTR1	0.04uM	24h	LINCSCP_141016	MCF7
-0.733	2.486e-13	72	Pentamidine	LSM-4540	NA	0.12uM	24h	LINCSCP_137872	MCF7
-0.7315	2.9318e-13	72	CPI-613	LSM-45873	NA	0.04uM	24h	LINCSCP_74799	A375
-0.731	3.0955e-13	72	BRD-K00248354	LSM-45928	NA	0.37uM	24h	LINCSCP_92616	HA1E
-0.7248	6.1101e-13	72	Taranabant	LSM-45803	CNR1	0.04uM	24h	LINCSCP_155940	PC3
0.7235	7.0365e-13	72	Lorazepam	LSM-4970	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	3.33uM	24h	LINCSCP_155960	PC3
-0.7233	7.1708e-13	72	BRD-K82226238	LSM-41761	NA	10uM	6h	LINCSCP_279170	PC3
-0.7231	7.3538e-13	72	EXALAMIDE	LSM-45860	NA	10uM	24h	LINCSCP_92595	HA1E
-0.722	8.2384e-13	72	Ketotifen	LSM-2637	HRH1	10uM	24h	LINCSCP_155630	PC3
-0.7206	9.5948e-13	72	SPECTRUM_001092	LSM-1337	NR3C1	0.12uM	24h	LINCSCP_92898	HA1E
0.7194	1.0841e-12	72	ASN 04482516	LSM-4873	NA	10uM	24h	LINCSCP_11021	ASC
-0.7181	1.2479e-12	72	BRD-K00486725	LSM-45808	NA	1.11uM	24h	LINCSCP_93034	HA1E
-0.7178	1.2849e-12	72	Nicotine	LSM-2093	CHRNA10|CHRNA4|CHRNA9|CHRNB2	3.33uM	24h	LINCSCP_74682	A375
-0.7171	1.3826e-12	72	AMG-517	LSM-45865	TRPV1	10uM	24h	LINCSCP_155917	PC3
-0.7163	1.5078e-12	72	R428	LSM-45574	NA	3.33uM	24h	LINCSCP_137995	MCF7
-0.7139	1.9337e-12	72	Theobromine	LSM-5483	NA	0.04uM	24h	LINCSCP_155934	PC3
-0.7135	2.0175e-12	72	BMS-345541	LSM-1028	IKBKB	3.33uM	24h	LINCSCP_163541	SKBR3
-0.7127	2.1859e-12	72	amisulpride	LSM-45926	NA	0.04uM	24h	LINCSCP_74248	A375
-0.7117	2.411e-12	72	PSI-7977	LSM-45846	NA	10uM	24h	LINCSCP_93044	HA1E
-0.7084	3.3999e-12	72	Nicotine	LSM-2093	CHRNA10|CHRNA4|CHRNA9|CHRNB2	1.11uM	24h	LINCSCP_93028	HA1E
-0.7071	3.86e-12	72	Rimonabant	LSM-36994	CNR1	10uM	24h	LINCSCP_137898	MCF7
-0.7056	4.4755e-12	72	376348-65-1, Uk-427857, uk427857	LSM-6182	CCR5	0.04uM	24h	LINCSCP_121558	HT29
0.7043	5.0923e-12	72	Torcetrapib	LSM-45543	NA	3.33uM	24h	LINCSCP_77246	A375
-0.7032	5.6937e-12	72	Cnqx	LSM-3184	NA	1.11uM	24h	LINCSCP_119764	HT29
-0.7022	6.277e-12	72	KW-2478	LSM-45404	NA	1.11uM	24h	LINCSCP_170820	YAPC
-0.7019	6.4918e-12	72	SCHEMBL16196749	LSM-42847	NTRK1	10uM	24h	LINCSCP_52368	SKB
0.701	7.0695e-12	72	NU-7026	LSM-2191	PRKDC	0.04uM	24h	LINCSCP_88945	HA1E
-0.6981	9.3997e-12	72	Berberine	LSM-6553	NA	10uM	24h	LINCSCP_74464	A375
-0.698	9.444e-12	72	Minoxidil	LSM-2134	ABCC9|KCNJ11|KCNJ8	0.04uM	24h	LINCSCP_74817	A375
-0.6971	1.0354e-11	72	Enoxolone	LSM-45606	NA	0.04uM	24h	LINCSCP_155396	PC3
-0.697	1.0401e-11	72	Nicotin-Amide	LSM-5428	PARP1	0.04uM	24h	LINCSCP_120868	HT29
-0.6969	1.0564e-11	72	IN1541	LSM-4460	PRKAA1	10uM	6h	LINCSCP_39698	MDST8
-0.6968	1.0643e-11	72	GDC-0834 (Racemate)	LSM-45549	NA	0.12uM	24h	LINCSCP_92353	HA1E
-0.6967	1.0755e-11	72	Brivanib	LSM-5421	FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR	0.12uM	24h	LINCSCP_155622	PC3
-0.6955	1.2049e-11	72	BRD-A32440707	LSM-45970	NA	10uM	24h	LINCSCP_93248	HA1E
-0.6948	1.285e-11	72	Lorglumide	LSM-4389	CCKAR|CCKBR	0.37uM	24h	LINCSCP_169299	YAPC
-0.6941	1.3759e-11	72	Seliciclib	LSM-1001	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	24h	LINCSCP_121838	HT29
-0.6926	1.5901e-11	72	C30H33N3O5S	LSM-1156	ATM	3.33uM	24h	LINCSCP_151846	PC3
-0.6924	1.6125e-11	72	Lorglumide	LSM-4389	CCKAR|CCKBR	0.04uM	24h	LINCSCP_169301	YAPC
-0.6923	1.6372e-11	72	AGI-6780	LSM-45921	NA	3.33uM	24h	LINCSCP_92955	HA1E
-0.6911	1.8293e-11	72	Amlexanox	LSM-5432	PDE4A|PDE4B|PDE4C|PDE4D	3.33uM	24h	LINCSCP_155673	PC3
-0.6909	1.8672e-11	72	Seocalcitol	LSM-45464	VDR	0.37uM	24h	LINCSCP_155645	PC3
-0.6896	2.1064e-11	72	EXALAMIDE	LSM-45860	NA	3.33uM	24h	LINCSCP_92596	HA1E
-0.6886	2.3081e-11	72	Alaproclate	LSM-1333	SLC6A4	0.12uM	24h	LINCSCP_138010	MCF7
-0.6884	2.3531e-11	72	Altrenogest	LSM-45810	NA	0.37uM	24h	LINCSCP_74455	A375
-0.6881	2.4261e-11	72	SB525334	LSM-1121	TGFBR1	10uM	24h	LINCSCP_84268	ASC
0.6872	2.6291e-11	72	Nordihydroguaiaretic acid	LSM-6507	NA	10uM	24h	LINCSCP_77914	A375
0.6868	2.7367e-11	72	BRD-K05671267	LSM-37575	NA	5uM	24h	LINCSCP_231650	HT29
-0.6863	2.8531e-11	72	AZ628	LSM-1050	BRAF|RAF1	1.11uM	24h	LINCSCP_129477	JURKAT
-0.6853	3.1421e-11	72	ITRACONAZOLE HYDROCHLORIDE	LSM-45773	NA	0.04uM	24h	LINCSCP_73092	A375
-0.6849	3.2556e-11	72	Oxcarbazepine	LSM-5219	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_5707	A549
0.6846	3.3502e-11	72	ST021200	LSM-4601	NA	10uM	6h	LINCSCP_40206	NCIH508
0.684	3.5246e-11	72	CC-930	LSM-45244	MAPK10|MAPK8|MAPK9	10uM	24h	LINCSCP_107790	HELA
0.6838	3.5966e-11	72	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_286974	SNUC4
-0.6826	3.992e-11	72	Voriconazole	LSM-5244	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1	3.33uM	24h	LINCSCP_121722	HT29
-0.6818	4.3063e-11	72	Amlexanox	LSM-5432	PDE4A|PDE4B|PDE4C|PDE4D	0.12uM	24h	LINCSCP_169276	YAPC
-0.6806	4.8157e-11	72	Voriconazole	LSM-5244	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1	10uM	24h	LINCSCP_121721	HT29
0.6805	4.8516e-11	72	4-Deoxyuridine	LSM-6181	CDA|DNMT1	10uM	6h	LINCSCP_13407	H1299
0.6804	4.8868e-11	72	Levcromakalim	LSM-2535	KCNJ8	10uM	6h	LINCSCP_192927	A549
-0.679	5.5399e-11	72	Actarit	LSM-5475	NA	10uM	24h	LINCSCP_155857	PC3
-0.6789	5.5918e-11	72	SPECTRUM_001319	LSM-1963	HSD11B1	0.04uM	24h	LINCSCP_98030	HA1E
-0.678	6.0851e-11	72	Swainsonine	LSM-45602	NA	0.05uM	24h	LINCSCP_138023	MCF7
0.6777	6.2269e-11	72	CDK9 Inhibitor	LSM-1197	NA	10uM	24h	LINCSCP_69876	A375
0.6773	6.4349e-11	72	SA-1938740	LSM-40577	NA	0.5uM	24h	LINCSCP_260352	NKDBA
-0.6773	6.4413e-11	72	GSK-3 Inhibitor II	LSM-1030	GSK3B	3.33uM	24h	LINCSCP_146278	MNEU.E
0.6771	6.5516e-11	72	Dopamine	LSM-4630	ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5	3.33uM	24h	LINCSCP_157338	PC3
-0.677	6.6252e-11	72	MK-3207 (Hydrochloride)	LSM-45896	CALCRL	0.04uM	24h	LINCSCP_95713	HA1E
0.677	6.6333e-11	72	Celecoxib	LSM-2032	PTGS2	0.04uM	24h	LINCSCP_156917	PC3
-0.6765	6.8945e-11	72	Meisoindigo	LSM-45840	NA	0.12uM	24h	LINCSCP_92773	HA1E
0.6755	7.5479e-11	72	BRD-K01425431	NA	NA	1.11uM	24h	LINCSCP_81575	A549
-0.6753	7.6847e-11	72	Felodipine	LSM-1447	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	10uM	24h	LINCSCP_155714	PC3
0.6734	9.1053e-11	72	SPECTRUM_001060	LSM-1251	ESR1	1.11uM	24h	LINCSCP_122094	HT29
0.6729	9.4908e-11	72	VX-745	LSM-1169	MAPK14	10uM	24h	LINCSCP_152329	PC3
-0.6726	9.7516e-11	72	Ticlopidine	LSM-1986	P2RY12	10uM	24h	LINCSCP_191742	A549
-0.672	1.0253e-10	72	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	24h	LINCSCP_117523	HT29
0.6708	1.1375e-10	72	ZINC68199948	LSM-6249	TP53	10uM	6h	LINCSCP_257377	NCIH508
-0.6708	1.1405e-10	72	Esmolol	LSM-4957	ADRB1|ADRB2	3.33uM	24h	LINCSCP_93189	HA1E
-0.6704	1.1853e-10	72	Amitriptyline	LSM-3190	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|SLC6A2|SLC6A4	0.04uM	24h	LINCSCP_120322	HT29
-0.6701	1.2091e-10	72	CI-1040	LSM-1048	MAP2K1|MAP2K2	1.11uM	24h	LINCSCP_92998	HA1E
-0.6701	1.2181e-10	72	Eugenol	LSM-2720	NA	1.11uM	24h	LINCSCP_155847	PC3
-0.6697	1.2578e-10	72	SCHEMBL15556278	LSM-1002	DDR1	0.37uM	24h	LINCSCP_149382	NPC
-0.6696	1.2624e-10	72	Penitrem A	LSM-2058	KCNMA1	0.01uM	24h	LINCSCP_134859	MCF7
-0.6696	1.2719e-10	72	(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid	LSM-5532	ALOX5|PPARG|PTGS1|PTGS2	0.37uM	24h	LINCSCP_170827	YAPC
-0.6693	1.3056e-10	72	Seocalcitol	LSM-45464	VDR	0.04uM	24h	LINCSCP_155647	PC3
