signatureid	compound	similarity
LINCSCP_15217	Chloroquine	1
LINCSCP_49411	Avicin-D	0.6068
LINCSCP_138312	Deferiprone	0.5783
LINCSCP_202121	Oxetane	0.557
LINCSCP_49414	Avicin-G	0.5542
LINCSCP_46244	MLS-0435555.0001	0.5379
LINCSCP_6111	SAN1_003817	0.5168
LINCSCP_49153	CHEMBL2357390	0.5002
LINCSCP_168589	Camostat Mesilate	0.4993
LINCSCP_168723	Prothiaden Spofa	0.4977
LINCSCP_264076	SMR000075319	0.49
LINCSCP_137575	5-(Z)-7-(4-o-hydroxyphenyl-2-trifluoromethyl-1,3 dioxan-cis-5-yl)heptenoic acid	0.4827
LINCSCP_46188	Latrunculin B	0.4792
LINCSCP_132224	AKT Inhibitor VIII	0.4783
LINCSCP_6505	Lypressin	0.4708
LINCSCP_168477	Temsirolimus (CCI-779, NSC 683864)	0.4672
LINCSCP_25150	Proscillaridin A	0.4655
LINCSCP_46272	SCHEMBL2608041	0.4643
LINCSCP_76687	3-(4-Pyridyl)indole	0.4573
LINCSCP_40057	COT-10B	0.4528
LINCSCP_25165	AC1NWALC	0.4471
LINCSCP_63013	BRD-K18449990	0.4467
LINCSCP_25167	AC1NWALF	0.4452
LINCSCP_137993	Berberine	0.445
LINCSCP_47351	Triamterene	0.4449
LINCSCP_17018	Iodoacetic acid	0.4416
LINCSCP_6642	MLS001033149	0.4402
LINCSCP_153848	Forskolin, NKH477	0.4396
LINCSCP_223132	PAC-1	0.4348
LINCSCP_49418	COL-3	0.434
LINCSCP_43916	Mitoxantrone	0.4328
LINCSCP_267851	SMR000217164	0.4326
LINCSCP_146448	AZD4547	0.4306
LINCSCP_27057	7Beta-forskolin	0.4306
LINCSCP_305457	BRD-K10055064	0.4289
LINCSCP_115025	Alpelisib	0.4285
LINCSCP_47106	CHEMBL2144875	0.4281
LINCSCP_25153	NSC25485	0.4277
LINCSCP_168469	Ornidazole	0.4273
LINCSCP_41833	TL_HRAS26	0.4264
LINCSCP_158099	Dinoprost	0.4257
LINCSCP_39841	SCHEMBL6851809	0.4253
LINCSCP_25160	SPECTRUM2_001084	0.4227
LINCSCP_153444	IB-MECA	0.4223
LINCSCP_47298	NCGC00170405-01	0.4219
LINCSCP_115017	Erlotinib	0.4163
LINCSCP_154352	Colforsin	0.4156
LINCSCP_41086	BRD-K21374126	0.4146
LINCSCP_108756	PF-03814735	0.4141
LINCSCP_18588	Tazac, Axid, Axid Ar, Nizatidine	0.4098
LINCSCP_155355	Alprostadil	0.4076
LINCSCP_40279	Ingenol 3,20-dibenzoate	0.406
LINCSCP_14551	Penfluridol	0.4045
LINCSCP_47360	Metaproterenol	0.4014
LINCSCP_67737	CGS-15943	0.4002
LINCSCP_6656	MLS001172197	0.3994
LINCSCP_44772	PRESTWICK3_000646	0.398
LINCSCP_8053	Heliomycin	0.3979
LINCSCP_44467	Bufalin	0.3959
LINCSCP_47352	Cladribine	0.3948
LINCSCP_167679	MK-5172	0.3945
LINCSCP_140357	Rifaximin	0.3944
LINCSCP_2511	Hydroquinidine	0.3943
LINCSCP_47346	Pyrimethamine	0.3905
LINCSCP_44688	2-Phenylaminoadenosine	0.3893
LINCSCP_46091	Etoposide	0.3892
LINCSCP_193091	DH 97	0.3884
LINCSCP_45111	QS-11	0.3861
LINCSCP_16817	ZINC01043777	0.3843
LINCSCP_22453	HG-5-88-01	0.3838
LINCSCP_11168	CBIOL_001848	0.3827
LINCSCP_129072	CHEMBL3188661	0.3819
LINCSCP_47140	BRD-K67090983	0.3817
LINCSCP_111832	EX-8678	0.3812
LINCSCP_169641	Pomalidomide	0.3808
LINCSCP_16221	CHEMBL41721	0.3805
LINCSCP_137955	Meisoindigo	0.38
LINCSCP_40065	Cytochalasin B	0.3795
LINCSCP_40078	Niclosamide	0.3785
LINCSCP_47415	YL-54	0.3776
LINCSCP_29354	SRT-1720	0.3776
LINCSCP_979	CHEMBL1222381	0.3771
LINCSCP_168905	Trimethobenzamide	0.3771
LINCSCP_6564	Calmidazolium	0.3765
LINCSCP_44682	SCHEMBL8922766	0.3754
LINCSCP_44021	Dinoprostone	0.375
LINCSCP_40149	pyrvinium-pamoate	0.3726
LINCSCP_43982	CHEMBL277800	0.372
LINCSCP_11074	Xanthohumol	0.3714
LINCSCP_69359	GSK-3 Inhibitor IX	0.3711
LINCSCP_39810	Menadione	0.3707
LINCSCP_40109	Ursolic acid	0.3705
LINCSCP_46726	AK-778/12434114	0.3699
LINCSCP_14976	Chlorphenesin Carbamate	0.3698
LINCSCP_128547	GSK 1059615	0.3678
LINCSCP_81862	Dasatinib	0.3674
LINCSCP_169544	Tipiracil (hydrochloride)	0.3674
LINCSCP_40096	SU-11652	0.3669
LINCSCP_43958	Hemado	0.3664
LINCSCP_46309	NCGC00172397-01	0.366
LINCSCP_66946	Wortmannin	0.3659
LINCSCP_27146	AC1O7M2R	0.3657
LINCSCP_128602	Quizartinib	0.3653
LINCSCP_162136	Ingenol Mebutate	0.3651
LINCSCP_46753	2-Aminopurine	0.3644
LINCSCP_13307	Pyrvinium pamoate	0.3624
LINCSCP_47127	BRD-K55827386	0.3617
LINCSCP_49224	Broad-Sai-609	0.3601
LINCSCP_8009	Lanacordin	0.3589
LINCSCP_6963	UNII-BXU45ZH6LI	0.3584
LINCSCP_71635	Indigo Red	0.3584
LINCSCP_44448	UNII-BXU45ZH6LI	0.3584
LINCSCP_46181	Nitazoxanide	0.3582
LINCSCP_169072	3-N-Propylxanthine	0.358
LINCSCP_169900	BMY-14802	0.3578
LINCSCP_6026	MLS000518920	0.3573
LINCSCP_137449	VRT752271	0.3569
LINCSCP_39808	Sepantronium	0.3567
LINCSCP_53178	BX-795	0.3565
LINCSCP_157526	GSK1292263	0.3561
LINCSCP_47335	NCGC00170397-01	0.3555
LINCSCP_170098	phylloquinone	0.3543
LINCSCP_269273	Raltitrexed	0.354
LINCSCP_44104	SPECTRUM_000715	0.3535
LINCSCP_46266	AC1O9BJ3	0.353
LINCSCP_44458	Ouabain	0.3527
LINCSCP_2166	ST50903421	0.352
LINCSCP_11080	STK249718	0.3519
LINCSCP_46739	MAYBRIDGE4_001981	0.3518
LINCSCP_244129	Fluoxetine	0.3515
LINCSCP_53957	Trifluoperazine	0.3508
LINCSCP_44746	Mbcq	0.3508
LINCSCP_137823	Dapivirine (TMC120)	0.3505
LINCSCP_46264	BRD-K69888333	0.3502
LINCSCP_48082	Morin	0.3501
LINCSCP_7803	SA-424936	0.3494
LINCSCP_208280	CHEBI:48565	0.3493
LINCSCP_44766	Periplocymarin	0.3491
LINCSCP_156243	Gemcitabine	0.3485
LINCSCP_271613	CHEMBL2355586	0.348
LINCSCP_156117	Midostaurin	0.3475
LINCSCP_10230	179324-69-7	0.3474
LINCSCP_46608	SCHEMBL10026606	0.3472
LINCSCP_46468	Floxuridine	0.3468
LINCSCP_6673	MLS001173269	0.3467
LINCSCP_191279	TAE-684	0.3466
LINCSCP_110920	Lamotrigine	0.3463
