signatureid	compound	similarity
LINCSCP_91684	Baricitinib	1
LINCSCP_168453	Warfarin	0.5532
LINCSCP_74490	Emedastine	0.5525
LINCSCP_16544	AG-205/40776311	0.5475
LINCSCP_94990	AS-605240	0.5471
LINCSCP_46347	MLS-0435555.0001	0.5392
LINCSCP_38751	Entinostat	0.5188
LINCSCP_140383	ABT-199 (GDC-0199)	0.5137
LINCSCP_125626	ESTRAMUSTINE	0.5125
LINCSCP_140460	Aminocaproic acid	0.498
LINCSCP_280023	Oxetane	0.4929
LINCSCP_122069	Cefoperazone	0.492
LINCSCP_168346	heraclenol	0.4918
LINCSCP_94757	Venlafaxine	0.4912
LINCSCP_169075	Cevimeline hydrochloride	0.4896
LINCSCP_94980	BRD-A43331270-001-01-6	0.4885
LINCSCP_123457	BRD-A08662020	0.4877
LINCSCP_97717	SU14813	0.4867
LINCSCP_121477	MILNACIPRAN HYDROCHLORIDE	0.486
LINCSCP_47395	NCGC00170405-01	0.4841
LINCSCP_29963	LDN 193189	0.4799
LINCSCP_92123	fluocinolone-acetonide	0.466
LINCSCP_3109	YL-55	0.4645
LINCSCP_49411	Avicin-D	0.4631
LINCSCP_94806	Ivacaftor (VX-770)	0.4626
LINCSCP_123476	(Z) Fluvoxamine	0.459
LINCSCP_103908	Salirasib	0.4579
LINCSCP_74801	AC480 (BMS-599626)	0.4516
LINCSCP_47335	NCGC00170397-01	0.4502
LINCSCP_47181	BRD-A07407288	0.4493
LINCSCP_155189	Zileuton	0.4492
LINCSCP_171732	naftidrofuryl	0.4484
LINCSCP_121954	CI-218872	0.4481
LINCSCP_45717	SMR000047763	0.4477
LINCSCP_16085	SR-02000000477	0.4429
LINCSCP_176207	ABACAVIR SULFATE	0.4429
LINCSCP_49415	Avicin-G	0.4403
LINCSCP_76076	MK-2461	0.4391
LINCSCP_13965	SRC Kinase Inhibitor II	0.4389
LINCSCP_104909	Nafamostat Mesylate	0.4375
LINCSCP_122333	MK-0773	0.4354
LINCSCP_168624	Fosinopril	0.4344
LINCSCP_123508	AZD-1775	0.4329
LINCSCP_15144	Calcipotriene	0.4305
LINCSCP_120422	TORIN1	0.4295
LINCSCP_168864	GSK-1070916	0.4294
LINCSCP_97740	Nicergoline	0.4286
LINCSCP_121367	Guanadrel	0.4252
LINCSCP_93071	AZ628	0.4249
LINCSCP_69261	Nilotinib	0.4245
LINCSCP_1688	SMR000208762	0.424
LINCSCP_46923	Calmidazolium	0.4228
LINCSCP_8053	Heliomycin	0.4213
LINCSCP_121912	nimodipine	0.4207
LINCSCP_16566	F3284-4453	0.4205
LINCSCP_94703	Palbociclib	0.4183
LINCSCP_168786	SU-11652	0.4181
LINCSCP_40199	O-Demethylated Adapalene	0.4162
LINCSCP_15906	CHEMBL1269897	0.416
LINCSCP_141361	AZD1981	0.4155
LINCSCP_47812	PRESTWICK3_000866	0.411
LINCSCP_46078	Tegaserod	0.4104
LINCSCP_92040	GSK-923295	0.4101
LINCSCP_44772	PRESTWICK3_000646	0.4093
LINCSCP_48688	BRD-K66732164	0.4091
LINCSCP_120350	Trifluoperazine	0.4073
LINCSCP_47386	Azacitidine	0.4052
LINCSCP_16477	SPOX1_000651	0.4036
LINCSCP_3082	YL-59	0.3994
LINCSCP_122413	Ambrisentan	0.3986
LINCSCP_99222	Etanidazole	0.3974
LINCSCP_122162	Roflumilast	0.3963
LINCSCP_110253	Clinofibrate	0.393
LINCSCP_16817	ZINC01043777	0.3915
LINCSCP_168763	10-DEBC	0.3899
LINCSCP_76633	AC1NSM0X	0.3867
LINCSCP_139338	Ubenimex	0.386
LINCSCP_47207	AC1OA39F	0.3858
LINCSCP_168697	XL335	0.3857
LINCSCP_46341	AC1O9CBL	0.3855
LINCSCP_29260	Perhexiline	0.3855
LINCSCP_93605	Roquinimex	0.3854
LINCSCP_47415	YL-54	0.3853
LINCSCP_93418	Diphenidol	0.3826
LINCSCP_47988	BRD-K55113501-001-01-2	0.382
LINCSCP_6613	Tyrphostin A9	0.381
LINCSCP_77323	Avanafil	0.3807
LINCSCP_154938	Pidotimod	0.3799
LINCSCP_53524	Phorbol 12-myristate-13-acetate	0.3795
LINCSCP_16221	CHEMBL41721	0.3792
LINCSCP_51218	MLN 2238	0.3785
LINCSCP_171499	Aminolevulinic acid	0.3785
LINCSCP_94857	Orphenadrine	0.3782
LINCSCP_168492	Osimertinib	0.3767
LINCSCP_112740	SB-203580	0.3766
LINCSCP_41760	Fenretinide	0.3756
LINCSCP_53530	Ingenol 3,20-dibenzoate	0.3741
LINCSCP_14571	Puromycin	0.3738
LINCSCP_46297	MLS000583956	0.3731
LINCSCP_92578	Glipizide	0.3725
LINCSCP_80113	Indiplon	0.3712
LINCSCP_96763	Neratinib	0.3712
LINCSCP_44287	SMP2_000249	0.3712
LINCSCP_53932	SB225002	0.3707
LINCSCP_7954	CHEMBL2359798	0.3691
LINCSCP_284277	Triclosan	0.3686
LINCSCP_162038	Lopinavir	0.3685
LINCSCP_111636	936890-98-1	0.3683
LINCSCP_234162	COT-10B	0.3681
LINCSCP_44297	Digoxigenin	0.3669
LINCSCP_49782	Gemcitabine	0.3667
LINCSCP_69130	TGX 221	0.3666
LINCSCP_51031	SMR000075319	0.3665
LINCSCP_123124	RASAGILINE	0.3648
LINCSCP_110919	Lamotrigine	0.3644
LINCSCP_29077	AN-023/14772014	0.3638
LINCSCP_145663	SCHEMBL6874948	0.3633
LINCSCP_171855	Tivozanib	0.363
LINCSCP_2058	AC1O9BJ3	0.3626
LINCSCP_56881	Capsaicin	0.362
LINCSCP_167846	Ridaforolimus (Deforolimus, MK-8669)	0.3615
LINCSCP_170527	ABT-333	0.3612
LINCSCP_48684	SCHEMBL17789576	0.3611
LINCSCP_46392	SPOX1_002925	0.361
LINCSCP_171695	TAK-242	0.3606
LINCSCP_53892	Narciclasine	0.3606
LINCSCP_4802	Ursolic acid	0.3602
LINCSCP_47161	BRD-K87387614	0.3591
LINCSCP_12585	pyrvinium-pamoate	0.359
LINCSCP_93015	Ledipasvir	0.3585
LINCSCP_12926	XAV 939	0.3582
LINCSCP_172515	Methoxsalen	0.3573
LINCSCP_39277	SCHEMBL17052537	0.3566
LINCSCP_120981	Aliskiren	0.3545
LINCSCP_69286	Linsitinib	0.3521
LINCSCP_108799	Erlotinib	0.3516
LINCSCP_176077	Ciglitazone	0.3514
LINCSCP_169577	amisulpride	0.3513
LINCSCP_87950	GSK-3 Inhibitor IX	0.3508
LINCSCP_139525	Lonafarnib	0.3501
LINCSCP_44462	BRD-K38477985	0.3497
LINCSCP_122231	Foretinib	0.3495
LINCSCP_49153	CHEMBL2357390	0.3494
LINCSCP_16554	PK04_098276	0.349
LINCSCP_142383	Elesclomol	0.3481
LINCSCP_156480	Pramipexole	0.347
LINCSCP_12946	DG-041	0.346
LINCSCP_93464	JNJ-38877605	0.3453
LINCSCP_91901	Tonabersat	0.3453
LINCSCP_46309	NCGC00172397-01	0.3448
LINCSCP_11168	CBIOL_001848	0.3445
LINCSCP_93435	1,3-Dipropyl-8-cyclopentylxanthine	0.3441
LINCSCP_168126	SPECTRUM_001048	0.3433
LINCSCP_97451	Duloxetine	0.3429
LINCSCP_170768	Efavirenz	0.3427
LINCSCP_44286	Cymarin	0.3425
LINCSCP_103740	Esculin	0.342
LINCSCP_44467	Bufalin	0.3402
LINCSCP_11074	Xanthohumol	0.3397
LINCSCP_7737	Strophanthidin	0.3396
