signatureid	compound	similarity
LINCSCP_97726	114798-26-4	1
LINCSCP_250475	3-Aminobenzamide	0.6637
LINCSCP_174453	Pinaverium bromide	0.6616
LINCSCP_234807	848193-68-0	0.6527
LINCSCP_65516	BRD-K75023015	0.6452
LINCSCP_141886	MLN-8054	0.6287
LINCSCP_96615	Loratadine	0.6282
LINCSCP_160154	IOWH032	0.6262
LINCSCP_171215	Narlaprevir	0.6216
LINCSCP_160365	VX-809 (Lumacaftor)	0.6197
LINCSCP_15979	Clopidogrel	0.6113
LINCSCP_97083	Tacalcitol	0.6094
LINCSCP_97573	SPECTRUM1505012	0.6044
LINCSCP_79034	Escitalopram	0.5987
LINCSCP_159254	CC-401	0.5965
LINCSCP_94686	TAK-242	0.593
LINCSCP_39803	ZM336372	0.593
LINCSCP_95225	RO4987655	0.5906
LINCSCP_50673	Neratinib	0.5828
LINCSCP_160376	Aripiprazole	0.5778
LINCSCP_123777	Rifaximin	0.574
LINCSCP_159904	TAK-285	0.5705
LINCSCP_95299	Cilostazol	0.5697
LINCSCP_160468	sn-Glycero-3-phosphocholine	0.5664
LINCSCP_34941	BRD-K92313046	0.5645
LINCSCP_50739	Parbendazole	0.5645
LINCSCP_40271	Brefeldin A	0.5643
LINCSCP_50849	3-Methyladenine	0.5627
LINCSCP_64828	BRD-K99311962	0.5612
LINCSCP_275563	BRD-K51871563	0.5605
LINCSCP_106737	Etoricoxib	0.56
LINCSCP_141975	IDOXURIDINE	0.5587
LINCSCP_43764	CHEMBL399379	0.5583
LINCSCP_123169	Oxybenzone	0.555
LINCSCP_98422	Clinofibrate	0.5537
LINCSCP_171138	Cyproterone Acetate	0.5527
LINCSCP_20945	Estradiol	0.5511
LINCSCP_41050	BRD-K36313546	0.5507
LINCSCP_97399	Rimcazole	0.5489
LINCSCP_4005	BL003-049-HDAC3	0.5473
LINCSCP_284247	Coumarin	0.5472
LINCSCP_66322	VX-11E	0.5459
LINCSCP_78693	GDC-0068	0.5456
LINCSCP_78327	NMS-1286937	0.545
LINCSCP_25132	AC1LDBAO	0.543
LINCSCP_160485	PF-04217903	0.5394
LINCSCP_65062	BRD-K74842589	0.5374
LINCSCP_109209	Ranitidine	0.5369
LINCSCP_250724	Wortmannin	0.5365
LINCSCP_124996	Inamrinone	0.5365
LINCSCP_61001	BRD-K94206926	0.5354
LINCSCP_143403	Dequalinium	0.5352
LINCSCP_139610	Vemurafenib	0.5325
LINCSCP_96646	Rosuvastatin	0.5309
LINCSCP_160192	Sobetirome	0.5302
LINCSCP_97769	NVP DPP 728 dihydrochloride	0.529
LINCSCP_97213	MK-2206	0.5285
LINCSCP_287560	ASN 05257430	0.527
LINCSCP_110007	Naphazoline	0.5267
LINCSCP_122974	SCH-28080	0.5258
LINCSCP_97289	Azelastine	0.5247
LINCSCP_76403	HYDROXYUREA	0.524
LINCSCP_61162	BRD-K76472157	0.5231
LINCSCP_79937	Cinaciguat	0.5226
LINCSCP_161157	Nicergoline	0.522
LINCSCP_165006	galantamine	0.5206
LINCSCP_94086	Chlorprothixene	0.5198
LINCSCP_79171	Dihydroergotamine	0.5174
LINCSCP_141757	Maxacalcitol-D6	0.5124
LINCSCP_174142	Cyclosporin A	0.5098
LINCSCP_137005	(-)-Tramadol	0.5092
LINCSCP_97557	Diazoxide	0.5088
LINCSCP_125997	Secnidazole	0.5082
LINCSCP_15835	MLS001060826	0.5077
LINCSCP_108937	GDC-0152	0.5071
LINCSCP_8393	BRD-K19108281	0.5068
LINCSCP_64738	BRD-K05051664	0.5066
LINCSCP_173703	Ercalcitriol	0.5062
LINCSCP_126382	STK-674938	0.5045
LINCSCP_108756	PF-03814735	0.5037
LINCSCP_152371	869288-64-2	0.5034
LINCSCP_160421	181144-66-1	0.5024
LINCSCP_175097	Ibutilide	0.502
LINCSCP_160444	Quinapril	0.5017
LINCSCP_108946	Zosuquidar	0.5013
LINCSCP_95308	ZK 200775	0.5013
LINCSCP_151200	Palbociclib	0.5
LINCSCP_161004	Atenolol	0.4997
LINCSCP_96581	MEK162 (ARRY-162, ARRY-438162)	0.4991
LINCSCP_58348	BRD-K18964980	0.4991
LINCSCP_159061	Myosin ATPase Activator, EMD57003	0.4979
LINCSCP_94431	Selumetinib	0.4979
LINCSCP_97143	SGI-1776	0.4976
LINCSCP_108819	Falnidamol	0.4974
LINCSCP_103668	SPECTRUM_001522	0.4968
LINCSCP_124964	Bimatoprost	0.4966
LINCSCP_152318	BAY 61-3606	0.4963
LINCSCP_151437	LRRK2-IN-1	0.4961
LINCSCP_171355	Primaquine	0.496
LINCSCP_78665	ESTRAMUSTINE	0.4958
LINCSCP_41870	NVP-AUY922	0.4956
LINCSCP_78601	alizapride	0.494
LINCSCP_94662	Emtricitabine	0.4927
LINCSCP_95317	CI-966	0.4926
LINCSCP_50528	NUTLIN 3	0.4917
LINCSCP_94668	Gliclazide	0.4913
LINCSCP_88952	VE-821	0.4912
LINCSCP_50665	Triacsin C	0.491
LINCSCP_211755	KU-55933	0.4898
LINCSCP_97662	AC1NSZCT	0.4887
LINCSCP_283706	SUGA1_010488	0.4879
LINCSCP_104494	AC1NWAML	0.4865
LINCSCP_94562	ICI 192,605	0.4863
LINCSCP_49458	L-Sulforaphane	0.4861
LINCSCP_142380	Elesclomol	0.4839
LINCSCP_165734	PFI-1	0.4832
LINCSCP_143262	2'-Deoxycytidine (hydrochloride)	0.4828
LINCSCP_76515	Tivozanib	0.4818
LINCSCP_98071	AZD2014	0.4815
LINCSCP_141842	Mirodenafil (dihydrochloride)	0.4814
LINCSCP_109776	Theophylline	0.4802
LINCSCP_139444	AZD-8330	0.4799
LINCSCP_237804	Dicloxacillin	0.4795
LINCSCP_188966	SCHEMBL2554399	0.4794
LINCSCP_151393	Gefitinib	0.4789
LINCSCP_36053	SCHEMBL16226502	0.4788
LINCSCP_160892	Probucol	0.4778
LINCSCP_65397	BRD-K07922534	0.4777
LINCSCP_160461	ACEXAMIC ACID	0.477
LINCSCP_159531	CTS-1027	0.4768
LINCSCP_160338	BRD-A62647958	0.4764
LINCSCP_55198	Auranofin	0.4763
LINCSCP_171558	Propentofylline	0.4762
LINCSCP_79698	Bisoprolol	0.4742
LINCSCP_159199	Proglumide	0.4735
LINCSCP_145796	BMS-387032	0.4731
LINCSCP_79717	HC-030031	0.4721
LINCSCP_106502	AC1NWAOC	0.4714
LINCSCP_47784	ZINC04521755	0.4711
LINCSCP_150905	Foretinib	0.471
LINCSCP_7059	KBIO2_003002	0.4706
LINCSCP_161325	Metformin	0.4702
LINCSCP_171508	RASAGILINE	0.469
LINCSCP_50916	Rilmenidine	0.4683
LINCSCP_53907	Lexibulin	0.4682
LINCSCP_78146	Rivaroxaban	0.4672
LINCSCP_116519	Sorafenib	0.467
LINCSCP_109066	LACOSAMIDE	0.4669
LINCSCP_25065	GF-109203	0.4666
LINCSCP_277451	BRD-K95964003	0.4662
LINCSCP_126190	BRD-K00199686	0.4646
LINCSCP_159210	Famciclovir	0.464
LINCSCP_132430	Apitolisib (gdc-0980, rg7422)	0.4639
LINCSCP_160687	AMSACRINE	0.4637
LINCSCP_130910	LDN 193189	0.4636
LINCSCP_95331	paroxetine	0.4631
LINCSCP_94411	MK-2461	0.4627
LINCSCP_13012	SCHEMBL7531261	0.4619
LINCSCP_174465	Duloxetine	0.4614
