signatureid	compound	similarity
LINCSCP_98516	Chloroquine	0.7192
LINCSCP_98422	Clinofibrate	0.5773
LINCSCP_110919	Lamotrigine	0.5534
LINCSCP_15144	Calcipotriene	0.5441
LINCSCP_98481	Nortriptyline	0.5211
LINCSCP_257306	BIBR-1532	0.5135
LINCSCP_98733	Diosmin	0.5049
LINCSCP_42156	ST012015	0.4984
LINCSCP_69286	Linsitinib	0.4958
LINCSCP_165047	BAY 61-3606	0.4956
LINCSCP_310	C2-Ceramide	0.4941
LINCSCP_145077	Buparlisib	0.4907
LINCSCP_99178	BMN 673	0.4881
LINCSCP_135795	Procaine	0.4766
LINCSCP_54812	RG 108	0.4749
LINCSCP_12926	XAV 939	0.4744
LINCSCP_2649	Phentolamine	0.472
LINCSCP_98426	Retigabine	0.4709
LINCSCP_221167	306935-41-1	0.4678
LINCSCP_99187	Nisoxetine	0.4633
LINCSCP_15121	4-Hydroxytamoxifen	0.4624
LINCSCP_14750	6-Methoxy-harmalan	0.4602
LINCSCP_99021	Oxandrolone	0.4539
LINCSCP_250242	Entinostat	0.4518
LINCSCP_259218	LY-294002	0.4492
LINCSCP_12916	CHEMBL416418	0.4456
LINCSCP_99281	Deferasirox	0.4451
LINCSCP_13017	149759-96-6	0.44
LINCSCP_99001	Mycophenolate Mofetil	0.4395
LINCSCP_110957	Quizartinib	0.439
LINCSCP_260884	CHEMBL2360495	0.4357
LINCSCP_15095	Lobaric acid	0.4356
LINCSCP_127433	FPL-55712	0.4351
LINCSCP_55886	Nylidrin	0.4344
LINCSCP_257316	916985-21-2	0.4328
LINCSCP_22453	HG-5-88-01	0.4327
LINCSCP_111788	WYE 125132	0.4307
LINCSCP_15738	Triazine Scaffold, 33	0.4306
LINCSCP_38321	AG490	0.4285
LINCSCP_162400	EMD-1214063	0.4283
LINCSCP_225229	KUC103884	0.4263
LINCSCP_111832	EX-8678	0.4257
LINCSCP_99060	STK009254	0.4246
LINCSCP_112740	SB-203580	0.4229
LINCSCP_56881	Capsaicin	0.4227
LINCSCP_32539	WYE 354	0.4217
LINCSCP_128272	Osimertinib	0.4186
LINCSCP_38807	Tozasertib	0.4178
LINCSCP_31424	SCHEMBL2557158	0.4175
LINCSCP_69301	Momelotinib	0.4171
LINCSCP_311	W 5	0.4158
LINCSCP_259177	BRD-K06816133	0.4156
LINCSCP_14927	NS1619	0.4156
LINCSCP_98433	Bazedoxifene HCl	0.4156
LINCSCP_223132	PAC-1	0.4155
LINCSCP_111485	YM 201636	0.4145
LINCSCP_39872	Vemurafenib	0.4144
LINCSCP_239258	Pefloxacin	0.4138
LINCSCP_87627	AZD-1152-HQPA	0.412
LINCSCP_253897	BRD-K30393343	0.4065
LINCSCP_251294	AKT Inhibitor VIII	0.4059
LINCSCP_204269	Norketamine	0.4057
LINCSCP_28132	CHEMBL2354467	0.405
LINCSCP_201164	Trichostatin	0.4038
LINCSCP_26181	NCGC00238543-01	0.4036
LINCSCP_249588	BRD-K72738889	0.4036
LINCSCP_25011	Promethazine	0.4034
LINCSCP_297046	BRD-K04380254	0.4008
LINCSCP_104293	Tioconazole	0.3995
LINCSCP_111076	Mycophenolic acid	0.3994
LINCSCP_219810	Reichsteins Substance S	0.3993
LINCSCP_255178	AZD-1152HQPA	0.396
LINCSCP_14576	10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine	0.3954
LINCSCP_14976	Chlorphenesin Carbamate	0.3944
LINCSCP_110975	Ribavirin	0.3935
LINCSCP_29284	Thioridazine	0.3932
LINCSCP_132266	Enzastaurin	0.3925
LINCSCP_28528	CHEMBL2143628	0.3917
LINCSCP_188992	MLS003271340	0.3917
LINCSCP_29110	CHEMBL1242477	0.3908
LINCSCP_15824	MLS001065864	0.3892
LINCSCP_251459	GSK-461364	0.3887
LINCSCP_12953	GMX1778	0.3887
LINCSCP_66659	Vorinostat	0.3874
LINCSCP_54748	3,7-Bis(dimethylamino)phenothiazin-5-ium	0.3869
LINCSCP_178650	nifedipine	0.3861
LINCSCP_53957	Trifluoperazine	0.3854
LINCSCP_98790	PH-797804	0.3846
LINCSCP_1955	Enalaprilat	0.3845
LINCSCP_110866	Gibberellin A3	0.3831
LINCSCP_53342	CHEMBL1222381	0.3824
LINCSCP_65134	CHEMBL3183038	0.3823
LINCSCP_25137	Kinetin Riboside	0.3804
LINCSCP_207016	BRD-K39172790-001-01-9	0.3799
LINCSCP_208353	Meclofenamic acid	0.3795
LINCSCP_98780	NKP608	0.3793
LINCSCP_255159	TL Aurora 09	0.3786
LINCSCP_39838	PG 490	0.3783
LINCSCP_29200	SCHEMBL17497408	0.3777
LINCSCP_165008	Aurora A Inhibitor I	0.3763
LINCSCP_11576	Erythromycin Ethylsuccinate	0.3757
LINCSCP_161906	Betahistine	0.375
LINCSCP_234162	COT-10B	0.3749
LINCSCP_42466	CG-930	0.3749
LINCSCP_33240	Moxonidine	0.3748
LINCSCP_104966	Tebipenem Pivoxil	0.3748
LINCSCP_61162	BRD-K76472157	0.3747
LINCSCP_40065	Cytochalasin B	0.3747
LINCSCP_31378	MLS002264444	0.3743
LINCSCP_4296	Methylpromazine	0.3742
LINCSCP_9914	Hydroxyl	0.3742
LINCSCP_4578	AZD-2014	0.3732
LINCSCP_355	SCH-28080	0.3728
LINCSCP_137	Icariin	0.3724
LINCSCP_231676	BRD-K16126971	0.3724
LINCSCP_3371	BRD-K85174275	0.3721
LINCSCP_115363	Dactolisib	0.3721
LINCSCP_201972	Veliparib	0.3716
LINCSCP_131549	BMS-345541	0.3712
LINCSCP_41059	BRD-K57200229-001-01-6	0.3712
LINCSCP_65362	BRD-K89419248	0.37
LINCSCP_147543	COT Inhibitor-2	0.3699
LINCSCP_154613	LCQ-908	0.3698
LINCSCP_36557	OSI-027	0.3673
LINCSCP_16764	XMD-132	0.3657
LINCSCP_33962	BRD-A07407288	0.3647
LINCSCP_99226	Etanidazole	0.3641
LINCSCP_155356	Alprostadil	0.3639
LINCSCP_176510	Moxisylyte	0.3635
LINCSCP_41625	SA-97110	0.3629
LINCSCP_176016	Bexarotene	0.3618
LINCSCP_177815	N-(4-Fluorophenyl)-4-[hydroxy(diphenyl)methyl]piperidine-1-carbothioamide	0.3612
LINCSCP_61683	BRD-K19275171	0.3598
LINCSCP_98919	PF-562271	0.3597
LINCSCP_143905	Taltirelin	0.3596
LINCSCP_133701	ABT737	0.359
LINCSCP_253848	BRD-K01282863	0.3587
LINCSCP_111394	SU 11274	0.3587
LINCSCP_18875	Coumarin	0.3581
LINCSCP_190656	KM04501	0.3568
LINCSCP_42153	BRD-K37852224	0.3563
LINCSCP_114853	C21H27N7O3	0.3543
LINCSCP_144190	TIMONACIC	0.3542
