signatureid	compound	similarity
LINCSCP_91636	Ritonavir	1
LINCSCP_164966	TAK-715	0.7347
LINCSCP_13407	4-Deoxyuridine	0.7155
LINCSCP_169613	TG 100801	0.6943
LINCSCP_253743	SA-440832	0.6794
LINCSCP_41059	BRD-K57200229-001-01-6	0.6659
LINCSCP_73426	Tyrphostin AG-112	0.6602
LINCSCP_106847	3-(4-Pyridyl)indole	0.66
LINCSCP_91809	Cobicistat (GS-9350)	0.651
LINCSCP_121860	omeprazole	0.648
LINCSCP_121560	AGI-6780	0.6408
LINCSCP_159157	Ifosfamide	0.6387
LINCSCP_84611	GSK 1059615	0.6372
LINCSCP_138016	Emedastine	0.6357
LINCSCP_169745	Dinaciclib	0.6333
LINCSCP_169554	NUTLIN 3	0.6286
LINCSCP_22978	Mapp, D-Erythro	0.6255
LINCSCP_137765	Glipizide	0.6254
LINCSCP_169885	SPECTRUM_001092	0.6222
LINCSCP_119876	Castanospermine	0.6204
LINCSCP_121649	PSI-7977	0.6197
LINCSCP_168756	Sulpiride	0.6192
LINCSCP_143007	Furosemide	0.6188
LINCSCP_96070	PF-04447943	0.618
LINCSCP_157211	PK-11195	0.6169
LINCSCP_139716	Dexfenfluramine	0.6137
LINCSCP_73192	AMG 837 (calcium hydrate)	0.61240000000000006
LINCSCP_111132	Bretazenil	0.6122
LINCSCP_13548	KO143	0.6122
LINCSCP_259103	BRD-K86048057	0.6077
LINCSCP_155306	Trimethobenzamide	0.6071
LINCSCP_103796	Pyridostigmine	0.6065
LINCSCP_72254	Odanacatib (MK-0822)	0.6027
LINCSCP_173040	Ttnpb	0.6025
LINCSCP_74955	nimodipine	0.6005
LINCSCP_120927	Rifabutin	0.6004
LINCSCP_13216	Cardamomin	0.5996
LINCSCP_76626	Manumycin-A	0.5995
LINCSCP_93694	CLONAZEPAM	0.5987
LINCSCP_138026	Dofequidar (fumarate)	0.598
LINCSCP_273052	BRD-K58746048-001-01-6	0.5932
LINCSCP_169852	Rilmenidine	0.593
LINCSCP_92002	Enoxolone	0.5929
LINCSCP_96096	Fipronil	0.592
LINCSCP_93601	Roquinimex	0.5897
LINCSCP_157182	BMS-777607	0.5896
LINCSCP_168295	Praziquantel	0.5893
LINCSCP_137893	Doxazosin	0.5888
LINCSCP_138060	Ammonium Glycyrrhizinate	0.5875
LINCSCP_93879	AMD-070 (hydrochloride)	0.5864
LINCSCP_73420	CHEMBL179288	0.5862
LINCSCP_121677	AZ628	0.5822
LINCSCP_250341	Tacedinaline	0.5816
LINCSCP_155250	SPECTRUM_001522	0.5809
LINCSCP_73102	GDC-0980 (RG7422)	0.5782
LINCSCP_137565	Donitriptan hydrochloride	0.5769
LINCSCP_121925	Altanserin	0.5764
LINCSCP_168866	Glyburide	0.5736
LINCSCP_135985	Diclofenac	0.5727
LINCSCP_121876	ETOPOSIDE	0.5715
LINCSCP_93815	KW-2478	0.5707
LINCSCP_172690	Amuvatinib	0.5707
LINCSCP_121073	Actarit	0.5705
LINCSCP_145796	BMS-387032	0.5704
LINCSCP_42570	Oxibendazole	0.5697
LINCSCP_94893	ALX-5407	0.5688
LINCSCP_39859	SCH-79797	0.5687
LINCSCP_103693	AZD1152	0.5685
LINCSCP_168819	Halofantrine	0.5668
LINCSCP_170604	Lersivirine	0.5667
LINCSCP_120901	Zuclomiphene	0.5664
LINCSCP_120692	Cevimeline hydrochloride	0.566
LINCSCP_135405	Suprofen	0.566
LINCSCP_121069	Cytarabine	0.5645
LINCSCP_42924	Mebendazole	0.5634
LINCSCP_76658	Curcumin	0.5633
LINCSCP_170880	127408-30-4	0.5622
LINCSCP_132266	Enzastaurin	0.5621
LINCSCP_212604	PCI-34051	0.5611
LINCSCP_91826	(-)-Tramadol	0.559
LINCSCP_139757	Propentofylline	0.5573
LINCSCP_132290	CHEMBL1083527	0.5558
LINCSCP_138401	Labetalol	0.5553
LINCSCP_96103	LY2940680	0.555
LINCSCP_158325	Lorcaserin HCl	0.5537
LINCSCP_155671	Bicalutamide	0.5535
LINCSCP_120508	Tonabersat	0.5533
LINCSCP_96042	Benazepril	0.5517
LINCSCP_34563	Lamivudine	0.5516
LINCSCP_168442	Sorafenib	0.5514
LINCSCP_136790	Toremifene	0.5507
LINCSCP_92922	Metoprolol	0.55
LINCSCP_25052	9-Methyl-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	0.5487
LINCSCP_111843	Imatinib	0.5484
LINCSCP_138067	Iguratimod	0.5472
LINCSCP_72904	LCQ-908	0.5467
LINCSCP_120932	Felodipine	0.5457
LINCSCP_143344	Anidulafungin	0.5438
LINCSCP_104024	GW842166X	0.5436
LINCSCP_155165	10-DEBC	0.5424
LINCSCP_159967	Tacrine	0.5404
LINCSCP_168268	TH-302	0.54
LINCSCP_168257	BRD-A31180007	0.5394
LINCSCP_164154	TORIN1	0.5367
LINCSCP_98787	PH-797804	0.5366
LINCSCP_25135	PS-1145	0.5348
LINCSCP_126385	STK-674938	0.5339
LINCSCP_93651	AC1NWAQV	0.532
LINCSCP_95929	Penciclovir	0.5314
LINCSCP_138022	Swainsonine	0.5305
LINCSCP_41835	QS-11	0.5305
LINCSCP_170801	Valproic acid	0.5305
LINCSCP_168790	Zileuton	0.5287
LINCSCP_121722	Voriconazole	0.528
LINCSCP_113364	Tamatinib	0.528
LINCSCP_119951	Pantoprazole	0.5252
LINCSCP_77496	Clofibrate	0.5248
LINCSCP_161499	Telmisartan	0.5237
LINCSCP_121704	Nafamostat Mesylate	0.523
LINCSCP_99041	DIMINAZENE ACETURATE	0.5228
LINCSCP_114896	NVP-AUY922	0.5225
LINCSCP_93893	Cholic acid	0.5216
LINCSCP_99094	Ipriflavone	0.5193
LINCSCP_106616	8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole	0.5188
LINCSCP_121026	BRD-A69421747	0.5188
LINCSCP_139744	CIANIDANOL	0.5178
LINCSCP_93919	Defactinib	0.5176
LINCSCP_175233	Lu AE58054 (Hydrochloride)	0.5176
LINCSCP_163738	THZ-2-98-01	0.5166
LINCSCP_259048	CHEMBL3185502	0.5165
LINCSCP_75160	Minaprine	0.5153
LINCSCP_152371	869288-64-2	0.514
LINCSCP_121427	Alaproclate	0.5131
LINCSCP_164468	761437-28-9	0.5131
LINCSCP_155344	FK 866	0.5129
LINCSCP_144732	Foretinib	0.5129
LINCSCP_123365	HYDROXYUREA	0.512
LINCSCP_58779	SMR000081059	0.512
LINCSCP_130474	NU-7441	0.511
LINCSCP_169638	Pomalidomide	0.5108
LINCSCP_158173	Econazole	0.5096
LINCSCP_114119	GSK-J1	0.5072
LINCSCP_168422	Ifenprodil	0.5068
LINCSCP_37773	SA-101776	0.5065
LINCSCP_78749	Tacalcitol	0.5059
LINCSCP_110264	Bazedoxifene HCl	0.5053
LINCSCP_157833	Epirubicin HCl	0.5047
LINCSCP_138424	ACECAINIDE HYDROCHLORIDE	0.5047
LINCSCP_168697	XL335	0.504
LINCSCP_91702	Elvitegravir	0.5037
LINCSCP_143185	Lomitapide	0.5032
LINCSCP_86492	LRRK2-IN-1	0.5029
LINCSCP_94223	BRD-A96746500	0.5023
LINCSCP_170777	Ketorolac	0.5017
LINCSCP_95166	Tipifarnib	0.5002
LINCSCP_108756	PF-03814735	0.4996
LINCSCP_109221	tropisetron	0.4995
LINCSCP_143108	Sildenafil	0.4977
LINCSCP_255155	CHEMBL3183436	0.495
LINCSCP_108148	Merbarone	0.4948
LINCSCP_93074	DOCETAXEL	0.4938
LINCSCP_122035	Diphenidol	0.4935
LINCSCP_92961	Ciprofloxacin	0.4935
LINCSCP_106374	Oxybenzone	0.4932
LINCSCP_77353	Linezolid	0.4925
LINCSCP_158380	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	0.4921
LINCSCP_119924	brivanib	0.4919
LINCSCP_46578	172985-18-1	0.4916
LINCSCP_13792	MDM2 Inhibitor	0.4914
LINCSCP_111133	Pranlukast	0.4913
LINCSCP_155356	Alprostadil	0.4909
LINCSCP_163990	Canertinib	0.4903
LINCSCP_65626	BRD-K35095050	0.4902
LINCSCP_37279	SPECTRUM_001645	0.4892
LINCSCP_168467	BRD-K00816165	0.4884
LINCSCP_39699	Salermide	0.488
LINCSCP_91717	Amitriptyline	0.4879
LINCSCP_96019	Desmopressin	0.4873
LINCSCP_267754	MLS001065911	0.487
LINCSCP_121580	Chlorpheniramine	0.4867
LINCSCP_91439	Meptazinol	0.4858
LINCSCP_48283	BRD-K56370195	0.4852
LINCSCP_294606	BRD-K38519699	0.4847
LINCSCP_121200	EXALAMIDE	0.4846
LINCSCP_129748	GW843682X	0.4835
LINCSCP_95958	Fosfomycin Tromethamine	0.4835
LINCSCP_170590	Rottlerin	0.4834
LINCSCP_108258	Dilazep	0.4831
LINCSCP_129816	936890-98-1	0.4822
LINCSCP_137789	Veliparib (ABT-888)	0.4808
LINCSCP_42749	Bapta-AM	0.4808
LINCSCP_53946	DC-45-A2	0.4803
LINCSCP_132306	PHA-665752	0.4792
LINCSCP_109516	Rizatriptan	0.4787
LINCSCP_234666	Lenalidomide	0.4782
LINCSCP_77145	Arglabin	0.4767
LINCSCP_117860	SCHEMBL15556278	0.4762
LINCSCP_157096	Paroxetine	0.4761
LINCSCP_62962	BRD-K06718821	0.476
LINCSCP_42322	MLS-0435534.0001	0.4753
LINCSCP_108961	Cyclosporin A	0.4749
LINCSCP_169721	Midostaurin	0.4746
LINCSCP_284741	E-Doxepin	0.4745
LINCSCP_79979	SPECTRUM_001579	0.4739
LINCSCP_106799	AC1NSM0X	0.4737
LINCSCP_158647	Mirtazapine	0.4733
LINCSCP_153444	IB-MECA	0.473
LINCSCP_115231	AZD-8330	0.4723
LINCSCP_121244	Dapivirine (TMC120)	0.4723
LINCSCP_65793	BRD-K26508045	0.4717
LINCSCP_48628	SPOX1_000092	0.4712
LINCSCP_161039	Naftifine	0.4712
LINCSCP_166491	Calcitriol	0.4708
LINCSCP_42624	Apoptosis Activator II	0.4703
LINCSCP_95779	Ticagrelor	0.4702
LINCSCP_42561	L-161,982	0.4698
LINCSCP_237437	MLS000559245	0.4697
LINCSCP_11395	CHEMBL323994	0.4694
LINCSCP_136815	Fosinopril	0.4694
LINCSCP_14380	MT-21	0.4691
LINCSCP_130456	Tozasertib	0.4689
LINCSCP_162224	VX-661	0.4689
LINCSCP_102332	Senicapoc	0.4684
LINCSCP_120887	Amlexanox	0.4675
LINCSCP_76297	Tiagabine	0.4666
LINCSCP_34232	Medroxyprogesterone Acetate	0.4665
LINCSCP_253976	BRD-K64665684	0.4652
LINCSCP_111092	PA-824	0.4648
LINCSCP_83473	UNC 669	0.4648
LINCSCP_11551	Tyrphostin B7	0.4646
LINCSCP_107229	PF-3084014	0.4645
LINCSCP_73197	2-Methoxyestradiol	0.4642
LINCSCP_259238	BRD-K33591392	0.4634
LINCSCP_169050	BRD-A36275421	0.4633
LINCSCP_107951	N6022	0.4629
LINCSCP_161300	Bavisant (dihydrochloride hydrate)	0.4623
LINCSCP_40211	JZL-184	0.4622
LINCSCP_74156	CO-1686 (AVL-301)	0.4616
LINCSCP_120879	Chlorambucil	0.4612
LINCSCP_172530	Orlistat	0.4609
LINCSCP_102113	CICLESONIDE	0.46
LINCSCP_42313	Epothilone A	0.4599
LINCSCP_140411	Ethacrynic acid	0.4597
LINCSCP_135326	VGX-1027	0.4596
LINCSCP_61910	BRD-K74964997	0.4593
LINCSCP_65263	BRD-K32444480	0.4592
LINCSCP_262219	GW7647	0.4587
LINCSCP_144667	PF431396	0.4584
LINCSCP_170426	Histamine 2HCl	0.4579
LINCSCP_190534	STK366994	0.4576
LINCSCP_64832	PE(15:0/20:0)	0.4574
LINCSCP_241248	Mianserin	0.4569
LINCSCP_311709	BRD-K40690989	0.4569
LINCSCP_168286	Medetomidine	0.4567
LINCSCP_103977	Epivincamine	0.4564
LINCSCP_136751	Glafenine	0.4561
LINCSCP_122533	Loxoprofen	0.4561
LINCSCP_140967	Picotamide	0.4561
LINCSCP_136950	Propylthiouracil	0.4559
LINCSCP_71310	Hydroxyprogesterone Caproate	0.455
LINCSCP_121816	PF-04691502	0.4542
LINCSCP_3179	BRD-K28083085	0.4539
LINCSCP_27657	BRD-K19969523	0.4539
LINCSCP_309888	CHEMBL2141055	0.4527
LINCSCP_99281	Deferasirox	0.4525
LINCSCP_170336	CI-218872	0.4515
LINCSCP_74661	Luteolin	0.4511
LINCSCP_43221	Nocodazole	0.4507
LINCSCP_50904	6,10,10B-Trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-3-vinyldodecahydro-1H-benzo[f]chromen-5-yl acetate	0.45
LINCSCP_157353	Dexniguldipine	0.4497
LINCSCP_2177	CHEMBL461194	0.4497
LINCSCP_91390	2,2-Dichloro-n-[(1R,2S)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide	0.4491
LINCSCP_52757	Rescinnamine	0.4476
LINCSCP_41049	BRD-K36232729	0.4475
LINCSCP_190388	MEGXP0_000831	0.4473
LINCSCP_37378	SA-85148	0.4472
LINCSCP_1955	Enalaprilat	0.4472
LINCSCP_121230	CX-5461	0.447
LINCSCP_253058	BRD-K23558120	0.4469
LINCSCP_93853	Protriptyline	0.4467
LINCSCP_137920	Bitopertin	0.4465
LINCSCP_105001	Esmolol	0.4455
LINCSCP_137769	amisulpride	0.4452
LINCSCP_34617	Bromperidol	0.4437
LINCSCP_104752	Raclopride	0.4436
LINCSCP_62876	BRD-K31449336	0.4433
LINCSCP_96243	Cediranib	0.4426
LINCSCP_140947	AC1NSZSY	0.4418
LINCSCP_172376	Milrinone	0.441
LINCSCP_170921	MLN 2480	0.4402
LINCSCP_157852	Dabigatran Etexilate	0.4397
LINCSCP_74912	PSI-6130	0.4397
LINCSCP_138128	6-fluoro-3-hydroxypyrazine-2-carboxamide	0.4385
LINCSCP_275736	BRD-K11402657	0.438
LINCSCP_170769	Efavirenz	0.4373
LINCSCP_121604	CI-1040	0.4372
LINCSCP_42096	CHEMBL41721	0.4371
LINCSCP_159123	MK-3207 (Hydrochloride)	0.4355
LINCSCP_261299	MLS001207806	0.4354
LINCSCP_123243	Pasireotide (ditrifluoroacetate)	0.4353
LINCSCP_282858	AC1MEVG9	0.4351
LINCSCP_130665	Apitolisib (gdc-0980, rg7422)	0.4348
LINCSCP_156194	Berberine	0.4344
LINCSCP_91497	Teriflunomide	0.434
LINCSCP_27548	BRD-K53943507	0.4338
LINCSCP_137922	Vardenafil	0.4337
LINCSCP_42216	MLS-0315871.0001	0.4331
LINCSCP_43213	SCHEMBL3664910	0.4331
LINCSCP_148876	PFI-1	0.4329
LINCSCP_98757	Darifenacin	0.4328
LINCSCP_104269	Eugenol	0.4327
LINCSCP_8757	BRD-K80738071	0.4326
LINCSCP_158245	BRD-A08662020	0.4326
LINCSCP_73447	IN1549	0.431
LINCSCP_62077	BRD-K10657952	0.4309
LINCSCP_34557	Acenocoumarol	0.4309
LINCSCP_139672	Pentoxifylline	0.4301
LINCSCP_42872	D-64131	0.43
LINCSCP_122466	Anandamide	0.43
LINCSCP_159006	Dipraglurant	0.4298
LINCSCP_51934	ABT-888,VELIPARIB	0.4297
LINCSCP_121747	CPI-613	0.4296
LINCSCP_27656	BRD-K18982118	0.4291
LINCSCP_127507	Thiothixene	0.4289
LINCSCP_92645	YM 976	0.4289
LINCSCP_234758	Tyrphostin 1	0.4287
LINCSCP_91723	Empagliflozin (BI 10773)	0.4285
LINCSCP_17047	Chlorotrianisene	0.4282
LINCSCP_143434	IMEXON	0.4279
LINCSCP_3749	BRD-K97972722	0.4276
LINCSCP_37917	BRD-K41513507	0.4276
LINCSCP_14529	Sulconazole	0.4273
LINCSCP_256458	Navitoclax	0.4269
LINCSCP_77574	pancuronium	0.4264
LINCSCP_77584	(+)-SK&F 10047 hydrochloride	0.4263
LINCSCP_109133	Sertindole	0.4256
LINCSCP_134846	ASC-J9	0.4249
LINCSCP_43279	Cyanopindolol	0.4248
LINCSCP_108330	Aminosalicylic acid	0.4248
LINCSCP_160465	ACEXAMIC ACID	0.4245
LINCSCP_204257	Coumestrol	0.424
LINCSCP_104352	Theobromine	0.4234
LINCSCP_239366	ACON1_001504	0.423
LINCSCP_234224	Phenethylisothiocyanate	0.4227
LINCSCP_94047	Fidaxomicin	0.4225
LINCSCP_52704	Vitamin P	0.4224
LINCSCP_120896	chlormadinone-acetate	0.4219
LINCSCP_79863	5-BrdU	0.4218
LINCSCP_155310	Acyclovir	0.4215
LINCSCP_80730	TEMAZEPAM	0.4199
LINCSCP_110399	DESVENLAFAXINE SUCCINATE	0.4193
LINCSCP_280604	TL Aurora 09	0.4193
LINCSCP_37837	SA-424755	0.419
LINCSCP_260829	SA-1457810	0.4181
LINCSCP_3232	BRD-K65968856	0.4174
LINCSCP_91691	MK-5108	0.4171
LINCSCP_171585	Voglibose	0.4171
LINCSCP_158517	Vismodegib (GDC-0449)	0.4167
LINCSCP_90836	3-Aminobenzamide	0.4161
LINCSCP_301934	BRD-K65608865	0.4157
LINCSCP_41616	HEMICHOLINIUM-3	0.4156
LINCSCP_159061	Myosin ATPase Activator, EMD57003	0.4155
LINCSCP_19860	MLS002607716	0.4153
LINCSCP_143253	Bisoprolol	0.4152
LINCSCP_138649	Cefoperazone	0.4152
LINCSCP_137633	AZD7687	0.4151
LINCSCP_34706	ZINC12496510	0.4149
LINCSCP_234635	SCHEMBL17497315	0.4146
LINCSCP_204496	SPECTRUM_000281	0.4145
LINCSCP_142532	Golvatinib (E7050)	0.4142
LINCSCP_212929	CHEMBL2152359	0.4141
LINCSCP_1573	MLS003178537	0.4138
LINCSCP_74953	karakoline	0.4136
LINCSCP_25018	IN1541	0.4135
LINCSCP_204393	E4031	0.4134
LINCSCP_35040	BRD-K66783461	0.4123
LINCSCP_16374	SCHEMBL10061624	0.4122
LINCSCP_175500	Betahistine	0.4118
LINCSCP_15728	MLS002703103	0.4115
LINCSCP_138055	MILNACIPRAN HYDROCHLORIDE	0.4115
LINCSCP_52098	NVP-AEW541	0.411
LINCSCP_258910	BRD-K17890048	0.4108
LINCSCP_211465	ZINC02868881	0.4107
LINCSCP_168354	Benfluorex	0.4103
LINCSCP_293786	ST029676	0.4103
LINCSCP_3482	BRD-K67498554	0.4093
LINCSCP_186106	BRD-K70697816	0.409
LINCSCP_143326	Rimantadine	0.4087
LINCSCP_11232	AKT Inhibitor V, Triciribine	0.4087
LINCSCP_121144	Tezampanel	0.4086
LINCSCP_73217	Anacetrapib (MK-0859)	0.4086
LINCSCP_52653	CP93129	0.4085
LINCSCP_107182	Andrographolide	0.4084
LINCSCP_41020	NNC 05-2090	0.4084
LINCSCP_109942	Metoclopramide	0.4083
LINCSCP_77482	Diethylstilbestrol	0.4082
LINCSCP_105956	Targinine	0.4081
LINCSCP_52711	Deoxyandirobin Lactone	0.4079
LINCSCP_10709	N-Benzyl-2-chloroquinazolin-4-amine	0.4075
LINCSCP_120624	BRD-A03684405	0.4075
LINCSCP_109033	Nafronyl	0.4074
LINCSCP_143256	Beta-Narcotine	0.4072
LINCSCP_121406	Tasquinimod	0.4067
LINCSCP_142548	R-7128	0.4065
LINCSCP_309973	BRD-K03111155	0.4063
LINCSCP_20645	BRD-K63399564	0.4063
LINCSCP_110975	Ribavirin	0.406
LINCSCP_121994	BRD-K00150267	0.406
LINCSCP_65059	Meractinomycin	0.4055
LINCSCP_78425	IDOXURIDINE	0.4053
LINCSCP_27461	BRD-K00801770	0.405
LINCSCP_212310	Trichloroethylene	0.4049
LINCSCP_140886	Pazufloxacin	0.4048
LINCSCP_269180	CHEMBL1374544	0.4046
LINCSCP_140437	RO4987655	0.4046
LINCSCP_15985	SMR000200744	0.4045
LINCSCP_92041	GSK-923295	0.4044
LINCSCP_50293	BRD-K19914944	0.4042
LINCSCP_93451	Amoxapine	0.4034
LINCSCP_41068	BRD-K74318028	0.4032
LINCSCP_35070	BRD-K22862802	0.4028
LINCSCP_37348	MLS003129922	0.4024
LINCSCP_2966	CHEMBL2131985	0.4023
LINCSCP_238431	CHEMBL1938917	0.4021
LINCSCP_37222	BRD-K07569193	0.402
LINCSCP_3254	BRD-K17181267	0.4019
LINCSCP_155320	Esculin	0.4013
LINCSCP_37595	SA-245650	0.4007
LINCSCP_205908	Fluoropyruvate	0.4004
LINCSCP_138588	Bupivacaine	0.3999
LINCSCP_132463	apigenin	0.3999
LINCSCP_139723	Rocuronium Bromide	0.3999
LINCSCP_174827	Enoxacin	0.3998
LINCSCP_19107	Azaperone	0.3996
LINCSCP_212360	Vincaleukoblastine	0.3992
LINCSCP_33184	CHEMBL8197	0.3988
LINCSCP_16236	CHEMBL1619263	0.3988
LINCSCP_153716	Dacarbazine	0.3985
LINCSCP_298959	BRD-K39654705	0.3972
LINCSCP_42407	PU-H-71	0.3967
LINCSCP_3314	BRD-K47071092	0.3965
LINCSCP_288396	GF-109203	0.3961
LINCSCP_42554	CGP71683A	0.3959
LINCSCP_48630	AC1N67O4	0.3957
LINCSCP_138281	Pramipexole	0.3955
LINCSCP_17462	BRD-K42573370-001-01-1	0.395
LINCSCP_260401	SA-84869	0.3948
LINCSCP_62355	BRD-K24077273	0.3948
LINCSCP_92118	Elacridar	0.3947
LINCSCP_243193	Bumetanide	0.3946
LINCSCP_121769	AC1Q5RFA	0.3945
LINCSCP_91570	Ganetespib (STA-9090)	0.3944
LINCSCP_226446	Farnesylcysteine Methyl Ester	0.3944
LINCSCP_33762	L-Hyoscyamine	0.3943
LINCSCP_32335	KUC106502N	0.3943
LINCSCP_262906	Mnitmt	0.3941
LINCSCP_77593	Flavoxate	0.3939
LINCSCP_174192	Tolvaptan	0.3937
LINCSCP_28059	BRD-K98062050	0.3933
LINCSCP_157067	TIROFIBAN HYDROCHLORIDE	0.3929
LINCSCP_253848	BRD-K01282863	0.3925
LINCSCP_16277	BRD-K22828860	0.3924
LINCSCP_171500	VILAZODONE HYDROCHLORIDE	0.3923
LINCSCP_239522	ALD1-H_001009	0.3919
LINCSCP_121589	Nebivolol	0.3918
LINCSCP_34935	BRD-K72798501	0.3915
LINCSCP_97769	NVP DPP 728 dihydrochloride	0.391
LINCSCP_261609	BRN 1087718	0.3909
LINCSCP_13023	BRD-K15181602	0.3906
LINCSCP_135494	Lintitript	0.3903
LINCSCP_243221	BRD-K52111234	0.3897
LINCSCP_17062	(S)-Zearalenone	0.3893
LINCSCP_199028	BRD-K51475868	0.3892
LINCSCP_42701	KF 38789	0.3888
LINCSCP_65335	BRD-K72147201	0.3886
LINCSCP_11263	Bisindolylmaleimide IX	0.3884
LINCSCP_244905	Meprylcaine	0.3883
LINCSCP_34289	SPECTRUM_001028	0.388
LINCSCP_223013	CHEMBL259628	0.388
LINCSCP_121060	Alvelestat	0.3879
LINCSCP_6993	BRD-A10420615-001-02-8	0.3878
LINCSCP_43434	(24R)-24-Hydroxycholesterol	0.3878
LINCSCP_93289	Colchicine	0.3877
LINCSCP_56198	Tetrabromobenzotriazole	0.3876
LINCSCP_95746	APIXABAN	0.3874
LINCSCP_262015	ST092443	0.3872
LINCSCP_3171	BRD-K07666543	0.3868
LINCSCP_204488	Tyrphostin 47	0.386
LINCSCP_95634	NEFIRACETAM	0.3859
LINCSCP_252139	BRD-K14091022	0.3859
LINCSCP_63553	BRD-K04229162	0.3854
LINCSCP_170360	meloxicam	0.3852
LINCSCP_64875	BRD-K09989112	0.385
LINCSCP_237897	CHEMBL1270706	0.3849
LINCSCP_18941	138402-11-6	0.3847
LINCSCP_61242	BRD-K52076988	0.3844
LINCSCP_161051	Tamsulosin HCl	0.3842
LINCSCP_172671	AZD-1480	0.3841
LINCSCP_20428	SAN1_009051	0.3839
LINCSCP_43142	BRD-K54335715	0.3838
LINCSCP_110959	Clinafloxacin	0.3829
LINCSCP_142170	CHEBI:82814	0.3828
LINCSCP_34595	Sulfapyridine	0.3828
LINCSCP_311905	BRD-K75828577	0.3827
LINCSCP_66036	BRD-K81224183	0.3827
LINCSCP_4305	PRESTWICK3_000685	0.3824
LINCSCP_77154	RU 58841	0.3821
LINCSCP_34111	Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	0.382
LINCSCP_157206	BRD-A77864279	0.382
LINCSCP_64813	BRD-K87967738	0.3818
LINCSCP_3248	BRD-K09130601	0.3818
LINCSCP_41033	JAK3 Inhibitor V	0.3818
LINCSCP_3245	BRD-K76644587	0.3816
LINCSCP_252577	Carbetapentane	0.3813
LINCSCP_107488	Avanafil	0.3813
LINCSCP_34756	BRD-K09729851	0.3807
LINCSCP_28136	BRD-K84797952	0.3805
LINCSCP_261463	BRD-K52099002	0.3803
LINCSCP_80031	Indacaterol Maleate	0.3802
LINCSCP_181839	BRD-K38498572	0.3802
