Name_GeneSymbol	Value_LogDiffExp
ABHD6	-0.5633
ADAM10	-0.6632
ADAT1	-1.1702
ADGRG1	-0.7065
ADRB2	-0.9904
AGL	-0.8346
ALDH7A1	-1.417
ALDOC	-1.009
APBB2	-0.928
ARL4C	-0.9982
ARNT2	-1.0575
BAMBI	-0.6437
BID	-1.3126
BMP4	-1.98
C2CD5	-3.5249
CAB39	-4.7587
CAMSAP2	-0.7097
CAPN1	-1.0346
CASC3	-0.8742
CAST	-0.9466
CBLB	-0.9085
CBR3	-0.7098
CD44	-0.9211
CDC25A	-0.6472
CDK2	-1.0158
CDK7	-0.8842
CERK	-0.622
CETN3	-0.7094
CHN1	-2.1368
CHP1	-0.8397
CLPX	-0.8551
CLTB	-0.5493
CLTC	-0.672
CNDP2	-4.3771
CNOT4	-0.629
CNPY3	-0.6363
COL4A1	-0.5194
CORO1A	-1.0285
CREG1	-0.5151
CRKL	-1.1456
CSNK2A2	-0.5648
CTNND1	-1.593
CXCL2	-1.0762
DCUN1D4	-2.968
DDR1	-0.5183
DNAJC15	-0.6007
DNMT1	-0.9122
DNTTIP2	-1.238
DUSP11	-1.9897
DUSP4	-0.5271
EDN1	-0.6535
EGFR	-0.7848
EGR1	-0.5003
EIF5	-0.6663
EXT1	-0.8775
FAM20B	-1.3623
FAM57A	-1.4052
FAM69A	-0.7159
FAT1	-1.1025
FCHO1	-0.9944
FGFR2	-0.5362
FIS1	-2.0117
FKBP4	-1.216
FUT1	-1.2564
G3BP1	-1.5789
GABPB1	-0.5396
GATA2	-0.534
GATA3	-0.5115
GDPD5	-3.6439
GFOD1	-0.6231
GPER1	-0.6874
GRN	-0.5417
H2AFV	-1.0809
HDAC6	-0.8284
HERPUD1	-2.7459
HIST1H2BK	-2.4448
HN1L	-1.694
HTATSF1	-1.3362
HTRA1	-0.818
IGHMBP2	-0.5186
IPO13	-0.5606
IQGAP1	-0.7967
ISOC1	-0.557
ITFG1	-0.5233
KAT6A	-0.7915
KCNK1	-0.7235
KDM5A	-0.7334
KEAP1	-0.6871
KIAA0196	-1.0371
KIAA0753	-1.4805
KLHDC2	-0.706
KLHL9	-0.551
LAP3	-0.8076
LRRC16A	-0.8966
LYPLA1	-1.3911
MALT1	-0.7209
MAP7	-0.5553
MAPK9	-0.8502
MBOAT7	-0.5952
MCM3	-0.823
MEST	-0.5122
MOK	-1.3968
MUC1	-0.9143
MYO10	-0.6978
NCAPD2	-0.7299
NCK1	-0.6621
NCOA3	-0.7985
NET1	-0.5486
NFKBIE	-2.1677
NIT1	-1.0373000000000001
NMT1	-1.107
NOL3	-1.0257
NOLC1	-0.6743
NOTCH1	-1.2495
NPDC1	-2.2253
NR1H2	-0.7963
NR2F6	-1.5674
NSDHL	-1.0128
NUP88	-0.885
NUSAP1	-0.5576
NVL	-1.0347
OXA1L	-1.817
PAFAH1B1	-0.9154
PAPD7	-0.8739
PCBD1	-0.5941
PEX11A	-0.7555
PIK3C2B	-0.5824
PIK3CA	-0.9009
PIK3R3	-4.0681
PIN1	-3.0491
PLA2G4A	-0.5396
PLS1	-0.5023
PNP	-0.9298
POLG2	-0.9051
POLR1C	-1.1624
PPARG	-0.9723
PPP1R13B	-0.6086
PPP2R5A	-1.6545
PRSS23	-2.1175
PTPN1	-1.0972
PTPRC	-1.1198
PTPRF	-0.8252
PXN	-0.5887
RAB21	-0.6685
RAB27A	-1.2426
RAD51C	-0.6676
RALB	-0.8968
RALGDS	-1.0591
RAP1GAP	-0.5363
RBM15B	-0.6273
RBM34	-1.0194
RBM6	-0.9184
RFX5	-0.6778
RRP1B	-0.647
RRS1	-0.798
RTN2	-1.1178
SENP6	-0.5351
SESN1	-0.7591
SH3BP5	-1.5783
SHB	-0.6338
SIRT3	-4.171
SLC35A1	-0.5536
SLC35F2	-0.7221
SMARCD2	-0.589
SNX13	-0.666
SOCS2	-0.8419
SOX4	-0.7236
SPDEF	-0.6947
SPEN	-1.6151
SPR	-0.8561
SSBP2	-0.7997
ST3GAL5	-0.5436
ST6GALNAC2	-0.6549
STAT3	-0.8419
STUB1	-3.1673
STX4	-1.3591
STXBP2	-0.5333
SUPV3L1	-1.0377
SUZ12	-0.5997
TARBP1	-1.0311
TBC1D9B	-0.5912
TCTA	-1.4871
TERF2IP	-0.8898
TESK1	-0.6376
TFAP2A	-0.6903
TIMM9	-3.3632
TIMP2	-0.6964
TLE1	-2.7673
TNFRSF21	-0.7609
TNIP1	-1.1238
TRIB1	-1.0332
TRIM2	-0.9793
TXNL4B	-0.6294
UBE2J1	-0.5289
USP22	-1.0528
WFS1	-0.657
XBP1	-1.9273
XPNPEP1	-1.384
ZNF274	-0.6044
ZNF451	-0.5893
ZNF586	-0.7113
