Name_GeneSymbol	Value_LogDiffExp
ABHD4	1.1222
ABHD6	1.0190000000000001
ACBD3	0.5188
ADGRE5	0.7577999999999999
ADGRG1	0.8497
ADH5	0.5452
ADO	1.5546333333333333
AGL	1.1616666666666666
AKT1	1.1302
AMDHD2	0.8074666666666667
ANKRD10	0.6236
ANO10	0.5193
APOE	0.7256
ATP5S	1.1791333333333334
BAMBI	0.6059333333333333
BIRC2	0.5880666666666666
BLMH	0.6965666666666667
BPHL	0.8030333333333334
C2CD5	1.6707666666666667
CCNF	1.2079333333333333
CEBPA	0.7481333333333333
CFLAR	0.8064
CHMP6	1.2324000000000002
CNOT4	1.6632
CREG1	0.7631666666666668
CYTH1	0.7013666666666667
DAXX	0.58543333333333325
DDX42	0.6147333333333334
DYNLT3	0.7479333333333333
EGR1	0.8553333333333334
EIF4EBP1	0.5456666666666666
EPN2	0.9854333333333334
EXOSC4	1.6878666666666666
FKBP14	0.8362999999999999
FOXO4	1.4968333333333332
GADD45A	0.5031333333333333
GPER1	1.3943333333333334
HES1	1.5239333333333334
HOMER2	0.7015
IER3	0.6970333333333333
IGHMBP2	3.0115
IKBKE	1.5604666666666667
INPP4B	0.7850666666666667
JUN	0.6056333333333334
KIAA0100	0.8181333333333333
KLHL9	1.0691333333333333
LAGE3	0.8790666666666667
LAMA3	0.8288333333333333
LBR	0.6569333333333334
LOXL1	0.7331666666666667
LYN	0.5684333333333333
MAMLD1	0.9694999999999999
MAP4K4	1.0418666666666667
MAP7	0.5993333333333334
MAPKAPK3	1.1742333333333335
MAPKAPK5	0.8367333333333333
MAST2	0.8756666666666667
MBNL2	0.6630333333333333
MTF2	0.5646333333333333
MTFR1	1.0676666666666665
MTHFD2	0.5060333333333333
MUC1	0.6138666666666667
MYL9	0.6163
MYO10	0.5077333333333334
NARFL	0.9326666666666666
NOS3	0.5722333333333334
NPRL2	0.7316666666666666
NUDCD3	0.6010666666666666
ORC1	0.7548333333333334
OXCT1	0.6471333333333333
PAK1	1.5540666666666667
PECR	0.5758666666666666
PHKG2	0.5704666666666667
PIGB	0.8190333333333333
PLEKHJ1	0.5926666666666667
PLSCR3	0.5500666666666666
PMM2	0.5372333333333333
POLE2	0.6661333333333334
PRKCH	1.4076666666666666
PRKCQ	1.5891333333333335
PRR7	0.5216999999999999
PTGS2	1.0911666666666666
PTK2	0.9041666666666667
RAB11FIP2	0.8485666666666667
RAB4A	0.8779666666666667
RAD9A	0.7334333333333334
RBKS	0.5750333333333333
RNH1	0.5942999999999999
RNPS1	0.725
RPP38	1.7481666666666666
RPS5	0.633
SATB1	1.4999333333333333
SCARB1	0.5166
SLC25A14	0.625
SLC35A1	1.1322666666666668
SLC35A3	1.5800666666666667
SLC5A6	1.0666
SMC1A	0.8448
SNAP25	1.1563999999999999
SNCA	0.6899333333333333
SQRDL	3.1492666666666667
ST7	1.0760666666666667
STK10	0.5667000000000001
TBPL1	0.5972333333333334
TCFL5	1.6340333333333332
TERT	0.5427666666666666
TGFBR2	1.0392000000000001
TIAM1	1.6162333333333332
TIMM22	0.5412333333333333
TLR4	1.4045
TMEM110	0.5390333333333334
TMEM5	1.6904333333333332
TOR1A	0.6362
UBE3B	0.7004666666666667
UBE3C	0.5165333333333333
UGDH	0.5292333333333333
UTP14A	1.4725666666666666
VAPB	0.646
VAV3	1.0729666666666668
VDAC1	0.708
VGLL4	0.8048000000000001
WDR7	2.739466666666667
WFS1	0.7825666666666666
ZMIZ1	0.66
ZNF131	0.5374
ZNF586	2.1552
