similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	7.2e-170	42	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_15217	HA1E
0.855	5.7423e-13	42	AG 14361	LSM-1988	PARP1	20uM	6h	LINCSCP_50914	RMGI
0.8346	6.516e-12	42	Tazac, Axid, Axid Ar, Nizatidine	LSM-42963	HRH2	10uM	24h	LINCSCP_18588	HCC515
0.8292	1.1704e-11	42	AC1MEVG9	LSM-3935	PTPN1	10uM	6h	LINCSCP_51015	RMGI
0.8216	2.5977e-11	42	UNII-5308DT8060	LSM-2244	SYK	10uM	24h	LINCSCP_11409	ASC
0.821	2.7605e-11	42	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	10uM	6h	LINCSCP_916	A375
0.8193	3.2935e-11	42	CGP 60474	LSM-1025	CDK1	0.04uM	24h	LINCSCP_84091	ASC
0.8141	5.4952e-11	42	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_13100	FIBRNPC
0.8139	5.5945e-11	42	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_53862	SNUC5
0.8074	1.0508e-10	42	Amiloride	LSM-4194	ASIC1|ASIC2|SCNN1A|SCNN1B|SCNN1G	0.04uM	24h	LINCSCP_98821	HA1E
0.8033	1.5347e-10	42	Valsartan	LSM-2993	AGTR1	0.04uM	24h	LINCSCP_172812	YAPC
0.7989	2.279e-10	42	PHA-793887	LSM-1073	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	3.33uM	3h	LINCSCP_145736	MDAMB231
0.7912	4.4877e-10	42	AG 14361	LSM-1988	PARP1	20uM	6h	LINCSCP_29288	LOVO
0.791	4.5598e-10	42	BRD-K71328603	LSM-41150	NA	10uM	24h	LINCSCP_310419	VCAP
0.7885	5.6561e-10	42	Deoxycholic acid	LSM-5529	GPBAR1	10uM	6h	LINCSCP_6614	A549
0.7847	7.7365e-10	42	9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	LSM-4412	NR3C1	10uM	6h	LINCSCP_222952	HT115
0.7836	8.4859e-10	42	Rifaximin	LSM-46032	NA	10uM	24h	LINCSCP_140357	MCF7
0.7823	9.4729e-10	42	SMR000075319	LSM-6371	KPNB1	60uM	6h	LINCSCP_39678	MDST8
0.7802	1.1171e-9	42	CGP 60474	LSM-1025	CDK1	0.04uM	24h	LINCSCP_83733	ASC.C
0.7799	1.1469e-9	42	MLS000709026	LSM-43139	RAD51	40uM	6h	LINCSCP_40050	NCIH2073
0.7795	1.1832e-9	42	FGIN1-27	LSM-2201	TSPO	10uM	6h	LINCSCP_12792	DV90
0.7774	1.401e-9	42	Aurora A Inhibitor I	LSM-1065	AURKA	3.33uM	24h	LINCSCP_165008	SKL.C
0.7771	1.438e-9	42	Atracurium	LSM-5147	CHRNA1|CHRNB1|CHRND|CHRNE|CHRNG	10uM	24h	LINCSCP_34256	MCF7
0.7767	1.488e-9	42	Ursolic acid	LSM-4889	HSD11B1|PTPN1	70uM	6h	LINCSCP_50645	PL21
0.7764	1.5207e-9	42	NSC23766	LSM-1818	NA	100uM	6h	LINCSCP_40027	NCIH2073
0.7738	1.8599e-9	42	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_29393	LOVO
0.7731	1.9703e-9	42	WZ 4002	LSM-1085	EGFR|ERBB2	0.04uM	24h	LINCSCP_117120	HT29
0.7728	2.013e-9	42	Ciproxifan	LSM-36959	HRH3	10uM	24h	LINCSCP_13015	FIBRNPC
0.7701	2.4776e-9	42	GW843682X	LSM-1014	PLK1|PLK3	10uM	24h	LINCSCP_52674	SKB
0.7679	2.9501e-9	42	Cyclopenthiazide	LSM-1529	NA	10uM	24h	LINCSCP_56222	VCAP
0.7661	3.368e-9	42	CGP 60474	LSM-1025	CDK1	0.12uM	24h	LINCSCP_84090	ASC
0.765	3.6584e-9	42	Oligomycin-A	LSM-43347	ATP5A1	0.5uM	6h	LINCSCP_65054	VCAP
0.7638	3.9919e-9	42	3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide	LSM-2158	ERBB2	10uM	24h	LINCSCP_284658	SKB
0.7598	5.3651e-9	42	CHEMBL1720543	LSM-2670	NA	10uM	6h	LINCSCP_21853	HEPG2
0.759	5.7093e-9	42	Bumetanide	LSM-2848	SLC12A1|SLC12A2	10uM	24h	LINCSCP_296059	VCAP
0.7574	6.3892e-9	42	Procaterol	LSM-1391	ADRB2	10uM	24h	LINCSCP_192140	A549
0.7571	6.5454e-9	42	Dopamine 3-O-sulfate	LSM-37139	DRD1|DRD2|DRD3|DRD4|DRD5	10uM	24h	LINCSCP_13038	FIBRNPC
0.7559	7.1275e-9	42	NSC95397	LSM-3521	NA	10uM	6h	LINCSCP_12974	EFO27
0.7546	7.8319e-9	42	C-Fms Inhibitor	LSM-1196	NA	10uM	24h	LINCSCP_87455	CD34
0.7506	1.0379e-8	42	Propylthiouracil	LSM-5592	DIO1|TPO	10uM	6h	LINCSCP_47739	PC3
0.7492	1.1488e-8	42	Lestaurtinib	LSM-1231	FLT3|JAK2|NTRK1|NTRK2|NTRK3|RET	10uM	24h	LINCSCP_52365	SKB
0.7491	1.1548e-8	42	BMY-14802	LSM-1339	HTR1A	0.12uM	24h	LINCSCP_169900	YAPC
-0.749	1.1592e-8	42	PAC-1	LSM-3119	CASP3	10uM	6h	LINCSCP_50870	RKO
0.7484	1.2103e-8	42	SA-1938820	LSM-38649	NA	3uM	24h	LINCSCP_260260	NKDBA
0.7483	1.2193e-8	42	CGP 60474	LSM-1025	CDK1	0.12uM	24h	LINCSCP_83380	ASC.C
0.7465	1.3815e-8	42	4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid	LSM-3058	PLA2G1B	10uM	6h	LINCSCP_22934	HEPG2
0.746	1.4289e-8	42	SA-102607	LSM-14734	NA	10uM	24h	LINCSCP_38159	MCF7
0.7451	1.5177e-8	42	Broad-Sai-560	LSM-45991	NA	0.1uM	6h	LINCSCP_250378	MCF7
0.7445	1.581e-8	42	BRD-A31801025-001-01-0	LSM-1455	CYP19A1	10uM	6h	LINCSCP_226563	HT29
0.7443	1.6067e-8	42	Morin	LSM-36988	NA	20uM	6h	LINCSCP_48102	PC3
0.7441	1.6266e-8	42	Proglumide	LSM-4439	CCKAR|CCKBR	10uM	6h	LINCSCP_34340	MCF7
0.744	1.6428e-8	42	CHEMBL1868011	LSM-6088	CASP3	1uM	6h	LINCSCP_37091	MCF7
