similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_16666	HA1E
0.5494	1.3325e-32	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_16665	HA1E
0.4838	1.2731e-24	396	Crizotinib	LSM-1027	ALK|MET	10uM	6h	LINCSCP_16707	HA1E
0.4198	2.448e-18	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_26669	HT29
0.3901	7.6418e-16	396	Aloisine A	LSM-4110	CDK2	10uM	6h	LINCSCP_14322	HA1E
0.3895	8.5538e-16	396	NVP-AUY922	LSM-1162	HSP90AA1|HSP90AB1	10uM	6h	LINCSCP_207836	H1299
0.3885	1.028e-15	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_6634	A549
0.3856	1.7406e-15	396	CHEMBL1552755	LSM-1942	NA	10uM	24h	LINCSCP_268065	PC3
0.3854	1.7848e-15	396	BRD-K07907451	LSM-37697	NA	5uM	6h	LINCSCP_59951	VCAP
0.385	1.9265e-15	396	AF 1312TS	LSM-3503	NA	10uM	6h	LINCSCP_210688	HA1E
0.3791	5.581e-15	396	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_50616	PL21
0.3735	1.4914e-14	396	Crizotinib	LSM-1027	ALK|MET	10uM	6h	LINCSCP_59114	VCAP
0.3688	3.3006e-14	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_59081	VCAP
0.3679	3.909e-14	396	XMD-1499	LSM-42713	EPHB3	10uM	6h	LINCSCP_16750	HA1E
0.3671	4.4347e-14	396	Vemurafenib	LSM-1068	BRAF	10uM	6h	LINCSCP_53811	SNUC4
0.3647	6.6957e-14	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	3h	LINCSCP_131099	MCF10A
0.3634	8.3062e-14	396	IKK Inhibitor VII	LSM-2309	IKBKB	10uM	6h	LINCSCP_7435	A549
0.3625	9.5973e-14	396	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_32708	MCF7
0.3589	1.7609e-13	396	PF-562271	LSM-1072	PTK2|PTK2B	1.11uM	24h	LINCSCP_81480	A549
0.3578	2.1038e-13	396	CHEMBL57427	LSM-2840	NA	10uM	6h	LINCSCP_214578	HCC515
0.3549	3.365e-13	396	XMD-1499	LSM-42713	EPHB3	10uM	6h	LINCSCP_22638	HEPG2
0.3499	7.6004e-13	396	CHEMBL2359857	LSM-6812	NA	0.5uM	6h	LINCSCP_254154	MCF7
0.3484	9.5938e-13	396	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	24h	LINCSCP_68854	VCAP
0.3477	1.0826e-12	396	AC55649	LSM-6290	RARA|RARB	10uM	6h	LINCSCP_21786	HEPG2
0.3436	2.0518e-12	396	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_236682	MCF7
0.3429	2.2939e-12	396	Quinoclamine	LSM-6261	NA	10uM	6h	LINCSCP_205766	CL34
0.3418	2.7137e-12	396	MLS000038106	LSM-4068	NA	10uM	6h	LINCSCP_25133	HT115
0.3414	2.8672e-12	396	Amthamine	LSM-2874	NA	10uM	24h	LINCSCP_193196	A549
