similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	315	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_15217	HA1E
0.6068	4.531e-33	315	Avicin-D	LSM-44620	NA	3uM	6h	LINCSCP_49411	PC3
0.5783	1.653e-29	315	Deferiprone	LSM-36972	UGT1A6	10uM	24h	LINCSCP_138312	MCF7
0.557	4.5742e-27	315	Oxetane	LSM-44627	NA	3uM	6h	LINCSCP_202121	A549
0.5542	9.3337e-27	315	Avicin-G	LSM-44622	NA	1uM	6h	LINCSCP_49414	PC3
0.5454	8.3426e-26	315	Avicin-G	LSM-44622	NA	3uM	6h	LINCSCP_49415	PC3
0.5379	5.047e-25	315	MLS-0435555.0001	LSM-4876	NA	10uM	24h	LINCSCP_46244	PC3
0.5168	6.6456e-23	315	SAN1_003817	LSM-36731	NA	10uM	6h	LINCSCP_6111	A549
0.5002	2.3897e-21	315	CHEMBL2357390	LSM-40613	NA	10uM	6h	LINCSCP_49153	PC3
0.4993	2.8919e-21	315	Camostat Mesilate	LSM-45240	NA	10uM	24h	LINCSCP_168589	YAPC
0.4985	3.4347e-21	315	Oxetane	LSM-44627	NA	3uM	6h	LINCSCP_280023	PC3
0.4977	4.0295e-21	315	Prothiaden Spofa	LSM-42985	SLC6A2|SLC6A4	1.11uM	24h	LINCSCP_168723	YAPC
0.49	1.9779e-20	315	SMR000075319	LSM-6371	KPNB1	60uM	6h	LINCSCP_264076	OV7
0.4836	7.1969e-20	315	Avicin-D	LSM-44620	NA	10uM	6h	LINCSCP_49410	PC3
0.4827	8.5586e-20	315	5-(Z)-7-(4-o-hydroxyphenyl-2-trifluoromethyl-1,3 dioxan-cis-5-yl)heptenoic acid	LSM-43903	NA	3.33uM	24h	LINCSCP_137575	MCF7
0.4792	1.7168e-19	315	Latrunculin B	LSM-43068	WWTR1|YAP1	10uM	24h	LINCSCP_46188	PC3
0.4783	2.0454e-19	315	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	1.11uM	3h	LINCSCP_132224	MCF7
0.4708	8.8427e-19	315	Lypressin	LSM-5977	AVPR1A|AVPR1B|AVPR2	10uM	24h	LINCSCP_6505	A549
0.4672	1.7613e-18	315	Temsirolimus (CCI-779, NSC 683864)	LSM-45994	MTOR	1.11uM	24h	LINCSCP_168477	YAPC
0.4655	2.4274e-18	315	Proscillaridin A	LSM-1476	ATP1A1	10uM	6h	LINCSCP_25150	HT29
0.4643	2.999e-18	315	SCHEMBL2608041	LSM-44987	HDAC6	10uM	24h	LINCSCP_46272	PC3
0.4573	1.1077e-17	315	3-(4-Pyridyl)indole	LSM-4569	ROCK1	0.37uM	24h	LINCSCP_76687	A375
0.4562	1.3559e-17	315	Latrunculin B	LSM-43068	WWTR1|YAP1	10uM	24h	LINCSCP_46189	PC3
0.4542	1.9567e-17	315	Oxetane	LSM-44627	NA	3uM	6h	LINCSCP_202122	A549
0.4528	2.5018e-17	315	COT-10B	LSM-6226	NA	40uM	6h	LINCSCP_40057	NCIH2073
0.4487	5.1986e-17	315	SAN1_003817	LSM-36731	NA	10uM	6h	LINCSCP_46380	PC3
0.4471	6.9771e-17	315	AC1NWALC	LSM-1913	ATP1A1	10uM	6h	LINCSCP_25165	HT29
0.4467	7.4207e-17	315	BRD-K18449990	LSM-38258	NA	5uM	24h	LINCSCP_63013	VCAP
0.4452	9.7644e-17	315	AC1NWALF	LSM-1930	ATP1A1	10uM	6h	LINCSCP_25167	HT29
0.445	9.9616e-17	315	Berberine	LSM-6553	NA	0.04uM	24h	LINCSCP_137993	MCF7
0.4449	1.0233e-16	315	Triamterene	LSM-4060	SCNN1A|SCNN1B|SCNN1G	10uM	24h	LINCSCP_47351	PC3
0.4416	1.8063e-16	315	Iodoacetic acid	LSM-5944	NA	10uM	6h	LINCSCP_17018	HA1E
0.4402	2.3113e-16	315	MLS001033149	LSM-6634	NA	10uM	6h	LINCSCP_6642	A549
0.4396	2.5801e-16	315	Forskolin, NKH477	LSM-45443	NA	1.11uM	24h	LINCSCP_153848	PC3
0.4366	4.2809e-16	315	Avicin-G	LSM-44622	NA	10uM	6h	LINCSCP_49413	PC3
0.4348	5.8717e-16	315	PAC-1	LSM-3119	CASP3	10uM	6h	LINCSCP_223132	HT115
0.434	6.6538e-16	315	COL-3	LSM-36908	NA	10uM	6h	LINCSCP_49418	PC3
0.4328	8.2705e-16	315	Mitoxantrone	LSM-2481	TOP2A	0.5uM	24h	LINCSCP_43916	PC3
0.4326	8.4637e-16	315	SMR000217164	LSM-2440	NA	10uM	6h	LINCSCP_267851	PC3
0.4306	1.1795e-15	315	AZD4547	LSM-6308	NA	10uM	24h	LINCSCP_146448	NEU
0.4306	1.1952e-15	315	7Beta-forskolin	LSM-2040	ADCY2	10uM	6h	LINCSCP_27057	HT29
0.4289	1.5886e-15	315	BRD-K10055064	LSM-37796	NA	5uM	24h	LINCSCP_305457	VCAP
0.4285	1.6805e-15	315	Alpelisib	LSM-4256	PIK3CA	0.12uM	24h	LINCSCP_115025	HS578T
0.4281	1.8039e-15	315	CHEMBL2144875	LSM-6105	NA	10uM	24h	LINCSCP_47106	PC3
0.4277	1.9288e-15	315	NSC25485	LSM-1580	ATP1A1	10uM	6h	LINCSCP_25153	HT29
