similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	1.1481e-192	46	Lopinavir	LSM-6027	NA	10uM	6h	LINCSCP_16740	HA1E
0.7743	2.751e-10	46	Triazolothiadiazine, 41	LSM-1245	NA	10uM	24h	LINCSCP_1353	A375
0.7186	1.8666e-8	46	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	6h	LINCSCP_66946	HCC515
0.7174	2.0291e-8	46	Fluticasone Propionate	LSM-3384	NR3C1|PGR	1.11uM	24h	LINCSCP_158849	PC3
0.7169	2.0895e-8	46	Cabozantinib	LSM-1195	KDR|MET	10uM	24h	LINCSCP_147446	NPC.CAS9
0.7117	2.945e-8	46	Cytochalasin B	LSM-46134	NA	4.17uM	24h	LINCSCP_108215	HELA
0.7074	3.8849e-8	46	CHEMBL179288	LSM-3648	NA	10uM	6h	LINCSCP_40385	NCIH596
0.704	4.8147e-8	46	ML175	LSM-3291	NA	10uM	6h	LINCSCP_19656	HCC515
0.7038	4.8521e-8	46	FTI276	LSM-4727	FNTA	10uM	6h	LINCSCP_43799	OV7
0.6998	6.2399e-8	46	Vemurafenib	LSM-1068	BRAF	10uM	6h	LINCSCP_40091	NCIH2073
0.6967	7.5353e-8	46	YM 201636	LSM-1109	NA	0.04uM	24h	LINCSCP_99653	HCC515
0.6932	9.3131e-8	46	Dabrafenib	LSM-6303	BRAF	0.37uM	24h	LINCSCP_149250	NPC
0.6895	1.1655e-7	46	PF431396	LSM-1116	NA	0.04uM	24h	LINCSCP_99449	HCC515
0.6815	1.8557e-7	46	ENMD-2076	LSM-45335	AURKA|AURKB|CSF1R|FGFR3|FLT3|KDR|KIT|PDGFRA|SRC	0.04uM	24h	LINCSCP_3886	A375
0.6776	2.3179e-7	46	COT Inhibitor-2	LSM-1154	NA	0.04uM	24h	LINCSCP_112072	HEPG2
0.6769	2.3996e-7	46	WAY-170523	LSM-2795	MMP13	10uM	24h	LINCSCP_18577	HCC515
0.6748	2.7089e-7	46	Milciclib (PHA-848125)	LSM-45577	CDK1|CDK2|CDK4|NTRK1	0.04uM	24h	LINCSCP_75839	A375
0.6739	2.8522e-7	46	AZD1981	LSM-45513	PTGDR2	10uM	24h	LINCSCP_107975	HELA
0.6716	3.2331e-7	46	CHEMBL179288	LSM-3648	NA	10uM	6h	LINCSCP_188190	A549
0.6699	3.5568e-7	46	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	1.11uM	24h	LINCSCP_88263	HA1E
0.6696	3.6104e-7	46	BGT-226	LSM-6710	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.04uM	24h	LINCSCP_129669	JURKAT
0.6679	3.9601e-7	46	Veliparib	LSM-1146	PARP1|PARP2	0.12uM	24h	LINCSCP_112936	HEPG2
0.6654	4.5334e-7	46	CHEMBL3347630	LSM-43292	NA	0.37uM	24h	LINCSCP_88811	HA1E
0.6608	5.791e-7	46	BDBM82056	LSM-5188	CACNA1C|CACNA1D|CACNA1S	10uM	24h	LINCSCP_46062	PC3
0.6604	5.9245e-7	46	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	10uM	24h	LINCSCP_148503	NPC
0.6593	6.2895e-7	46	MLN-0128	LSM-1206	MTOR	1.11uM	24h	LINCSCP_129621	JURKAT
0.6587	6.4851e-7	46	ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE	LSM-45734	NA	3.33uM	24h	LINCSCP_107970	HELA
0.6583	6.6305e-7	46	PHA-665752	LSM-42793	MET	1.11uM	24h	LINCSCP_116261	HT29
0.6572	6.9898e-7	46	Y-39983	LSM-1150	ROCK1|ROCK2	3.33uM	24h	LINCSCP_111872	HEPG2
-0.6572	7.0225e-7	46	MLN-8054	LSM-1066	AURKA	0.04uM	24h	LINCSCP_152250	PC3
0.6567	7.1983e-7	46	CHEMBL2139663	LSM-29347	NA	10uM	6h	LINCSCP_6081	A549
0.6558	7.5302e-7	46	MLS000038106	LSM-4068	NA	10uM	6h	LINCSCP_10658	AGS
-0.6546	8.0111e-7	46	GSK-319347A	LSM-1216	IKBKG	5uM	6h	LINCSCP_287306	SNUC5
0.6533	8.5927e-7	46	CHEMBL1394624	LSM-1401	NA	10uM	6h	LINCSCP_5047	A549
0.651	9.6437e-7	46	Tanaproget	LSM-45780	NA	10uM	24h	LINCSCP_98942	HA1E
0.6501	1.0104e-6	46	301836-43-1	LSM-1203	CSNK1A1|TGFB1	10uM	24h	LINCSCP_18526	HCC515
