similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	183	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_15217	HA1E
0.7434	1.9238e-33	183	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_53862	SNUC5
0.7335	3.5648e-32	183	BRD-A81936046	LSM-4484	NA	10uM	6h	LINCSCP_54861	THP1
0.7312	6.8473e-32	183	Tazac, Axid, Axid Ar, Nizatidine	LSM-42963	HRH2	10uM	24h	LINCSCP_18588	HCC515
0.7302	9.081e-32	183	4-(4-Octadecylphenyl)-4-oxobut-2-enoic acid	LSM-3058	PLA2G1B	10uM	6h	LINCSCP_22934	HEPG2
0.7196	1.7717e-30	183	Propylthiouracil	LSM-5592	DIO1|TPO	10uM	6h	LINCSCP_47739	PC3
0.708	3.7455e-29	183	CID-2858522	LSM-3337	NA	10uM	6h	LINCSCP_55508	U937
0.7074	4.3787e-29	183	AC1Q6JJ5	LSM-6192	TOP2A	0.1uM	6h	LINCSCP_12767	DV90
0.7074	4.4691e-29	183	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_29393	LOVO
0.704	1.0621e-28	183	RG 13022	LSM-43030	NA	10uM	6h	LINCSCP_7530	A549
0.7021	1.6943e-28	183	DC-45-A2	LSM-6274	NA	10uM	6h	LINCSCP_19593	HCC515
0.6958	8.1118e-28	183	Diloxanide Furoate	LSM-2223	NA	10uM	6h	LINCSCP_2588	A375
0.6892	4.0824e-27	183	Saracatinib	LSM-1032	ABL1|SRC	10uM	3h	LINCSCP_113379	HME1
0.6841	1.3465e-26	183	CICLESONIDE	LSM-45682	NR3C1	3.33uM	24h	LINCSCP_102113	HELA
0.6835	1.5353e-26	183	Mesoridazine	LSM-1329	DRD2|HTR2A	10uM	6h	LINCSCP_285810	SKM1
0.6805	3.0893e-26	183	Tolazamide	LSM-2699	ABCC8|KCNJ11	10uM	6h	LINCSCP_54762	T3M10
0.6773	6.4593e-26	183	Ethionamide	LSM-5620	NA	10uM	6h	LINCSCP_273037	PC3
0.674	1.3738e-25	183	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	3.33uM	24h	LINCSCP_88486	HA1E
0.6633	1.4569e-24	183	HLI-373	LSM-6225	MDM2	10uM	6h	LINCSCP_202908	A673
0.6615	2.1214e-24	183	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	1.11uM	24h	LINCSCP_89191	HA1E
0.6575	4.9843e-24	183	DH 97	LSM-2108	NA	10uM	24h	LINCSCP_193091	A549
0.6554	7.7619e-24	183	BRD-A31801025-001-01-0	LSM-1455	CYP19A1	10uM	6h	LINCSCP_226563	HT29
0.652	1.5765e-23	183	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_13100	FIBRNPC
0.6495	2.6153e-23	183	Promazine	LSM-2137	CHRM5|DRD2|DRD3|DRD4|HTR2A	10uM	6h	LINCSCP_13462	H1299
0.6495	2.6205e-23	183	SMR000075319	LSM-6371	KPNB1	60uM	6h	LINCSCP_39678	MDST8
0.648	3.5528e-23	183	3-(4-Pyridyl)indole	LSM-4569	ROCK1	10uM	6h	LINCSCP_10357	A673
0.6462	5.1304e-23	183	SCHEMBL6851809	LSM-43061	MTOR	10uM	6h	LINCSCP_39697	MDST8
0.6452	6.3556e-23	183	BRD-K76970388	LSM-15162	NA	10uM	6h	LINCSCP_48890	PC3
0.6425	1.0816e-22	183	FK 866	LSM-43216	NAMPT	0.1uM	6h	LINCSCP_264219	OV7
0.6416	1.2994e-22	183	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_202848	A673
0.6392	2.0829e-22	183	FGIN1-27	LSM-2201	TSPO	10uM	6h	LINCSCP_12792	DV90
0.6382	2.5514e-22	183	MLS002391574	LSM-2770	NA	10uM	6h	LINCSCP_22188	HEPG2
-0.6375	2.9299e-22	183	Alisertib	LSM-37184	AURKA	0.04uM	24h	LINCSCP_28653	HT29
0.6341	5.661e-22	183	SA-1939007	LSM-38222	NA	5uM	24h	LINCSCP_249176	MCF7
0.6335	6.375e-22	183	PF-04620110	LSM-45293	NA	0.04uM	24h	LINCSCP_137585	MCF7
0.6289	1.5375e-21	183	BRD-K41087962	LSM-42690	NA	0.5uM	6h	LINCSCP_257137	NCIH2073
0.6276	1.9664e-21	183	Aniracetam	LSM-3969	DRD2|GRIA1|GRIA2|GRIA3|HTR2A	10uM	24h	LINCSCP_13047	FIBRNPC
0.6274	2.0188e-21	183	PP 2	LSM-4153	LCK|SRC	10uM	24h	LINCSCP_7355	A549
0.6272	2.0969e-21	183	BRD-K71328603	LSM-41150	NA	10uM	24h	LINCSCP_310419	VCAP
0.6247	3.3759e-21	183	GW843682X	LSM-1014	PLK1|PLK3	10uM	24h	LINCSCP_52674	SKB
0.6242	3.7313e-21	183	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	10uM	6h	LINCSCP_916	A375
0.6223	5.2517e-21	183	RS-17053	LSM-3721	ADRA1A	10uM	6h	LINCSCP_22980	HEPG2
0.6203	7.6053e-21	183	STK369842	LSM-37100	NA	10uM	24h	LINCSCP_13035	FIBRNPC
0.6196	8.6687e-21	183	LY2811376	LSM-45909	NA	0.37uM	24h	LINCSCP_143972	MCF7
0.6193	9.2043e-21	183	Dalcetrapib	LSM-6227	CETP	80uM	24h	LINCSCP_30508	MCF7
0.6191	9.5852e-21	183	Tipifarnib	LSM-6258	CHURC1-FNTB|FNTA|FNTB	10uM	6h	LINCSCP_39783	MDST8
0.6148	2.0982e-20	183	Cyanopindolol	LSM-36892	ADRB1|HTR1A	10uM	6h	LINCSCP_207182	FIBRNPC
0.6119	3.5151e-20	183	MLS000709026	LSM-43139	RAD51	40uM	6h	LINCSCP_40050	NCIH2073
0.6097	5.1593e-20	183	amcinonide	NA	NA	10uM	24h	LINCSCP_88998	HA1E
0.6089	5.9505e-20	183	BAS 04938498	LSM-4486	NA	10uM	6h	LINCSCP_20201	HCC515
0.6082	6.748e-20	183	Glyburide	LSM-2811	ABCC8|CFTR|KCNJ11|KCNJ5|KCNJ8	10uM	6h	LINCSCP_10559	AGS
0.6074	7.8562e-20	183	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	80uM	6h	LINCSCP_39826	MDST8
0.607	8.3053e-20	183	SKF 81297	LSM-1301	DRD1|DRD5	10uM	24h	LINCSCP_13006	FIBRNPC
0.6067	8.8566e-20	183	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	10uM	6h	LINCSCP_10509	AGS
0.6063	9.4174e-20	183	Ursolic acid	LSM-4889	HSD11B1|PTPN1	70uM	6h	LINCSCP_50645	PL21
0.6046	1.265e-19	183	BRD-K85822033	LSM-45305	NA	0.5uM	24h	LINCSCP_12391	CD34
0.6043	1.3326e-19	183	SA-1456977	LSM-41822	NA	3uM	24h	LINCSCP_260931	NKDBA
0.6039	1.4477e-19	183	Veliparib	LSM-1146	PARP1|PARP2	10uM	6h	LINCSCP_283034	RKO
0.6036	1.5167e-19	183	Amiloride	LSM-4194	ASIC1|ASIC2|SCNN1A|SCNN1B|SCNN1G	0.12uM	24h	LINCSCP_144039	MCF7
0.6002	2.7349e-19	183	Felodipine	LSM-1447	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	0.12uM	24h	LINCSCP_73990	A375
0.6	2.805e-19	183	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.37uM	24h	LINCSCP_88488	HA1E
0.5978	4.0675e-19	183	ASN 05257430	LSM-2975	NA	10uM	6h	LINCSCP_55228	TYKNU
0.5963	5.2965e-19	183	Flutamide	LSM-2621	AR	30uM	6h	LINCSCP_287850	T3M10
0.5909	1.3118e-18	183	SA-1457415	LSM-40938	NA	3uM	6h	LINCSCP_37360	MCF7
0.59	1.5152e-18	183	CHEBI:82814	LSM-1744	CACNA1C	10uM	6h	LINCSCP_179470	A375
0.5894	1.6633e-18	183	9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione	LSM-4412	NR3C1	10uM	6h	LINCSCP_222952	HT115
0.5893	1.7045e-18	183	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_10576	AGS
0.5881	2.085e-18	183	NVP-AEW541	LSM-44953	IGF1R	1uM	24h	LINCSCP_235389	MCF10A
0.588	2.0993e-18	183	AC1MEVG9	LSM-3935	PTPN1	10uM	6h	LINCSCP_51015	RMGI
0.5868	2.5463e-18	183	Indole-3-carbinol	LSM-2011	AHR	10uM	6h	LINCSCP_6957	A549
0.5849	3.5199e-18	183	CAM-9-021	LSM-2100	NA	10uM	6h	LINCSCP_193717	A549
0.5819	5.6599e-18	183	CHEMBL602850	LSM-1328	NA	10uM	6h	LINCSCP_14516	HA1E
0.5814	6.1819e-18	183	DG-041	LSM-43279	PTGER3	40uM	6h	LINCSCP_10373	A673
0.5813	6.2925e-18	183	Aurora A Inhibitor I	LSM-1065	AURKA	3.33uM	24h	LINCSCP_165008	SKL.C
0.5813	6.2958e-18	183	BRD-K57879743	LSM-40438	NA	10uM	24h	LINCSCP_64676	VCAP
0.5812	6.3666e-18	183	Oxidopamine	LSM-37081	NA	10uM	24h	LINCSCP_207023	FIBRNPC
0.581	6.6197e-18	183	NCGC00016774-01	LSM-1232	NA	10uM	24h	LINCSCP_281610	PHH
0.5805	7.141e-18	183	BRD-K86979665	LSM-13762	NA	5uM	24h	LINCSCP_196382	A549
0.5791	8.9366e-18	183	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_12667	CORL23
0.5789	9.1679e-18	183	Apoptosis Activator II	LSM-2329	NA	10uM	24h	LINCSCP_284426	SKB
-0.5787	9.5419e-18	183	BRD-K42573370-001-01-1	LSM-37084	NA	0.12uM	24h	LINCSCP_20971	HCC515
0.5786	9.7094e-18	183	Nifedipine	LSM-4176	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	10uM	6h	LINCSCP_55054	THP1
0.5761	1.4235e-17	183	Dacomitinib	LSM-42808	EGFR|ERBB2|ERBB3|ERBB4	10uM	24h	LINCSCP_88395	HA1E
0.5759	1.4889e-17	183	Flumatinib (mesylate)	LSM-45582	ABL1	3.33uM	24h	LINCSCP_97308	HA1E
0.5758	1.4902e-17	183	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_179376	A375
0.5758	1.5095e-17	183	MLS003129427	LSM-15171	NA	10uM	24h	LINCSCP_65372	VCAP
0.5755	1.5835e-17	183	Rifaximin	LSM-46032	NA	10uM	24h	LINCSCP_140357	MCF7
0.5753	1.6361e-17	183	Deoxycholic acid	LSM-5529	GPBAR1	10uM	6h	LINCSCP_6614	A549
0.5743	1.8884e-17	183	CHEMBL179288	LSM-3648	NA	10uM	6h	LINCSCP_12563	CL34
0.5739	2.0286e-17	183	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	1uM	24h	LINCSCP_36498	MCF7
0.5726	2.4675e-17	183	AS601245	LSM-1034	MAPK10|MAPK8|MAPK9	0.12uM	3h	LINCSCP_115420	HS578T
0.5725	2.4995e-17	183	KO143	LSM-6260	ABCG2	40uM	6h	LINCSCP_40102	NCIH2073
0.5715	2.9244e-17	183	N6022	LSM-45697	NA	0.04uM	24h	LINCSCP_141340	MCF7
0.5715	2.9467e-17	183	SB408124	LSM-3195	HCRTR1	10uM	6h	LINCSCP_22772	HEPG2
0.5713	3.041e-17	183	BRD-K36150982	LSM-10611	NA	5uM	6h	LINCSCP_304221	VCAP
0.5706	3.3637e-17	183	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	6h	LINCSCP_46976	PC3
0.5703	3.5298e-17	183	Alvimopan (monohydrate)	LSM-45414	OPRM1	3.33uM	24h	LINCSCP_98991	HA1E
0.5693	4.1084e-17	183	CGP 60474	LSM-1025	CDK1	0.04uM	24h	LINCSCP_84091	ASC
0.5691	4.2696e-17	183	MLN-0128	LSM-1206	MTOR	10uM	24h	LINCSCP_88509	HA1E
0.5686	4.6175e-17	183	AC1MSUFC	LSM-6191	HMGCR	40uM	6h	LINCSCP_282900	RKO
0.5676	5.4019e-17	183	AZD-1775	LSM-1153	WEE1	0.12uM	24h	LINCSCP_164559	SKL.C
0.5675	5.4613e-17	183	BIBR-1532	LSM-43274	TERT	80uM	6h	LINCSCP_50745	RKO
0.5664	6.4857e-17	183	UK 356618	LSM-4940	MMP3	10uM	6h	LINCSCP_10395	A673
0.5664	6.486e-17	183	Cromakalim	LSM-1794	KCNJ8	10uM	24h	LINCSCP_7013	A549
0.5661	6.7571e-17	183	PK-11195	LSM-1532	TSPO	100uM	6h	LINCSCP_206141	COV644
0.5651	7.8589e-17	183	10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine	LSM-3198	DRD1|DRD2	10uM	6h	LINCSCP_33013	MCF7
0.565	7.9963e-17	183	Manumycin-A	LSM-43075	FNTA|IKBKB	1uM	24h	LINCSCP_253000	MCF7
0.5646	8.4662e-17	183	BRD-K41429297	LSM-6111	NA	10uM	6h	LINCSCP_26403	HT29
0.5644	8.7453e-17	183	SMR000075319	LSM-6371	KPNB1	1uM	6h	LINCSCP_9511	A549
0.5638	9.6157e-17	183	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	1.11uM	3h	LINCSCP_132224	MCF7
0.5637	9.7012e-17	183	Methylbenzethonium	LSM-5574	NA	10uM	6h	LINCSCP_34599	MCF7
0.5636	9.8603e-17	183	Meadacid	LSM-43045	NA	10uM	24h	LINCSCP_7104	A549
0.5628	1.1193e-16	183	SA-1921599	LSM-38768	NA	0.5uM	6h	LINCSCP_253689	MCF7
0.5626	1.1551e-16	183	GSK 1059615	LSM-42799	PIK3CA|PIK3CB|PIK3CD|PIK3CG	3.33uM	24h	LINCSCP_89190	HA1E
0.5622	1.2171e-16	183	TAE-684	LSM-1024	ALK	10uM	6h	LINCSCP_191279	A549
0.5616	1.3414e-16	183	N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide	LSM-6279	NA	0.5uM	6h	LINCSCP_10439	A673
0.5615	1.3506e-16	183	GSK-2334470	LSM-1222	PDK1|PDPK1	10uM	24h	LINCSCP_89207	HA1E
0.561	1.4571e-16	183	Ozagrel	LSM-42902	TBXAS1	10uM	24h	LINCSCP_123438	HT29
0.5601	1.6596e-16	183	SEW00445	LSM-4699	NA	10uM	6h	LINCSCP_22403	HEPG2
0.5592	1.9145e-16	183	BRD-K69406317-001-01-8	LSM-41049	NA	10uM	24h	LINCSCP_5966	A549
0.5585	2.1332e-16	183	Letermovir	LSM-45820	NA	3.33uM	24h	LINCSCP_144102	MCF7
0.5584	2.1521e-16	183	Atomoxetine	LSM-2452	SLC6A2|SLC6A3|SLC6A4	1.11uM	24h	LINCSCP_135670	MCF7
0.5582	2.227e-16	183	Gemcitabine	LSM-5333	POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	0.5uM	6h	LINCSCP_10197	A549
0.5581	2.2613e-16	183	Nefazodone	LSM-4031	HTR2A|HTR2C|SLC6A2|SLC6A4	10uM	6h	LINCSCP_22816	HEPG2
0.5564	2.889e-16	183	M3M3FBS	LSM-2196	PLCB2|PLCB3|PLCD1|PLCG1|PLCG2	80uM	6h	LINCSCP_202894	A673
0.5562	2.9792e-16	183	BAY 61-3606	LSM-1167	SYK	3.33uM	24h	LINCSCP_89118	HA1E
0.5559	3.1144e-16	183	Chlorpromazine Sulfone	LSM-37074	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7	10uM	6h	LINCSCP_207299	FIBRNPC
0.5554	3.3636e-16	183	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	0.1uM	6h	LINCSCP_29939	MCF10A
0.555	3.5327e-16	183	NVP-AEW541	LSM-44953	IGF1R	0.5uM	24h	LINCSCP_36843	MCF7
0.5544	3.8685e-16	183	PD-160170	LSM-2247	NPY1R	10uM	24h	LINCSCP_33071	MCF7
0.5542	3.9795e-16	183	Tipifarnib	LSM-6258	CHURC1-FNTB|FNTA|FNTB	10uM	6h	LINCSCP_202965	A673
0.5537	4.2863e-16	183	BMS-536924	LSM-1210	IGF1R	10uM	6h	LINCSCP_17695	HCC15
0.5535	4.4455e-16	183	AC1NWAQV	LSM-1503	NR3C1	0.12uM	24h	LINCSCP_93652	HA1E
0.5534	4.5112e-16	183	Ciglitazone	LSM-1911	PPARG	10uM	24h	LINCSCP_80724	A375
0.5514	6.0296e-16	183	PHA-767491	LSM-6304	NA	3.33uM	24h	LINCSCP_88462	HA1E
-0.5511	6.2879e-16	183	331771-20-1	LSM-1096	AURKA|AURKB	10uM	24h	LINCSCP_20857	HCC515
0.5504	6.9897e-16	183	Estradiol	LSM-2421	ESR1|ESR2|NR1I2	10uM	6h	LINCSCP_36111	MCF7
0.5501	7.2318e-16	183	PIK-93	LSM-1191	NA	0.04uM	24h	LINCSCP_130660	MCF10A
0.5495	7.9546e-16	183	BRD-K95041551	LSM-14254	NA	10uM	24h	LINCSCP_35262	MCF7
0.5488	8.8219e-16	183	4-Iodo-6-phenylpyrimidine	LSM-6233	MIF	40uM	6h	LINCSCP_10359	A673
0.5477	1.0268e-15	183	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.12uM	3h	LINCSCP_116012	HS578T
0.5477	1.032e-15	183	Foretinib	LSM-1158	FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB|TEK	0.37uM	3h	LINCSCP_132351	MCF7
0.5476	1.0417e-15	183	BX-795	LSM-1189	PDK1|PDPK1	10uM	6h	LINCSCP_10571	AGS
0.546	1.3031e-15	183	BAY 61-3606	LSM-1167	SYK	10uM	24h	LINCSCP_89117	HA1E
0.5457	1.3678e-15	183	NU1025	LSM-4643	PARP1	10uM	6h	LINCSCP_10383	A673
0.5447	1.5648e-15	183	Nimodipine	LSM-1659	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	10uM	6h	LINCSCP_50718	RKO
0.544	1.7299e-15	183	Amitriptyline	LSM-3190	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|SLC6A2|SLC6A4	1.11uM	24h	LINCSCP_136898	MCF7
0.5439	1.7678e-15	183	Broad-Sai-296	LSM-45315	NA	0.1uM	6h	LINCSCP_35575	MCF7
0.5438	1.78e-15	183	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	24h	LINCSCP_84692	ASC
0.5428	2.0588e-15	183	Trifluoperazine	LSM-4010	DRD2|DRD3|DRD4|HTR2A|HTR2C	10uM	6h	LINCSCP_10447	A673
0.5428	2.0706e-15	183	PAC-1	LSM-3119	CASP3	10uM	6h	LINCSCP_223132	HT115
0.5426	2.1132e-15	183	SA-1938820	LSM-38649	NA	3uM	24h	LINCSCP_260260	NKDBA
0.5424	2.1752e-15	183	SCHEMBL3954849	LSM-5982	NA	10uM	6h	LINCSCP_29835	MCF10A
0.5414	2.505e-15	183	SA-89735	LSM-40327	NA	1uM	6h	LINCSCP_37343	MCF7
0.5409	2.6779e-15	183	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	0.12uM	3h	LINCSCP_145781	MDAMB231
0.5402	2.9788e-15	183	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	10uM	24h	LINCSCP_36450	MCF7
0.5398	3.1447e-15	183	K-115	LSM-45986	NA	3.33uM	24h	LINCSCP_106693	HELA
0.5396	3.2503e-15	183	MLS001333211	LSM-4985	NR3C1	10uM	6h	LINCSCP_22124	HEPG2
0.5395	3.263e-15	183	CHEMBL2135537	LSM-6149	NA	10uM	6h	LINCSCP_7988	A549
0.5384	3.8168e-15	183	AZD-8055	LSM-1007	MTOR	10uM	24h	LINCSCP_24379	HS578T
0.5383	3.8805e-15	183	2,3-Diphenylquinoxaline-6-carboxylic acid	LSM-2706	AKT1	10uM	6h	LINCSCP_208946	HA1E
0.5382	3.8968e-15	183	STK219801	LSM-43281	NA	20uM	6h	LINCSCP_39795	MDST8
0.5377	4.2032e-15	183	BRD-K43623238	LSM-39670	NA	1uM	24h	LINCSCP_65972	VCAP
0.5374	4.367e-15	183	PD-407824	LSM-3862	NA	1uM	6h	LINCSCP_38361	MCF7
