similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	204	114798-26-4	LSM-3701	AGTR1	10uM	24h	LINCSCP_97726	HA1E
0.6637	2.8596e-27	204	3-Aminobenzamide	LSM-4525	NA	0.1uM	24h	LINCSCP_250475	MCF7
0.6616	4.7176e-27	204	Pinaverium bromide	LSM-45920	NA	0.12uM	24h	LINCSCP_174453	YAPC
0.6527	3.8038e-26	204	848193-68-0	LSM-6271	SIRT1	20uM	6h	LINCSCP_234807	LOVO
0.6452	2.1057e-25	204	BRD-K75023015	LSM-15161	NA	10uM	6h	LINCSCP_65516	VCAP
0.6287	7.6161e-24	204	MLN-8054	LSM-1066	AURKA	0.04uM	24h	LINCSCP_141886	MCF7
0.6282	8.5265e-24	204	Loratadine	LSM-5891	HRH1	0.37uM	24h	LINCSCP_96615	HA1E
0.6262	1.3069e-23	204	IOWH032	LSM-45258	NA	10uM	24h	LINCSCP_160154	PC3
0.6216	3.352e-23	204	Narlaprevir	LSM-45473	NA	3.33uM	24h	LINCSCP_171215	YAPC
0.6197	4.951e-23	204	VX-809 (Lumacaftor)	LSM-45571	CFTR	3.33uM	24h	LINCSCP_160365	PC3
0.6113	2.7096e-22	204	Clopidogrel	LSM-5415	P2RY12	10uM	6h	LINCSCP_15979	HA1E
0.6094	3.9657e-22	204	Tacalcitol	LSM-45518	NA	0.12uM	24h	LINCSCP_97083	HA1E
0.6044	1.0511e-21	204	SPECTRUM1505012	LSM-1773	CYP19A1	1.11uM	24h	LINCSCP_97573	HA1E
0.5987	3.1327e-21	204	Escitalopram	LSM-3569	SLC6A4	3.33uM	24h	LINCSCP_79034	A375
0.5965	4.7568e-21	204	CC-401	LSM-1186	NA	10uM	24h	LINCSCP_159254	PC3
0.593	9.2354e-21	204	TAK-242	LSM-45934	NA	0.04uM	24h	LINCSCP_94686	HA1E
0.593	9.2918e-21	204	ZM336372	LSM-6268	NA	100uM	6h	LINCSCP_39803	MDST8
0.5906	1.4465e-20	204	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.37uM	24h	LINCSCP_95225	HA1E
0.5828	5.9712e-20	204	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	10uM	6h	LINCSCP_50673	PL21
0.5778	1.4455e-19	204	Aripiprazole	LSM-5776	DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C	10uM	24h	LINCSCP_160376	PC3
0.574	2.8383e-19	204	Rifaximin	LSM-46032	NA	0.12uM	24h	LINCSCP_123777	HT29
0.5719	4.1231e-19	204	Loratadine	LSM-5891	HRH1	10uM	24h	LINCSCP_125242	HT29
0.5705	5.1748e-19	204	TAK-285	LSM-45987	EGFR|ERBB2	1.11uM	24h	LINCSCP_159904	PC3
0.5697	5.9378e-19	204	Cilostazol	LSM-3491	PDE3A	0.04uM	24h	LINCSCP_95299	HA1E
0.5664	1.0466e-18	204	sn-Glycero-3-phosphocholine	LSM-45427	NA	1.11uM	24h	LINCSCP_160468	PC3
0.5645	1.4545e-18	204	BRD-K92313046	LSM-14094	NA	5uM	24h	LINCSCP_34941	MCF7
0.5645	1.4583e-18	204	Parbendazole	LSM-4893	TUBB	0.5uM	6h	LINCSCP_50739	RKO
0.5643	1.5035e-18	204	Brefeldin A	LSM-42812	NA	0.1uM	6h	LINCSCP_40271	NCIH596
0.5627	1.9697e-18	204	3-Methyladenine	LSM-4733	NA	10uM	6h	LINCSCP_50849	RKO
0.5612	2.5157e-18	204	BRD-K99311962	LSM-42643	NA	10uM	6h	LINCSCP_64828	VCAP
0.5605	2.8579e-18	204	BRD-K51871563	LSM-44786	NA	5uM	24h	LINCSCP_275563	PC3
0.56	3.0753e-18	204	Etoricoxib	LSM-5650	PTGS2	0.37uM	24h	LINCSCP_106737	HELA
0.5587	3.8675e-18	204	IDOXURIDINE	LSM-45784	NA	0.12uM	24h	LINCSCP_141975	MCF7
0.5583	4.1081e-18	204	CHEMBL399379	LSM-6245	ACLY	80uM	6h	LINCSCP_43764	OV7
0.555	7.0122e-18	204	Oxybenzone	LSM-3309	NA	0.12uM	24h	LINCSCP_123169	HT29
0.5537	8.755e-18	204	Clinofibrate	LSM-45783	NA	1.11uM	24h	LINCSCP_98422	HA1E
0.5527	1.0325e-17	204	Cyproterone Acetate	LSM-45961	NA	1.11uM	24h	LINCSCP_171138	YAPC
0.5511	1.3363e-17	204	Estradiol	LSM-2421	ESR1|ESR2|NR1I2	0.37uM	24h	LINCSCP_20945	HCC515
0.5507	1.4144e-17	204	BRD-K36313546	LSM-10622	NA	10uM	24h	LINCSCP_41050	NEU
0.5489	1.8927e-17	204	Rimcazole	LSM-5777	SIGMAR1	1.11uM	24h	LINCSCP_97399	HA1E
0.5473	2.4536e-17	204	BL003-049-HDAC3	LSM-36785	NA	0.37uM	24h	LINCSCP_4005	A375
0.5472	2.4843e-17	204	Coumarin	LSM-2519	NA	10uM	24h	LINCSCP_284247	SKB
0.5459	3.0406e-17	204	VX-11E	LSM-6291	MAPK1	0.5uM	6h	LINCSCP_66322	WSUDLCL2
0.5456	3.2056e-17	204	GDC-0068	LSM-45747	NA	0.04uM	24h	LINCSCP_78693	A375
0.545	3.5267e-17	204	NMS-1286937	LSM-45818	NA	0.04uM	24h	LINCSCP_78327	A375
0.543	4.8802e-17	204	AC1LDBAO	LSM-4032	NA	20uM	6h	LINCSCP_25132	HT115
0.5394	8.5599e-17	204	PF-04217903	LSM-1166	MET	3.33uM	24h	LINCSCP_160485	PC3
0.5374	1.1665e-16	204	BRD-K74842589	LSM-41346	NA	10uM	6h	LINCSCP_65062	VCAP
0.5369	1.2539e-16	204	Ranitidine	LSM-42886	HRH2	10uM	24h	LINCSCP_109209	HELA
0.5365	1.3368e-16	204	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	0.001uM	24h	LINCSCP_250724	MCF7
0.5365	1.3405e-16	204	Inamrinone	LSM-6600	PDE3A	10uM	24h	LINCSCP_124996	HT29
0.5354	1.5686e-16	204	BRD-K94206926	LSM-14202	NA	5uM	6h	LINCSCP_61001	VCAP
0.5352	1.6204e-16	204	Dequalinium	LSM-5846	NA	0.12uM	24h	LINCSCP_143403	MCF7
0.5325	2.4476e-16	204	Vemurafenib	LSM-1068	BRAF	1.11uM	24h	LINCSCP_139610	MCF7
0.5309	3.138e-16	204	Rosuvastatin	LSM-43032	HMGCR	0.12uM	24h	LINCSCP_96646	HA1E
0.5302	3.4809e-16	204	Sobetirome	LSM-45487	NA	1.11uM	24h	LINCSCP_160192	PC3
0.529	4.1624e-16	204	NVP DPP 728 dihydrochloride	LSM-45615	NA	3.33uM	24h	LINCSCP_97769	HA1E
0.5285	4.5011e-16	204	MK-2206	LSM-1057	AKT1|AKT2|AKT3	1.11uM	24h	LINCSCP_97213	HA1E
0.527	5.6601e-16	204	ASN 05257430	LSM-2975	NA	10uM	6h	LINCSCP_287560	SW480
0.5267	5.9032e-16	204	Naphazoline	LSM-3737	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	3.33uM	24h	LINCSCP_110007	HELA
0.5258	6.7003e-16	204	SCH-28080	LSM-3243	ATP4A	10uM	24h	LINCSCP_122974	HT29
0.5247	7.9532e-16	204	Azelastine	LSM-5127	HRH1	10uM	24h	LINCSCP_97289	HA1E
0.524	8.7945e-16	204	HYDROXYUREA	LSM-45988	RRM1|RRM2|RRM2B	10uM	24h	LINCSCP_76403	A375
0.5231	9.9605e-16	204	BRD-K76472157	LSM-13107	NA	5uM	6h	LINCSCP_61162	VCAP
0.5226	1.0755e-15	204	Cinaciguat	LSM-45801	NA	0.37uM	24h	LINCSCP_79937	A375
0.522	1.1716e-15	204	Nicergoline	LSM-3720	ADRA1A	3.33uM	24h	LINCSCP_161157	PC3
