similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	79	114798-26-4	LSM-3701	AGTR1	10uM	24h	LINCSCP_97726	HA1E
0.7419	5.2201e-15	79	Clopidogrel	LSM-5415	P2RY12	10uM	6h	LINCSCP_15979	HA1E
0.7366	1.0232e-14	79	AC1LDBAO	LSM-4032	NA	20uM	6h	LINCSCP_25132	HT115
0.7359	1.1145e-14	79	NVP-AUY922	LSM-1162	HSP90AA1|HSP90AB1	10uM	6h	LINCSCP_41870	NOMO1
0.7296	2.4195e-14	79	BRD-K51871563	LSM-44786	NA	5uM	24h	LINCSCP_275563	PC3
0.722	5.9608e-14	79	Estradiol	LSM-2421	ESR1|ESR2|NR1I2	0.37uM	24h	LINCSCP_20945	HCC515
0.7188	8.643e-14	79	CC-401	LSM-1186	NA	10uM	24h	LINCSCP_159254	PC3
0.7188	8.7148e-14	79	Rifaximin	LSM-46032	NA	0.12uM	24h	LINCSCP_123777	HT29
0.7188	8.7196e-14	79	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.37uM	24h	LINCSCP_95225	HA1E
0.7113	2.0422e-13	79	3-Aminobenzamide	LSM-4525	NA	0.1uM	24h	LINCSCP_250475	MCF7
0.7098	2.409e-13	79	ZINC04521755	LSM-5468	ESR1|ESR2	10uM	24h	LINCSCP_47784	PC3
0.7056	3.8467e-13	79	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	0.04uM	24h	LINCSCP_151200	PC3
0.7018	5.8081e-13	79	2'-Deoxycytidine (hydrochloride)	LSM-45794	NA	3.33uM	24h	LINCSCP_143262	MCF7
0.7011	6.2915e-13	79	Desoximetasone	LSM-5448	NR3C1	10uM	6h	LINCSCP_19997	HCC515
0.701	6.2981e-13	79	848193-68-0	LSM-6271	SIRT1	20uM	6h	LINCSCP_234807	LOVO
0.696	1.0763e-12	79	SPECTRUM_001522	LSM-1487	NR3C1	3.33uM	24h	LINCSCP_103668	HELA
0.6882	2.4147e-12	79	VX-809 (Lumacaftor)	LSM-45571	CFTR	3.33uM	24h	LINCSCP_160365	PC3
0.6879	2.5e-12	79	BMS-536924	LSM-1210	IGF1R	10uM	6h	LINCSCP_29337	LOVO
0.685	3.3439e-12	79	BRD-K74842589	LSM-41346	NA	10uM	6h	LINCSCP_65062	VCAP
-0.6841	3.6629e-12	79	Butein	LSM-42896	ACE	10uM	24h	LINCSCP_56257	VCAP
0.6827	4.2149e-12	79	BRD-K99311962	LSM-42643	NA	10uM	6h	LINCSCP_64828	VCAP
0.6822	4.4435e-12	79	PD-0325901	LSM-1101	MAP2K1|MAP2K2	3.33uM	3h	LINCSCP_145718	MDAMB231
0.6817	4.6733e-12	79	Tacalcitol	LSM-45518	NA	3.33uM	24h	LINCSCP_78748	A375
0.6791	6.0475e-12	79	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	10uM	6h	LINCSCP_50673	PL21
0.6787	6.2926e-12	79	ASN 05257430	LSM-2975	NA	10uM	6h	LINCSCP_287560	SW480
0.678	6.6833e-12	79	Aripiprazole	LSM-5776	DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C	10uM	24h	LINCSCP_160376	PC3
-0.6769	7.4698e-12	79	PCA-4248	LSM-1433	PTAFR	10uM	24h	LINCSCP_11492	ASC
0.6759	8.2504e-12	79	Acipimox	LSM-5726	NA	10uM	24h	LINCSCP_140741	MCF7
0.6751	8.9342e-12	79	ZM336372	LSM-6268	NA	100uM	6h	LINCSCP_39803	MDST8
0.6731	1.0773e-11	79	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_50552	PL21
0.672	1.2039e-11	79	WH-4-023	LSM-5613	ABL1|SRC	10uM	24h	LINCSCP_29538	MCF10A
0.6708	1.3497e-11	79	SCH-28080	LSM-3243	ATP4A	10uM	24h	LINCSCP_122974	HT29
0.6705	1.3905e-11	79	KBIO2_003002	LSM-3362	NA	10uM	24h	LINCSCP_7059	A549
0.6702	1.4297e-11	79	AZD2014	LSM-45472	MTOR	0.12uM	24h	LINCSCP_98071	HA1E
0.6692	1.5725e-11	79	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.12uM	24h	LINCSCP_139444	MCF7
0.6691	1.5753e-11	79	BL003-049-HDAC3	LSM-36785	NA	0.37uM	24h	LINCSCP_4005	A375
-0.6685	1.6783e-11	79	7Beta-forskolin	LSM-2040	ADCY2	10uM	24h	LINCSCP_52828	SKB
0.6663	2.0563e-11	79	BRD-K71151012	LSM-12772	NA	5uM	6h	LINCSCP_62986	VCAP
0.6661	2.1033e-11	79	sn-Glycero-3-phosphocholine	LSM-45427	NA	1.11uM	24h	LINCSCP_160468	PC3
0.6651	2.3005e-11	79	Rimexolone	LSM-2685	NR3C1	3.33uM	24h	LINCSCP_101909	HELA
0.664	2.5617e-11	79	TAK-242	LSM-45934	NA	0.04uM	24h	LINCSCP_94686	HA1E
0.6636	2.6392e-11	79	Pyrimethamine	LSM-3967	NA	3.33uM	24h	LINCSCP_161763	PC3
0.6624	2.954e-11	79	Narlaprevir	LSM-45473	NA	3.33uM	24h	LINCSCP_171215	YAPC
0.661	3.3762e-11	79	AC1NWAML	LSM-1325	NR3C1	0.04uM	24h	LINCSCP_104494	HELA
0.659	4.0451e-11	79	LRRK2-IN-1	LSM-1086	LRRK2	1.11uM	24h	LINCSCP_151437	PC3
0.6568	4.94e-11	79	Vemurafenib	LSM-1068	BRAF	1.11uM	24h	LINCSCP_139610	MCF7
0.6567	4.9983e-11	79	Dorsomorphin	LSM-3207	BMPR1A|BMPR1B|PRKAA1	10uM	6h	LINCSCP_41878	NOMO1
0.6561	5.2651e-11	79	TAK-285	LSM-45987	EGFR|ERBB2	1.11uM	24h	LINCSCP_159904	PC3
0.6561	5.2657e-11	79	Clinofibrate	LSM-45783	NA	1.11uM	24h	LINCSCP_98422	HA1E
0.6552	5.6887e-11	79	VE-821	LSM-36358	NA	10uM	24h	LINCSCP_88952	HA1E
0.655	5.8225e-11	79	CHEMBL552425	LSM-1003	DDR1	1.11uM	24h	LINCSCP_81741	A549
0.6543	6.188e-11	79	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_53376	SKMEL1
0.6538	6.4599e-11	79	Pinaverium bromide	LSM-45920	NA	0.12uM	24h	LINCSCP_174453	YAPC
0.6533	6.7305e-11	79	IOWH032	LSM-45258	NA	10uM	24h	LINCSCP_160154	PC3
0.6526	7.208e-11	79	BRD-K26893932	LSM-38732	NA	5uM	24h	LINCSCP_48359	PC3
0.6519	7.6353e-11	79	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	3.33uM	24h	LINCSCP_20893	HCC515
0.6515	7.9493e-11	79	HYDROXYUREA	LSM-45988	RRM1|RRM2|RRM2B	10uM	24h	LINCSCP_76403	A375
0.6515	7.9578e-11	79	KU-55933	LSM-1074	ATM	10uM	6h	LINCSCP_211755	HA1E
0.6503	8.8041e-11	79	Brefeldin A	LSM-42812	NA	0.1uM	6h	LINCSCP_40271	NCIH596
0.6496	9.3894e-11	79	BRD-K94206926	LSM-14202	NA	5uM	6h	LINCSCP_61001	VCAP
0.6469	1.1861e-10	79	W 7	LSM-4021	NA	0.5uM	24h	LINCSCP_254006	MCF7
0.6445	1.4647e-10	79	Rimexolone	LSM-2685	NR3C1	0.37uM	24h	LINCSCP_101911	HELA
0.6433	1.6279e-10	79	NVP-BHG712	LSM-1201	NA	3.33uM	24h	LINCSCP_70549	A375
0.6432	1.6328e-10	79	GDC-0068	LSM-45747	NA	0.04uM	24h	LINCSCP_78693	A375
0.6428	1.6941e-10	79	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	6h	LINCSCP_36063	MCF7
0.6426	1.7162e-10	79	STK-674938	LSM-45580	NA	10uM	24h	LINCSCP_126382	HT29
0.6419	1.8303e-10	79	N-(4-Bromophenyl)-2-{[5-(2-chlorophenyl)-4-phenyl-4H-1,2,4-triazol-3-yl]sulfanyl}acetamide	LSM-4520	NA	10uM	6h	LINCSCP_2300	A375
0.6406	2.0374e-10	79	Penicillic acid	LSM-1552	NA	10uM	6h	LINCSCP_15108	HA1E
0.6405	2.0691e-10	79	MLN-8054	LSM-1066	AURKA	0.04uM	24h	LINCSCP_141886	MCF7
0.6405	2.0699e-10	79	Loratadine	LSM-5891	HRH1	10uM	24h	LINCSCP_125242	HT29
0.6382	2.5e-10	79	SCHEMBL16226502	LSM-43056	HSP90AA1	1uM	6h	LINCSCP_36053	MCF7
0.6358	3.0636e-10	79	EMF-sumo1-1	NA	NA	0.04uM	24h	LINCSCP_83703	ASC.C
0.6354	3.1578e-10	79	FPA1_000311	LSM-36744	NA	10uM	6h	LINCSCP_2459	A375
0.6354	3.1593e-10	79	CHEMBL1222381	LSM-6252	NA	80uM	6h	LINCSCP_287077	SNUC4
0.6346	3.385e-10	79	Ketorolac	LSM-1526	PTGS1|PTGS2	10uM	24h	LINCSCP_105597	HELA
0.6332	3.7939e-10	79	BRD-K95964003	LSM-42479	NA	5uM	24h	LINCSCP_277451	PC3
0.6332	3.7962e-10	79	Rilmenidine	LSM-4253	ADRA2A|NISCH	10uM	6h	LINCSCP_50916	RMGI
0.6322	4.1216e-10	79	869288-64-2	LSM-1200	NA	0.04uM	24h	LINCSCP_152376	PC3
0.6319	4.2313e-10	79	LY2157299	LSM-45601	TGFBR1	3.33uM	24h	LINCSCP_143424	MCF7
0.6306	4.721e-10	79	PF-04217903	LSM-1166	MET	3.33uM	24h	LINCSCP_160485	PC3
0.6306	4.726e-10	79	TORIN1	LSM-1079	MTOR	0.04uM	24h	LINCSCP_120424	HT29
0.6303	4.8429e-10	79	Apitolisib (gdc-0980, rg7422)	LSM-4257	PIK3CA|PIK3CB|PIK3CD|PIK3CG|MTOR	0.12uM	3h	LINCSCP_132430	MCF7
-0.6301	4.8957e-10	79	AC1NPD0F	LSM-1463	ORAI1	10uM	24h	LINCSCP_204286	ASC
0.629	5.3852e-10	79	PP 2	LSM-4153	LCK|SRC	10uM	24h	LINCSCP_7355	A549
0.6289	5.3998e-10	79	BRD-K89966732	LSM-42176	NA	10uM	24h	LINCSCP_279367	PC3
0.6289	5.4316e-10	79	BRD-K92313046	LSM-14094	NA	5uM	24h	LINCSCP_34941	MCF7
0.6275	6.0575e-10	79	PF-04217903	LSM-1166	MET	10uM	24h	LINCSCP_97067	HA1E
0.6268	6.4281e-10	79	Canrenoate	LSM-3029	NR3C2	10uM	6h	LINCSCP_221242	HEPG2
0.6258	6.9442e-10	79	Oxybenzone	LSM-3309	NA	0.12uM	24h	LINCSCP_123169	HT29
0.6256	7.0775e-10	79	Guggulsterone	LSM-1874	AR|NR1H4|NR3C1|NR3C2|PGR	10uM	6h	LINCSCP_265307	PC3
0.6255	7.1336e-10	79	BRD-K76472157	LSM-13107	NA	5uM	6h	LINCSCP_61162	VCAP
0.6238	8.1874e-10	79	ZSTK 474	LSM-1053	PIK3CG	10uM	6h	LINCSCP_29780	MCF10A
0.6228	8.8855e-10	79	CHEMBL2135537	LSM-6149	NA	10uM	6h	LINCSCP_23255	HEPG2
0.6228	8.8863e-10	79	Dequalinium	LSM-5846	NA	10uM	24h	LINCSCP_98181	HA1E
0.6219	9.5622e-10	79	SPECTRUM_000403	LSM-1605	NR3C1	0.04uM	24h	LINCSCP_107890	HELA
0.6218	9.6334e-10	79	AZD-8330	LSM-1165	MAP2K1|MAP2K2	10uM	24h	LINCSCP_139440	MCF7
0.6213	9.9919e-10	79	Etoricoxib	LSM-5650	PTGS2	0.37uM	24h	LINCSCP_106737	HELA
0.6208	1.0363e-9	79	Tacalcitol	LSM-45518	NA	0.12uM	24h	LINCSCP_97083	HA1E
0.6191	1.1868e-9	79	CHEMBL399379	LSM-6245	ACLY	80uM	6h	LINCSCP_43764	OV7
0.6182	1.2794e-9	79	BIBR-1532	LSM-43274	TERT	80uM	6h	LINCSCP_53768	SNUC4
0.6182	1.2808e-9	79	MLS001060826	LSM-1858	NA	10uM	6h	LINCSCP_15835	HA1E
0.6174	1.3546e-9	79	Erlotinib	LSM-1097	EGFR	1.11uM	24h	LINCSCP_96967	HA1E
0.6163	1.48e-9	79	Chlorpropamide	LSM-6695	ABCC8|KCNJ11	3.33uM	24h	LINCSCP_174936	YAPC
0.6162	1.4895e-9	79	N9-Isopropylolomoucine	LSM-3607	CDK1|CDK5	100uM	6h	LINCSCP_50995	RMGI
0.6162	1.4898e-9	79	PHA-665752	LSM-42793	MET	0.1uM	6h	LINCSCP_30089	MCF10A
0.614	1.7677e-9	79	IDOXURIDINE	LSM-45784	NA	0.12uM	24h	LINCSCP_141975	MCF7
0.6134	1.8608e-9	79	PF-03814735	LSM-45437	NA	3.33uM	24h	LINCSCP_108756	HELA
0.6131	1.9051e-9	79	Parbendazole	LSM-4893	TUBB	0.5uM	6h	LINCSCP_50739	RKO
0.6128	1.9374e-9	79	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_53466	SKMEL28
0.6127	1.959e-9	79	BRD-K93376546	LSM-14155	NA	5uM	24h	LINCSCP_28039	HT29
0.6123	2.0274e-9	79	AC1NSZCT	LSM-1785	NR3C1	1.11uM	24h	LINCSCP_97662	HA1E
0.6121	2.0481e-9	79	Bimatoprost	LSM-45826	NA	0.12uM	24h	LINCSCP_124964	HT29
0.6115	2.1501e-9	79	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	6h	LINCSCP_29306	LOVO
0.6114	2.1634e-9	79	AMSACRINE	LSM-45972	NA	0.04uM	24h	LINCSCP_160687	PC3
0.6113	2.1766e-9	79	SPECTRUM_001015	LSM-1237	PGR	10uM	6h	LINCSCP_193288	A549
