similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	6.6535e-153	37	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_15217	HA1E
0.9365	1.6728e-17	37	TL_HRAS26	LSM-2013	NA	10uM	6h	LINCSCP_41833	NOMO1
0.9358	2.0075e-17	37	Pralatrexate	LSM-45944	DHFR	0.12uM	24h	LINCSCP_161070	PC3
0.9309	7.067e-17	37	Phorbol 12-myristate-13-acetate	LSM-4341	PRKCA	10uM	6h	LINCSCP_870	A375
0.9301	8.4867e-17	37	Temsirolimus (CCI-779, NSC 683864)	LSM-45994	MTOR	1.11uM	24h	LINCSCP_168477	YAPC
0.9266	1.9487e-16	37	STK249718	LSM-6671	NA	10uM	6h	LINCSCP_2442	A375
0.9257	2.397e-16	37	SCHEMBL6851809	LSM-43061	MTOR	10uM	6h	LINCSCP_39841	NCIH1694
0.9246	3.0812e-16	37	Avicin-D	LSM-44620	NA	3uM	6h	LINCSCP_49411	PC3
0.9197	8.9305e-16	37	Selamectin	LSM-44969	NA	10uM	6h	LINCSCP_76	A375
0.9172	1.5077e-15	37	Cladribine	LSM-5976	ADA	3.33uM	24h	LINCSCP_162273	PC3
0.9156	2.0716e-15	37	Dovitinib	LSM-1127	EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB	1.11uM	24h	LINCSCP_162879	SKBR3
0.9121	4.0857e-15	37	GNF-PF-2272	LSM-6669	NA	10uM	6h	LINCSCP_2439	A375
0.912	4.1425e-15	37	Cladribine	LSM-5976	ADA	10uM	24h	LINCSCP_162272	PC3
0.9116	4.458e-15	37	MLS000718932	LSM-2636	NA	10uM	6h	LINCSCP_1803	A375
0.9106	5.3978e-15	37	TGX 221	LSM-1172	PIK3CB	10uM	24h	LINCSCP_46687	PC3
0.907	1.0573e-14	37	ML167	LSM-3449	CLK1|CLK4|DYRK1A|DYRK1B	10uM	24h	LINCSCP_45942	PC3
0.9052	1.4353e-14	37	Deferiprone	LSM-36972	UGT1A6	10uM	24h	LINCSCP_138312	MCF7
0.9038	1.848e-14	37	Sepantronium	LSM-5399	BIRC5	0.5uM	6h	LINCSCP_39808	MDST8
0.9031	2.0962e-14	37	Foretinib	LSM-1158	FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB|TEK	0.12uM	24h	LINCSCP_93610	HA1E
0.9029	2.1468e-14	37	Cladribine	LSM-5976	ADA	10uM	6h	LINCSCP_1861	A375
0.9027	2.2341e-14	37	BSPBIO_000981	LSM-43126	ACTA1	10uM	6h	LINCSCP_46583	PC3
0.9024	2.3429e-14	37	Oxetane	LSM-44627	NA	3uM	6h	LINCSCP_202121	A549
0.9013	2.8355e-14	37	COL-3	LSM-36908	NA	10uM	6h	LINCSCP_49418	PC3
0.9012	2.8781e-14	37	BMS-536924	LSM-1210	IGF1R	10uM	24h	LINCSCP_44936	PC3
0.9	3.5544e-14	37	MLS-0435555.0001	LSM-4876	NA	10uM	24h	LINCSCP_46244	PC3
0.8999	3.5704e-14	37	2-Aminopurine	LSM-5484	NA	10uM	24h	LINCSCP_46753	PC3
0.8995	3.8597e-14	37	3-(4-Pyridyl)indole	LSM-4569	ROCK1	0.37uM	24h	LINCSCP_76687	A375
0.8993	3.9833e-14	37	MLS000518920	LSM-6173	NA	10uM	6h	LINCSCP_6026	A549
0.8991	4.108e-14	37	YL-54	LSM-44651	NA	10uM	6h	LINCSCP_47415	PC3
0.8981	4.8688e-14	37	Heliomycin	LSM-5729	NA	10uM	6h	LINCSCP_8053	A549
0.898	4.9012e-14	37	NSC 663284	LSM-2042	CDC25A|CDC25B	10uM	6h	LINCSCP_92	A375
0.8977	5.1918e-14	37	SCHEMBL10026606	LSM-36695	NA	10uM	6h	LINCSCP_46608	PC3
0.8959	6.8517e-14	37	Cucurbitacin-I	LSM-43115	JAK2|STAT3	10uM	6h	LINCSCP_43702	OV7
0.8958	7.0584e-14	37	Isotretinoin	LSM-42855	RARA|RARB|RARG	10uM	24h	LINCSCP_46821	PC3
0.8956	7.2598e-14	37	Indigo Red	LSM-42899	CDK1|CDK5|GSK3A	0.37uM	24h	LINCSCP_71638	A375
0.8954	7.4437e-14	37	Bufalin	LSM-3419	ATP1A1	10uM	6h	LINCSCP_7723	A549
0.8949	8.0838e-14	37	pyrvinium-pamoate	NA	AR	10uM	6h	LINCSCP_25140	HT115
0.8935	1.0136e-13	37	SAN1_003817	LSM-36731	NA	10uM	6h	LINCSCP_46380	PC3
0.8934	1.0194e-13	37	Tegaserod	LSM-5375	HTR2B|HTR4	10uM	24h	LINCSCP_5726	A549
0.8933	1.0334e-13	37	AC1NWALF	LSM-1930	ATP1A1	10uM	6h	LINCSCP_25167	HT29
0.8928	1.129e-13	37	SCHEMBL17783967	LSM-41707	NA	10uM	6h	LINCSCP_48698	PC3
0.8919	1.292e-13	37	MLS-0208612.0001	LSM-3196	NA	10uM	6h	LINCSCP_1825	A375
0.8908	1.5235e-13	37	Floxuridine	LSM-5588	TYMS	10uM	24h	LINCSCP_46468	PC3
0.8894	1.8942e-13	37	NSC25485	LSM-1580	ATP1A1	10uM	6h	LINCSCP_7636	A549
0.8888	2.0528e-13	37	Taranabant	LSM-45803	CNR1	0.04uM	24h	LINCSCP_137735	MCF7
0.8876	2.4703e-13	37	Mitoxantrone	LSM-2481	TOP2A	0.5uM	24h	LINCSCP_43916	PC3
0.8875	2.5135e-13	37	Lanacordin	LSM-5141	ATP1A1	10uM	6h	LINCSCP_8009	A549
0.8874	2.5384e-13	37	CGS-15943	LSM-3076	ADORA1|ADORA2A|ADORA2B	40uM	24h	LINCSCP_67737	NKDBA
0.8868	2.7788e-13	37	BRD-A10420615-001-02-8	LSM-1306	ATP2A1	10uM	6h	LINCSCP_26876	HT29
0.8867	2.8311e-13	37	Itrazole	LSM-5032	NA	10uM	24h	LINCSCP_5684	A549
0.8864	2.964e-13	37	NCGC00010694	LSM-3205	NA	10uM	24h	LINCSCP_45931	PC3
0.8862	3.0369e-13	37	Oxetane	LSM-44627	NA	3uM	6h	LINCSCP_280023	PC3
0.8859	3.1876e-13	37	Oxetane	LSM-44627	NA	10uM	6h	LINCSCP_49423	PC3
0.8858	3.2219e-13	37	Lypressin	LSM-5977	AVPR1A|AVPR1B|AVPR2	10uM	24h	LINCSCP_6505	A549
0.8855	3.3659e-13	37	AC1O7M2R	LSM-3745	ADCY2	10uM	6h	LINCSCP_223404	HT29
0.8845	3.8962e-13	37	Sepantronium	LSM-5399	BIRC5	0.5uM	6h	LINCSCP_1020	A375
0.8842	4.014e-13	37	6-fluoro-3-hydroxypyrazine-2-carboxamide	LSM-45283	NA	3.33uM	24h	LINCSCP_138127	MCF7
0.884	4.1562e-13	37	Propylthiouracil	LSM-5592	DIO1|TPO	10uM	6h	LINCSCP_47739	PC3
0.8839	4.2008e-13	37	Avicin-G	LSM-44622	NA	1uM	6h	LINCSCP_49414	PC3
0.8838	4.3049e-13	37	PNU-74654	LSM-44945	CTNNB1|TCF4	80uM	24h	LINCSCP_696	A375
0.8836	4.3746e-13	37	NSC25485	LSM-1580	ATP1A1	10uM	6h	LINCSCP_25153	HT29
0.8833	4.5796e-13	37	Niclosamide	LSM-2787	STAT3	10uM	6h	LINCSCP_40078	NCIH2073
0.883	4.8207e-13	37	BRD-K18449990	LSM-38258	NA	5uM	24h	LINCSCP_63013	VCAP
0.8817	5.7196e-13	37	O-Demethylated Adapalene	LSM-6237	RARG	10uM	6h	LINCSCP_954	A375
0.8812	6.1796e-13	37	Bithionol	LSM-2862	NA	10uM	6h	LINCSCP_44643	PC3
0.8812	6.2061e-13	37	PAC-1	LSM-3119	CASP3	10uM	6h	LINCSCP_223132	HT115
