signatureid	compound	similarity
LINCSCP_16740	Lopinavir	1
LINCSCP_88811	CHEMBL3347630	0.4933
LINCSCP_16690	TORIN-2	0.4469
LINCSCP_16250	CHEMBL2130568	0.4455
LINCSCP_87944	GSK 1059615	0.4302
LINCSCP_88263	CHEMBL1673039	0.4243
LINCSCP_94336	BMS-927711	0.414
LINCSCP_211969	BRD-K57678861	0.4136
LINCSCP_212461	Methoxychlor	0.4088
LINCSCP_88241	LRRK2-IN-1	0.402
LINCSCP_15979	Clopidogrel	0.3971
LINCSCP_97841	Leflunomide	0.3939
LINCSCP_212855	MW-SHH-61	0.3931
LINCSCP_98942	Tanaproget	0.3921
LINCSCP_16587	WYE 125132	0.3901
LINCSCP_88305	SB-216763	0.3883
LINCSCP_16370	AC1O9ZP5	0.386
LINCSCP_13945	MFCD00671792	0.3842
LINCSCP_209658	Laudanosine	0.3826
LINCSCP_98523	BX471	0.3799
LINCSCP_16230	CHEMBL2142321	0.3798
LINCSCP_16831	CHEMBL1886242	0.3794
LINCSCP_99122	Quizartinib	0.3794
LINCSCP_16443	CP466722	0.3757
LINCSCP_14734	AMG-9810	0.374
LINCSCP_87890	Momelotinib	0.3731
LINCSCP_16305	MLS002703076	0.3711
LINCSCP_97650	Pralatrexate	0.3699
LINCSCP_97097	ENMD-2076	0.3663
LINCSCP_15334	Capsaicin	0.3663
LINCSCP_16942	GSK-1059615	0.3651
LINCSCP_94568	MLN-0128	0.3636
LINCSCP_15548	Dactolisib	0.3621
LINCSCP_13874	Cdc	0.3564
LINCSCP_16357	AC1OAV9H	0.3551
LINCSCP_16360	CHEMBL2141722	0.3535
LINCSCP_16229	CHEMDIV1_016684	0.3528
LINCSCP_97982	Isradipine	0.3503
LINCSCP_66791	Wortmannin	0.3494
LINCSCP_88028	SCHEMBL17052537	0.3485
LINCSCP_98690	179324-69-7	0.3483
LINCSCP_16861	CHEMBL2140299	0.3474
LINCSCP_16756	QL-X-138	0.3471
LINCSCP_88223	TORIN1	0.347
LINCSCP_94149	Idelalisib	0.3466
LINCSCP_16937	JNJ-38877605	0.3458
LINCSCP_93105	phylloquinone	0.3449
LINCSCP_95005	OTSSP167	0.3446
LINCSCP_96337	Emapunil	0.3439
LINCSCP_94155	AC1NWAJL	0.3433
LINCSCP_208907	5-Nitroso-8-cinnolinol	0.3424
LINCSCP_17220	Oxetane	0.3409
LINCSCP_16663	Pictilisib	0.3406
LINCSCP_94171	Milciclib (PHA-848125)	0.3396
LINCSCP_211249	Lomifylline	0.3384
LINCSCP_211330	CHEMDIV3_000020	0.3384
LINCSCP_90758	Danusertib	0.3345
LINCSCP_16648	Deoxycholic acid	0.333
LINCSCP_94401	Vemurafenib	0.3305
LINCSCP_14515	N-[(1-Ethylpyrrolidin-3-yl)methyl]-2-methoxy-5-sulfamoylbenzamide	0.3304
LINCSCP_15969	CHEMBL610781	0.3304
LINCSCP_88194	EX-8678	0.3301
LINCSCP_212740	Hydroxyl	0.33
LINCSCP_16763	QL-XII-47	0.3295
LINCSCP_89631	MK-2866 (GTx-024)	0.329
LINCSCP_16900	CHEMBL1965031	0.3286
LINCSCP_15156	Fisetinidol	0.3285
LINCSCP_98094	Pazopanib	0.3284
LINCSCP_16375	SCHEMBL15422032	0.3282
LINCSCP_87678	C21H27N7O3	0.3277
LINCSCP_94104	Maribavir	0.3275
LINCSCP_211164	Topiramate	0.3263
LINCSCP_16594	K858	0.3262
LINCSCP_94840	Tivozanib	0.3259
LINCSCP_211099	Ticlopidine	0.3249
LINCSCP_16946	CHEMBL3187962	0.3246
LINCSCP_212446	Azathioprine	0.3229
LINCSCP_16400	4449-51-8	0.3221
LINCSCP_16952	YL-60	0.3219
LINCSCP_15528	CHEMBL1242477	0.3211
LINCSCP_97314	Golvatinib (E7050)	0.321
LINCSCP_16740	Lopinavir	1
LINCSCP_14885	Diflunisal	0.5018
LINCSCP_98385	Tandutinib	0.425
LINCSCP_211924	BRD-K33762302	0.4212
LINCSCP_211332	Latrunculin B	0.4211
LINCSCP_16744	Bosutinib	0.4183
LINCSCP_211200	Alosetron	0.4146
LINCSCP_14547	Quinelorane	0.4082
LINCSCP_89951	Indigo Red	0.4051
LINCSCP_16901	BRD-K88278225	0.398
LINCSCP_89885	LY2874455	0.3979
LINCSCP_212240	61364-37-2	0.3915
LINCSCP_94450	Dacomitinib	0.3896
LINCSCP_211815	WZ 4002	0.3894
LINCSCP_90951	Dabrafenib	0.3856
LINCSCP_16770	AC1ME2TO	0.381
LINCSCP_97372	Escitalopram	0.3807
LINCSCP_211973	CHEMBL2002074	0.3803
LINCSCP_94562	ICI 192,605	0.3756
LINCSCP_94139	Paricalcitol	0.3751
LINCSCP_16593	Terreic-acid	0.3731
LINCSCP_16634	SMR000178575	0.3695
LINCSCP_17022	Propantheline	0.366
LINCSCP_16377	MLS000859112	0.3656
LINCSCP_90845	Pelitinib	0.3642
LINCSCP_14825	Dcpib	0.3636
LINCSCP_98288	AVL-292	0.3629
LINCSCP_14824	Ovasterol-beta	0.3614
LINCSCP_16411	PK04_181039	0.3581
LINCSCP_209807	Moricizine	0.3573
LINCSCP_15392	L-690488	0.3566
LINCSCP_90572	bupivacaine	0.3566
LINCSCP_14787	Rosuvastatin	0.3561
LINCSCP_88832	I-BET151	0.3561
LINCSCP_66856	Vorinostat	0.3534
LINCSCP_98844	Melatonin	0.3522
LINCSCP_13877	GR-127935	0.3477
LINCSCP_98572	AZD5363	0.3473
LINCSCP_14865	Penitrem A	0.3463
LINCSCP_15328	BX-795	0.3448
LINCSCP_88653	GSK-1070916	0.3448
LINCSCP_16136	MLS001065836	0.342
LINCSCP_212593	Broad-Sai-560	0.3397
LINCSCP_16140	MLS002276511	0.3383
LINCSCP_15811	MLS002473425	0.338
LINCSCP_14534	Ketoprofen	0.337
LINCSCP_16273	ZINC00439757	0.3353
LINCSCP_212174	Imipramine	0.335
LINCSCP_16765	Teicoplanin	0.3346
LINCSCP_97350	Atorvastatin	0.3344
LINCSCP_88714	1268524-70-4	0.3343
LINCSCP_15693	Fatostatin	0.3274
LINCSCP_211124	Dichloroacetic acid	0.3271
LINCSCP_211053	CHEMBL306319	0.3268
LINCSCP_94131	Cyproterone Acetate	0.3259
LINCSCP_97355	Volasertib (BI 6727)	0.3254
LINCSCP_89855	Hoechst 33258	0.3249
LINCSCP_88904	Daminozide	0.3227
LINCSCP_89812	Sotrastaurin	0.3221
LINCSCP_16571	BRD-K99433267	0.322
LINCSCP_16619	Everolimus	0.3217
