signatureid	compound	similarity
LINCSCP_211213	Ritonavir	1
LINCSCP_94941	Azacitidine	0.5657
LINCSCP_98481	Nortriptyline	0.5194
LINCSCP_97204	Nafronyl	0.4954
LINCSCP_17004	Mebendazole	0.4734
LINCSCP_16503	ST085375	0.4707
LINCSCP_90665	TRAVOPROST	0.4498
LINCSCP_15955	CHEMBL1456638	0.4494
LINCSCP_16050	MLS-0354783.0001	0.4298
LINCSCP_16842	CHEMBL2134189	0.4282
LINCSCP_98919	PF-562271	0.4229
LINCSCP_92442	MBX-2982	0.4089
LINCSCP_88346	Bosutinib	0.4033
LINCSCP_16569	Coladonin	0.3917
LINCSCP_15934	SCHEMBL2238247	0.3906
LINCSCP_16933	EMF-SUMO1-39	0.3885
LINCSCP_88421	PCI-32765	0.3869
LINCSCP_66854	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.3869
LINCSCP_92482	Tioconazole	0.3857
LINCSCP_17206	Avicin-G	0.3853
LINCSCP_89240	SB239063	0.3845
LINCSCP_14270	Tyrphostin 23	0.3817
LINCSCP_16952	YL-60	0.3764
LINCSCP_93318	Biperiden	0.376
LINCSCP_15162	CHEMBL475341	0.3753
LINCSCP_16520	Afatinib	0.3749
LINCSCP_93214	Labetalol	0.373
LINCSCP_90698	Fadrozole	0.3712
LINCSCP_17202	Avicin-D	0.36870000000000003
LINCSCP_92110	UREA	0.3673
LINCSCP_209465	Dipivefrin	0.3669
LINCSCP_16085	SR-02000000477	0.3651
LINCSCP_13841	Ginsenoside RC	0.3643
LINCSCP_211100	Altanserin	0.3623
LINCSCP_13963	Dehydroepiandrosterone Acetate	0.3571
LINCSCP_16598	MLS000038113	0.3549
LINCSCP_99334	Quercetin	0.3539
LINCSCP_16457	CHEMBL552425	0.3527
LINCSCP_17071	5-(1,2-Dihydroxyethyl)-4-hydroxyoxolane-2,3-dione	0.352
LINCSCP_13946	Strophanthidin	0.3461
LINCSCP_89010	HY-11007	0.3459
LINCSCP_88456	Rebastinib	0.3449
LINCSCP_16090	BRD-U32049204	0.3442
LINCSCP_211596	BRD-K43581698	0.3422
LINCSCP_212521	Broad-Sai-443	0.3417
LINCSCP_14856	AC1NWALC	0.3384
LINCSCP_16178	Cefpodoxime Proxetil	0.338
LINCSCP_92167	Epivincamine	0.3379
LINCSCP_15352	MLS002460474	0.3373
LINCSCP_16453	BRD-K19166598	0.3373
LINCSCP_88561	BGT-226	0.3367
LINCSCP_15866	MLS002276484	0.3353
LINCSCP_98974	Rupatadine Fumarate	0.3318
LINCSCP_15983	SCHEMBL1725480	0.3307
LINCSCP_208494	Mestranol	0.3302
LINCSCP_15335	SMR000162699	0.33
LINCSCP_16267	AC1LGTHT	0.3286
LINCSCP_88339	CHEMBL3182395	0.3276
LINCSCP_15109	Periplocymarin	0.3263
LINCSCP_211573	ZINC05054912	0.3263
LINCSCP_16896	BRD-K84450674	0.3255
LINCSCP_14858	AC1NWALF	0.3251
LINCSCP_99272	Pirfenidone	0.3247
LINCSCP_14567	Devazepide	0.3238
LINCSCP_99171	Ataluren	0.3221
LINCSCP_211213	Ritonavir	1
LINCSCP_13685	D-Erythro-MAPP	0.5401
LINCSCP_211307	Lamotrigine	0.5235
LINCSCP_14604	Mycophenolate Mofetil	0.5089
LINCSCP_14534	Ketoprofen	0.5051
LINCSCP_13707	Cimetidine	0.473
LINCSCP_87755	Seliciclib	0.4625
LINCSCP_14684	Diclofenac	0.4521
LINCSCP_16184	Lamivudine	0.4467
LINCSCP_14353	Felodipine	0.4345
LINCSCP_14422	Ergocornine	0.4261
LINCSCP_16082	BRD-K95561591	0.4228
LINCSCP_14741	Immethridine	0.4192
LINCSCP_13877	GR-127935	0.4143
LINCSCP_94781	Tacedinaline	0.4107
LINCSCP_208369	PNU-99194A	0.4071
LINCSCP_16728	856437-59-7	0.4059
LINCSCP_87654	CHEMBL1083527	0.4031
LINCSCP_211825	Enzastaurin	0.4002
LINCSCP_93013	Lisofylline	0.4001
LINCSCP_14309	IAA-94	0.3996
LINCSCP_14386	Indole-3-carbinol	0.3979
LINCSCP_16981	YL-61	0.3955
LINCSCP_94412	1-(2,6-Dichlorobenzylideneamino)guanidine	0.3933
LINCSCP_93159	Minoxidil	0.3901
LINCSCP_15211	Oligomycin A	0.3886
LINCSCP_14793	Tadalafil	0.3874
LINCSCP_15163	Verapamil	0.3869
LINCSCP_97471	D-Serine	0.3864
LINCSCP_211218	Ozagrel	0.3851
LINCSCP_93248	BRD-A32440707	0.385
LINCSCP_13623	SB 205384	0.3846
LINCSCP_13666	BIO2_000040	0.3839
LINCSCP_88190	Lapatinib	0.3809
LINCSCP_93143	CPI-613	0.3747
LINCSCP_88274	TPCA-1	0.3667
LINCSCP_16789	CHEMBL3183439	0.3646
LINCSCP_16412	BRD-A70591769	0.3625
LINCSCP_16918	C37H48N6O5S2	0.3612
LINCSCP_211520	NSC673332	0.3593
LINCSCP_14714	Naproxol	0.3544
LINCSCP_14323	JAK3 Inhibitor V	0.3538
LINCSCP_15973	CHEMBL1271119	0.3536
LINCSCP_14299	Nimesulide	0.3532
LINCSCP_13672	Aminogenistein	0.3522
LINCSCP_14349	Propafenone	0.3496
LINCSCP_87606	Vemurafenib	0.3492
LINCSCP_17325	Avrainvillamide Analog 3	0.3486
LINCSCP_210117	SMR000390896	0.3481
LINCSCP_15272	CHEMBL259628	0.3473
LINCSCP_16749	Acetyl-Geranyl-Cysteine	0.3443
LINCSCP_14060	BD-1047	0.3419
LINCSCP_208886	RS-100329	0.3416
LINCSCP_16021	SCHEMBL2559280	0.3403
LINCSCP_14930	Piperine	0.3389
LINCSCP_15796	168279-54-7	0.3372
LINCSCP_209113	Chloroquine	0.3367
LINCSCP_16062	MLS002473641	0.3366
LINCSCP_13698	Cyclosporine	0.3343
LINCSCP_98034	Bisoprolol	0.3338
LINCSCP_92687	Pentamidine	0.3335
LINCSCP_211767	CAY10577	0.333
LINCSCP_14686	Colforsin	0.3328
LINCSCP_15948	CHEMBL2057216	0.3326
LINCSCP_88179	Selumetinib	0.3317
LINCSCP_212203	YL-54	0.3309
LINCSCP_17374	BRD-K89097220	0.3277
LINCSCP_15787	MLS002699145	0.3274
LINCSCP_16510	CHEMBL2356733	0.3265
LINCSCP_14630	Mitotane	0.3231
LINCSCP_14625	Chlorthalidone	0.323
