ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
8870	IER3	-7.6332	1.2968e-8
2274	FHL2	-9.5216	2.0789e-8
4609	MYC	-6.0062	1.4755e-7
25	ABL1	-4.0554	9.0904e-7
11098	PRSS23	-7.6758	9.3523e-7
11182	SLC2A6	-3.6523	1.0528e-6
5891	MOK	-3.7381	7.0525e-6
5782	PTPN12	-3.3429	7.5275e-6
79643	CHMP6	-3.1726	7.9717e-6
3206	HOXA10	-4.2907	8.3762e-6
2887	GRB10	-4.2975	8.8959e-6
466	ATF1	-3.1293	9.2696e-6
8061	FOSL1	-7.9746	0
10962	MLLT11	-3.9012	0
55958	KLHL9	-2.4887	0
9817	KEAP1	-6.8415	0
9181	ARHGEF2	-2.8156	0
79902	NUP85	-2.536	0
54881	TEX10	-3.6686	0
2810	SFN	-2.929	0
9267	CYTH1	-2.6856	0
9488	PIGB	-2.5099	0
4891	SLC11A2	-4.5251	0
3628	INPP1	-4.9192	0
65123	INTS3	-2.965	0
4792	NFKBIA	-2.2456	0
26064	RAI14	-2.2497	0
976	ADGRE5	-2.4182	1e-4
7088	TLE1	-2.9958	1e-4
8821	INPP4B	-2.6184	1e-4
5580	PRKCD	-2.3968	1e-4
5829	PXN	-2.6553	1e-4
23338	JADE2	-2.9213	1e-4
1846	DUSP4	-3.844	1e-4
3725	JUN	-6.0989	1e-4
3162	HMOX1	-2.2145	1e-4
4088	SMAD3	-2.1138	1e-4
2063	NR2F6	-3.3204	1e-4
26520	TIMM9	-2.5348	1e-4
10174	SORBS3	-3.0336	1e-4
9686	VGLL4	-2.3742	1e-4
2745	GLRX	-2.3909	1e-4
23636	NUP62	-3.3031	1e-4
10892	MALT1	-2.1747	1e-4
51422	PRKAG2	-3.557	1e-4
9697	TRAM2	-2.9004	1e-4
1633	DCK	-3.3668	2e-4
7849	PAX8	-2.7764	2e-4
29083	GTPBP8	-4.4344	2e-4
2113	ETS1	-2.5978	2e-4
26136	TES	-2.1555	2e-4
5154	PDGFA	-2.3064	2e-4
3930	LBR	-2.5013	3e-4
10644	IGF2BP2	-2.4419	3e-4
22794	CASC3	-1.5364	3e-4
3091	HIF1A	-2.3836	3e-4
84159	ARID5B	-2.4255	3e-4
874	CBR3	-3.9196	4e-4
595	CCND1	-2.1228	4e-4
10038	PARP2	-2.908	4e-4
9833	MELK	-2.0595	4e-4
200081	TXLNA	-2.2044	4e-4
1906	EDN1	-2.3706	4e-4
9641	IKBKE	-2.2405	4e-4
2625	GATA3	-2.5179	4e-4
4651	MYO10	-3.0716	4e-4
6790	AURKA	-1.475	4e-4
6810	STX4	-2.9032	5e-4
11065	UBE2C	-1.4939	5e-4
6839	SUV39H1	-1.4642	5e-4
6347	CCL2	-1.757	6e-4
11073	TOPBP1	-2.6696	6e-4
2736	GLI2	-1.7304	7e-4
23244	PDS5A	-1.9533	9e-4
1848	DUSP6	-2.009	0.001
9926	LPGAT1	-2.0053	0.001
1635	DCTD	-1.6071	0.0011
9183	ZW10	-1.4228	0.0012
85377	MICALL1	-1.8505	0.0012
148022	TICAM1	-1.3466	0.0013
5048	PAFAH1B1	-1.8073	0.0014
5921	RASA1	-2.7532	0.0015
994	CDC25B	-1.5333	0.0016
1514	CTSL	-1.3561	0.0017
1647	GADD45A	-1.3398	0.0018
10617	STAMBP	-1.5521	0.0018
55111	PLEKHJ1	-1.3868	0.0019
25793	FBXO7	-1.8964	0.0019
79850	FAM57A	-3.1094	0.002
3280	HES1	-1.5836	0.0021
7296	TXNRD1	-1.4372	0.0024
2131	EXT1	-1.9136	0.0025
9112	MTA1	-1.3154	0.0026
4154	MBNL1	-2.0217	0.0026
4776	NFATC4	-1.5083	0.0029
5054	SERPINE1	-1.5519	0.0029
23597	ACOT9	-1.7602	0.0029
9517	SPTLC2	-2.535	0.0031
6182	MRPL12	-1.2317	0.0032
27346	TMEM97	-1.1905	0.0033
23499	MACF1	-1.4947	0.0035
965	CD58	-1.2068	0.0041
23029	RBM34	-1.3425	0.0043
55012	PPP2R3C	-1.7708	0.0044
29763	PACSIN3	-1.0499	0.0047
2908	NR3C1	-1.6633	0.0047
5373	PMM2	-3.0153	0.0049
1861	TOR1A	-1.8632	0.0051
57804	POLD4	-1.0419	0.0051
23210	JMJD6	-4.3953	0.0053
1845	DUSP3	-1.2826	0.0053
6856	SYPL1	-1.0717	0.0053
23212	RRS1	-1.4801	0.0055
9133	CCNB2	-1.1092	0.0055
26054	SENP6	-1.593	0.0056
83743	GRWD1	-0.935	0.0059
7866	IFRD2	-1.1453	0.006
3480	IGF1R	-1.8794	0.006
1445	CSK	-1.673	0.0064
1454	CSNK1E	-1.429	0.0068
11157	LSM6	-1.8667	0.0068
11325	DDX42	-0.9086	0.0071
54733	SLC35F2	-1.8092	0.0073
79073	TMEM109	-1.0184	0.0074
6804	STX1A	-1.2299	0.0074
54512	EXOSC4	-1.3471	0.0075
8204	NRIP1	-3.4033	0.0077
79080	CCDC86	-1.9419	0.0078
51116	MRPS2	-2.8	0.008
2553	GABPB1	-1.3615	0.0081
8884	SLC5A6	-1.2985	0.0084
329	BIRC2	-1.1073	0.0085
11319	ECD	-1.2532	0.0094
256364	EML3	-1.1097	0.0096
80746	TSEN2	-2.4664	0.0097
5982	RFC2	-2.8335	0.0099
9261	MAPKAPK2	-0.9214	0.0103
84722	PSRC1	-0.9189	0.0103
10489	LRRC41	-2.2961	0.0105
9961	MVP	-0.9265	0.011
11137	PWP1	-1.742	0.0115
1950	EGF	-0.9912	0.0131
79947	DHDDS	-1.2377	0.0133
5993	RFX5	-1.458	0.0133
9847	C2CD5	-3.9509	0.0142
2309	FOXO3	-1.2435	0.0146
11031	RAB31	-1.4455	0.0146
1956	EGFR	-2.1244	0.0148
5359	PLSCR1	-1.1955	0.0154
8312	AXIN1	-1.1695	0.0156
10318	TNIP1	-1.0336	0.0156
8050	PDHX	-1.0444	0.016
2064	ERBB2	-3.3019	0.0171
3383	ICAM1	-1.1188	0.0174
7158	TP53BP1	-1.8302	0.0183
9275	BCL7B	-0.9443	0.0201
8553	BHLHE40	-1.0621	0.0204
26020	LRP10	-1.1252	0.0212
9801	MRPL19	-1.1707	0.0216
2582	GALE	-1.01	0.0234
1534	CYB561	-1.0618	0.0241
7099	TLR4	-1.2568	0.0249
25987	TSKU	-1.6996	0.0267
22934	RPIA	-0.8965	0.0278
10227	MFSD10	-0.9223	0.0283
1021	CDK6	-1.4275	0.0291
9016	SLC25A14	-0.9636	0.0301
23	ABCF1	-1.9784	0.0304
4016	LOXL1	-1.1333	0.0313
5971	RELB	-1.0422	0.0324
22827	PUF60	-1.0681	0.0349
93487	MAPK1IP1L	-0.9072	0.037
10915	TCERG1	-1.4015	0.0371
24149	ZNF318	-0.8595	0.0383
1052	CEBPD	-1.175	0.0421
91949	COG7	-0.8526	0.0428
51071	DERA	-1.3715	0.0429
7358	UGDH	-1.845	0.0475
6714	SRC	-1.2061	0.0485
22841	RAB11FIP2	-0.8627	0.0493
5529	PPP2R5E	-4.2368	0.0505
8800	PEX11A	-1.2655	0.0563
1465	CSRP1	-2.8122	0.0575
6461	SHB	-0.9148	0.0613
6659	SOX4	-1.0648	0.0697
51031	GLOD4	-1.0267	0.0702
4144	MAT2A	-0.935	0.0709
5018	OXA1L	-1.1559	0.0745
56889	TM9SF3	-2.1788	0.0815
831	CAST	-3.6662	0.1031
57019	CIAPIN1	-1.1282	0.1054
79143	MBOAT7	-1.9464	0.1101
637	BID	-0.9526	0.111
323	APBB2	-1.1701	0.1212
10776	ARPP19	-2.3232	0.1491
55127	HEATR1	-1.0065	0.1679
64422	ATG3	-2.0034	0.1743
7511	XPNPEP1	-1.4376	0.1789
9289	ADGRG1	-1.1358	0.2067
4817	NIT1	-1.2653	0.2263
9455	HOMER2	-1.2319	0.2388
10973	ASCC3	-1.0643	0.2808
63933	MCUR1	-1.2425	0.3134
9053	MAP7	-1.5212	0.3695
9805	SCRN1	-0.9627	0.4082
56654	NPDC1	-1.2139	0.4857
