ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
26036	ZNF451	3.5874	1e-4
84722	PSRC1	3.1133	2e-4
22823	MTF2	3.5158	4e-4
3156	HMGCR	3.4229	7e-4
11065	UBE2C	2.4325	0.001
10557	RPP38	2.1914	0.001
10270	AKAP8	2.4145	0.0011
10523	CHERP	3.3575	0.0011
23210	JMJD6	1.983	0.0015
4850	CNOT4	2.3023	0.0015
10285	SMNDC1	4.2143	0.0017
9212	AURKB	2.1572	0.0019
9183	ZW10	1.881	0.002
9854	C2CD2L	1.8686	0.0021
6499	SKIV2L	2.0048	0.0022
6790	AURKA	1.8777	0.0025
51070	NOSIP	1.7599	0.0026
22887	FOXJ3	2.2778	0.0031
55958	KLHL9	1.7899	0.0031
5985	RFC5	2.0915	0.0035
10915	TCERG1	1.6343	0.0037
10765	KDM5B	1.7279	0.0038
57215	THAP11	1.749	0.0039
3480	IGF1R	1.7277	0.0039
10276	NET1	1.5968	0.0045
65057	ACD	1.5653	0.0047
2353	FOS	1.7525	0.0047
993	CDC25A	1.9212	0.005
51742	ARID4B	1.8075	0.0051
10237	SLC35B1	1.5765	0.0051
5883	RAD9A	1.5223	0.0052
55324	ABCF3	1.8311	0.0058
51116	MRPS2	1.3964	0.0071
60493	FASTKD5	1.6364	0.0073
5927	KDM5A	1.9819	0.0074
10153	CEBPZ	2.4859	0.0075
25976	TIPARP	1.3848	0.0079
57019	CIAPIN1	1.3859	0.0079
9851	KIAA0753	1.3795	0.008
142	PARP1	1.4363	0.0081
9688	NUP93	1.4512	0.0082
835	CASP2	1.4079	0.0086
23011	RAB21	1.705	0.0086
23212	RRS1	1.5387	0.0089
9531	BAG3	1.3419	0.0094
54386	TERF2IP	1.6152	0.0095
29978	UBQLN2	1.6235	0.0103
1677	DFFB	1.5046	0.0104
11004	KIF2C	1.9963	0.0109
7159	TP53BP2	1.3297	0.0113
5986	RFNG	1.4017	0.0123
7994	KAT6A	1.3556	0.0125
9703	KIAA0100	1.2807	0.0129
7750	ZMYM2	1.5823	0.013
10972	TMED10	1.5422	0.0134
51635	DHRS7	1.5138	0.0149
10818	FRS2	1.5772	0.015
29916	SNX11	1.4608	0.0151
9842	PLEKHM1	1.1769	0.0158
83743	GRWD1	1.7829	0.016
6839	SUV39H1	1.7266	0.0168
79071	ELOVL6	1.1751	0.0169
84890	ADO	1.6902	0.0181
1616	DAXX	1.2596	0.0195
55818	KDM3A	1.4907	0.0198
2553	GABPB1	1.0962	0.0199
890	CCNA2	1.0709	0.0202
2673	GFPT1	1.1449	0.0217
5529	PPP2R5E	1.9761	0.0219
54512	EXOSC4	1.5441	0.022
23029	RBM34	1.0354	0.0226
7867	MAPKAPK3	1.3315	0.0231
9128	PRPF4	1.4171	0.0234
4794	NFKBIE	1.7153	0.0236
54541	DDIT4	1.0396	0.024
1848	DUSP6	1.1323	0.024
2771	GNAI2	1.0289	0.0241
1662	DDX10	1.0448	0.0255
6184	RPN1	1.1621	0.0258
9519	TBPL1	1.0455	0.026
55011	PIH1D1	1.6808	0.0269
1861	TOR1A	1.3278	0.0271
26511	CHIC2	1.0414	0.0273
1398	CRK	1.0487	0.0273
3028	HSD17B10	1.6206	0.0275
10670	RRAGA	1.3698	0.0276
23013	SPEN	1.5559	0.029
5889	RAD51C	1.0434	0.0301
54681	P4HTM	1.3165	0.0302
4043	LRPAP1	1.0369	0.0311
23658	LSM5	1.0173	0.0318
6599	SMARCC1	1.4371	0.0322
25	ABL1	1.0397	0.0338
4780	NFE2L2	1.2098	0.0352
10652	YKT6	1.135	0.0358
5796	PTPRK	1.7561	0.0376
4893	NRAS	1.1609	0.0409
10489	LRRC41	1.039	0.0424
3508	IGHMBP2	3.1732	0.0433
55038	CDCA4	1.8994	0.0434
11284	PNKP	2.4679	0.0444
5654	HTRA1	1.2639	0.0459
8321	FZD1	1.1263	0.0469
8480	RAE1	1.0728	0.0478
124583	CANT1	1.0075	0.0505
8349	HIST2H2BE	1.091	0.0505
80204	FBXO11	1.124	0.0571
54205	CYCS	1.0457	0.0575
8835	SOCS2	1.0414	0.0597
51053	GMNN	1.4028	0.0633
8312	AXIN1	1.2376	0.0635
899	CCNF	1.6689	0.0656
3398	ID2	1.3205	0.0669
10491	CRTAP	1.0465	0.0685
51335	NGRN	1.0492	0.0864
10180	RBM6	1.1561	0.0873
1019	CDK4	2.2799	0.0877
727	C5	1.0158	0.0895
54915	YTHDF1	1.116	0.0909
7020	TFAP2A	1.499	0.0996
9797	TATDN2	3.5109	0.0998
84159	ARID5B	1.1418	0.1045
7690	ZNF131	1.2659	0.1066
29928	TIMM22	2.2361	0.1114
3597	IL13RA1	1.5324	0.1187
976	ADGRE5	1.0413	0.1308
2185	PTK2B	1.0744	0.1325
9533	POLR1C	1.7261	0.1399
2769	GNA15	1.5824	0.1449
896	CCND3	1.0236	0.1465
57048	PLSCR3	1.9386	0.1803
8900	CCNA1	1.2534	0.2421
7048	TGFBR2	2.3108	0.2721
5716	PSMD10	1.5217	0.2759
23224	SYNE2	2.0842	0.28
