Name_GeneSymbol	Value_LogDiffExp
ABCF1	-0.0126
ABL1	-3.6607
ACAT2	-0.2582
ACBD3	-0.8495
ACD	-0.3923
ACLY	-0.4254
ACOT9	-2.882
ADCK3	-0.0264
ADH5	-0.6281
ADI1	-0.6119
ADO	-0.6318
AGL	-0.0369
AKR7A2	-2.2908
ALAS1	-0.3196
ANXA7	-0.7022
APBB2	-0.0721
APPBP2	-0.1097
ARFIP2	-0.6449
ARHGEF12	-1.8114
ARHGEF2	-1.354
ARID4B	-0.0904
ARID5B	-0.4806
ARNT2	-0.0074
ARPP19	-0.5429
ASCC3	-0.302
ATF1	-0.4048
ATF5	-0.4892
ATF6	-0.325
ATG3	-0.1012
ATP11B	-0.2704
ATP5S	-0.6287
ATP6V0B	-0.5105
ATP6V1D	-0.0572
AURKA	-1.0016
AXIN1	-0.8385
BAG3	-2.2417
BAMBI	-0.0413
BCL7B	-0.8678
BDH1	-0.0433
BECN1	-0.3064
BHLHE40	-0.2895
BIRC2	-0.6205
BMP4	-0.1519
BTK	-0.4188
BUB1B	-0.5924
BZW2	-1.0151
C2CD2L	-0.3331
CAB39	-0.8253
CALU	-0.3692
CASK	-0.1895
CASP2	-0.8418
CAST	-0.5766
CAT	-0.2411
CBR1	-0.2792
CBR3	-0.4618
CCDC86	-2.3135
CCNB1	-0.1329
CCNB2	0
CCND1	-0.0279
CCND3	-0.1928
CCNH	-0.5652
CD320	-2.6386
CD40	-0.2083
CDC25A	-0.5998
CDC45	-1.1034
CDCA4	-0.1955
CDK5R1	-0.6552
CDK6	-0.5831
CDK7	-0.0642
CDKN1B	-0.1247
CEBPA	-0.3268
CEBPZ	-0.0711
CETN3	-1.1267
CGRRF1	-0.4942
CHAC1	-0.2697
CHEK1	-0.6834
CHEK2	-0.0779
CHIC2	-3.2689
CHMP6	-0.2114
CHP1	-0.5634
CISD1	-0.9635
CLIC4	0
CLPX	-0.851
CLTC	-0.4252
CNOT4	-0.383
COASY	-0.1043
CORO1A	-0.4576
CPNE3	-0.5825
CPSF4	-0.4483
CREB1	-0.5955
CRK	-0.4218
CRTAP	-0.8828
CRYZ	-0.6254
CSK	-0.7362
CSNK1A1	-0.81
CSNK1E	-0.7325
CSNK2A2	-0.1848
CSRP1	-3.5039
CTNND1	-0.662
CTSD	-0.3543
CXCL2	-0.7942
CYCS	-1.9719
DAG1	-0.6154
DDB2	-0.1276
DDX42	-0.5183
DECR1	-0.5293
DENND2D	-0.3011
DFFA	-0.4593
DFFB	-0.3812
DHX29	-1.0474
DLD	-2.1639
DNAJB6	-0.1747
DNAJC15	-0.8271
DNM1L	-0.4602
DNMT1	-0.2214
DNMT3A	-1.0382
DNTTIP2	-0.8873
DPH2	-0.554
DRAP1	-1.1093
DSG2	-0.5287
DUSP11	-0.8459
DUSP14	-0.2634
DUSP3	-1.2981
DUSP4	-1.346
DUSP6	-1.0947
DYNLT3	-0.2174
DYRK3	-0.0704
EAPP	-0.1939
EBNA1BP2	-1.5911
ECD	-0.1686
EDN1	-0.4188
EGF	-1.2126
EGFR	-0.2341
EIF4EBP1	-0.3512
EIF5	-0.6269
ELAC2	-0.2663
ENOPH1	-1.6344
EPRS	-0.3306
ERBB2	-0.8398
ERBB3	-0.6624
ETFB	-0.0733
ETS1	-0.7591
FAH	-0.8231
FAIM	-0.2466
FAM69A	-0.0474
FASTKD5	-0.5078
FAT1	-0.8264
FBXL12	-0.3817
FBXO21	-0.0675
FBXO7	-1.121
FCHO1	-0.7628
FEZ2	-0.9479
FGFR4	-0.4311
FHL2	-0.0994
FKBP14	-0.7923
FOS	-0.3124
FRS2	-1.3188
FUT1	-0.3673
FYN	-0.3825
G3BP1	-0.3153
GABPB1	-0.6626
GADD45A	-0.7802
GADD45B	-0.5806
GAPDH	-0.6581
GATA2	-0.4636
GDPD5	-0.0342
GFOD1	-0.3959
GFPT1	-0.2684
GHR	-0.0492
GLOD4	-0.0724
GMNN	-0.6675
GNA15	-1.2184
GNAI1	-0.313
GNPDA1	-0.3755
GOLT1B	-1.0832
GPC1	-0.0682
GPER1	-0.3431
GRB10	-0.1033
GRB7	-0.077
GSTM2	-0.2261
GTF2A2	-0.1764
GTPBP8	-0.1553
HAT1	-0.9483
HDGFRP3	-0.6
HERPUD1	-3.8696
HES1	-0.1625
HIF1A	-0.3164
HK1	-1.4827
HLA-DRA	-0.313
HMGA2	-1.083
HMOX1	-0.3837
HN1L	-0.3285
HPRT1	-0.5191
HSD17B10	-0.6264
HSD17B11	-0.7535
HSPA8	-0.4016
HSPD1	-0.6356
HTRA1	-0.6708
HYOU1	-0.0901
ICAM3	-0.2466
ID2	-0.7084
IDE	-0.7666
IFRD2	-0.18
IGF1R	-0.6615
IGF2BP2	-0.6007
IGFBP3	-0.4836
IKBKAP	-1.4448
IKBKB	-0.0448
IKZF1	-0.2943
IL13RA1	-0.784
IL1B	-0.3464
IL4R	-0.507
ILK	-0.1033
INPP1	-0.9424
INPP4B	-0.964
IPO13	-0.2042
IQGAP1	-0.1516
ISOC1	-0.1633
ITFG1	-0.0573
ITGAE	-0.7498
ITGB1BP1	-0.2481
JADE2	-0.1196
JMJD6	-1.3186
JUN	-0.3283
KCNK1	-0.2155
KCTD5	-1.0701
KDELR2	-0.6592
KIAA0100	-0.2304
KIAA0196	-0.7148
KIAA0355	-0.3917
KIAA0907	-0.5426
KIF1BP	-0.284
KIF5C	-0.2249
KLHL21	-0.6842
KTN1	-0.5842
LAMA3	-0.0796
LAP3	-4.0887
LGALS8	-0.7985
LGMN	-0.4043
LRRC16A	-0.2144
LSM5	-0.4428
LYPLA1	-1.0727
LYRM1	-1.2761
MALT1	-1.1744
MAMLD1	-1.0137
MAP4K4	-2.5354
MAP7	-0.2436
MAPK13	-0.6033
MAPK1IP1L	-0.3312
MAPKAPK3	-0.104
MAPKAPK5	-1.173
MBNL1	-0.6916
MBOAT7	-0.9746
MCUR1	-0.0277
ME2	-0.9538
MELK	-1.3726
MEST	-0.1458
METRN	-0.4371
MICALL1	-0.1135
MKNK1	-0.4433
MLLT11	-0.2267
MNAT1	-0.2042
MOK	-2.0788
MPC2	-0.8069
MPZL1	-0.2853
MRPL19	-0.4639
MRPS16	-0.8135
