Name_GeneSymbol	Value_LogDiffExp
ABL1	-3.6607
ACBD3	-0.8495
ACOT9	-2.882
ADH5	-0.6281
ADI1	-0.6119
ADO	-0.6318
AKR7A2	-2.2908
ANXA7	-0.7022
ARFIP2	-0.6449
ARHGEF12	-1.8114
ARHGEF2	-1.354
ARPP19	-0.5429
ATP5S	-0.6287
ATP6V0B	-0.5105
AURKA	-1.0016
AXIN1	-0.8385
BAG3	-2.2417
BCL7B	-0.8678
BIRC2	-0.6205
BUB1B	-0.5924
BZW2	-1.0151
CAB39	-0.8253
CASP2	-0.8418
CAST	-0.5766
CCDC86	-2.3135
CCNH	-0.5652
CD320	-2.6386
CDC25A	-0.5998
CDC45	-1.1034
CDK5R1	-0.6552
CDK6	-0.5831
CETN3	-1.1267
CHEK1	-0.6834
CHIC2	-3.2689
CHP1	-0.5634
CISD1	-0.9635
CLPX	-0.851
CPNE3	-0.5825
CREB1	-0.5955
CRTAP	-0.8828
CRYZ	-0.6254
CSK	-0.7362
CSNK1A1	-0.81
CSNK1E	-0.7325
CSRP1	-3.5039
CTNND1	-0.662
CXCL2	-0.7942
CYCS	-1.9719
DAG1	-0.6154
DDX42	-0.5183
DECR1	-0.5293
DHX29	-1.0474
DLD	-2.1639
DNAJC15	-0.8271
DNMT3A	-1.0382
DNTTIP2	-0.8873
DPH2	-0.554
DRAP1	-1.1093
DSG2	-0.5287
DUSP11	-0.8459
DUSP3	-1.2981
DUSP4	-1.346
DUSP6	-1.0947
EBNA1BP2	-1.5911
EGF	-1.2126
EIF5	-0.6269
ENOPH1	-1.6344
ERBB2	-0.8398
ERBB3	-0.6624
ETS1	-0.7591
FAH	-0.8231
FASTKD5	-0.5078
FAT1	-0.8264
FBXO7	-1.121
FCHO1	-0.7628
FEZ2	-0.9479
FKBP14	-0.7923
FRS2	-1.3188
GABPB1	-0.6626
GADD45A	-0.7802
GADD45B	-0.5806
GAPDH	-0.6581
GMNN	-0.6675
GNA15	-1.2184
GOLT1B	-1.0832
HAT1	-0.9483
HDGFRP3	-0.6
HERPUD1	-3.8696
HK1	-1.4827
HMGA2	-1.083
HPRT1	-0.5191
HSD17B10	-0.6264
HSD17B11	-0.7535
HSPD1	-0.6356
HTRA1	-0.6708
ID2	-0.7084
IDE	-0.7666
IGF1R	-0.6615
IGF2BP2	-0.6007
IKBKAP	-1.4448
IL13RA1	-0.784
IL4R	-0.507
INPP1	-0.9424
INPP4B	-0.964
ITGAE	-0.7498
JMJD6	-1.3186
KCTD5	-1.0701
KDELR2	-0.6592
KIAA0196	-0.7148
KIAA0907	-0.5426
KLHL21	-0.6842
KTN1	-0.5842
LAP3	-4.0887
LGALS8	-0.7985
LYPLA1	-1.0727
LYRM1	-1.2761
MALT1	-1.1744
MAMLD1	-1.0137
MAP4K4	-2.5354
MAPK13	-0.6033
MAPKAPK5	-1.173
MBNL1	-0.6916
MBOAT7	-0.9746
ME2	-0.9538
MELK	-1.3726
MOK	-2.0788
MPC2	-0.8069
MRPS16	-0.8135
MRPS2	-1.3041
MTERF3	-1.3091
MYC	-0.6898
MYCBP	-0.6396
MYO10	-4.7599
NFATC4	-0.8495
NFE2L2	-0.9067
NFKBIA	-0.8885
NGRN	-1.5953
NMT1	-0.6504
NOLC1	-0.8881
NRAS	-1.3253
NRIP1	-0.9325
NSDHL	-1.6465
NUP88	-0.93
NUP93	-1.5412
NVL	-0.7033
OXCT1	-0.5331
PAICS	-1.0699
PAK4	-0.5157
PCK2	-0.852
PCM1	-0.6992
PCMT1	-0.9724
PIK3C2B	-0.7638
PIN1	-1.8008
PMAIP1	-0.7355
PNP	-1.371
POLB	-1.1807
POLE2	-0.5954
POLR1C	-1.3238
POLR2K	-1.2579
PPARD	-0.7321
PPARG	-1.2257
PPIC	-1.1568
PPP2R5A	-0.6188
PRKAG2	-1.7591
PSMB10	-0.6061
PSMD2	-0.747
PSMD4	-0.8926
PSMD9	-0.6389
PSMF1	-1.2267
PSMG1	-1.1509
PTPN1	-0.9746
PTPRC	-0.7064
RALB	-1.0186
REEP5	-3.9296
RGS2	-0.9091
RHEB	-0.9358
RRAGA	-0.7503
RRP12	-0.5382
RRS1	-0.8788
RSU1	-0.7297
RUVBL1	-0.7134
SDHB	-1.5835
SENP6	-1.6531
SERPINE1	-1.3163
SKIV2L	-0.8235
SKP1	-1.0209
SLC25A14	-1.1302
SLC25A46	-0.8332
SLC2A6	-0.9633
SLC35B1	-2.9685
SLC35F2	-0.8169
SMAD3	-0.7021
SMC3	-0.8021
SMNDC1	-0.7989
SNX13	-0.5078
SOX4	-1.5093
SPTAN1	-0.9022
SPTLC2	-1.0303
SQSTM1	-1.1615
STAMBP	-1.0289
STK10	-0.5513
STUB1	-0.7465
TATDN2	-0.8292
TBP	-0.5949
TBX2	-0.661
TCEAL4	-0.5665
TERF2IP	-0.8229
TES	-0.7127
TFDP1	-0.5301
TGFB3	-0.5989
TGFBR2	-0.6523
TIMM22	-0.6676
TLR4	-0.6692
TMCO1	-1.3052
TMEM2	-1.0815
TMEM50A	-0.8816
TOMM70A	-0.7559
TP53BP2	-0.8799
TPM1	-0.7048
TRAK2	-0.5302
TRAPPC3	-2.4541
TSPAN3	-1.1525
TXNDC9	-1.3375
UBQLN2	-0.9516
UFM1	-0.9069
VAV3	-0.6022
WRB	-0.8573
ZFP36	-0.6287
ZNF586	-0.7677
ZW10	-0.6106
