similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	467	Ritonavir	LSM-5623	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	10uM	24h	LINCSCP_120239	HT29
0.3764	3.6348e-17	467	Siramesine (hydrochloride)	LSM-45705	NA	0.04uM	24h	LINCSCP_120232	HT29
0.3608	8.4293e-16	467	Sitagliptin	LSM-5363	DPP4	10uM	24h	LINCSCP_119780	HT29
0.3442	1.9693e-14	467	Entecavir	LSM-5258	NA	10uM	24h	LINCSCP_154182	PC3
0.34	4.235e-14	467	Crizotinib	LSM-1027	ALK|MET	10uM	24h	LINCSCP_111199	HEPG2
0.3345	1.1357e-13	467	IOX2	LSM-6339	NA	3.33uM	24h	LINCSCP_147788	NPC.CAS9
0.3308	2.2021e-13	467	PH-797804	LSM-36373	MAPK14	0.04uM	24h	LINCSCP_80447	A375
0.3303	2.38e-13	467	BAY 87-2243	LSM-45786	NA	10uM	24h	LINCSCP_173999	YAPC
0.3267	4.499e-13	467	Pyrilamine	LSM-4206	HRH1	3.33uM	24h	LINCSCP_162243	PC3
0.3253	5.6825e-13	467	salsoline	LSM-45527	NA	1.11uM	24h	LINCSCP_143413	MCF7
0.3195	1.5256e-12	467	Deguelin	LSM-3368	AKT1	10uM	24h	LINCSCP_6890	A549
0.3167	2.4363e-12	467	MK-2206	LSM-1057	AKT1|AKT2|AKT3	0.37uM	24h	LINCSCP_111652	HEPG2
0.3142	3.6928e-12	467	ZINC6718453	LSM-1198	NA	0.04uM	24h	LINCSCP_147261	NEU
0.3123	5.0621e-12	467	Folic acid	LSM-5355	FOLR2	0.04uM	24h	LINCSCP_71698	A375
0.3097	7.723e-12	467	SCHEMBL3958507	LSM-5245	COQ8B|EGFR	10uM	24h	LINCSCP_116511	HT29
0.3081	1.0057e-11	467	AZD8931 (Sapitinib)	LSM-45462	EGFR|ERBB2|ERBB3	3.33uM	24h	LINCSCP_80557	A375
0.3064	1.3142e-11	467	DUP-697	LSM-2119	PTGS2	10uM	24h	LINCSCP_56241	VCAP
-0.3042	1.867e-11	467	CHEMBL2141330	LSM-39999	NA	10uM	6h	LINCSCP_7975	A549
0.3038	1.9931e-11	467	GDC-0834 (Racemate)	LSM-45549	NA	0.04uM	24h	LINCSCP_120958	HT29
0.3024	2.4756e-11	467	PF-03814735	LSM-45437	NA	0.12uM	24h	LINCSCP_78596	A375
0.3017	2.7706e-11	467	PH-797804	LSM-36373	MAPK14	0.12uM	24h	LINCSCP_127424	HT29
0.3003	3.4726e-11	467	SA-440832	LSM-40344	NA	1uM	6h	LINCSCP_253743	MCF7
0.2987	4.418e-11	467	Dinaciclib	LSM-6306	CDK1|CDK2|CDK5|CDK9	0.04uM	24h	LINCSCP_137939	MCF7
0.2981	4.9012e-11	467	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	0.1uM	24h	LINCSCP_12177	BT20
0.2976	5.2527e-11	467	Temoporfin	LSM-45995	NA	0.04uM	24h	LINCSCP_120454	HT29
0.2959	6.8226e-11	467	PENICILLIN V POTASSIUM	LSM-45657	NA	1.11uM	24h	LINCSCP_75622	A375
0.2955	7.2879e-11	467	CGP 57380	LSM-2944	MKNK1	10uM	6h	LINCSCP_19100	HCC515
0.2939	9.2535e-11	467	FR-180204	LSM-42790	MAPK1|MAPK3	0.04uM	24h	LINCSCP_147640	NPC.CAS9
-0.2932	1.0315e-10	467	BRD-K54343811	LSM-44966	NA	3uM	24h	LINCSCP_49317	PC3
0.2926	1.1405e-10	467	MLS006011051	LSM-42801	BRAF	10uM	24h	LINCSCP_87401	CD34
0.292	1.2396e-10	467	Bevirimat	LSM-45795	NA	0.04uM	24h	LINCSCP_71515	A375
0.2914	1.3657e-10	467	Nateglinide	LSM-5555	ABCC8|KCNJ11	0.04uM	24h	LINCSCP_75637	A375
0.2885	2.097e-10	467	CHEMBL2356468	LSM-39552	NA	10uM	6h	LINCSCP_22356	HEPG2
0.2878	2.3281e-10	467	SPIRONOLACTONE	LSM-4018	NR3C2	10uM	24h	LINCSCP_144173	MCF7
0.2875	2.4357e-10	467	GSK-461364	LSM-1013	PLK1	0.37uM	24h	LINCSCP_70050	A375
0.2849	3.577e-10	467	HG-9-91-01	LSM-6343	NA	0.12uM	24h	LINCSCP_164420	SKL.C
0.2837	4.3074e-10	467	PRESTWICK3_000646	LSM-1699	NA	10uM	6h	LINCSCP_444	A375
0.282	5.4872e-10	467	Methazolamide	LSM-5311	CA1|CA2|CA4|CA7	3.33uM	24h	LINCSCP_156086	PC3
0.2819	5.5974e-10	467	CEP-32496	LSM-45568	BRAF|EGFR|RET	10uM	24h	LINCSCP_119845	HT29
0.2818	5.6793e-10	467	Levetiracetam	LSM-5603	CACNA1B|SV2A	3.33uM	24h	LINCSCP_78131	A375
0.2811	6.2686e-10	467	Radicicol	LSM-43303	NA	1.11uM	24h	LINCSCP_111765	HEPG2
-0.2809	6.4342e-10	467	BAY 61-3606	LSM-1167	SYK	1.11uM	24h	LINCSCP_152319	PC3
