similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	126	Ritonavir	LSM-5623	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	10uM	24h	LINCSCP_120239	HT29
-0.6071	4.8627e-14	126	BCPP000194	LSM-1188	NA	10uM	24h	LINCSCP_152509	PC3
0.5371	8.9823e-11	126	MLS000095184	LSM-2403	NA	10uM	24h	LINCSCP_4916	A549
-0.5323	1.411e-10	126	PCI-32765	LSM-1129	BTK	3.33uM	24h	LINCSCP_133413	MCF7
0.5135	7.7872e-10	126	Purvalanola	LSM-3118	CDK1|CDK2|CDK4|CDK5	10uM	6h	LINCSCP_4384	A549
0.5119	8.9615e-10	126	BAY 87-2243	LSM-45786	NA	10uM	24h	LINCSCP_173999	YAPC
0.5069	1.393e-9	126	SCHEMBL3958507	LSM-5245	COQ8B|EGFR	10uM	24h	LINCSCP_116511	HT29
0.5061	1.4842e-9	126	AZD8931 (Sapitinib)	LSM-45462	EGFR|ERBB2|ERBB3	3.33uM	24h	LINCSCP_80557	A375
0.5032	1.9175e-9	126	NCGC00018102-06	LSM-2250	CACNA1G|CACNA1H	10uM	6h	LINCSCP_213664	HCC515
0.4965	3.3791e-9	126	Pinocembrin	LSM-4126	NA	10uM	6h	LINCSCP_18143	HCC515
-0.4947	3.9052e-9	126	MLS001060838	LSM-3883	NA	10uM	24h	LINCSCP_31660	MCF7
0.4936	4.269e-9	126	2-Fluoroadenosine	LSM-4828	RRM1	10uM	24h	LINCSCP_46267	PC3
0.4882	6.6916e-9	126	Crizotinib	LSM-1027	ALK|MET	10uM	24h	LINCSCP_111199	HEPG2
-0.4878	6.9073e-9	126	SCHEMBL14977174	LSM-3791	NA	10uM	24h	LINCSCP_237425	MCF7
0.4862	7.8378e-9	126	Radicicol	LSM-43303	NA	1.11uM	24h	LINCSCP_111765	HEPG2
-0.4824	1.0635e-8	126	Arachidonyl Trifluoromethylketone	LSM-43275	PLA2G4A	80uM	6h	LINCSCP_21327	HEC108
0.4823	1.0727e-8	126	MLS002607718	LSM-2242	NA	10uM	6h	LINCSCP_225035	HT29
-0.4806	1.2256e-8	126	Cimetidine	LSM-2404	HRH2	10uM	6h	LINCSCP_240902	MCF7
-0.4796	1.3329e-8	126	BRD-K17968366	LSM-38220	NA	5uM	24h	LINCSCP_228110	HT29
0.4792	1.3707e-8	126	Iodophenpropit	LSM-3151	HRH3|HRH4	10uM	6h	LINCSCP_18426	HCC515
-0.4783	1.4715e-8	126	Tipranavir	LSM-45721	NA	1.11uM	24h	LINCSCP_90976	HA1E
0.4761	1.7592e-8	126	Trifluoperazine	LSM-4010	DRD2|DRD3|DRD4|HTR2A|HTR2C	10uM	24h	LINCSCP_209955	HA1E
-0.4752	1.8794e-8	126	CI-1040	LSM-1048	MAP2K1|MAP2K2	10uM	24h	LINCSCP_163020	SKBR3
-0.4733	2.1855e-8	126	STK222600	LSM-3535	NA	10uM	24h	LINCSCP_190559	A549
0.4733	2.1909e-8	126	CX-5461	LSM-6342	NA	10uM	24h	LINCSCP_70269	A375
0.4704	2.7369e-8	126	SB239063	LSM-1036	MAPK11|MAPK14	1.11uM	24h	LINCSCP_134237	MCF7
-0.4699	2.8482e-8	126	C19H19FN4O3	LSM-1178	FGFR1|FLT1|KDR	1.11uM	3h	LINCSCP_145271	MDAMB231
-0.4698	2.8612e-8	126	JNJ-38877605	LSM-1157	MET	0.37uM	24h	LINCSCP_152266	PC3
0.4691	3.0255e-8	126	AC1Q3NSV	LSM-1694	GRIN2B	10uM	6h	LINCSCP_18083	HCC515
0.4662	3.775e-8	126	Amineptine	LSM-45457	NA	10uM	24h	LINCSCP_120060	HT29
0.4659	3.8572e-8	126	Triazolothiadiazine, 35	LSM-2880	NA	10uM	6h	LINCSCP_225097	HT29
-0.4618	5.2348e-8	126	Meclizine	LSM-1607	HRH1|NR1I3	10uM	6h	LINCSCP_56109	VCAP
-0.4616	5.3194e-8	126	BAY 61-3606	LSM-1167	SYK	1.11uM	24h	LINCSCP_152319	PC3
-0.4598	6.0932e-8	126	HG-9-91-01	LSM-6343	NA	0.04uM	24h	LINCSCP_86743	CD34
-0.4597	6.1331e-8	126	CHEMBL1357975	LSM-3306	NA	10uM	24h	LINCSCP_31182	MCF7
0.4582	6.8363e-8	126	AZD7687	LSM-45251	NA	3.33uM	24h	LINCSCP_155834	PC3
0.4565	7.7865e-8	126	MLS003153123	LSM-2020	NA	10uM	24h	LINCSCP_45453	PC3
-0.4532	9.8628e-8	126	CHEMBL2132289	LSM-1044	RPS6KA3	0.04uM	24h	LINCSCP_112680	HEPG2
0.4522	1.065e-7	126	BIIB 021	LSM-5627	HSP90AA1	10uM	24h	LINCSCP_6182	A549
0.4519	1.0847e-7	126	Papaverine	LSM-2338	PDE10A	0.12uM	24h	LINCSCP_101499	HELA
0.4512	1.1423e-7	126	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_117251	HT29
0.4511	1.1535e-7	126	SA-440832	LSM-40344	NA	1uM	6h	LINCSCP_253743	MCF7
-0.4506	1.1969e-7	126	BRD-K08887444	LSM-6079	NA	10uM	24h	LINCSCP_7778	A549
0.4501	1.2421e-7	126	SMR000030495	LSM-4137	NA	10uM	24h	LINCSCP_5035	A549
0.45	1.2492e-7	126	Deguelin	LSM-3368	AKT1	10uM	24h	LINCSCP_6890	A549
0.4479	1.447e-7	126	GR-127935	LSM-2243	HTR1A|HTR1B|HTR1D|HTR2A|HTR2C	10uM	6h	LINCSCP_13877	HA1E
0.4477	1.4671e-7	126	AC1NWALF	LSM-1930	ATP1A1	0.12uM	24h	LINCSCP_127364	HT29
0.4475	1.4918e-7	126	LY-294002	LSM-2597	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC	10uM	6h	LINCSCP_9585	A549
-0.447	1.5478e-7	126	TPCA-1	LSM-1136	IKBKB	0.12uM	24h	LINCSCP_88277	HA1E
0.447	1.5503e-7	126	BRD-K15524596	LSM-38080	NA	10uM	24h	LINCSCP_35286	MCF7
-0.4457	1.6936e-7	126	noscapine	NA	NA	0.04uM	24h	LINCSCP_145549	MDAMB231
-0.4453	1.7406e-7	126	MLS-0425579.0001	LSM-42816	NA	10uM	6h	LINCSCP_19970	HCC515
-0.4444	1.8603e-7	126	SA-427636	LSM-38817	NA	10uM	24h	LINCSCP_41648	NKDBA
-0.4423	2.1529e-7	126	HG-14-10-04	LSM-6345	NA	0.12uM	24h	LINCSCP_86766	CD34
0.441	2.3556e-7	126	KW-2449	LSM-42803	ABL1|AURKA|AURKB|FLT3	10uM	24h	LINCSCP_133382	MCF7
-0.4409	2.3869e-7	126	Levocabastine	LSM-2731	HRH1|NTSR2	10uM	24h	LINCSCP_241103	MCF7
0.4402	2.4907e-7	126	Pravastatin sodium	LSM-45836	NA	3.33uM	24h	LINCSCP_155792	PC3
0.44	2.5335e-7	126	CHEMBL552425	LSM-1003	DDR1	10uM	6h	LINCSCP_51591	SKBR3
0.4395	2.6191e-7	126	BRD-K79758054	LSM-41623	NA	10uM	24h	LINCSCP_8962	A549
0.4374	3.0319e-7	126	Syrosingopine	LSM-2297	NA	10uM	6h	LINCSCP_7434	A549
