similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	158	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	24h	LINCSCP_116463	HT29
0.5751	2.7337e-15	158	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	24h	LINCSCP_111697	HEPG2
0.5676	7.4176e-15	158	BRD-K21374126	LSM-38427	NA	10uM	24h	LINCSCP_41086	NEU
0.5265	1.2052e-12	158	BRD-K17890048	LSM-36403	NA	10uM	24h	LINCSCP_28216	HT29
0.5188	2.9066e-12	158	Enzastaurin	LSM-1069	PRKCB	0.12uM	24h	LINCSCP_116221	HT29
0.5118	6.3124e-12	158	BRD-K33328711	LSM-10452	NA	5uM	6h	LINCSCP_63450	VCAP
0.5031	1.6184e-11	158	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	10uM	24h	LINCSCP_70596	A375
0.5004	2.1496e-11	158	BRD-K16466792	LSM-9424	NA	5uM	6h	LINCSCP_63446	VCAP
0.4974	2.9727e-11	158	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.12uM	24h	LINCSCP_111851	HEPG2
0.4967	3.1778e-11	158	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_41919	NOMO1
0.4961	3.378e-11	158	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	LSM-42974	ESR1	0.37uM	24h	LINCSCP_21013	HCC515
0.4847	1.0995e-10	158	SCHEMBL17052537	LSM-5803	BTK|JAK3|MKNK2|MTOR|PRKDC	0.37uM	24h	LINCSCP_111664	HEPG2
0.4761	2.5852e-10	158	Cytosporone B	LSM-6280	NR4A1	10uM	6h	LINCSCP_39985	NCIH1836
0.4739	3.1795e-10	158	Pioglitazone	LSM-1592	PPARG	3.33uM	24h	LINCSCP_123744	HT29
0.4728	3.5555e-10	158	Rhodanine derivative, 43	LSM-43129	NA	10uM	6h	LINCSCP_190689	A549
0.4725	3.641e-10	158	Momelotinib	LSM-1141	JAK1|JAK2	1.11uM	24h	LINCSCP_116483	HT29
0.47	4.6585e-10	158	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	6h	LINCSCP_21241	HCT116
0.4695	4.8755e-10	158	JZL-184	LSM-6246	NA	10uM	6h	LINCSCP_10381	A673
0.4662	6.7127e-10	158	SCHEMBL570779	LSM-1149	NA	0.12uM	24h	LINCSCP_116281	HT29
0.4645	7.8821e-10	158	Arachidonyl Trifluoromethylketone	LSM-43275	PLA2G4A	80uM	6h	LINCSCP_12920	EFO27
0.464	8.2105e-10	158	TORIN1	LSM-1079	MTOR	0.12uM	3h	LINCSCP_131806	MCF10A
0.4619	9.9967e-10	158	CHEMBL2143684	LSM-15081	NA	10uM	24h	LINCSCP_252667	MCF7
0.4606	1.1308e-9	158	ZSTK 474	LSM-1053	PIK3CG	10uM	24h	LINCSCP_116775	HT29
0.4596	1.2395e-9	158	AC1LDBAO	LSM-4032	NA	20uM	6h	LINCSCP_10655	AGS
0.4589	1.323e-9	158	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	1uM	24h	LINCSCP_37846	MCF7
0.4574	1.5242e-9	158	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_39699	MDST8
0.4547	1.954e-9	158	Quinoclamine	LSM-6261	NA	10uM	6h	LINCSCP_50986	RMGI
0.4526	2.3696e-9	158	CHIR-99021	LSM-1181	NA	3.33uM	24h	LINCSCP_116842	HT29
0.452	2.4996e-9	158	C21H27N7O3	LSM-1128	AKT1|AKT2|AKT3|PRKCQ	3.33uM	24h	LINCSCP_116266	HT29
0.4509	2.7713e-9	158	Radicicol	LSM-43303	NA	0.37uM	24h	LINCSCP_116724	HT29
0.4505	2.8535e-9	158	BRD-K84528570	LSM-14957	NA	10uM	24h	LINCSCP_259098	NEU
0.4488	3.3324e-9	158	GSK-2334470	LSM-1222	PDK1|PDPK1	1.11uM	24h	LINCSCP_148302	NPC.CAS9
0.4484	3.4687e-9	158	E319	LSM-36677	NA	33.33uM	24h	LINCSCP_20968	HCC515
