similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	225	114798-26-4	LSM-3701	AGTR1	10uM	24h	LINCSCP_126358	HT29
0.6832	2.7636e-32	225	SDZ-201106	LSM-21614	NA	1.19uM	24h	LINCSCP_123841	HT29
0.6594	1.9085e-29	225	Cilostazol	LSM-3491	PDE3A	1.11uM	24h	LINCSCP_95296	HA1E
0.6534	8.8584e-29	225	SPECTRUM1505012	LSM-1773	CYP19A1	0.12uM	24h	LINCSCP_142791	MCF7
0.6396	2.7693e-27	225	Telatinib	LSM-45625	FLT4|KDR|KIT|PDGFRB	3.33uM	24h	LINCSCP_124794	HT29
-0.6386	3.5483e-27	225	Aminosalicylic acid	LSM-5862	PTGS1|PTGS2	0.04uM	24h	LINCSCP_96503	HA1E
0.6198	2.8446e-25	225	Palovarotene	LSM-45512	RARG	1.11uM	24h	LINCSCP_160078	PC3
0.6102	2.4377e-24	225	STOCK1N-09285	LSM-1332	ESR1	10uM	24h	LINCSCP_92787	HA1E
-0.6082	3.7563e-24	225	MLN-8054	LSM-1066	AURKA	1.11uM	24h	LINCSCP_96668	HA1E
-0.5906	1.5164e-22	225	Nemonapride	LSM-45497	NA	0.37uM	24h	LINCSCP_96483	HA1E
0.5878	2.6989e-22	225	Trimethoprim	LSM-5246	NA	0.12uM	24h	LINCSCP_104990	HELA
0.5871	3.0869e-22	225	Nicardipine	LSM-1418	CACNA1C|CACNA1D|CACNA1F|CACNA1S	10uM	6h	LINCSCP_202848	A673
0.5811	1.0107e-21	225	Zaurategrast	LSM-45609	NA	10uM	24h	LINCSCP_122938	HT29
0.5803	1.201e-21	225	Phentolamine	LSM-4022	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	0.37uM	24h	LINCSCP_109854	HELA
0.5749	3.4528e-21	225	Triclosan	LSM-2929	DNMT1	10uM	24h	LINCSCP_122950	HT29
0.5629	3.3327e-20	225	MGCD-265	LSM-1124	AXL|FLT1|FLT4|KDR|MET|MST1R|TEK	0.37uM	24h	LINCSCP_87488	CD34
