similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8269	7.677e-43	166	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_116385	HT29
0.8262	1.0146e-42	166	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_25478	HT29
0.7023	5.4585e-26	166	apigenin	LSM-5206	NA	10uM	24h	LINCSCP_116415	HT29
0.657	7.066e-22	166	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_286974	SNUC4
0.6078	3.8443e-18	166	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_39707	MDST8
0.6036	7.4274e-18	166	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_19373	HCC515
0.5949	2.8962e-17	166	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_25575	HT29
0.5794	2.8907e-16	166	1268524-70-4	LSM-6332	NA	10uM	24h	LINCSCP_117311	HT29
-0.5792	2.9549e-16	166	AC1NWAML	LSM-1325	NR3C1	10uM	6h	LINCSCP_19155	HCC515
0.5742	6.0818e-16	166	Trimethoprim	LSM-5246	NA	0.12uM	24h	LINCSCP_104990	HELA
0.5702	1.0669e-15	166	BRD-A25736793	LSM-43054	MTOR	10uM	24h	LINCSCP_69906	A375
0.5692	1.2297e-15	166	apigenin	LSM-5206	NA	10uM	24h	LINCSCP_99624	HCC515
0.5624	3.1436e-15	166	Estradiol Valerate	LSM-37162	ESR1	10uM	6h	LINCSCP_59597	VCAP
0.5549	8.6611e-15	166	CHEMBL2359798	LSM-6796	NA	10uM	24h	LINCSCP_37861	MCF7
0.5531	1.0924e-14	166	BRD-K10436544	LSM-45992	NA	10uM	6h	LINCSCP_35561	MCF7
0.5524	1.2106e-14	166	Menadione	LSM-3755	NA	10uM	6h	LINCSCP_290955	VCAP
0.5413	5.0875e-14	166	BRD-U88878891	LSM-42709	NA	10uM	24h	LINCSCP_31229	MCF7
0.5396	6.3435e-14	166	apigenin	LSM-5206	NA	3.33uM	24h	LINCSCP_87825	HA1E
0.539	6.8045e-14	166	SMR000030495	LSM-4137	NA	10uM	6h	LINCSCP_57499	VCAP
0.5387	7.0298e-14	166	Cytochalasin B	LSM-43278	ACTB	10uM	6h	LINCSCP_40065	NCIH2073
0.537	8.7846e-14	166	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_99594	HCC515
0.5368	8.9824e-14	166	GSK-461364	LSM-1013	PLK1	0.37uM	24h	LINCSCP_70050	A375
0.5364	9.4255e-14	166	Betahistine	LSM-4044	HRH1|HRH3	10uM	24h	LINCSCP_56307	VCAP
0.5338	1.3049e-13	166	GSK 525762A	LSM-6334	NA	10uM	24h	LINCSCP_119372	HT29
0.5291	2.3285e-13	166	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	3h	LINCSCP_130230	LNCAP
0.5273	2.8961e-13	166	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_129793	LNCAP
0.527	3.0255e-13	166	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_19295	HCC515
0.5257	3.5219e-13	166	SPECTRUM_000886	LSM-1906	ESR1|GNRHR	10uM	6h	LINCSCP_56522	VCAP
0.5255	3.6143e-13	166	apigenin	LSM-5206	NA	3.33uM	24h	LINCSCP_116416	HT29
0.5251	3.8051e-13	166	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_13605	H1299
0.5217	5.7287e-13	166	MLS001207806	LSM-43094	NA	10uM	24h	LINCSCP_55093	THP1
0.5213	5.9714e-13	166	Volasertib (BI 6727)	LSM-45277	PLK1	10uM	24h	LINCSCP_125986	HT29
0.5187	8.1587e-13	166	Saracatinib	LSM-1032	ABL1|SRC	10uM	24h	LINCSCP_239884	MCF7
0.5177	9.13e-13	166	PCI-34051	LSM-4812	HDAC1|HDAC10|HDAC6|HDAC8	10uM	24h	LINCSCP_38562	MCF7
