signatureid	compound	similarity
LINCSCP_116463	Ruxolitinib	1
LINCSCP_111697	Canertinib	0.5751
LINCSCP_41086	BRD-K21374126	0.5676
LINCSCP_28216	BRD-K17890048	0.5265
LINCSCP_116221	Enzastaurin	0.5188
LINCSCP_63450	BRD-K33328711	0.5118
LINCSCP_70596	HMN-214	0.5031
LINCSCP_63446	BRD-K16466792	0.5004
LINCSCP_111851	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.4974
LINCSCP_41919	16Beta-bromoandrosterone	0.4967
LINCSCP_21013	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	0.4961
LINCSCP_111664	SCHEMBL17052537	0.4847
LINCSCP_39985	Cytosporone B	0.4761
LINCSCP_123744	Pioglitazone	0.4739
LINCSCP_190689	Rhodanine derivative, 43	0.4728
LINCSCP_116483	Momelotinib	0.4725
LINCSCP_21241	PI-103	0.47
LINCSCP_10381	JZL-184	0.4695
LINCSCP_116281	SCHEMBL570779	0.4662
LINCSCP_12920	Arachidonyl Trifluoromethylketone	0.4645
LINCSCP_131806	TORIN1	0.464
LINCSCP_252667	CHEMBL2143684	0.4619
LINCSCP_116775	ZSTK 474	0.4606
LINCSCP_10655	AC1LDBAO	0.4596
LINCSCP_37846	Trichostatin A, Streptomyces Sp.	0.4589
LINCSCP_39699	Salermide	0.4574
LINCSCP_50986	Quinoclamine	0.4547
LINCSCP_116842	CHIR-99021	0.4526
LINCSCP_116266	C21H27N7O3	0.452
LINCSCP_116724	Radicicol	0.4509
LINCSCP_259098	BRD-K84528570	0.4505
LINCSCP_148302	GSK-2334470	0.4488
LINCSCP_20968	E319	0.4484
LINCSCP_37931	CHEMBL2360506	0.4468
LINCSCP_116543	GSK-3 Inhibitor IX	0.4451
LINCSCP_64956	CHEMBL2140960	0.4428
LINCSCP_53519	Parthenolide	0.4419
LINCSCP_29985	OSI-930	0.4414
LINCSCP_207566	BG-1015	0.4394
LINCSCP_63306	BRD-K78710535	0.4388
LINCSCP_156699	Trovafloxacin mesylate	0.4369
LINCSCP_20918	Enclomiphene	0.4366
LINCSCP_111691	CHEMBL2136735	0.4361
LINCSCP_57514	MLS003221410	0.4358
LINCSCP_164101	noscapine	0.4352
LINCSCP_58563	BRD-K19166598	0.4347
LINCSCP_75203	Roflumilast	0.4344
LINCSCP_62370	BRD-K35868313	0.4339
LINCSCP_12965	CHEMBL3182405	0.4337
LINCSCP_46877	QL-X-138	0.4335
LINCSCP_67013	Wortmannin	0.4305
LINCSCP_130703	Dactolisib	0.4286
LINCSCP_188947	MLS002607680	0.4281
LINCSCP_6767	SPECTRUM_001522	0.4277
LINCSCP_10560	LY 2183240	0.4268
LINCSCP_66000	SCHEMBL17783896	0.4259
LINCSCP_129982	THZ-2-98-01	0.4248
LINCSCP_131382	WYE 125132	0.4232
LINCSCP_78832	Elesclomol	0.4227
LINCSCP_169251	Nicotin-Amide	0.4216
LINCSCP_218087	Estriol	0.4209
LINCSCP_22356	CHEMBL2356468	0.4198
LINCSCP_24363	MK-2206	0.4188
LINCSCP_66019	BRD-K74842589	0.4178
LINCSCP_294419	3-Chloro-n-{3-[(furan-2-ylmethyl)carbamoyl]-5,6-dihydro-4H-cyclopenta[b]thiophen-2-yl}-1-benzothiophene-2-carboxamide	0.4171
LINCSCP_56497	AC1NWAJL	0.4164
LINCSCP_45667	Lovastatin	0.4149
LINCSCP_28657	CHEMBL2358826	0.4148
LINCSCP_132423	PIK-93	0.4146
LINCSCP_9966	AZD-1152-HQPA	0.4142
LINCSCP_39273	AZD-8055	0.414
LINCSCP_298954	BRD-K37487131	0.4137
LINCSCP_308854	BRD-K06482871	0.4137
LINCSCP_6546	CHEMBL97698	0.4129
LINCSCP_132834	EX-8678	0.4116
LINCSCP_151059	WH-4-025	0.4113
LINCSCP_40161	IN1541	0.4107
LINCSCP_116176	AKT Inhibitor VIII	0.4107
LINCSCP_54321	FTI276	0.4082
LINCSCP_131041	BX 912	0.4076
LINCSCP_7781	BRD-K11224669	0.4075
LINCSCP_28032	BRD-K84245233	0.4073
LINCSCP_83856	BX-795	0.4063
LINCSCP_41353	Geldanamycin	0.4059
LINCSCP_20981	Isonicotinohydroxamic acid	0.4052
LINCSCP_116575	BI-2536	0.4047
LINCSCP_21267	JSH-23	0.4046
LINCSCP_129977	Sirolimus	0.4043
LINCSCP_21044	Dienestrol	0.4041
LINCSCP_155961	Lorazepam	0.4039
LINCSCP_208982	Podofilox	0.4037
LINCSCP_60713	BRD-K82906409	0.4031
LINCSCP_58674	HG-5-88-01	0.4026
LINCSCP_143901	Thalidomide	0.4018
LINCSCP_111710	GSK-1904529A	0.4016
LINCSCP_76320	Loperamide	0.4014
LINCSCP_22275	MLS-0315871.0001	0.4007
LINCSCP_125545	Phorbol Myristate Acetate	0.4007
LINCSCP_288173	BRD-K95985487-001-01-3	0.4006
LINCSCP_58843	Somatostatin	0.4002
LINCSCP_65809	BRD-K34314104	0.3999
LINCSCP_292723	SCHEMBL1675332	0.3983
LINCSCP_2921	Strophanthidin	0.3979
LINCSCP_92624	TG 100801	0.3974
LINCSCP_117058	PHA-767491	0.3952
LINCSCP_65077	BRD-K01448700-019-01-8	0.395
LINCSCP_6754	AC1NWAPO	0.3939
LINCSCP_62077	BRD-K10657952	0.3926
LINCSCP_59262	BRD-K73945663	0.3921
LINCSCP_152509	BCPP000194	0.392
LINCSCP_69829	PCI-32765	0.3905
LINCSCP_58356	BRD-K28610502-001-01-0	0.3897
LINCSCP_16444	Obatoclax	0.3894
LINCSCP_302397	BRD-K67663786	0.389
LINCSCP_175685	CHIR-265	0.3882
LINCSCP_21545	Ambroxol	0.3876
LINCSCP_143854	AC1NWAUW	0.3872
LINCSCP_165382	Dacomitinib	0.3872
LINCSCP_294148	Metronidazole	0.3871
LINCSCP_188806	MLS003179196	0.387
LINCSCP_309653	BRD-K72913684	0.3869
LINCSCP_36317	CYTO7H11	0.3864
LINCSCP_27161	Mefenamic acid	0.3863
LINCSCP_42085	MLS000589843	0.3855
LINCSCP_51000	IMD-0354	0.385
LINCSCP_67545	CGS-15943	0.3848
LINCSCP_146788	AGK 2	0.3843
LINCSCP_37941	BRD-K73602693	0.3843
LINCSCP_104990	Trimethoprim	0.3839
LINCSCP_169871	Ammonium Glycyrrhizinate	0.3834
LINCSCP_77192	Semaxanib	0.3833
LINCSCP_129925	Linifanib	0.383
LINCSCP_237361	MLS003448167	0.3825
LINCSCP_148336	SGX-523	0.3817
LINCSCP_12248	SB-203580	0.3814
LINCSCP_62355	BRD-K24077273	0.3814
LINCSCP_116305	Foretinib	0.3812
LINCSCP_243560	Noretynodrel	0.3811
LINCSCP_84686	BRD-A01645196	0.3808
LINCSCP_100313	MLN-0128	0.3806
LINCSCP_227486	Epirizole	0.3805
LINCSCP_21397	3,5-Bis(4-methylbenzylidene)piperidin-4-one	0.3799
LINCSCP_175881	Thiothixene	0.3798
LINCSCP_132481	Alpelisib	0.3797
LINCSCP_28575	4LY1	0.3794
LINCSCP_42810	Cymarin	0.3792
LINCSCP_50245	Dmbi	0.3791
LINCSCP_100367	Osimertinib	0.3787
LINCSCP_111571	SCHEMBL6874948	0.3786
LINCSCP_7929	Prostratin	0.3779
LINCSCP_20962	Broad-Sai-045	0.3777
LINCSCP_45528	AC1MCK4Q	0.3777
LINCSCP_21399	Sepantronium	0.3776
LINCSCP_159199	Proglumide	0.3775
LINCSCP_43710	Ingenol 3,20-dibenzoate	0.3771
LINCSCP_156774	BRD-K00150267	0.3767
LINCSCP_100365	BGT-226	0.3765
LINCSCP_42874	Phenyl Biguanide	0.3765
LINCSCP_293343	CHEMBL1706554	0.3763
LINCSCP_121169	NUTLIN 3	0.3762
