ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
22809	ATF5	-2.2879	0.0024
1399	CRKL	-1.6533	0.005
10227	MFSD10	-3.2914	0.0051
4016	LOXL1	-1.6529	0.0063
3480	IGF1R	-1.5364	0.0073
230	ALDOC	-1.3391	0.0109
5607	MAP2K5	-1.1609	0.0148
4846	NOS3	-1.4057	0.0167
51056	LAP3	-1.1847	0.0183
1021	CDK6	-1.0471	0.0204
23378	RRP8	-1.4059	0.0205
51001	MTERF3	-1.1486	0.0205
5547	PRCP	-1.0087	0.0226
3508	IGHMBP2	-1.0785	0.0235
25	ABL1	-1.1844	0.0238
6499	SKIV2L	-0.9822	0.0252
8349	HIST2H2BE	-1.2467	0.0263
2954	GSTZ1	-1.0138	0.0276
6772	STAT1	-1.5314	0.03
3162	HMOX1	-0.9431	0.0316
1509	CTSD	-1.1318	0.0317
5529	PPP2R5E	-0.9125	0.0345
9246	UBE2L6	-1.008	0.0347
6850	SYK	-0.8751	0.0348
8835	SOCS2	-0.8824	0.0352
11000	SLC27A3	-0.9181	0.0363
57149	LYRM1	-0.8772	0.0366
5211	PFKL	-1.0346	0.0411
5236	PGM1	-0.9842	0.0414
54205	CYCS	-5.2951	0.0416
1647	GADD45A	-1.0661	0.0418
23658	LSM5	-1.1308	0.0423
4783	NFIL3	-0.8394	0.0428
10962	MLLT11	-1.929	0.0437
6832	SUPV3L1	-0.8672	0.0439
8321	FZD1	-0.9112	0.0551
4582	MUC1	-1.0748	0.0574
5900	RALGDS	-1.126	0.0579
27244	SESN1	-0.7355	0.0582
10049	DNAJB6	-0.9713	0.0632
823	CAPN1	-1.0514	0.0633
9124	PDLIM1	-0.9583	0.0635
5019	OXCT1	-0.7619	0.0638
10276	NET1	-1.5334	0.0641
57192	MCOLN1	-0.9702	0.0643
1017	CDK2	-0.791	0.0649
6050	RNH1	-0.8547	0.0676
84159	ARID5B	-0.9872	0.068
9126	SMC3	-0.711	0.0682
8312	AXIN1	-0.7833	0.0683
5467	PPARD	-0.81	0.0709
10557	RPP38	-6.0119	0.071
29103	DNAJC15	-0.8575	0.0739
64781	CERK	-0.9083	0.0742
2309	FOXO3	-0.7069	0.0749
2185	PTK2B	-1.0732	0.075
9221	NOLC1	-0.6787	0.0753
3482	IGF2R	-0.6641	0.0791
2195	FAT1	-1.0366	0.0802
5831	PYCR1	-0.8516	0.0853
79643	CHMP6	-0.9039	0.0854
10765	KDM5B	-0.7457	0.0873
2887	GRB10	-0.8285	0.0878
4232	MEST	-0.7069	0.0893
847	CAT	-0.9972	0.0902
51071	DERA	-4.3307	0.0921
11232	POLG2	-0.7398	0.0925
79006	METRN	-0.705	0.0929
7159	TP53BP2	-0.7812	0.0941
89910	UBE3B	-0.6248	0.0942
2264	FGFR4	-0.6766	0.0966
5829	PXN	-0.5999	0.0978
7905	REEP5	-0.7485	0.1002
1891	ECH1	-1.0227	0.1016
1534	CYB561	-0.8173	0.104
8720	MBTPS1	-0.5918	0.1059
6988	TCTA	-0.586	0.1067
7015	TERT	-0.6651	0.1084
7088	TLE1	-0.7863	0.1088
949	SCARB1	-0.8242	0.1095
3108	HLA-DMA	-0.6274	0.1103
26227	PHGDH	-0.796	0.1107
207	AKT1	-0.6543	0.1118
23013	SPEN	-0.7561	0.1133
6894	TARBP1	-0.7012	0.114
29911	HOOK2	-0.8944	0.1162
29978	UBQLN2	-0.554	0.1192
8324	FZD7	-0.6895	0.12
1153	CIRBP	-0.8758	0.1204
64428	NARFL	-0.5487	0.1219
1906	EDN1	-0.6425	0.1226
5366	PMAIP1	-0.5593	0.1234
178	AGL	-0.5871	0.1255
6919	TCEA2	-0.5661	0.1268
9670	IPO13	-0.7264	0.1289
51742	ARID4B	-3.9658	0.1297
11168	PSIP1	-0.9628	0.131
9697	TRAM2	-0.5987	0.1313
4776	NFATC4	-0.7594	0.1325
23139	MAST2	-0.6683	0.1332
960	CD44	-0.5254	0.1397
8091	HMGA2	-0.7719	0.1397
85377	MICALL1	-0.9551	0.1418
6253	RTN2	-3.5133	0.1457
23212	RRS1	-1.0014	0.1463
727	C5	-0.6332	0.1483
84890	ADO	-0.8129	0.1493
9817	KEAP1	-0.618	0.1514
50810	HDGFRP3	-0.541	0.154
5699	PSMB10	-0.7182	0.1585
23530	NNT	-0.5771	0.1603
27242	TNFRSF21	-0.5242	0.1624
1759	DNM1	-0.5997	0.1627
9702	CEP57	-0.9988	0.164
51005	AMDHD2	-1.0022	0.1649
8508	NIPSNAP1	-0.5567	0.1694
55324	ABCF3	-0.5642	0.1694
1786	DNMT1	-0.5342	0.1709
22823	MTF2	-1.1318	0.1732
6676	SPAG4	-2.3285	0.1755
16	AARS	-0.5205	0.1777
808	CALM3	-0.7779	0.179
5290	PIK3CA	-0.6357	0.1793
55818	KDM3A	-0.6194	0.1795
6774	STAT3	-0.9279	0.1799
3300	DNAJB2	-0.6105	0.1801
26001	RNF167	-1.9618	0.1808
5106	PCK2	-0.5144	0.1835
4931	NVL	-2.3819	0.1854
1052	CEBPD	-0.7629	0.1856
11261	CHP1	-0.7706	0.1857
9915	ARNT2	-0.5162	0.187
79080	CCDC86	-3.5502	0.189
23076	RRP1B	-0.5669	0.1905
4125	MAN2B1	-1.2741	0.1906
26064	RAI14	-0.5184	0.1957
348	APOE	-2.5856	0.1966
