ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
7106	TSPAN4	-7.2628	1e-4
51024	FIS1	-8.0073	0.0011
1861	TOR1A	-1.8387	0.0017
10057	ABCC5	-1.6653	0.0026
9246	UBE2L6	-1.6153	0.0027
54386	TERF2IP	-1.4514	0.0038
10765	KDM5B	-1.2882	0.0056
7994	KAT6A	-1.481	0.0057
1153	CIRBP	-1.4557	0.0057
9917	FAM20B	-1.6791	0.0068
22889	KIAA0907	-1.233	0.007
6509	SLC1A4	-1.323	0.007
3482	IGF2R	-1.5352	0.0073
51385	ZNF589	-1.1039	0.0095
22883	CLSTN1	-1.1601	0.0095
94239	H2AFV	-1.2548	0.0096
4016	LOXL1	-1.2569	0.01
81533	ITFG1	-1.4538	0.0103
9267	CYTH1	-1.623	0.0107
9697	TRAM2	-1.4968	0.0112
27244	SESN1	-1.0952	0.0116
9915	ARNT2	-1.6167	0.0117
10150	MBNL2	-1.0735	0.0117
29763	PACSIN3	-1.4108	0.0121
64428	NARFL	-1.5682	0.0125
1643	DDB2	-1.0554	0.0128
5891	MOK	-1.4475	0.0131
323	APBB2	-1.2168	0.0136
5883	RAD9A	-1.2854	0.015
2048	EPHB2	-1.1654	0.0153
2195	FAT1	-1.4201	0.0157
6622	SNCA	-1.143	0.0166
10046	MAMLD1	-1.0901	0.0174
10695	CNPY3	-1.414	0.0187
2908	NR3C1	-1.3014	0.0191
55958	KLHL9	-1.2619	0.0194
26020	LRP10	-1.0775	0.0195
6772	STAT1	-1.0455	0.0199
79006	METRN	-1.1291	0.0201
79143	MBOAT7	-1.0484	0.0207
1509	CTSD	-1.0159	0.0217
29978	UBQLN2	-1.0549	0.0222
10962	MLLT11	-1.9443	0.0227
10513	APPBP2	-1.562	0.024
1070	CETN3	-1.3354	0.0242
960	CD44	-1.0337	0.0243
11031	RAB31	-1.1163	0.0245
23149	FCHO1	-1.142	0.0249
6810	STX4	-1.0632	0.0251
2353	FOS	-1.0669	0.0259
10810	WASF3	-1.1468	0.0261
8835	SOCS2	-1.0918	0.027
81544	GDPD5	-1.004	0.0276
3800	KIF5C	-1.1358	0.0307
3597	IL13RA1	-1.0419	0.0309
51056	LAP3	-1.0026	0.0312
7466	WFS1	-2.3379	0.0322
7020	TFAP2A	-1.1453	0.0325
23321	TRIM2	-1.4087	0.0328
3895	KTN1	-1.0145	0.033
54512	EXOSC4	-1.1152	0.0332
51015	ISOC1	-1.135	0.0349
6894	TARBP1	-1.4139	0.0385
55608	ANKRD10	-1.5045	0.0389
5290	PIK3CA	-1.0254	0.0424
6253	RTN2	-1.224	0.0451
644	BLVRA	-1.2603	0.0494
9851	KIAA0753	-1.708	0.0497
10013	HDAC6	-1.3309	0.0547
54438	GFOD1	-1.0888	0.062
79094	CHAC1	-4.7468	0.0642
5985	RFC5	-1.7194	0.0644
8050	PDHX	-5.1484	0.0756
25	ABL1	-5.087	0.0809
5373	PMM2	-1.024	0.085
55893	ZNF395	-2.6844	0.0905
9143	SYNGR3	-1.0217	0.0938
5601	MAPK9	-1.3127	0.0992
6275	S100A4	-2.8645	0.1046
6813	STXBP2	-1.2317	0.1068
23013	SPEN	-1.0209	0.1073
51203	NUSAP1	-4.7732	0.1108
8985	PLOD3	-1.0186	0.1221
3815	KIT	-1.0324	0.1307
8727	CTNNAL1	-1.9624	0.137
9093	DNAJA3	-1.1605	0.1451
11137	PWP1	-2.3459	0.1471
9533	POLR1C	-1.0766	0.1652
4791	NFKB2	-2.061	0.1658
55748	CNDP2	-3.1508	0.2007
2770	GNAI1	-1.8072	0.2734
178	AGL	-1.1965	0.288
5223	PGAM1	-1.0378	0.4243
