Name_GeneSymbol	Value_LogDiffExp
ABL1	-1.66258
ADGRE5	-1.5919999999999999
ARHGEF2	-1.27316
ATF1	-2.049
ATF5	-2.8811
ATG3	-1.97478
ATP1B1	-1.05656
AURKA	-1.0481
BIRC5	-2.19144
BLMH	-1.0897
BRCA1	-1.33458
BZW2	-1.46834
CCDC86	-2.19042
CCNA2	-2.4489
CCNB2	-1.00852
CD320	-1.5949
CD58	-1.67348
CDC20	-1.71608
CDC25A	-2.0866399999999996
CDC45	-2.69524
CDCA4	-1.1183400000000001
CDK1	-2.7503200000000003
CDK2	-1.35402
CDK4	-2.4902599999999997
CDKN2A	-1.4945600000000001
CEBPA	-1.2243
CEP57	-1.00782
CHEK1	-1.2333
CNDP2	-2.33126
CRYZ	-3.77218
CSRP1	-1.4649800000000002
CYB561	-1.08814
CYCS	-1.85652
DCTD	-3.25228
DDB2	-1.00022
DDX10	-1.5913199999999998
DENND2D	-2.42236
DERA	-1.51474
DFFB	-1.25688
DPH2	-2.216
ECD	-1.26612
ECH1	-1.14482
ELOVL6	-1.3602400000000001
ENOPH1	-2.6359
ENOSF1	-1.19814
EXOSC4	-1.27648
EZH2	-1.8145799999999999
FAM57A	-1.83974
FASTKD5	-1.49918
FHL2	-2.68976
FIS1	-2.56924
FOSL1	-1.6590200000000002
FPGS	-1.72288
GABPB1	-1.3242800000000001
HACD3	-1.11472
HADH	-1.9858
HDAC2	-1.67404
HES1	-1.51016
HN1L	-1.15472
HSD17B10	-1.17658
HSPA8	-1.81358
HSPB1	-2.45742
HSPD1	-2.22712
ICAM3	-1.4097799999999998
IER3	-1.23032
IFRD2	-2.7897600000000002
IGHMBP2	-1.03834
INPP4B	-1.09552
ITGB5	-1.47434
JADE2	-2.28334
KIF20A	-1.44758
LIG1	-1.13992
LOXL1	-2.61548
LSM5	-2.65538
LSM6	-1.12516
LYPLA1	-1.01734
MAP3K4	-1.52746
MAPK13	-2.79714
MBNL2	-1.21898
MCM3	-2.59862
ME2	-1.16632
MELK	-2.51424
MFSD10	-2.16972
MIF	-1.03696
MRPL12	-2.2044200000000003
MRPL19	-2.60358
MRPS16	-1.1433
MRPS2	-2.61744
MTA1	-2.40226
MTHFD2	-1.43668
MYBL2	-1.8507200000000001
MYC	-4.08376
MYCBP	-1.1005800000000001
NNT	-1.16254
NOLC1	-2.31622
NT5DC2	-1.13354
NUP62	-1.34086
NUP85	-2.62336
NUP88	-2.27362
NUSAP1	-2.59712
PAICS	-1.16804
PARP1	-1.1242
PARP2	-2.67062
PCBD1	-1.84958
PCNA	-2.40258
PDHX	-2.2730799999999998
PGM1	-1.1564
PGRMC1	-1.10706
PHGDH	-1.25052
PLK1	-1.30776
PLOD3	-1.5661800000000001
POLE2	-1.63558
POLR2I	-1.69922
PPARG	-1.38694
PPP2R3C	-1.67138
PRPF4	-1.72636
PRR7	-1.29376
PTGS2	-1.4425999999999999
PXMP2	-1.17776
PYCR1	-4.15966
RAE1	-1.02448
RBM34	-1.32466
RFC2	-1.80304
RFC5	-1.7723200000000001
RPA1	-1.59432
RPA2	-1.44238
RPIA	-3.1602200000000003
RPN1	-1.2646600000000001
RPP38	-1.6919
RRP12	-1.04232
RRS1	-2.8183000000000002
RUVBL1	-2.43322
S100A4	-2.348
SCARB1	-1.54158
SCCPDH	-1.00858
SLC11A2	-1.22938
SLC25A13	-1.32144
SLC35B1	-1.00504
SLC35F2	-3.02986
SLC5A6	-1.5252
SMARCC1	-1.64004
SPDEF	-1.34236
SPR	-1.3892200000000001
SRC	-1.04078
ST7	-1.32596
STMN1	-1.90448
SUV39H1	-2.9024
SYPL1	-1.1203
TARBP1	-1.01548
TCERG1	-3.54458
TEX10	-1.7747600000000001
TIMM9	-2.9544
TMEM109	-2.7101800000000003
TMEM97	-2.63522
TOMM70A	-1.90986
TOP2A	-2.6031
TOPBP1	-1.05492
TP53	-1.42556
TRAP1	-3.22214
TSEN2	-1.49528
TSPAN4	-2.6449
TSPAN6	-1.78036
TXNDC9	-1.8678599999999999
UBE2C	-2.90382
YME1L1	-1.10992
ZDHHC6	-1.5386
