Name_GeneSymbol	Value_LogDiffExp
ABCC5	-0.26385000000000003
ABHD6	-0.11329999999999998
ACAA1	-0.09869999999999995
ACAT2	-1.2872
ACD	-0.2489
ACLY	-0.3084
ACOT9	-0.4722
ADAM10	-0.34095
ADAT1	-0.7724
ADH5	-0.20304999999999998
ADI1	-0.28385000000000005
AKAP8	-0.148
ALAS1	-0.18384999999999999
ALDH7A1	-0.56145
APBB2	-0.21335
APP	-0.20595
ARHGEF12	-0.657
ARID5B	-0.289
ARL4C	-0.9027999999999999
ARNT2	-0.21835000000000002
ATG3	-0.25665
ATP11B	-0.47535000000000005
ATP2C1	-0.32045
AURKA	-1.17135
B4GAT1	-0.02099999999999999
BAG3	-0.3501
BAX	-0.11410000000000001
BCL2	-0.5818
BCL7B	-0.3179
BID	-0.93625
BIRC5	-0.5665
BLMH	-0.7250500000000001
BLVRA	-0.38195
BMP4	-0.13785
BNIP3	-0.7345999999999999
BNIP3L	-0.25355
BUB1B	-0.9251499999999999
C5	-0.36785
CALM3	-0.3142
CAMSAP2	-0.09549999999999997
CAPN1	-0.15625
CASC3	-0.72185
CASP10	-0.2947
CASP2	-0.18924999999999997
CASP7	-2.5335
CAST	-0.17235
CCDC86	-1.9655
CCNA2	-0.84845
CCNB1	-2.60975
CCNB2	-0.4325
CCND1	-0.42915000000000003
CCNF	-0.47059999999999996
CCNH	-0.04505
CD40	-0.07635
CD44	-0.27649999999999997
CDC20	-1.1468500000000001
CDC25A	-0.8201999999999999
CDC42	-0.81225
CDC45	-0.10685
CDH3	-1.9788000000000001
CDK1	-0.60005
CDK6	-0.4042
CDK7	-0.1356
CDKN2A	-3.187
CEBPD	-0.9380999999999999
CEBPZ	-2.80015
CENPE	-0.0695
CETN3	-0.11345
CFLAR	-0.5515500000000001
CHAC1	-0.020100000000000007
CHEK1	-2.2846
CHEK2	-0.7271
CHERP	-0.57975
CHN1	-0.05685000000000001
CHP1	-1.02525
CIAPIN1	-0.2693
CISD1	-0.47140000000000004
CLPX	-0.6712
CLTB	-0.06315
CLTC	-0.23735
CNDP2	-1.1457499999999998
CNOT4	-0.16485
CNPY3	-0.28704999999999997
COG2	-1.0636999999999999
COL1A1	-0.09204999999999999
COL4A1	-0.61805
CORO1A	-0.38685
CPSF4	-0.5158499999999999
CREB1	-0.07669999999999999
CRKL	-0.21645
CRTAP	-0.094
CSNK1E	-0.23765
CSNK2A2	-0.4757
CSRP1	-0.6998
CTNNAL1	-0.6658
CTNND1	-0.75765
CXCL2	-0.5645
CXCR4	-0.23315000000000002
CYCS	-2.07685
CYTH1	-0.2791
DAG1	-0.1205
DCK	-0.23125
DCTD	-0.4896
DCUN1D4	-0.49729999999999996
DDB2	-0.71775
DDX10	-0.4858
DFFA	-0.01040000000000002
DFFB	-0.8241499999999999
DHDDS	-0.18150000000000005
DHRS7	-0.4799
DMTF1	-0.5161
DNAJA3	-1.3623500000000002
DNAJB1	-0.10114999999999999
DNAJC15	-0.015
DNMT1	-0.27009999999999995
DNMT3A	-0.18200000000000005
DNTTIP2	-0.17929999999999996
DPH2	-0.04544999999999999
DRAP1	-0.27494999999999997
DUSP11	-0.5101
DUSP3	-0.3114
DYRK3	-0.2608
E2F2	-0.61025
EBNA1BP2	-1.1212499999999999
ECD	-0.6471
EDN1	-0.29285
EED	-0.69745
EFCAB14	-0.3425
EGF	-0.257
EIF5	-1.83415
ELAVL1	-0.27429999999999993
ENOPH1	-0.38705
ENOSF1	-0.0958
EPB41L2	-0.8005
EPHA3	-0.06540000000000001
EPHB2	-0.1787
ETS1	-0.35005
ETV1	-0.1336
EVL	-0.31205000000000005
EXT1	-0.38809999999999995
EZH2	-0.36619999999999997
FAH	-0.44855
FAIM	-0.042800000000000005
FAM20B	-0.55475
FAM69A	-0.32205000000000006
FASTKD5	-0.21280000000000002
FBXO21	-0.6901
FGFR4	-0.2762
FOS	-0.4918
FOSL1	-0.07140000000000002
FOXJ3	-0.72245
FOXO3	-0.1185
FRS2	-0.5849500000000001
FSD1	-0.11115
GADD45A	-0.77275
GADD45B	-0.8055
GAPDH	-0.16319999999999998
GATA2	-0.37205
GATA3	-0.5474
GDPD5	-0.56595
GFOD1	-0.45740000000000003
GHR	-0.5629
GMNN	-0.08255000000000001
GNA15	-0.2813
GPC1	-0.3464
GRN	-0.5927
GRWD1	-2.0635
GTF2A2	-0.4818
GTF2E2	-0.6229
H2AFV	-0.19815
HACD3	-0.24975
HAT1	-2.0856500000000002
HDAC2	-0.8376000000000001
HDAC6	-0.62555
HDGFRP3	-0.2897
HEATR1	-0.9480000000000001
HEBP1	-0.5680999999999999
HERC6	-0.39590000000000003
HIF1A	-0.82175
HN1L	-0.4939
HOMER2	-0.10200000000000001
HOXA10	-0.0997
HOXA5	-1.82185
HPRT1	-0.07484999999999997
HSD17B10	-0.51395
HSPA8	-1.8633
HSPD1	-2.4434500000000003
HTRA1	-0.4498
HYOU1	-0.085
ICAM3	-0.22769999999999999
ID2	-0.3834
IFNAR1	-0.10205
IFRD2	-0.4589
IGF2BP2	-0.32795
IGHMBP2	-0.04150000000000004
IKBKB	-0.06064999999999998
IL13RA1	-0.70095
IL1B	-0.48275
IL4R	-0.09299999999999997
IPO13	-1.13475
IQGAP1	-0.91315
ITFG1	-1.9801000000000002
JMJD6	-0.26265
JUN	-0.5186999999999999
KAT6A	-0.33824999999999994
KAT6B	-0.6568
KCTD5	-0.9053
KDM5B	-0.37224999999999997
KIAA0100	-0.19680000000000003
KIAA0753	-0.16215
KIAA0907	-0.7198
KIAA1033	-0.74
KIF14	-1.7935500000000002
KIF1BP	-0.3282
KIF20A	-1.4435
KIT	-0.55155
KLHL21	-0.588
KLHL9	-0.001799999999999996
LAP3	-0.1527
LBR	-0.34204999999999997
LGALS8	-0.5706
LIG1	-0.16339999999999993
LPAR2	-0.30925
LYRM1	-0.20565
MACF1	-0.7672500000000001
MAN2B1	-0.038000000000000006
MAP2K5	-1.0928499999999999
MAP4K4	-0.43474999999999997
MAPK13	-0.7667999999999999
MAPK1IP1L	-1.00175
MAPK9	-0.07755
MAST2	-0.2964
MAT2A	-0.6304
MBNL1	-0.47645
MBNL2	-0.48305
MCM3	-0.12314999999999998
MCOLN1	-0.51985
ME2	-0.35055000000000003
MEF2C	-0.28705
MELK	-0.060950000000000004
MEST	-0.16849999999999998
MFSD10	-0.7763499999999999
MOK	-0.4333
MPZL1	-0.1231
MRPL19	-0.7839
MRPS16	-1.54595
MRPS2	-1.9740499999999999
MSH6	-0.44320000000000004
MSRA	-0.03280000000000005
MTERF3	-0.3522
MUC1	-0.7663
MYBL2	-0.45444999999999997
MYC	-0.12960000000000005
MYCBP	-0.13829999999999998
MYCBP2	-0.01725
MYL9	-0.11695
MYLK	-0.03334999999999999
MYO10	-0.026950000000000002
NARFL	-0.028200000000000003
NCAPD2	-0.1024
NCK1	-1.4187
NCOA3	-0.18190000000000006
NENF	-1.1447
NFATC3	-0.22895000000000001
NFKB2	-0.3325
NGRN	-1.0728
NISCH	-0.31904999999999994
NOL3	-0.4973
NOLC1	-0.3276
NOTCH1	-0.10429999999999999
NR1H2	-0.2839
NR3C1	-0.24525000000000002
NRAS	-0.5272
NUP133	-0.1295
NUP85	-0.19824999999999998
NUP88	-1.38225
NUP93	-0.20550000000000002
NUSAP1	-0.46565
NVL	-0.44835
ORC1	-0.013500000000000012
OXCT1	-0.3769
PACSIN3	-0.028349999999999986
PAFAH1B1	-0.10645
PAICS	-0.6191500000000001
PAK6	-0.3262
PARP1	-0.47700000000000004
PARP2	-1.9916500000000001
PCBD1	-0.34925
PCCB	-1.3227
PDHX	-1.53095
PDLIM1	-0.80935
PECR	-0.5879000000000001
PFKL	-0.4758
PGAM1	-2.364
PGM1	-0.0107
PHKA1	-0.6507000000000001
PHKG2	-0.57965
PIH1D1	-0.19705
PIK3C2B	-0.821
PIK3CA	-0.12159999999999999
PIP4K2B	-0.022899999999999976
PKIG	-0.48530000000000006
PLA2G15	-0.6285000000000001
PLA2G4A	-0.24414999999999998
PLEKHM1	-0.0951
PLK1	-1.2127
PLP2	-0.1563
PLS1	-0.012950000000000017
PLSCR1	-0.37865
PLSCR3	-0.01745000000000002
PMAIP1	-0.33695
PMM2	-0.26475
PNKP	-0.48265
PNP	-0.77465
POLB	-0.7711000000000001
POLE2	-0.3649
POLG2	-0.4496
POLR1C	-0.33115000000000006
POP4	-0.4697
PPP1R13B	-0.31845
PPP2R3C	-1.21215
PPP2R5A	-0.49625
PPP2R5E	-2.4821999999999997
PRAF2	-0.17650000000000002
PRKACA	-0.67965
PRKAG2	-0.1091
PROS1	-0.0943
PRPF4	-0.33225
PRR15L	-0.15645
PRR7	-0.34855
PRSS23	-0.31145
PRUNE	-0.1634
PSIP1	-0.12819999999999998
PSMB10	-0.1959
PSMB8	-0.26685000000000003
PSMD10	-0.46115
PSMD2	-0.7859499999999999
PSMD4	-1.23225
PSME1	-0.37839999999999996
PSME2	-0.28830000000000006
PSMF1	-0.0024500000000000077
PSRC1	-1.2224499999999998
PTK2	-1.38895
PTPN1	-0.13305
PTPRF	-0.01805000000000001
PTPRK	-0.35045000000000004
PWP1	-0.2138
PXN	-0.8501500000000001
PYGL	-0.06670000000000004
RAB11FIP2	-0.7526999999999999
RAB27A	-1.16345
RAC2	-0.24824999999999997
RAD51C	-0.5641999999999999
RAE1	-1.5184
RAI14	-0.4525
RALB	-0.37745
RALGDS	-0.41035
RB1	-0.8148500000000001
RBM6	-0.35514999999999997
RELB	-0.036400000000000016
RFC5	-0.29005
RFNG	-0.9367000000000001
RFX5	-0.4773
RGS2	-2.2558999999999996
RHEB	-0.25565000000000004
RHOA	-0.10305
RNF167	-1.6543999999999999
RNH1	-0.38235
RPA1	-0.659
RPA2	-1.10655
RPA3	-0.14604999999999999
RPIA	-0.33795
RPS5	-0.13384999999999997
RPS6	-0.33135
