Name_GeneSymbol	Value_LogDiffExp
AARS	0.96455
ABCB6	1.1439
ABCF1	0.9076
ABCF3	0.7876500000000001
ABHD4	1.48945
ABL1	0.08650000000000001
ACBD3	1.9745000000000001
ADCK3	0.16395
ADGRE5	0.9374
ADGRG1	0.1931
ADO	0.41685
ADRB2	2.4829
AGL	0.05729999999999999
AKAP8L	0.46395000000000003
AKR7A2	0.7591
AKT1	1.473
ALDOA	0.09900000000000003
ALDOC	0.9301999999999999
AMDHD2	0.8295
ANKRD10	0.8528
ANO10	0.64215
ANXA7	0.04330000000000003
APOE	0.08925
APPBP2	0.35695
ARFIP2	0.1612
ARHGAP1	0.68375
ARHGEF2	0.23274999999999998
ARID4B	0.5924
ARPP19	0.3204
ASAH1	0.68835
ASCC3	0.41945
ATF1	0.16575
ATF5	0.2824
ATF6	0.32645
ATMIN	0.43925
ATP1B1	0.54555
ATP5S	0.10564999999999997
ATP6V0B	1.0176
ATP6V1D	0.9465999999999999
AURKB	1.13215
AXIN1	0.3267
BACE2	0.54585
BAD	2.7626
BAMBI	0.35905
BDH1	1.00905
BECN1	0.3734
BHLHE40	0.28240000000000004
BIRC2	0.07035000000000002
BLCAP	0.63575
BPHL	0.5171000000000001
BRCA1	0.0582
BTK	0.29225
BZW2	0.01630000000000001
C2CD2	0.39165
C2CD2L	0.0414
C2CD5	0.6482000000000001
CAB39	0.09650000000000003
CALU	0.04344999999999999
CANT1	0.2988
CASK	0.01780000000000001
CASP3	0.49895
CAT	0.31845
CBLB	1.9202000000000001
CBR1	0.7789
CBR3	0.009349999999999997
CCDC85B	0.32520000000000004
CCDC92	1.01125
CCL2	0.29515
CCNA1	0.48815000000000003
CCND3	0.53915
CCNE2	0.7564500000000001
CCP110	0.384
CD320	0.26485000000000003
CD58	0.269
CDC25B	0.18315
CDCA4	0.34255
CDK19	0.47905
CDK2	0.005500000000000005
CDK4	0.013000000000000001
CDK5R1	0.16505000000000003
CDKN1A	2.45675
CDKN1B	0.07274999999999993
CEBPA	1.45885
CEP57	0.013850000000000001
CERK	1.6334
CGRRF1	0.0859
CHIC2	2.1216
CHMP4A	0.7745500000000001
