similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	6.4996e-247	58	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	24h	LINCSCP_132156	MCF7
0.7285	9.0411e-11	58	4LY1	LSM-6529	HDAC1|HDAC2	1.11uM	24h	LINCSCP_28575	HT29
0.7252	1.2078e-10	58	MLS002607804	LSM-1875	NA	10uM	24h	LINCSCP_237784	MCF7
0.6897	2.1279e-9	58	BRD-K35002913	LSM-10533	NA	5uM	24h	LINCSCP_34978	MCF7
0.6879	2.4413e-9	58	YM 201636	LSM-1109	NA	1.11uM	24h	LINCSCP_116441	HT29
0.6754	6.054e-9	58	Trichostatin	LSM-43005	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	0.01uM	6h	LINCSCP_36404	MCF7
0.672	7.648e-9	58	PI 3-K/mTOR Inhibitor III, PKI-179	LSM-45478	MTOR|PIK3CA	3.33uM	24h	LINCSCP_118096	HT29
0.6687	9.6401e-9	58	PHA-665752	LSM-42793	MET	1.11uM	24h	LINCSCP_81126	A549
0.6662	1.1431e-8	58	SCHEMBL17052537	LSM-5803	BTK|JAK3|MKNK2|MTOR|PRKDC	1.11uM	24h	LINCSCP_131256	MCF10A
0.6616	1.5698e-8	58	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	6h	LINCSCP_53727	SNU1040
0.6544	2.5254e-8	58	CHEMBL2140960	LSM-41167	NA	10uM	24h	LINCSCP_64956	VCAP
0.6543	2.5399e-8	58	Entinostat	LSM-4811	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.12uM	24h	LINCSCP_28660	HT29
0.6506	3.2271e-8	58	Ricolinostat	LSM-6324	NA	3.33uM	24h	LINCSCP_124919	HT29
0.6502	3.3245e-8	58	Niclosamide	LSM-2787	STAT3	10uM	6h	LINCSCP_50604	PL21
0.6403	6.2334e-8	58	13(S)-HODE	LSM-43243	PPARG	10uM	24h	LINCSCP_6496	A549
0.639	6.7355e-8	58	Broad-Sai-045	LSM-45330	NA	10uM	24h	LINCSCP_20963	HCC515
0.6318	1.0453e-7	58	NU1025	LSM-4643	PARP1	0.5uM	24h	LINCSCP_9719	A549
0.6313	1.0775e-7	58	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_39699	MDST8
0.6308	1.1116e-7	58	Alpelisib	LSM-4256	PIK3CA	3.33uM	3h	LINCSCP_132481	MCF7
0.6301	1.1607e-7	58	Belinostat	LSM-43181	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	1.11uM	24h	LINCSCP_87120	CD34
0.6297	1.1866e-7	58	Elliptecine	LSM-4842	TOP2A|TOP2B	10uM	24h	LINCSCP_6495	A549
0.6295	1.2039e-7	58	MLN-0128	LSM-1206	MTOR	10uM	24h	LINCSCP_117103	HT29
0.6283	1.2929e-7	58	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	0.5uM	24h	LINCSCP_67160	HT29
0.6266	1.4323e-7	58	Pimelic diphenylamide 106	LSM-4808	NA	10uM	24h	LINCSCP_32179	MCF7
0.6259	1.4852e-7	58	Pracinostat	LSM-43290	NA	0.37uM	24h	LINCSCP_125437	HT29
0.6256	1.5151e-7	58	SCHEMBL13991002	LSM-6278	NA	40uM	6h	LINCSCP_12871	DV90
0.6243	1.632e-7	58	Rifaximin	LSM-46032	NA	3.33uM	24h	LINCSCP_140358	MCF7
0.6232	1.7421e-7	58	MLS002264433	LSM-2510	NA	10uM	24h	LINCSCP_57529	VCAP
0.623	1.7668e-7	58	Pracinostat	LSM-43290	NA	0.12uM	24h	LINCSCP_117423	HT29
0.6228	1.7844e-7	58	Triazolothiadiazine, 23	LSM-3093	NA	10uM	24h	LINCSCP_31169	MCF7
0.6161	2.6287e-7	58	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	0.5uM	6h	LINCSCP_311111	VCAP
0.6157	2.6841e-7	58	TORIN1	LSM-1079	MTOR	0.1uM	6h	LINCSCP_11942	BT20
0.6152	2.7739e-7	58	Betaxolol	LSM-1255	ADRB1|ADRB2	10uM	6h	LINCSCP_214410	HCC515
0.6143	2.916e-7	58	SA-1456227	LSM-42676	NA	0.5uM	24h	LINCSCP_254370	MCF7
-0.6134	3.0617e-7	58	L-Sulforaphane	LSM-4919	NFE2L2	10uM	24h	LINCSCP_233245	HT29
