similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	2.2507e-191	51	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_236537	MCF7
0.8094	6.5305e-13	51	CHEMBL1269202	LSM-2000	BCL2	10uM	6h	LINCSCP_22152	HEPG2
0.803	1.3553e-12	51	SA-84869	LSM-41398	NA	3uM	24h	LINCSCP_260401	NKDBA
0.7716	3.4097e-11	51	LDN 193189	LSM-1115	ACVR1|BMPR1A	0.04uM	24h	LINCSCP_81141	A549
0.7697	4.1031e-11	51	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_57034	VCAP
0.7682	4.7019e-11	51	Alvimopan (monohydrate)	LSM-45414	OPRM1	10uM	24h	LINCSCP_175999	YAPC
0.7681	4.7645e-11	51	BRD-K62638625	LSM-12231	NA	5uM	6h	LINCSCP_63456	VCAP
0.7651	6.2998e-11	51	AGK 2	LSM-43196	SIRT2	10uM	6h	LINCSCP_50785	RKO
0.7602	9.8124e-11	51	Elesclomol	LSM-4929	HSPA1A	10uM	6h	LINCSCP_43807	OV7
0.7551	1.5375e-10	51	Nefopam	LSM-1811	NA	10uM	6h	LINCSCP_14532	HA1E
0.7431	4.2533e-10	51	SA-1456977	LSM-41822	NA	3uM	24h	LINCSCP_260931	NKDBA
0.7415	4.8318e-10	51	TGX-115	LSM-6262	NA	100uM	24h	LINCSCP_30603	MCF7
0.7414	4.9004e-10	51	ZINC6718453	LSM-1198	NA	10uM	24h	LINCSCP_117795	HT29
0.7412	4.9724e-10	51	Nifedipine	LSM-4176	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	10uM	6h	LINCSCP_207901	H1299
0.7407	5.1795e-10	51	BAY 59-3074	LSM-2414	CNR1|CNR2	10uM	6h	LINCSCP_220708	HEPG2
0.7389	6.0143e-10	51	AC1NWALF	LSM-1930	ATP1A1	0.37uM	24h	LINCSCP_175739	YAPC
0.7379	6.4892e-10	51	Diflunisal	LSM-2490	PTGS1|PTGS2	10uM	6h	LINCSCP_241803	MCF7
0.737	7.0121e-10	51	Nelarabine	LSM-45931	NA	0.12uM	24h	LINCSCP_108015	HELA
0.7369	7.07e-10	51	CI-218872	LSM-1991	GABRA1	10uM	6h	LINCSCP_220690	HEPG2
0.7301	1.2018e-9	51	GW843682X	LSM-1014	PLK1|PLK3	10uM	6h	LINCSCP_19615	HCC515
0.7256	1.7035e-9	51	Pifithrin	LSM-3485	TP53	70uM	24h	LINCSCP_30602	MCF7
0.7253	1.7505e-9	51	BX471	LSM-45629	NA	1.11uM	24h	LINCSCP_143743	MCF7
0.7247	1.8313e-9	51	AZD5363	LSM-45868	AKT1|AKT2|AKT3	1.11uM	24h	LINCSCP_143791	MCF7
0.7229	2.0909e-9	51	BRD-M54407015	LSM-45045	NA	5uM	24h	LINCSCP_34943	MCF7
0.7224	2.1804e-9	51	AS-605240	LSM-42784	PIK3CG	10uM	24h	LINCSCP_36483	MCF7
0.7223	2.1896e-9	51	PIK-93	LSM-1191	NA	0.37uM	3h	LINCSCP_132423	MCF7
0.7221	2.2221e-9	51	Palbociclib	LSM-1071	CCND1|CDK4|CDK6	10uM	24h	LINCSCP_111637	HEPG2
0.7219	2.263e-9	51	Sirolimus	LSM-42783	FKBP1A|MTOR	1.11uM	24h	LINCSCP_109745	HELA
0.7207	2.4653e-9	51	AC1MVW5E	LSM-4870	NA	10uM	6h	LINCSCP_32321	MCF7
0.72	2.6024e-9	51	BIBR-1532	LSM-43274	TERT	80uM	6h	LINCSCP_13454	H1299
0.7185	2.9077e-9	51	AO-081/42496550	LSM-4846	NA	10uM	24h	LINCSCP_295517	VCAP
