similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_30494	MCF7
0.6144	2.345e-57	540	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_30600	MCF7
0.611	1.4424e-56	540	LRRK2-IN-1	LSM-1086	LRRK2	20uM	24h	LINCSCP_37215	MCF7
0.6106	1.7575e-56	540	GSK 525762A	LSM-6334	NA	10uM	24h	LINCSCP_135950	MCF7
0.6094	3.3553e-56	540	BI-2536	LSM-1041	PLK1	3uM	24h	LINCSCP_38221	MCF7
0.602	1.4829e-54	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_132078	MCF7
0.5894	7.9642e-52	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_37872	MCF7
0.5745	9.4865e-49	540	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_32555	MCF7
0.5663	4.0256e-47	540	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_133254	MCF7
0.5661	4.355e-47	540	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_134001	MCF7
0.562	2.755e-46	540	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_140807	MCF7
0.5572	2.3031e-45	540	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_32520	MCF7
0.5564	3.1985e-45	540	XMD 8-92	LSM-1094	MAPK7	10uM	24h	LINCSCP_133969	MCF7
0.5506	3.886e-44	540	BI-2536	LSM-1041	PLK1	3.33uM	24h	LINCSCP_140808	MCF7
0.5495	6.3652e-44	540	PFI-1	LSM-6331	NA	10uM	24h	LINCSCP_133739	MCF7
0.549	7.7851e-44	540	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_240297	MCF7
0.5481	1.1289e-43	540	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_32443	MCF7
0.5401	3.2176e-42	540	MLS002264436	LSM-2216	NA	10uM	24h	LINCSCP_31128	MCF7
0.5388	5.465e-42	540	GSK 525762A	LSM-6334	NA	10uM	24h	LINCSCP_133787	MCF7
0.5382	7.1194e-42	540	GSK 525762A	LSM-6334	NA	3.33uM	24h	LINCSCP_135951	MCF7
0.5377	8.612e-42	540	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_38219	MCF7
0.5377	8.8008e-42	540	1268524-70-4	LSM-6332	NA	3.33uM	24h	LINCSCP_133710	MCF7
0.5376	9.0603e-42	540	I-BET151	LSM-6335	NA	3.33uM	24h	LINCSCP_133830	MCF7
0.5374	9.9019e-42	540	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_137052	MCF7
0.5361	1.6317e-41	540	Volasertib (BI 6727)	LSM-45277	PLK1	10uM	24h	LINCSCP_142571	MCF7
0.5315	1.0771e-40	540	AZD3514	LSM-45831	AR	10uM	24h	LINCSCP_141413	MCF7
0.5252	1.2988e-39	540	I-BET151	LSM-6335	NA	10uM	24h	LINCSCP_133829	MCF7
0.5249	1.4672e-39	540	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	24h	LINCSCP_30488	MCF7
0.5239	2.148e-39	540	XMD 8-92	LSM-1094	MAPK7	10uM	24h	LINCSCP_32498	MCF7
0.5212	6.116e-39	540	Fedratinib	LSM-1142	FLT3|JAK2	3uM	24h	LINCSCP_253867	MCF7
0.5211	6.3788e-39	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_19295	HCC515
0.5168	3.265e-38	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_25478	HT29
0.5078	9.8981e-37	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37735	MCF7
0.5059	1.9584e-36	540	GSK 525762A	LSM-6334	NA	3.33uM	24h	LINCSCP_133788	MCF7
0.5021	7.8408e-36	540	Fedratinib	LSM-1142	FLT3|JAK2	3.33uM	24h	LINCSCP_132079	MCF7
0.5015	9.8685e-36	540	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	LSM-5046	NA	0.5uM	24h	LINCSCP_38126	MCF7
0.4998	1.8132e-35	540	1268524-70-4	LSM-6332	NA	1.11uM	24h	LINCSCP_133711	MCF7
0.4956	8.0762e-35	540	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	24h	LINCSCP_19289	HCC515
0.4945	1.1997e-34	540	BI-2536	LSM-1041	PLK1	1.11uM	24h	LINCSCP_140809	MCF7
0.4942	1.3287e-34	540	NU-7441	LSM-1061	PRKDC	10uM	24h	LINCSCP_32442	MCF7
0.4936	1.6511e-34	540	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_67543	MCF7
0.4921	2.7982e-34	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37953	MCF7
0.4896	6.6241e-34	540	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	24h	LINCSCP_44891	PC3
0.4892	7.837e-34	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_44899	PC3
0.4877	1.3026e-33	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_37262	MCF7
0.4874	1.4598e-33	540	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	24h	LINCSCP_37003	MCF7
0.487	1.6382e-33	540	GSK-1070916	LSM-1062	AURKB|AURKC	5uM	6h	LINCSCP_38827	MCF7
0.4867	1.8121e-33	540	1268524-70-4	LSM-6332	NA	10uM	24h	LINCSCP_133709	MCF7
0.485	3.2872e-33	540	SCHEMBL16980224	LSM-1092	AURKA	10uM	6h	LINCSCP_32758	MCF7
0.4839	4.8358e-33	540	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	1uM	24h	LINCSCP_37004	MCF7
0.4818	9.9191e-33	540	GSK 525762A	LSM-6334	NA	1.11uM	24h	LINCSCP_133789	MCF7
0.4795	2.1538e-32	540	XMD-1185H	LSM-42731	NA	10uM	24h	LINCSCP_32598	MCF7
0.479	2.54e-32	540	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_252541	MCF7
0.4788	2.7198e-32	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37264	MCF7
0.4777	3.9007e-32	540	BI-2536	LSM-1041	PLK1	0.37uM	24h	LINCSCP_140810	MCF7
0.476	6.9459e-32	540	Volasertib (BI 6727)	LSM-45277	PLK1	3.33uM	24h	LINCSCP_142572	MCF7
0.476	7.0333e-32	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_130667	MCF10A
0.4755	8.0455e-32	540	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	6h	LINCSCP_38824	MCF7
0.4755	8.1282e-32	540	CHEMBL2132717	LSM-40200	NA	10uM	24h	LINCSCP_34141	MCF7
0.4751	9.3615e-32	540	BI-2536	LSM-1041	PLK1	1uM	24h	LINCSCP_38220	MCF7
0.4739	1.3898e-31	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_252338	MCF7
0.4727	2.0976e-31	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_144813	MDAMB231
0.4721	2.5548e-31	540	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_133649	MCF7
0.4718	2.7393e-31	540	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.5uM	24h	LINCSCP_37002	MCF7
0.4716	2.9734e-31	540	BI-2536	LSM-1041	PLK1	3.33uM	24h	LINCSCP_132618	MCF7
0.4702	4.7186e-31	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_37487	MCF7
0.4676	1.1077e-30	540	LRRK2-IN-1	LSM-1086	LRRK2	5uM	24h	LINCSCP_37217	MCF7
0.4662	1.7156e-30	540	Entinostat	LSM-4811	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	24h	LINCSCP_35526	MCF7
0.4644	3.0787e-30	540	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_132881	MCF7
0.4639	3.6115e-30	540	I-BET151	LSM-6335	NA	1.11uM	24h	LINCSCP_133831	MCF7
0.4631	4.5835e-30	540	CHEMBL2132717	LSM-40200	NA	10uM	24h	LINCSCP_37466	MCF7
0.4631	4.7137e-30	540	NU-7441	LSM-1061	PRKDC	10uM	24h	LINCSCP_131880	MCF7
0.4593	1.5391e-29	540	1268524-70-4	LSM-6332	NA	0.37uM	24h	LINCSCP_133712	MCF7
0.4584	2.0332e-29	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_37733	MCF7
0.4575	2.711e-29	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_38237	MCF7
0.4561	4.2039e-29	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_36778	MCF7
0.4558	4.6794e-29	540	MLS002264439	LSM-3154	NA	10uM	24h	LINCSCP_31172	MCF7
0.4556	5.0189e-29	540	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_30830	MCF7
0.4553	5.4752e-29	540	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	3uM	24h	LINCSCP_36251	MCF7
0.4498	2.9423e-28	540	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_132617	MCF7
0.4483	4.7329e-28	540	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	1uM	24h	LINCSCP_36250	MCF7
0.4481	4.9579e-28	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	6h	LINCSCP_30153	MCF7
0.4462	8.8857e-28	540	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_658	A375
0.4461	9.0013e-28	540	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_37951	MCF7
0.4457	1.0277e-27	540	GSK 525762A	LSM-6334	NA	10uM	24h	LINCSCP_119372	HT29
