similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	254	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	24h	LINCSCP_32503	MCF7
0.5863	7.5895e-25	254	MLS002703292	LSM-1480	NA	10uM	24h	LINCSCP_236749	MCF7
0.5533	8.9993e-22	254	SA-96816	LSM-41313	NA	1uM	6h	LINCSCP_37176	MCF7
0.5283	1.1576e-19	254	ASN 05257430	LSM-2975	NA	10uM	6h	LINCSCP_39758	MDST8
0.5203	5.0475e-19	254	SA-84869	LSM-41398	NA	3uM	24h	LINCSCP_260401	NKDBA
0.5148	1.3666e-18	254	SA-89705	LSM-40176	NA	1uM	6h	LINCSCP_37144	MCF7
0.5095	3.5066e-18	254	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	1.11uM	24h	LINCSCP_116519	HT29
0.5068	5.5963e-18	254	BRD-K78268279	LSM-41543	NA	5uM	24h	LINCSCP_28134	HT29
0.4921	6.7388e-17	254	AVL-292	LSM-45948	BTK	3.33uM	24h	LINCSCP_143508	MCF7
0.4745	1.1496e-15	254	BRD-K91729331	LSM-14063	NA	5uM	6h	LINCSCP_63644	VCAP
0.4739	1.2654e-15	254	TAK-715	LSM-1060	MAPK14	10uM	24h	LINCSCP_76457	A375
0.4709	2.0244e-15	254	PH-797804	LSM-36373	MAPK14	0.12uM	24h	LINCSCP_144009	MCF7
0.4683	2.9923e-15	254	SA-1921599	LSM-38768	NA	1uM	24h	LINCSCP_37671	MCF7
0.4647	5.1989e-15	254	CHEMBL2001494	LSM-6630	NA	0.5uM	24h	LINCSCP_253538	MCF7
0.4596	1.1172e-14	254	Erlotinib	LSM-1097	EGFR	0.12uM	3h	LINCSCP_132478	MCF7
0.457	1.6402e-14	254	CX-4945 (Silmitasertib)	LSM-45467	CSNK2A1	0.12uM	24h	LINCSCP_125156	HT29
0.4568	1.6983e-14	254	BRD-K98240084	LSM-14465	NA	5uM	6h	LINCSCP_303441	VCAP
0.4548	2.2749e-14	254	Taltirelin	LSM-45418	NA	0.37uM	24h	LINCSCP_175697	YAPC
0.4545	2.366e-14	254	SA-424534	LSM-37956	NA	10uM	24h	LINCSCP_254219	MCF7
0.4514	3.7212e-14	254	SMR000651449	LSM-3511	NA	10uM	6h	LINCSCP_21240	HCT116
0.4513	3.8005e-14	254	Tacedinaline	LSM-19036	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	5uM	6h	LINCSCP_250341	MCF7
0.449	5.2558e-14	254	GSK 525762A	LSM-6334	NA	1.11uM	24h	LINCSCP_70205	A375
0.4427	1.292e-13	254	BRD-K64930062	LSM-12394	NA	1uM	6h	LINCSCP_253770	MCF7
0.4426	1.3052e-13	254	BRD-K70068608	LSM-41078	NA	10uM	6h	LINCSCP_65508	VCAP
0.4416	1.5022e-13	254	CX-4945 (Silmitasertib)	LSM-45467	CSNK2A1	1.11uM	24h	LINCSCP_173533	YAPC
0.4416	1.5022e-13	254	MLS002276519	LSM-3216	NA	10uM	6h	LINCSCP_57435	VCAP
0.4408	1.6899e-13	254	CHEMBL552425	LSM-1003	DDR1	1.11uM	24h	LINCSCP_82989	ASC.C
0.4368	2.9404e-13	254	Butein	LSM-42896	ACE	10uM	24h	LINCSCP_56257	VCAP
0.4348	3.894e-13	254	O-Demethylated Adapalene	LSM-6237	RARG	0.01uM	24h	LINCSCP_35969	MCF7
0.4328	5.0745e-13	254	SA-1459481	LSM-40557	NA	10uM	24h	LINCSCP_254303	MCF7
0.4325	5.2899e-13	254	Z-Pro-Prolinal	LSM-3340	PREP	10uM	6h	LINCSCP_192962	A549
0.4313	6.284e-13	254	MK-2206	LSM-1057	AKT1|AKT2|AKT3	10uM	6h	LINCSCP_12973	EFO27
0.431	6.5285e-13	254	SA-424828	LSM-14695	NA	1uM	24h	LINCSCP_37220	MCF7
0.4296	7.8698e-13	254	SA-96835	LSM-40537	NA	10uM	24h	LINCSCP_252274	MCF7
0.4292	8.3433e-13	254	Radicicol	LSM-43303	NA	1uM	6h	LINCSCP_30138	MCF7
0.4263	1.2272e-12	254	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_67578	MCF7
0.4254	1.3742e-12	254	SA-1921816	LSM-38983	NA	0.5uM	24h	LINCSCP_38177	MCF7
0.4241	1.6459e-12	254	Isosorbide Mononitrate	LSM-5883	GUCY1A2|GUCY1A3|GUCY1B3	3.33uM	24h	LINCSCP_173598	YAPC
0.422	2.1754000000000002e-12	254	SA-1458163	LSM-36821	NA	1uM	6h	LINCSCP_253402	MCF7
0.4218	2.2372e-12	254	BMS-345541	LSM-1028	IKBKB	10uM	24h	LINCSCP_32459	MCF7
0.4211	2.4517e-12	254	CHEMBL585951	LSM-36386	MAPK8	10uM	24h	LINCSCP_32466	MCF7
0.4207	2.5673e-12	254	BRD-K75322905	LSM-13035	NA	1uM	24h	LINCSCP_37728	MCF7
0.4206	2.6171e-12	254	BRD-K69293497	LSM-12652	NA	5uM	24h	LINCSCP_61073	VCAP
0.4196	2.9897e-12	254	CGS-15943	LSM-3076	ADORA1|ADORA2A|ADORA2B	10uM	24h	LINCSCP_46097	PC3
0.4189	3.2606e-12	254	Oligomycin A	LSM-43272	ATP5A1	10uM	6h	LINCSCP_21146	HCT116
0.4183	3.516e-12	254	3-Aminobenzamide	LSM-4525	NA	40uM	6h	LINCSCP_257094	NCIH2073
0.4172	4.0369e-12	254	Cytochalasin B	LSM-43278	ACTB	10uM	6h	LINCSCP_50777	RKO
0.4163	4.5424e-12	254	BRD-K84976438	LSM-13619	NA	1uM	6h	LINCSCP_252953	MCF7
0.4155	5.0532e-12	254	Methocarbamol	LSM-1453	CA1	10uM	24h	LINCSCP_153462	PC3
0.415	5.3659e-12	254	Hoechst 33258	LSM-45280	NA	3.33uM	24h	LINCSCP_118456	HT29
-0.4144	5.8161e-12	254	Genistein	LSM-5549	CFTR|ESR2	3.33uM	24h	LINCSCP_218134	HCC515
0.4142	5.9806e-12	254	MLS000047258	LSM-4096	NA	10uM	6h	LINCSCP_22264	HEPG2
0.4139	6.2383e-12	254	CHEMBL552425	LSM-1003	DDR1	0.37uM	24h	LINCSCP_69693	A375
0.4136	6.4885e-12	254	NCGC00238543-01	LSM-1522	NA	10uM	6h	LINCSCP_26181	HT29
0.4133	6.6731e-12	254	KM04501	LSM-4464	NA	10uM	24h	LINCSCP_31848	MCF7
0.4106	9.4206e-12	254	SA-1462678	LSM-42032	NA	10uM	6h	LINCSCP_37201	MCF7
0.4103	9.7765e-12	254	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_39707	MDST8
0.4098	1.0534e-11	254	SA-427604	LSM-40023	NA	0.5uM	6h	LINCSCP_37139	MCF7
0.4092	1.1343e-11	254	Tropisetron HCl	LSM-46040	HTR3A	10uM	24h	LINCSCP_238939	MCF7
0.4088	1.1902e-11	254	SA-1919584	LSM-40752	NA	10uM	6h	LINCSCP_37567	MCF7
0.4079	1.3251e-11	254	BRD-K73290601	LSM-12916	NA	5uM	24h	LINCSCP_61277	VCAP
0.406	1.6907e-11	254	331771-20-1	LSM-1096	AURKA|AURKB	10uM	24h	LINCSCP_101040	HCC515
0.4054	1.8203e-11	254	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	3h	LINCSCP_132510	MCF7
0.4048	1.9615e-11	254	MLS000559245	LSM-3942	NA	10uM	24h	LINCSCP_237437	MCF7
0.4047	1.9814e-11	254	Quetiapine	LSM-3543	DRD1|DRD2|HRH1|HTR1A|HTR1D|HTR1E|HTR2A|HTR2C	1.11uM	24h	LINCSCP_174295	YAPC
0.4047	1.9898e-11	254	SA-96816	LSM-41313	NA	10uM	24h	LINCSCP_252316	MCF7
0.404	2.177e-11	254	CHEMBL2359901	LSM-8703	NA	5uM	6h	LINCSCP_61860	VCAP
0.4038	2.22e-11	254	SMR000024485	LSM-42913	NA	10uM	24h	LINCSCP_31586	MCF7
0.4033	2.3721e-11	254	SA-432998	LSM-40721	NA	10uM	24h	LINCSCP_38214	MCF7
0.4025	2.598e-11	254	vincristine	NA	TUBB	3uM	6h	LINCSCP_37757	MCF7
0.4007	3.2613e-11	254	Brefeldin A	LSM-1349	NA	10uM	6h	LINCSCP_55734	VCAP
0.3988	4.1071e-11	254	BMS-345541	LSM-1028	IKBKB	10uM	24h	LINCSCP_132605	MCF7
0.3988	4.1116e-11	254	CHEMBL585951	LSM-36386	MAPK8	10uM	24h	LINCSCP_132779	MCF7
0.3978	4.6233e-11	254	SKF 81297	LSM-1301	DRD1|DRD5	10uM	24h	LINCSCP_13006	FIBRNPC
0.3972	5.0112e-11	254	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_67600	MCF7
0.3954	6.1575e-11	254	STK009254	LSM-1910	INS	3.33uM	24h	LINCSCP_144276	MCF7
0.3951	6.3925e-11	254	BRD-K63947990	LSM-40766	NA	1uM	6h	LINCSCP_38076	MCF7
0.3951	6.4209e-11	254	SA-103013	LSM-42258	NA	1uM	24h	LINCSCP_252778	MCF7
0.3948	6.6532e-11	254	Velnacrine	LSM-1959	NA	10uM	24h	LINCSCP_269	A375
0.3948	6.6712e-11	254	IN1451	LSM-4349	MAPK3	10uM	24h	LINCSCP_32411	MCF7
0.3947	6.7413e-11	254	CHEMBL3182585	LSM-37418	NA	10uM	6h	LINCSCP_37286	MCF7
0.3944	7.0231e-11	254	Parbendazole	LSM-4893	TUBB	1uM	24h	LINCSCP_260711	NKDBA
0.3941	7.2375e-11	254	Vitamin B12	LSM-46022	NA	0.37uM	24h	LINCSCP_144572	MCF7
0.3941	7.2836e-11	254	apigenin	LSM-5206	NA	0.37uM	24h	LINCSCP_144846	MDAMB231
0.394	7.2968e-11	254	BRD-K88363359	LSM-13862	NA	5uM	6h	LINCSCP_308557	VCAP
0.3934	7.8645e-11	254	Cevimeline hydrochloride	LSM-45454	NA	0.37uM	24h	LINCSCP_103898	HELA
0.3927	8.5869e-11	254	Vitinoin	LSM-2135	RARA|RARB|RARG|RORB	3uM	6h	LINCSCP_37766	MCF7
0.3924	8.8564e-11	254	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_13100	FIBRNPC
0.3916	9.7668e-11	254	BRD-K84022666	LSM-13562	NA	3uM	6h	LINCSCP_37196	MCF7
0.3914	1.0014e-10	254	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	10uM	24h	LINCSCP_32133	MCF7
0.3908	1.0801e-10	254	Tyrphostin AG 126	LSM-5752	NA	10uM	24h	LINCSCP_32525	MCF7
0.3902	1.1504e-10	254	Quinine	LSM-42710	KCNN4	10uM	6h	LINCSCP_50880	RKO
0.3896	1.2322e-10	254	BRD-K01282863	LSM-15072	NA	1uM	6h	LINCSCP_254048	MCF7
0.3895	1.2461e-10	254	IC 261	LSM-42870	NA	3uM	6h	LINCSCP_37771	MCF7
0.3887	1.3776e-10	254	CHEMBL2360064	LSM-38576	NA	10uM	24h	LINCSCP_7797	A549
0.3886	1.3895e-10	254	CHEMBL3184084	LSM-41487	NA	10uM	6h	LINCSCP_65064	VCAP
0.388	1.4911e-10	254	79966-13-5	LSM-6665	NA	10uM	6h	LINCSCP_39978	NCIH1836
0.3874	1.5954e-10	254	SA-424764	LSM-14998	NA	0.5uM	24h	LINCSCP_38257	MCF7
0.3871	1.6638e-10	254	BRD-K67794838	LSM-40965	NA	10uM	6h	LINCSCP_279131	PC3
0.3868	1.7262e-10	254	MLS003128609	LSM-3739	NA	10uM	24h	LINCSCP_31201	MCF7
0.3865	1.7852e-10	254	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_67548	MCF7
0.3857	1.9481e-10	254	Tacedinaline	LSM-19036	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	6h	LINCSCP_35571	MCF7
0.3856	1.9763e-10	254	RO 04-6790	LSM-2960	HTR6	10uM	24h	LINCSCP_6870	A549
0.3856	1.9786e-10	254	AM-580	LSM-2132	RARA	10uM	6h	LINCSCP_40045	NCIH2073
0.3847	2.2091e-10	254	Alvocidib	LSM-1011	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM	10uM	24h	LINCSCP_46524	PC3
0.3841	2.3488e-10	254	SA-97110	LSM-37431	NA	0.5uM	6h	LINCSCP_252380	MCF7
0.3841	2.3669e-10	254	Estriol	LSM-2368	ESR1|ESR2	3.33uM	24h	LINCSCP_17439	HA1E
0.3835	2.5168e-10	254	AS601245	LSM-1034	MAPK10|MAPK8|MAPK9	0.5uM	6h	LINCSCP_36575	MCF7
0.3834	2.5572e-10	254	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.1uM	6h	LINCSCP_36037	MCF7
0.3825	2.8226e-10	254	MLS003128610	LSM-3191	NA	10uM	24h	LINCSCP_31174	MCF7
0.3822	2.9318e-10	254	MLS-0004183.0001	LSM-3299	NA	10uM	6h	LINCSCP_177609	A375
