similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.6267	2.7421e-32	283	32703-82-5	LSM-4897	KIF11	40uM	6h	LINCSCP_53620	SNGM
0.5675	1.5851e-25	283	BRD-A81936046	LSM-4484	NA	10uM	6h	LINCSCP_286481	SNGM
0.558	1.4618e-24	283	BRD-K10436544	LSM-45992	NA	10uM	6h	LINCSCP_35561	MCF7
0.5576	1.6044e-24	283	Itrazole	LSM-5032	NA	10uM	6h	LINCSCP_257259	NCIH508
0.5525	5.0926e-24	283	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_143735	MCF7
0.5391	9.7426e-23	283	BRD-K26553253	LSM-38718	NA	10uM	6h	LINCSCP_48872	PC3
0.5391	9.8293e-23	283	Erastin	LSM-4914	VDAC2	5uM	6h	LINCSCP_53973	SW480
0.5208	4.4585e-21	283	Tiaprofenic acid	LSM-1769	PTGS1|PTGS2	10uM	6h	LINCSCP_34559	MCF7
0.5197	5.598e-21	283	W 7	LSM-4021	NA	10uM	24h	LINCSCP_14147	HA1E
0.5173	9.0087e-21	283	CHEMBL2355498	LSM-41978	NA	5uM	24h	LINCSCP_231885	HT29
0.5148	1.4835e-20	283	Cromakalim	LSM-1794	KCNJ8	10uM	6h	LINCSCP_7135	A549
0.5091	4.6017e-20	283	Cytochalasin B	LSM-43278	ACTB	10uM	6h	LINCSCP_40065	NCIH2073
0.5077	5.9884e-20	283	MLS002264439	LSM-3154	NA	10uM	24h	LINCSCP_31172	MCF7
0.5051	9.8901e-20	283	Benzydamine	LSM-5423	NA	10uM	24h	LINCSCP_134698	MCF7
0.5008	2.267e-19	283	BRD-K97095445	LSM-42531	NA	5uM	24h	LINCSCP_249133	MCF7
0.4997	2.8061e-19	283	CHEMBL2132289	LSM-1044	RPS6KA3	1.11uM	24h	LINCSCP_152235	PC3
-0.4894	1.9042e-18	283	GSK-J1	LSM-44939	NA	0.37uM	24h	LINCSCP_164638	SKL.C
0.4886	2.1908e-18	283	Thiothixene	LSM-43048	HTR2A	3.33uM	24h	LINCSCP_144090	MCF7
0.485	4.2328e-18	283	PG 490	LSM-6185	NA	0.1uM	6h	LINCSCP_39838	NCIH1694
0.4783	1.3763e-17	283	BRD-K34974324	LSM-39184	NA	10uM	24h	LINCSCP_64893	VCAP
0.4737	3.1209e-17	283	Linoleoylethanolamide	LSM-43037	CNR1|CNR2|TRPV1	10uM	6h	LINCSCP_220811	HEPG2
0.4695	6.4077e-17	283	BRD-K95985487-001-01-3	LSM-36800	NA	0.01uM	6h	LINCSCP_288251	THP1
0.4692	6.7719e-17	283	Praziquantel	LSM-1387	NA	10uM	24h	LINCSCP_6747	A549
0.4678	8.5426e-17	283	Ubenimex	LSM-3323	LTA4H|RNPEP	10uM	24h	LINCSCP_105963	HELA
0.4604	2.9506e-16	283	BRD-K41129365	LSM-39542	NA	5uM	24h	LINCSCP_8145	A549
0.46	3.1513e-16	283	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_250983	MCF7
0.46	3.1676e-16	283	CHEMBL1242477	LSM-6208	PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.5uM	24h	LINCSCP_9191	A549
0.4582	4.243e-16	283	M3M3FBS	LSM-2196	PLCB2|PLCB3|PLCD1|PLCG1|PLCG2	80uM	6h	LINCSCP_41847	NOMO1
0.4555	6.6548e-16	283	BRD-K68906258	LSM-44835	NA	5uM	24h	LINCSCP_229718	HT29
