similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8151	1.0162e-128	536	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_37872	MCF7
0.7385	1.8108e-93	536	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_36778	MCF7
0.7343	6.8785e-92	536	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_30494	MCF7
0.6818	1.6003e-74	536	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_132078	MCF7
0.6576	1.0739e-67	536	LRRK2-IN-1	LSM-1086	LRRK2	20uM	24h	LINCSCP_37215	MCF7
0.645	2.2332e-64	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37735	MCF7
0.6286	2.7211e-60	536	Fedratinib	LSM-1142	FLT3|JAK2	3uM	24h	LINCSCP_253867	MCF7
0.6163	2.2323e-57	536	BI-2536	LSM-1041	PLK1	3uM	24h	LINCSCP_38221	MCF7
0.6101	5.8646e-56	536	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_134001	MCF7
0.6022	3.4020000000000003e-54	536	XMD-1185H	LSM-42731	NA	10uM	24h	LINCSCP_32598	MCF7
0.5997	1.1972e-53	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_67489	MCF7
0.599	1.6655e-53	536	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_140807	MCF7
0.5989	1.7686e-53	536	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_38219	MCF7
0.5956	9.0256e-53	536	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_32520	MCF7
0.5902	1.2981e-51	536	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_133254	MCF7
0.5831	3.8427e-50	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37264	MCF7
0.5805	1.3155e-49	536	SCHEMBL16980224	LSM-1092	AURKA	10uM	6h	LINCSCP_32758	MCF7
0.5799	1.7598e-49	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	24h	LINCSCP_37263	MCF7
0.5768	7.5118e-49	536	H89	LSM-42924	PRKACA	10uM	24h	LINCSCP_7302	A549
0.5752	1.5509e-48	536	NU-7441	LSM-1061	PRKDC	10uM	24h	LINCSCP_32442	MCF7
0.5747	1.9438e-48	536	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_132881	MCF7
0.5714	9.0264e-48	536	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_32443	MCF7
0.5691	2.4603e-47	536	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_30600	MCF7
0.5655	1.2752e-46	536	CHEMBL1222381	LSM-6252	NA	80uM	6h	LINCSCP_21216	HCT116
0.5652	1.4427e-46	536	apigenin	LSM-5206	NA	3.33uM	24h	LINCSCP_132109	MCF7
0.5652	1.4589e-46	536	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_240297	MCF7
0.5624	4.907e-46	536	I-BET151	LSM-6335	NA	10uM	24h	LINCSCP_133829	MCF7
0.56	1.4463e-45	536	XMD 8-92	LSM-1094	MAPK7	10uM	24h	LINCSCP_133969	MCF7
0.558	3.349e-45	536	XMD-16144	LSM-42717	NA	10uM	24h	LINCSCP_32591	MCF7
0.5576	4.1291e-45	536	PFI-1	LSM-6331	NA	10uM	24h	LINCSCP_133739	MCF7
0.5556	9.8045e-45	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_37262	MCF7
0.5536	2.2494e-44	536	MLS002264436	LSM-2216	NA	10uM	24h	LINCSCP_31128	MCF7
0.5534	2.4432e-44	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37489	MCF7
0.5517	5.1266e-44	536	GSK 525762A	LSM-6334	NA	10uM	24h	LINCSCP_133787	MCF7
0.5516	5.2875e-44	536	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	1uM	24h	LINCSCP_37004	MCF7
0.5513	6.0007e-44	536	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	24h	LINCSCP_238749	MCF7
0.5512	6.3787e-44	536	Trichostatin	LSM-43005	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	0.1uM	6h	LINCSCP_35827	MCF7
0.5506	8.2983e-44	536	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_252541	MCF7
0.5491	1.5596e-43	536	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_132617	MCF7
0.5461	5.5046e-43	536	BI-2536	LSM-1041	PLK1	3.33uM	24h	LINCSCP_140808	MCF7
0.5446	9.9957e-43	536	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	6h	LINCSCP_32725	MCF7
0.5444	1.1151e-42	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	24h	LINCSCP_37488	MCF7
0.5397	7.5201e-42	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	24h	LINCSCP_37734	MCF7
0.5381	1.4717e-41	536	I-BET151	LSM-6335	NA	1.11uM	24h	LINCSCP_133831	MCF7
0.5377	1.6855e-41	536	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	LSM-5046	NA	0.5uM	24h	LINCSCP_38126	MCF7
0.5376	1.8211e-41	536	Scriptaid	LSM-2499	HDAC1	3uM	24h	LINCSCP_36264	MCF7
0.5373	2.0232e-41	536	LRRK2-IN-1	LSM-1086	LRRK2	20uM	6h	LINCSCP_37283	MCF7
0.5323	1.5104e-40	536	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.5uM	24h	LINCSCP_37002	MCF7
0.532	1.7056e-40	536	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_39370	MDAMB231
0.532	1.7081e-40	536	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	24h	LINCSCP_37047	MCF7
0.5316	1.9809e-40	536	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_25796	HT29
0.5315	2.1045e-40	536	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	0.1uM	24h	LINCSCP_67385	MCF7
0.5313	2.2379e-40	536	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	0.1uM	24h	LINCSCP_67202	HT29
