signatureid	compound	similarity
LINCSCP_143735	Chloroquine	1
LINCSCP_278843	BRD-K48505466	0.7166
LINCSCP_25081	HSCI1_000314	0.7081
LINCSCP_228092	BRD-K09459434	0.7051
LINCSCP_143336	Etodolac	0.6999
LINCSCP_236800	CHEMBL1269896	0.6903
LINCSCP_58428	BRD-K90446118	0.6763
LINCSCP_58550	GANT-61	0.6649
LINCSCP_65415	CHEMBL2355346	0.6634
LINCSCP_238822	Famotidine	0.6617
LINCSCP_237860	SCHEMBL2557982	0.6584
LINCSCP_35681	3-Aminobenzamide	0.6545
LINCSCP_243501	Captopril	0.6524
LINCSCP_101652	GLPG0634	0.6518
LINCSCP_235786	Piperidolate	0.6457
LINCSCP_233522	Wortmannin	0.6429
LINCSCP_84398	AZD-1775	0.6405
LINCSCP_61382	BRD-K89284683	0.6389
LINCSCP_139225	Cilengitide	0.6371
LINCSCP_128592	Motesanib	0.6365
LINCSCP_128031	Tivozanib	0.635
LINCSCP_288251	BRD-K95985487-001-01-3	0.6347
LINCSCP_75375	MK-0773	0.6327
LINCSCP_26332	Vesamicol	0.6307
LINCSCP_61326	CHEMBL2361691	0.6296
LINCSCP_294473	Latrunculin B	0.6294
LINCSCP_233134	BRD-K55194575	0.6283
LINCSCP_31329	MLS002264469	0.6266
LINCSCP_240312	59826-53-8	0.6251
LINCSCP_214732	Clofibrate	0.6227
LINCSCP_255039	Estriol	0.6219
LINCSCP_251071	BRD32048	0.6216
LINCSCP_257341	Skiii	0.6214
LINCSCP_30978	MLS001065866	0.6212
LINCSCP_289127	Cytosporone B	0.6197
LINCSCP_116706	Linifanib	0.6174
LINCSCP_76201	CIANIDANOL	0.6171
LINCSCP_257337	Gallocatechin Gallate	0.6154
LINCSCP_55117	MLS000589843	0.6147
LINCSCP_40377	NSC95397	0.6143
LINCSCP_21150	Thalidomide	0.6131
LINCSCP_7466	Valyltryptophan	0.6115
LINCSCP_106056	BRD-A96746500	0.6095
LINCSCP_111056	Etanidazole	0.6092
LINCSCP_132926	GW843682X	0.6083
LINCSCP_110946	Hesperidin	0.6082
LINCSCP_84538	UNC 669	0.6061
LINCSCP_110026	salsoline	0.6058
LINCSCP_103714	Tonabersat	0.6046
LINCSCP_32421	TGX 221	0.603
LINCSCP_259206	BRD-K20126873	0.603
LINCSCP_257016	16,16-Dimethyl prostaglandin e2	0.6029
LINCSCP_21230	SCHEMBL14379041	0.6004
LINCSCP_239562	MLS000583956	0.599
LINCSCP_54605	9-Cis retinol	0.599
LINCSCP_75790	Targinine	0.5989
LINCSCP_250741	CHEMBL416418	0.5974
LINCSCP_6195	STOCK1S-03920	0.5953
LINCSCP_37430	SA-1919875	0.5947
LINCSCP_34862	MLS003128853	0.5944
LINCSCP_73860	Ampalex	0.5943
LINCSCP_250450	Thioridazine	0.5928
LINCSCP_31227	MLS003126522	0.5926
LINCSCP_58573	HMS1476K01	0.5924
LINCSCP_249756	BRD-K31949858	0.5924
LINCSCP_57098	Lexibulin	0.5919
LINCSCP_163567	PD-0325901	0.5912
