signatureid	compound	similarity
LINCSCP_143837	Lopinavir	1
LINCSCP_143953	Diosmin	0.5045
LINCSCP_237352	MLS002264492	0.4552
LINCSCP_29174	Rucaparib	0.4351
LINCSCP_29308	MLS000709026	0.4182
LINCSCP_152381	844499-71-4	0.4167
LINCSCP_98780	NKP608	0.4019
LINCSCP_132266	Enzastaurin	0.4018
LINCSCP_127816	Asenapine maleate	0.3921
LINCSCP_144044	Pyrilamine	0.3887
LINCSCP_116017	Radicicol	0.3886
LINCSCP_162462	DIMINAZENE ACETURATE	0.3885
LINCSCP_32754	NSC650841	0.3835
LINCSCP_82989	CHEMBL552425	0.3828
LINCSCP_144328	Dexamethasone Acetate	0.3817
LINCSCP_178778	Nateglinide	0.3786
LINCSCP_144497	Deferasirox	0.3776
LINCSCP_307183	BRD-K96543798-001-02-1	0.3774
LINCSCP_103898	Cevimeline hydrochloride	0.3771
LINCSCP_31367	SMR000031368	0.3714
LINCSCP_133065	BMS-387032	0.3694
LINCSCP_1955	Enalaprilat	0.3665
LINCSCP_49576	ML162	0.3643
LINCSCP_140224	Amidate	0.3642
LINCSCP_178625	Medroxyprogesterone	0.3638
LINCSCP_178771	Artemether	0.3629
LINCSCP_36428	Alvocidib	0.357
LINCSCP_45176	Capsaicin	0.3563
LINCSCP_29110	CHEMBL1242477	0.3561
LINCSCP_273061	Gefitinib	0.355
LINCSCP_20886	Broad-Sai-686	0.3539
LINCSCP_63952	BRD-K91892860	0.3519
LINCSCP_162362	Tanaproget	0.3515
LINCSCP_48869	CHEMBL2358401	0.3505
LINCSCP_54706	Quinine	0.3483
LINCSCP_267705	GW9508	0.3467
LINCSCP_2475	AC1M08Y6	0.3467
LINCSCP_223113	(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one	0.3463
LINCSCP_48836	BRD-K86265745	0.3463
LINCSCP_132981	Pictilisib	0.3462
LINCSCP_30659	MLS000106215	0.3459
LINCSCP_84481	GSK-J1	0.3459
LINCSCP_218442	BRD-A43331270-001-01-6	0.3458
LINCSCP_224027	BMS 641988	0.3432
LINCSCP_26904	Levonorgestrel	0.341
LINCSCP_49125	BRD-K36091499	0.3407
LINCSCP_144019	FPL-55712	0.3403
LINCSCP_32957	Pantoprazole	0.34
LINCSCP_17633	LE-135	0.34
LINCSCP_207758	Mesoridazine	0.3396
LINCSCP_127909	Pirfenidone	0.3395
LINCSCP_40239	114798-26-4	0.339
LINCSCP_127669	Gibberellin A3	0.339
LINCSCP_143660	EPTIFIBATIDE	0.339
LINCSCP_23863	Diethylstilbestrol	0.3385
LINCSCP_144446	Etanidazole	0.338
LINCSCP_237862	MLS002391491	0.3371
LINCSCP_223968	Naltrexone	0.337
LINCSCP_234742	Flutamide	0.3354
LINCSCP_131153	Sorafenib	0.3345
LINCSCP_127547	NIKETHAMIDE	0.3339
LINCSCP_84502	UNC1215	0.3339
LINCSCP_54919	3-(4-Pyridyl)indole	0.3336
LINCSCP_223019	Tamatinib	0.3334
LINCSCP_48370	BRD-K68190084	0.3334
LINCSCP_163465	Momelotinib	0.3332
LINCSCP_37541	Lestaurtinib	0.3328
LINCSCP_99327	Piperidolate	0.3325
LINCSCP_97146	Glycopyrrolate	0.3324
LINCSCP_132802	Sirolimus	0.3319
LINCSCP_26181	NCGC00238543-01	0.3316
LINCSCP_32664	Lithocholic acid	0.3312
LINCSCP_7104	Meadacid	0.3309
LINCSCP_32690	CHEMBL1612418	0.3308
LINCSCP_45006	BML-259	0.3305
LINCSCP_150249	EMF-sumo1-1	0.3304
LINCSCP_178667	Dexlansoprazole	0.3302
LINCSCP_48860	CHEMBL2357518	0.3302
LINCSCP_127193	Hexachlorophene	0.3298
LINCSCP_144286	Tirapazamine	0.3297
LINCSCP_131128	C19H19FN4O3	0.3294
LINCSCP_143960	Trapidil	0.3293
LINCSCP_307613	BRD-K84636160	0.3282
LINCSCP_251459	GSK-461364	0.3277
LINCSCP_255174	MLN-8054	0.3276
LINCSCP_6832	Glipizide	0.3272
LINCSCP_2390	AZD-6482	0.3271
LINCSCP_178722	Parecoxib	0.3266
LINCSCP_30451	IN1549	0.3255
LINCSCP_32798	THZ-2-98-01	0.325
