signatureid	compound	similarity
LINCSCP_143837	Lopinavir	1
LINCSCP_237352	MLS002264492	0.5272
LINCSCP_307183	BRD-K96543798-001-02-1	0.4504
LINCSCP_82989	CHEMBL552425	0.4466
LINCSCP_132266	Enzastaurin	0.4424
LINCSCP_131153	Sorafenib	0.429
LINCSCP_29174	Rucaparib	0.4281
LINCSCP_34978	BRD-K35002913	0.4207
LINCSCP_47480	Clofilium	0.4171
LINCSCP_20886	Broad-Sai-686	0.4111
LINCSCP_207758	Mesoridazine	0.4074
LINCSCP_144523	Pranlukast	0.4057
LINCSCP_251459	GSK-461364	0.3981
LINCSCP_63644	BRD-K91729331	0.3965
LINCSCP_54748	3,7-Bis(dimethylamino)phenothiazin-5-ium	0.3958
LINCSCP_23863	Diethylstilbestrol	0.3958
LINCSCP_163121	Trametinib	0.3957
LINCSCP_144328	Dexamethasone Acetate	0.395
LINCSCP_140224	Amidate	0.3941
LINCSCP_227947	Bromfenac	0.3902
LINCSCP_237256	VU0413807-2	0.3881
LINCSCP_10548	Calcitriol	0.3877
LINCSCP_50777	Cytochalasin B	0.3853
LINCSCP_48869	CHEMBL2358401	0.3849
LINCSCP_147262	CC-401	0.3831
LINCSCP_43789	N9-Isopropylolomoucine	0.3828
LINCSCP_307613	BRD-K84636160	0.3827
LINCSCP_238910	Artemether	0.3785
LINCSCP_144044	Pyrilamine	0.3785
LINCSCP_7104	Meadacid	0.3755
LINCSCP_63952	BRD-K91892860	0.3744
LINCSCP_132337	AZD-8330	0.3744
LINCSCP_152381	844499-71-4	0.3741
LINCSCP_69192	PIK-93	0.3713
LINCSCP_192140	Procaterol	0.3703
LINCSCP_137373	Nefazodone	0.3698
LINCSCP_117051	Rebastinib	0.3689
LINCSCP_259152	Wortmannin	0.3684
LINCSCP_12138	SCHEMBL16065773	0.3673
LINCSCP_62460	BRD-K51368089	0.367
LINCSCP_28088	BRD-K53475565	0.3653
LINCSCP_94395	ABT737	0.3639
LINCSCP_209665	Fluoxetine	0.3632
LINCSCP_12953	GMX1778	0.3631
LINCSCP_31367	SMR000031368	0.363
LINCSCP_237784	MLS002607804	0.3625
LINCSCP_54777	UK 356618	0.362
LINCSCP_259103	BRD-K86048057	0.3617
LINCSCP_10571	BX-795	0.3607
LINCSCP_156114	AT-7519	0.3606
LINCSCP_162839	Dasatinib	0.3598
LINCSCP_132947	Tamatinib	0.3588
LINCSCP_237325	KUC103670	0.358
LINCSCP_63649	BRD-K96640402	0.3572
LINCSCP_178778	Nateglinide	0.3572
LINCSCP_260708	Manumycin-A	0.3558
LINCSCP_116017	Radicicol	0.3555
LINCSCP_6874	TOCRIS-0930	0.354
LINCSCP_103898	Cevimeline hydrochloride	0.3527
LINCSCP_31306	CID 46937236	0.3521
LINCSCP_49576	ML162	0.3506
LINCSCP_132344	Buparlisib	0.3504
LINCSCP_52563	Pyrazolanthrone	0.3504
LINCSCP_149984	Ricolinostat	0.3503
LINCSCP_35571	Tacedinaline	0.35
LINCSCP_150249	EMF-sumo1-1	0.3491
LINCSCP_273061	Gefitinib	0.3489
LINCSCP_80718	Tirapazamine	0.3486
LINCSCP_54718	PK-11195	0.348
LINCSCP_31769	138402-11-6	0.3479
LINCSCP_143520	Momelotinib	0.3467
LINCSCP_236842	CHEMBL1405981	0.3462
LINCSCP_12815	PP-30	0.3461
LINCSCP_10351	COT-10B	0.3458
LINCSCP_303441	BRD-K98240084	0.3447
LINCSCP_48370	BRD-K68190084	0.3447
LINCSCP_116083	EX-8678	0.3443
LINCSCP_137255	Benzamil	0.343
LINCSCP_132226	AKT Inhibitor VIII	0.3427
LINCSCP_80571	NIKETHAMIDE	0.3423
LINCSCP_256712	GSK-2334470	0.3421
LINCSCP_55033	Veliparib	0.3418
