signatureid	compound	similarity
LINCSCP_143837	Lopinavir	1
LINCSCP_29308	MLS000709026	0.7863
LINCSCP_237352	MLS002264492	0.6752
LINCSCP_143953	Diosmin	0.6611
LINCSCP_307613	BRD-K84636160	0.6533
LINCSCP_98780	NKP608	0.636
LINCSCP_144044	Pyrilamine	0.6348
LINCSCP_111765	Radicicol	0.6343
LINCSCP_162748	Piperidolate	0.6318
LINCSCP_45895	Benzbromarone	0.6301
LINCSCP_162462	DIMINAZENE ACETURATE	0.6287
LINCSCP_54748	3,7-Bis(dimethylamino)phenothiazin-5-ium	0.627
LINCSCP_116858	CHEMBL1673039	0.6268
LINCSCP_162248	Amiprilose hydrochloride	0.6257
LINCSCP_31769	138402-11-6	0.6131
LINCSCP_271117	Apigenin	0.6122
LINCSCP_307183	BRD-K96543798-001-02-1	0.6122
LINCSCP_53783	SCH-79797	0.6117
LINCSCP_65363	BRD-K90234489	0.6087
LINCSCP_27167	rilmenidine	0.6073
LINCSCP_80747	Lamotrigine	0.605
LINCSCP_12524	M3M3FBS	0.6049
LINCSCP_223968	Naltrexone	0.6037
LINCSCP_29174	Rucaparib	0.6022
LINCSCP_144328	Dexamethasone Acetate	0.5994
LINCSCP_238988	Trazodone	0.5989
LINCSCP_127816	Asenapine maleate	0.5985
LINCSCP_111652	MK-2206	0.5943
LINCSCP_223019	Tamatinib	0.593
LINCSCP_25354	QX-222	0.5903
LINCSCP_85428	Momelotinib	0.5892
LINCSCP_39839	4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione	0.5877
LINCSCP_36244	Arachidonyl Trifluoromethylketone	0.5872
LINCSCP_21186	STK151112	0.5814
LINCSCP_63952	BRD-K91892860	0.576
LINCSCP_227947	Bromfenac	0.5746
LINCSCP_127794	Suvorexant (MK-4305)	0.5738
LINCSCP_63638	BRD-K82234732	0.5732
LINCSCP_111082	IPRATROPIUM BROMIDE	0.5724
LINCSCP_12195	Amuvatinib	0.5714
LINCSCP_1955	Enalaprilat	0.5703
LINCSCP_63938	BRD-K42634310	0.5697
LINCSCP_49151	BRD-K56621049	0.5692
LINCSCP_64150	BRD-K04411796	0.5689
LINCSCP_260608	SA-103150	0.5675
LINCSCP_118753	VGX-1027	0.5653
LINCSCP_70526	301836-43-1	0.5647
LINCSCP_110509	Thalidomide	0.5635
LINCSCP_162266	Ranolazine	0.5629
LINCSCP_238910	Artemether	0.5629
LINCSCP_48611	BRD-K06574200	0.5625
LINCSCP_17204	Avicin-G	0.5621
LINCSCP_49576	ML162	0.5612
LINCSCP_3203	BRD-K77750380	0.5611
LINCSCP_125641	Birinapant	0.5608
LINCSCP_14927	NS1619	0.5602
LINCSCP_126157	Valrubicin	0.56
LINCSCP_5732	Amlexanox	0.5599
LINCSCP_132337	AZD-8330	0.5594
LINCSCP_63340	BRD-K12382140	0.5593
