ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
8349	HIST2H2BE	6.4536	3.57e-9
8503	PIK3R3	6.0624	4.4738e-8
3638	INSIG1	5.8792	4.9148e-8
23014	FBXO21	3.4247	1.2976e-7
1831	TSC22D3	4.2001	2.4921e-7
51170	HSD17B11	3.4169	3.1157e-7
5777	PTPN6	5.2429	3.3787e-7
6659	SOX4	3.556	3.9359e-7
23588	KLHDC2	3.1489	4.2576e-7
230	ALDOC	5.6334	4.7147e-7
4303	FOXO4	5.9099	5.5226e-7
4043	LRPAP1	5.4548	5.6859e-7
10099	TSPAN3	4.2278	9.7868e-7
5096	PCCB	2.8012	1.2198e-6
79090	TRAPPC6A	3.0955	1.2551e-6
85236	HIST1H2BK	2.6898	1.3625e-6
9467	SH3BP5	3.342	1.4232e-6
2309	FOXO3	3.343	1.7206e-6
2896	GRN	3.9497	3.0485e-6
23670	TMEM2	6.683	3.0511e-6
3800	KIF5C	3.3492	3.1103e-6
291	SLC25A4	4.1051	3.4397e-6
6253	RTN2	2.3285	3.672e-6
8895	CPNE3	3.9113	3.7619e-6
55256	ADI1	2.2994	4.7963e-6
6812	STXBP1	4.9474	5.7022e-6
57804	POLD4	2.5151	6.0845e-6
51160	VPS28	2.3072	6.5162e-6
80212	CCDC92	3.255	7.8598e-6
9276	COPB2	2.4143	8.7704e-6
2745	GLRX	6.4443	8.8464e-6
51382	ATP6V1D	3.3347	9.6546e-6
5641	LGMN	3.954	0
481	ATP1B1	3.0823	0
10681	GNB5	4.2633	0
9552	SPAG7	3.329	0
8878	SQSTM1	2.5658	0
8444	DYRK3	2.473	0
3551	IKBKB	2.2447	0
23585	TMEM50A	4.338	0
26993	AKAP8L	1.7699	0
9650	MTFR1	2.384	0
2771	GNAI2	2.3334	0
23077	MYCBP2	4.4865	0
4125	MAN2B1	1.924	0
8574	AKR7A2	3.0566	0
5770	PTPN1	2.3794	0
54386	TERF2IP	2.267	0
3693	ITGB5	3.4729	0
1514	CTSL	2.1549	0
24149	ZNF318	2.7667	0
9097	USP14	2.3366	0
6709	SPTAN1	2.7294	0
5289	PIK3C3	2.6568	0
3988	LIPA	4.3834	0
23325	KIAA1033	4.7311	0
7020	TFAP2A	1.8328	0
51070	NOSIP	1.9133	0
25987	TSKU	2.8623	0
8678	BECN1	3.2791	0
9961	MVP	2.3535	0
81544	GDPD5	3.9897	0
847	CAT	4.3382	0
6894	TARBP1	2.0583	0
10513	APPBP2	2.7883	0
25805	BAMBI	2.4184	0
102	ADAM10	1.935	0
55818	KDM3A	2.4399	1e-4
6622	SNCA	2.215	1e-4
51466	EVL	1.513	1e-4
11230	PRAF2	2.9052	1e-4
501	ALDH7A1	1.9207	1e-4
5997	RGS2	3.0009	1e-4
50813	COPS7A	1.6802	1e-4
9924	PAN2	1.8758	1e-4
8720	MBTPS1	2.3039	1e-4
665	BNIP3L	4.5628	1e-4
9697	TRAM2	3.7362	1e-4
10765	KDM5B	1.8897	1e-4
5048	PAFAH1B1	2.4372	1e-4
55129	ANO10	1.9118	1e-4
51282	SCAND1	2.2124	1e-4
26020	LRP10	2.17	1e-4
47	ACLY	2.4915	1e-4
5900	RALGDS	1.5445	1e-4
25976	TIPARP	2.24	1e-4
10013	HDAC6	2.6817	1e-4
3482	IGF2R	2.1072	1e-4
5715	PSMD9	1.9149	1e-4
27244	SESN1	1.6486	1e-4
9686	VGLL4	1.5724	1e-4
1153	CIRBP	2.885	1e-4
64781	CERK	2.0151	1e-4
79921	TCEAL4	1.4535	1e-4
22883	CLSTN1	2.148	1e-4
10123	ARL4C	1.9239	1e-4
10221	TRIB1	1.3324	1e-4
4817	NIT1	2.4627	1e-4
2534	FYN	2.7994	2e-4
1026	CDKN1A	1.4061	2e-4
351	APP	2.0405	2e-4
5423	POLB	2.2817	2e-4
51385	ZNF589	2.13	2e-4
1950	EGF	1.473	2e-4
4792	NFKBIA	1.3406	2e-4
1398	CRK	1.6375	2e-4
5480	PPIC	1.5089	2e-4
4794	NFKBIE	1.3954	2e-4
1676	DFFA	1.7374	2e-4
3480	IGF1R	1.2642	2e-4
3725	JUN	2.5799	2e-4
10057	ABCC5	2.936	2e-4
5357	PLS1	1.5522	3e-4
2769	GNA15	1.8476	3e-4
5498	PPOX	1.8491	3e-4
3895	KTN1	1.2686	3e-4
670	BPHL	1.5684	3e-4
23335	WDR7	1.3537	3e-4
51569	UFM1	1.5727	3e-4
2548	GAA	1.8551	3e-4
2064	ERBB2	2.4166	3e-4
9267	CYTH1	1.9336	3e-4
3303	HSPA1A	1.1881	3e-4
6772	STAT1	1.3411	3e-4
868	CBLB	1.9874	3e-4
9813	EFCAB14	1.5346	4e-4
9854	C2CD2L	1.6902	4e-4
56997	ADCK3	1.9244	4e-4
55847	CISD1	1.5496	4e-4
66008	TRAK2	2.6536	4e-4
178	AGL	1.7652	4e-4
5899	RALB	1.4298	4e-4
1891	ECH1	1.8468	4e-4
813	CALU	1.2839	4e-4
23326	USP22	1.1982	5e-4
10398	MYL9	1.212	5e-4
79143	MBOAT7	1.1363	5e-4
5782	PTPN12	1.696	6e-4
22841	RAB11FIP2	1.5326	6e-4
10206	TRIM13	1.6779	6e-4
2222	FDFT1	1.7638	7e-4
55958	KLHL9	1.5954	7e-4
4313	MMP2	1.35	7e-4
56889	TM9SF3	1.4991	7e-4
9690	UBE3C	1.9167	8e-4
9988	DMTF1	1.5906	8e-4
9261	MAPKAPK2	1.3091	8e-4
8804	CREG1	2.3889	8e-4
23038	WDTC1	4.6097	8e-4
23659	PLA2G15	1.1147	8e-4
1647	GADD45A	1.083	8e-4
5993	RFX5	1.3773	8e-4
10273	STUB1	1.6453	9e-4
1845	DUSP3	1.0281	9e-4
7319	UBE2A	1.3196	9e-4
23300	ATMIN	1.5403	0.001
10180	RBM6	1.9586	0.001
58533	SNX6	2.1784	0.001
1829	DSG2	1.2281	0.001
427	ASAH1	1.6639	0.0011
11284	PNKP	1.6629	0.0011
6251	RSU1	1.1401	0.0011
2954	GSTZ1	1.6662	0.0011
1454	CSNK1E	1.832	0.0011
29978	UBQLN2	1.3302	0.0012
3156	HMGCR	2.0629	0.0013
7296	TXNRD1	1.534	0.0013
9710	KIAA0355	3.8099	0.0013
27109	ATP5S	2.1543	0.0013
11188	NISCH	1.1978	0.0014
3486	IGFBP3	1.7024	0.0014
5300	PIN1	1.2033	0.0014
7158	TP53BP1	1.3993	0.0015
10146	G3BP1	1.3441	0.0016
8446	DUSP11	1.464	0.0017
348	APOE	1.7896	0.0017
54850	FBXL12	1.2692	0.0018
5525	PPP2R5A	1.3491	0.0018
23200	ATP11B	2.3526	0.002
6657	SOX2	1.2179	0.002
26036	ZNF451	1.218	0.002
57406	ABHD6	1.1068	0.002
836	CASP3	0.9721	0.002
5788	PTPRC	1.2335	0.0021
4609	MYC	1.1112	0.0021
6774	STAT3	1.3973	0.0021
644	BLVRA	1.3603	0.0021
5720	PSME1	1.4636	0.0021
2263	FGFR2	1.7406	0.0022
5547	PRCP	1.1887	0.0022
29911	HOOK2	1.3162	0.0023
4846	NOS3	1.3949	0.0024
10810	WASF3	2.3006	0.0024
7994	KAT6A	2.0462	0.0025
10670	RRAGA	2.2077	0.0025
11182	SLC2A6	1.3876	0.0025
8396	PIP4K2B	1.047	0.0025
7852	CXCR4	1.5458	0.0026
375346	TMEM110	0.8866	0.0026
226	ALDOA	1.1317	0.0026
10491	CRTAP	1.1803	0.0027
65123	INTS3	0.9912	0.0027
4850	CNOT4	1.3088	0.0028
3280	HES1	0.9513	0.0029
1500	CTNND1	1.2543	0.0029
533	ATP6V0B	1.2949	0.0029
51742	ARID4B	1.3051	0.003
27336	HTATSF1	1.2931	0.0031
4312	MMP1	1.9046	0.0032
54541	DDIT4	0.8309	0.0034
23097	CDK19	1.9386	0.0035
6988	TCTA	0.9907	0.0035
5921	RASA1	1.1854	0.0036
2736	GLI2	1.7604	0.0036
11261	CHP1	1.3124	0.0036
9653	HS2ST1	1.477	0.0036
808	CALM3	1.1442	0.0036
596	BCL2	0.9777	0.0037
3611	ILK	0.8885	0.0037
2195	FAT1	1.2964	0.0038
9761	MLEC	0.8442	0.0042
23365	ARHGEF12	1.212	0.0044
27095	TRAPPC3	1.1381	0.0045
1282	COL4A1	1.3137	0.0046
8826	IQGAP1	1.4796	0.0047
5321	PLA2G4A	1.138	0.0048
4791	NFKB2	1.4369	0.0048
7849	PAX8	1.4741	0.0051
8851	CDK5R1	0.9269	0.0052
94239	H2AFV	1.1967	0.0052
5613	PRKX	1.2775	0.0053
9915	ARNT2	1.2866	0.0055
5796	PTPRK	1.5621	0.0056
4651	MYO10	0.863	0.0056
4208	MEF2C	1.2487	0.0056
51056	LAP3	0.7675	0.0057
