similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	351	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_236537	MCF7
0.6166	3.8049e-38	351	ZINC68199948	LSM-6249	TP53	10uM	6h	LINCSCP_257377	NCIH508
0.6119	1.9614e-37	351	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_39707	MDST8
0.5729	5.247e-32	351	BRD-K23657553	LSM-38562	NA	10uM	6h	LINCSCP_22334	HEPG2
0.5414	4.0322e-28	351	SCHEMBL16980224	LSM-1092	AURKA	1uM	24h	LINCSCP_12228	BT20
0.5384	8.9304e-28	351	MLS003221407	LSM-4066	NA	10uM	24h	LINCSCP_31217	MCF7
0.5228	5.1378e-26	351	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	0.1uM	6h	LINCSCP_51982	SKBR3
0.5217	6.8834e-26	351	Fluspirilene	LSM-3748	DRD2|HTR2A	5uM	6h	LINCSCP_53499	SKMEL28
0.5198	1.0905e-25	351	Amoxicillin	LSM-5654	CYP2C19|SLC15A1|SLC15A2|SLC22A6	10uM	6h	LINCSCP_20738	HCC515
0.5141	4.4961e-25	351	Loperamide	LSM-3365	OPRD1|OPRM1	10uM	6h	LINCSCP_40097	NCIH2073
0.5135	5.1937e-25	351	32703-82-5	LSM-4897	KIF11	40uM	6h	LINCSCP_257211	NCIH2073
0.5081	1.959e-24	351	MLS002264419	LSM-3651	NA	10uM	24h	LINCSCP_31402	MCF7
0.5076	2.1906e-24	351	GF-109203	LSM-2677	PRKCA	10uM	6h	LINCSCP_50954	RMGI
0.5	1.3216e-23	351	KUC103424N	LSM-1876	NA	10uM	6h	LINCSCP_22147	HEPG2
0.4992	1.6296e-23	351	THZ-2-98-01	LSM-44946	NA	10uM	3h	LINCSCP_145891	MDAMB231
0.4988	1.7772e-23	351	Rilmenidine	LSM-4253	ADRA2A|NISCH	10uM	6h	LINCSCP_234701	LOVO
0.4956	3.694e-23	351	Erastin	LSM-4914	VDAC2	5uM	6h	LINCSCP_40153	NCIH508
0.49370000000000003	5.7383e-23	351	BAY-117821	LSM-42889	NA	10uM	6h	LINCSCP_33725	MCF7
0.4815	9.0877e-22	351	MLS002264477	LSM-4186	NA	10uM	24h	LINCSCP_31222	MCF7
0.4808	1.0411e-21	351	Apigenin Triacetate	LSM-2246	NA	10uM	6h	LINCSCP_33719	MCF7
0.4794	1.4406e-21	351	N-[2-Chloro-5-(trifluoromethyl)phenyl]-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine	LSM-2109	NA	10uM	6h	LINCSCP_31049	MCF7
0.4738	4.8108e-21	351	Levetiracetam	LSM-5603	CACNA1B|SV2A	10uM	24h	LINCSCP_141677	MCF7
0.4734	5.2877e-21	351	BRD-K90700939	LSM-42217	NA	10uM	6h	LINCSCP_34098	MCF7
0.4731	5.6536e-21	351	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_39699	MDST8
0.4721	6.8961e-21	351	Palonosetron	LSM-5266	HTR3A	10uM	24h	LINCSCP_238299	MCF7
0.4716	7.7688e-21	351	DC-45-A2	LSM-6274	NA	10uM	6h	LINCSCP_21262	HCT116
0.4687	1.4254e-20	351	Cytochalasin B	LSM-43278	ACTB	10uM	6h	LINCSCP_39742	MDST8
0.4676	1.794e-20	351	Tanespimycin	LSM-43238	HSP90AA1|HSP90AB1	0.5uM	6h	LINCSCP_10433	A673
0.4673	1.9467e-20	351	Darinaparsin	LSM-4924	NA	10uM	24h	LINCSCP_30540	MCF7
0.467	2.0434e-20	351	WYE 354	LSM-5840	MTOR	10uM	24h	LINCSCP_32539	MCF7
0.4643	3.6416e-20	351	GSK-1904529A	LSM-1134	IGF1R|INSR	0.12uM	3h	LINCSCP_145805	MDAMB231
