similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	357	114798-26-4	LSM-3701	AGTR1	10uM	6h	LINCSCP_244931	MCF7
0.5146	1.574e-25	357	AC1O6OS2	LSM-5812	NA	10uM	6h	LINCSCP_244922	MCF7
0.4679	8.0183e-21	357	Luteolin	LSM-5229	NA	10uM	6h	LINCSCP_244777	MCF7
0.4636	1.9905e-20	357	BRD-K44495371-001-01-4	LSM-5557	SLC18A1|SLC18A2	10uM	6h	LINCSCP_47967	PC3
0.4609	3.5393e-20	357	MLS002695992	LSM-5003	IDE	10uM	6h	LINCSCP_244701	MCF7
0.4581	6.3898e-20	357	ZINC3830838	LSM-5692	SRD5A1|SRD5A2	10uM	6h	LINCSCP_244283	MCF7
0.4567	8.5881e-20	357	Erlotinib	LSM-1097	EGFR	10uM	6h	LINCSCP_244300	MCF7
0.4547	1.2972e-19	357	Sildenafil	LSM-3797	PDE5A	10uM	6h	LINCSCP_244938	MCF7
0.4519	2.2933e-19	357	Meglumine	LSM-5424	NA	10uM	6h	LINCSCP_34710	MCF7
0.4496	3.6206e-19	357	Acenocoumarol	LSM-5112	VKORC1	10uM	6h	LINCSCP_34557	MCF7
0.4379	3.7002e-18	357	Clocortolone	LSM-5876	NR3C1	10uM	6h	LINCSCP_244942	MCF7
0.4285	2.2595e-17	357	BRD-K35669573	LSM-29348	NA	0.01uM	6h	LINCSCP_261293	NOMO1
0.4168	1.9587e-16	357	Roxatidine Acetate	LSM-5874	HRH2	10uM	6h	LINCSCP_34621	MCF7
0.4157	2.4051e-16	357	MLS000778276	LSM-43118	NA	0.5uM	6h	LINCSCP_37318	MCF7
0.4135	3.5647e-16	357	Omeprazole	LSM-1651	ATP4A|ATP4B	10uM	6h	LINCSCP_244152	MCF7
0.4122	4.4977e-16	357	Proscillaridin-A	LSM-5290	NA	10uM	6h	LINCSCP_34705	MCF7
0.4103	6.288e-16	357	Vitinoin	LSM-2135	RARA|RARB|RARG|RORB	10uM	24h	LINCSCP_253452	MCF7
0.4089	7.9872e-16	357	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	6h	LINCSCP_257418	NCIH508
0.407	1.1303e-15	357	AC1MG7IW	LSM-4330	NA	10uM	24h	LINCSCP_31835	MCF7
0.4033	2.1363e-15	357	Diphenylpyraline	LSM-5385	HRH1|SLC6A3	10uM	6h	LINCSCP_34583	MCF7
0.4016	2.8939e-15	357	MLS002473428	LSM-2278	NA	10uM	24h	LINCSCP_31575	MCF7
0.3992	4.3618e-15	357	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	1uM	24h	LINCSCP_37846	MCF7
0.3977	5.5742e-15	357	STK064652	LSM-6186	NA	10uM	6h	LINCSCP_257246	NCIH508
0.3944	9.748e-15	357	Mephenytoin	LSM-1852	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	6h	LINCSCP_244754	MCF7
0.3942	1.0109e-14	357	BRD-K58746048-001-01-6	LSM-5687	NA	10uM	6h	LINCSCP_273052	PC3
-0.394	1.0509e-14	357	tropisetron	LSM-45589	NA	0.12uM	24h	LINCSCP_109225	HELA
-0.3924	1.3705e-14	357	Piperidolate	LSM-1951	CHRM1	10uM	24h	LINCSCP_273235	PC3
0.3908	1.7787e-14	357	STK199030	LSM-4739	NA	10uM	24h	LINCSCP_239510	MCF7
-0.3858	4.0891e-14	357	ZK 200775	LSM-45516	NA	0.12uM	24h	LINCSCP_107143	HELA
0.384	5.4293e-14	357	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_252541	MCF7
0.3833	6.0944e-14	357	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	24h	LINCSCP_253838	MCF7
0.382	7.5878e-14	357	79966-13-5	LSM-6665	NA	10uM	6h	LINCSCP_15657	HA1E
0.3813	8.3926e-14	357	ZINC03977983	LSM-5482	NA	10uM	6h	LINCSCP_244842	MCF7
0.3809	8.9936e-14	357	Paromomycin	LSM-5194	NA	10uM	6h	LINCSCP_47878	PC3
0.3804	9.7711e-14	357	Sirolimus	LSM-42782	FKBP1A|MTOR	10uM	24h	LINCSCP_31997	MCF7
